"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.792810243818409,0.619454592333085,1.20899870458387,1.98619108848385,6.21693387518138,4.25264247470029,1,0.0587143078943075,18
"Fold_2",0.744155104087469,0.731364764923439,1.42716489513488,1.61207071192946,4.94484662748421,7.68666942599996,1,0.0765865306298973,16
"Fold_3",0.734223763624059,0.689654421861782,1.57957902151739,1.53248898562911,6.01081413180288,5.46338735647305,1,0.106018293473214,12
"Fold_4",0.711680775812771,0.686444805386237,1.60350495786055,1.78003665731759,5.42557866355322,6.99463090558279,1,0.127710288954253,12
"Fold_5",0.757738517546846,0.648691857745229,1.38789562848459,1.84876737085973,5.43382934005547,6.4284613285754,1,0.0802033424323447,16
"Fold_6",0.719271230261112,0.71575835410381,1.62520393900733,1.50065949255797,6.27427693004842,4.79723895286245,1,0.112202260960016,15
"Fold_7",0.712498910057309,0.74195308679575,1.52175841778242,1.67158837068144,5.00541750408885,7.57807720803125,1,0.0907184245526986,11
"Fold_8",0.747049267166783,0.655213123837079,1.38676736514634,1.96312870364515,5.63399135298997,6.1434437721726,1,0.0859621949247625,16
"Fold_9",0.751585769485037,0.658896086556596,1.42716873158991,1.81329949449061,5.82852478299087,5.64337859980771,1,0.0976038297424262,16
"Fold_10",0.743893215647235,0.734142918714584,1.36511697744189,1.92097201725711,5.35347345872773,6.5156829427832,1,0.0736063934401285,14
"Fold_11",0.705775388881668,0.677107386490483,1.7290513951346,1.57741376755357,6.69238556206214,4.10204279682485,1,0.153326321874867,11
"Fold_12",0.76018837120731,0.735068962524348,1.31611383750725,1.66145061341439,4.68183406071096,7.86662546545554,1,0.0624386817029565,17
"Fold_13",0.729382366407842,0.761149131486194,1.49838124100367,1.52515775915364,4.66091119361293,8.4039089205713,1,0.0856919160169337,12
"Fold_14",0.766959931338226,0.678003811715877,1.31428097618553,1.79181402155001,4.8661981867593,7.78749589282214,1,0.0660371606207796,21
"Fold_15",0.722897178353701,0.725869775591933,1.58969325686852,1.5170299718794,5.31136297819351,6.99630855764059,1,0.10877152214693,14
"Fold_16",0.749218795082012,0.687634770786283,1.49390038122429,1.5344639696631,6.08361865476986,4.79484251130586,1,0.0890304050795081,15
"Fold_17",0.70697906586664,0.56673514483985,1.76464710417196,1.87385996858374,6.80981381449858,3.76526934174463,1,0.191810723098715,10
"Fold_18",0.793889091969596,0.681755472487467,1.20476171398603,1.6790514673123,5.03231126483336,6.92439150303569,1,0.0518070612414203,22
"Fold_19",0.759245573113782,0.716349678654036,1.4425096726854,1.38893329316818,6.26669469515689,4.31017090359321,1,0.0781600119659091,13
"Fold_20",0.760443068697779,0.692789772526476,1.3949032315073,1.59589868725357,6.28498311523651,4.37204931857975,1,0.074093747498899,15
"Fold_21",0.78308544212251,0.68919341857734,1.21302931883282,1.78751385619436,4.96951561669089,8.07431731026931,1,0.0508013799790053,17
"Fold_22",0.734267113073406,0.685732523107924,1.47797272576023,1.72646553392618,5.3187607287933,6.71716960682343,1,0.0887515796275155,14
"Fold_23",0.743933847699398,0.727692784948105,1.53766334583632,1.30783929222429,6.50589614190293,3.8976196475145,1,0.0875492416956839,14
"Fold_24",0.793053988217138,0.618197164805864,1.20585838503481,1.95002591979907,5.78494968829714,5.24441786374697,1,0.0643493498875043,19
"Fold_25",0.782173899670825,0.694841645385056,1.27282595132051,1.63406117420672,4.99594163102134,7.01246678589902,1,0.0536604255026896,21
"Fold_26",0.768913673228775,0.591747358604469,1.39019742279372,1.8375861655166,6.28215282023558,4.40318121092418,1,0.0891353388068699,15
"Fold_27",0.742040170599852,0.783144484744516,1.54022553749219,1.06454467859909,6.56618547815024,3.45914627957294,1,0.0707133035206709,18
"Fold_28",0.752651743312857,0.766312675205402,1.38988979053657,1.36139165759895,5.25765236594691,6.50993324889037,1,0.0616414003943992,15
"Fold_29",0.736806154029767,0.751512892296723,1.43784352600165,1.56347118306617,5.67364094569367,5.77705684862063,1,0.0807689151997176,19
"Fold_30",0.744038404062051,0.74388186204389,1.45230504267958,1.44945830185521,5.31746734119551,6.59117025414366,1,0.0747079051899482,17
"Fold_31",0.764893008387346,0.696257913745816,1.39323903010585,1.52829450576795,5.61290027746492,5.79618878481501,1,0.0733023456552175,18
"Fold_32",0.766666887079124,0.701937067099317,1.3079896203327,1.69394745389882,5.73640225011503,5.27060454182262,1,0.0663140573771392,19
"Fold_33",0.740323929057752,0.633712357665904,1.48412483784761,1.87436139003293,6.17328214833955,5.08759253765512,1,0.0978899968652873,12
"Fold_34",0.786634961276068,0.68331361600705,1.22047937754079,1.7915581666842,5.52287721149743,5.8005983786139,1,0.062317799419447,18
"Fold_35",0.777919982331135,0.690968791835968,1.29571754323757,1.6552107655284,6.00671852061134,4.77591726661077,1,0.0722992898022652,20
"Fold_36",0.755687590977868,0.76183463224102,1.39484985417902,1.35316690823471,5.48200975436207,5.9272375699417,1,0.0532628000811991,21
"Fold_37",0.74890088104808,0.639395272528788,1.41554558263851,2.03356309396337,4.66091048304971,8.5298669093449,1,0.125097311729182,12
"Fold_38",0.751985500800157,0.760688839470021,1.43570741542758,1.45246681737825,6.31663653314523,3.91434560026511,1,0.0637583863122307,19
"Fold_39",0.743076063360796,0.691987902251108,1.42404342165243,1.78959548214362,5.56550668315396,5.97585134496229,1,0.0893244678090424,16
"Fold_40",0.762217744212928,0.747233110419656,1.3804142802578,1.37974570092099,5.28949992436658,6.4046580400075,1,0.0591133291162243,18
"Fold_41",0.77102020165159,0.688619550514574,1.29346189491954,1.79098344643857,4.64328058728753,8.40484179616428,1,0.0729905187398261,16
"Fold_42",0.749538118196995,0.688503909127014,1.4262158834776,1.66780753457987,6.00601244514497,4.83802081978105,1,0.0801722519252515,17
"Fold_43",0.758538930186044,0.709393962172319,1.38598636157418,1.53719828473825,5.80233259671162,5.00613245207896,1,0.0635894426816034,17
"Fold_44",0.766967865729206,0.647739612523837,1.36739611461928,1.81038307104511,6.35848818261975,4.1020328268511,1,0.0954469833068391,15
"Fold_45",0.746506381504374,0.77819134278846,1.50547788064173,1.13080064100879,6.55255701830853,3.56175298728228,1,0.0755194564289266,15
"Fold_46",0.760489277570974,0.729947727296907,1.34071446656004,1.65996535922023,5.42020184812581,6.14537811925746,1,0.0645121961750881,18
"Fold_47",0.751877472882091,0.595356474640106,1.50475271520516,1.86311995995878,6.54245353796908,3.73372642928287,1,0.120403632404633,8
"Fold_48",0.734715311549043,0.618989980055262,1.45212580533438,2.2247211376148,4.62425654188969,8.65803208764473,1,0.140076104385013,10
