"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.571742484990564,0.471538070035948,2.18535932667627,2.44632482625135,7.2331437363374,4.37207863232673,1,0.168885182120446,5
"Fold_2",0.519695451658911,0.544694618298778,2.44148534977589,2.55811035512311,5.76332337957281,8.09906535769095,1,0.363754578102306,3
"Fold_3",0.542479753813982,0.498317156982202,2.42855183031241,2.11492628872915,6.62532300176337,5.6990675378595,1,0.259564572153111,3
"Fold_4",0.568072640472029,0.504432251288624,2.23329857275874,2.43309863504066,5.90241847727225,7.54956970867484,1,0.253538049111175,4
"Fold_5",0.59671082438654,0.415025624656163,2.12346879429208,2.58606925547284,6.06640283876928,7.19388350795726,1,0.210826916530953,5
"Fold_6",0.510931571913665,0.574107260755746,2.54127575203548,2.18966810889905,6.8753276198357,5.2266409996423,1,0.328132249318578,3
"Fold_7",0.52765249058709,0.530235740966508,2.3351088676671,2.78231934499292,5.70002144857252,8.26683254229883,1,0.354653753526725,3
"Fold_8",0.569456597573537,0.445595392656871,2.15051698386471,2.75688444895254,6.23504537197873,6.63193699304744,1,0.262393349705577,3
"Fold_9",0.584475487501203,0.440829882818232,2.20050044049276,2.55736127409983,6.34078717516917,6.28888887751028,1,0.271588454141211,4
"Fold_10",0.520266555084073,0.605257792068558,2.2394481420359,2.68186392158731,6.13314645469958,7.07853395017155,1,0.219182741411072,4
"Fold_11",0.567350619213223,0.525365056752883,2.29695720345097,2.08235215578343,7.06157275300149,4.57330919305091,1,0.195793757358566,5
"Fold_12",0.531265747105155,0.624880849064845,2.24713080450793,2.4054977338079,5.47568449196158,8.39233746439852,1,0.189501147166103,5
"Fold_13",0.520919004182887,0.611813405401134,2.40118170388371,2.3236130573237,5.25877789860988,9.05476333548382,1,0.282215351466006,5
"Fold_14",0.578465439050065,0.456492020532916,2.15764348074956,2.63220815486274,5.38888284513043,8.5558318703541,1,0.242909755816474,4
"Fold_15",0.50867859397658,0.574464941819171,2.53911955525388,2.31663621217083,5.96767253065894,7.59787365814288,1,0.357186282939845,3
"Fold_16",0.568461824096332,0.477260569503498,2.38056880082981,2.2430905683656,6.70796934529964,5.37829339987141,1,0.298394541678638,4
"Fold_17",0.594598958914801,0.391391935406346,2.2618127248245,2.32599110858608,7.20299423867447,3.99653118006155,1,0.253562487581215,4
"Fold_18",0.606318988117278,0.439533821266285,2.06732506196899,2.5289661999375,5.9805045436521,7.59782192174707,1,0.173636683794095,5
"Fold_19",0.548134149743524,0.472743271474651,2.39988874235668,2.23927454185422,7.03761206132303,4.52742292510354,1,0.261961303302353,4
"Fold_20",0.552655816610609,0.46811750949498,2.36872079569594,2.40493295565264,7.01518831836087,4.8698075775491,1,0.320821271682776,3
"Fold_21",0.558783200594482,0.460845308259663,2.17717984883535,2.69355303461196,5.63311782053422,8.53598614267453,1,0.22490110666745,4
"Fold_22",0.576083533536423,0.489724190097298,2.12186721338093,2.46468630054631,5.91741823795311,7.21567126378215,1,0.136603346796124,5
"Fold_23",0.554831987491303,0.475484214239393,2.44862968157127,2.12307755401311,7.15331986705203,4.40212999780449,1,0.32203935969234,3
"Fold_24",0.601979964717531,0.449944783508729,2.05682756452486,2.53460553681435,6.47239079885473,5.74734436684161,1,0.138257250223601,5
"Fold_25",0.554111209933168,0.519639249814405,2.36106655839349,2.3770060767483,5.90968602841924,7.47359998211699,1,0.308731313644409,4
"Fold_26",0.582583502454269,0.438945214554759,2.28650004949748,2.27845552563343,6.9227488447351,4.9939168765659,1,0.253208683454496,4
"Fold_27",0.545056652361908,0.595036768588365,2.37289417110586,1.80252443873546,7.38176841084054,3.76061362856577,1,0.121282741698469,5
"Fold_28",0.529435201914403,0.516157131085703,2.36539523433965,2.45793600758955,6.09971885860216,7.02747751741312,1,0.299737570955247,2
"Fold_29",0.505450240579862,0.565908477458563,2.47163547285935,2.78053067745068,6.60500146828451,6.30656730028528,1,0.41868972287107,2
"Fold_30",0.544147305360146,0.550939101550143,2.34924099160228,2.25954342996091,6.08095394928954,7.15126563387258,1,0.268942087407548,4
"Fold_31",0.548932702320961,0.51993983668121,2.38318764299989,2.21756089733244,6.41183661904668,6.43108764341895,1,0.261462204360914,5
"Fold_32",0.547433550415905,0.466579573568858,2.31778146826818,2.69280291454281,6.58692982071466,5.88387160179358,1,0.344946656006586,3
"Fold_33",0.574908698557902,0.506290039104359,2.23714787308329,2.35344595416447,6.70748380178991,5.5349715326102,1,0.235030096510966,5
"Fold_34",0.555926127631925,0.463249251439756,2.42338136037633,2.76250437851369,6.5663038494585,6.31995932977468,1,0.463406852623627,3
"Fold_35",0.504382275377463,0.615376517055268,2.50126796097422,2.27465453725967,6.88387264370064,5.3839834733492,1,0.311333612674993,4
"Fold_36",0.560652400400119,0.56996989437957,2.19256623015445,2.13777090078853,6.12015078363325,6.81141333538763,1,0.0719105631398661,7
"Fold_37",0.596698899268198,0.477427374885503,2.02392303593685,2.63313608349669,5.18226569621402,8.93460723333831,1,0.148039170087012,5
"Fold_38",0.539821405154247,0.502670484479416,2.38192634144918,2.33323636000409,7.0336109596679,4.60271297117636,1,0.266508989052701,3
"Fold_39",0.582003634169039,0.500296728328921,2.12635251895806,2.5711699075491,6.12116985532821,6.95843066703294,1,0.217079235481266,5
