"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.67942064475006,0.507600830830529,1.72292336883319,2.42956873576486,6.46119863109112,4.06642024299062,1,0.0224149765390479,11
"Fold_2",0.605430690552948,0.650592771547718,1.98481035307922,2.03504066525651,5.22132490688444,7.78031187521123,1,0.0361582905803361,6
"Fold_3",0.567989357971345,0.561686793947046,2.27299209032102,1.91689035860682,6.49134366517844,5.08647261444303,1,0.125211310168041,5
"Fold_4",0.653773440597678,0.630399984962967,1.80187167189183,1.95862250693609,5.31773035849605,6.73577241035709,1,0.0130889208153923,10
"Fold_5",0.673058891472836,0.544005196278743,1.75190765217388,2.21034582455943,5.52963937595679,6.36733490146779,1,0.0228841055956787,12
"Fold_6",0.54326199115487,0.606304064979551,2.39041268084126,2.0512376226982,6.74885870771224,5.1251767914687,1,0.255766466055082,3
"Fold_7",0.657698228453992,0.564018602238121,1.72271407502538,2.40869578232312,4.93563308548736,7.92542061431215,1,0.0270671777059512,10
"Fold_8",0.601370617800731,0.547937507200282,1.95833017486744,2.42488417067833,5.97405359883127,6.04087386667327,1,0.0617632350835088,6
"Fold_9",0.623370749338727,0.575759598537534,1.94451775799982,2.14290473378684,6.00991858598441,5.68166910070648,1,0.0337745915921939,8
"Fold_10",0.597659291930998,0.562127728258,1.91477803142504,2.6117611167142,5.68918758996454,6.88138318564524,1,0.04212028453432,7
"Fold_11",0.570577439234784,0.580828513170442,2.23854414133156,1.90998606888102,6.85809242899734,4.28841714329409,1,0.0998062332704845,7
"Fold_12",0.667057188750618,0.571927701038768,1.68889308825981,2.34048914022421,4.69520023019431,8.14253880046075,1,0.00971343675837574,11
"Fold_13",0.612382657336813,0.644045849060327,1.9557805156634,1.96857061674516,4.75724304617535,8.66608506318957,1,0.0307960778659255,10
"Fold_14",0.64264908963963,0.597166981489495,1.83457645457286,2.11828767427572,5.03171477095475,7.72342700903557,1,0.0226946415909852,11
"Fold_15",0.617109849345765,0.678912839774099,1.9973095431003,1.70823413916211,5.41505065042705,6.94569826614645,1,0.0247366325219402,12
"Fold_16",0.645035709217843,0.506829090755259,1.94840391473056,2.09361158478115,6.22141397016949,4.93485502783125,1,0.0404867822521081,9
"Fold_17",0.606058906442098,0.441732503207718,2.16678828237267,2.21095585624198,7.03502883314276,3.90639837422517,1,0.181501090214855,4
"Fold_18",0.710390406840436,0.519068642731557,1.5753406884046,2.50282343380462,5.12114487188568,6.70420196143539,1,0.00228734717545291,13
"Fold_19",0.620187059393278,0.574535081079516,2.0352702615304,1.91346535163432,6.55517655873771,4.20165474497623,1,0.0320018596083816,9
"Fold_20",0.582590377318609,0.528960090632325,2.15098141780826,2.17710504277238,6.68170644013298,4.6219836164724,1,0.1097537372518,6
"Fold_21",0.60701032256529,0.574956796596704,1.94390049970211,2.27710002657781,5.20924174387982,7.82893131159186,1,0.0311923761826108,10
"Fold_22",0.664465636328889,0.597728313535482,1.75263244563182,2.08674126293977,5.30905837398711,6.69918918130587,1,0.0127452642294725,12
"Fold_23",0.639642131340628,0.619637949045565,1.98647335107349,1.70304130182319,6.60664870334892,3.79743125089342,1,0.027610090509075,10
"Fold_24",0.653049552780317,0.503227828998616,1.82625141970926,2.38028062070701,6.02010116754464,5.27081206566108,1,0.0300881827260947,9
"Fold_25",0.625898237888615,0.532299373286268,1.95084397295531,2.22718177695902,5.29730831247556,7.28587547181739,1,0.0318609464284292,11
"Fold_26",0.627616398516786,0.457445251679332,2.01798730816793,2.25030438845702,6.56411555494668,4.59097324057673,1,0.0646928144996976,7
"Fold_27",0.637298936606289,0.63284166224123,1.99219410465397,1.65382587868974,6.67620371421644,3.44600340953792,1,0.0196332973793298,11
"Fold_28",0.582565438558413,0.644489716718658,2.07590047174373,1.93883952553317,5.73741515089282,6.47471598449637,1,0.0404967229241039,10
"Fold_29",0.627312846194727,0.591351624655109,1.84791072349017,2.26813616975738,5.82696400401265,5.64749237131518,1,0.0290268431055422,10
"Fold_30",0.590803045379721,0.596036789063992,2.07372317377934,2.03511898842299,5.65574701529485,6.70254639935529,1,0.046675205866861,8
"Fold_31",0.621723299644372,0.559503164064347,2.00810430557769,2.02379744023775,5.9641371227563,5.93909805005699,1,0.0348245528644779,8
"Fold_32",0.657730804395767,0.626259424512282,1.75887402403224,2.04145559830995,5.84935183132111,5.27939172603447,1,0.0133173438252479,11
"Fold_33",0.648690106205232,0.592791451593369,1.86566102922426,2.00691128611655,6.14669155583548,4.99784751033565,1,0.0304056310427889,10
"Fold_34",0.673672244684958,0.539490781228576,1.71497737020985,2.36487539668885,5.63896557530212,6.25929202189279,1,0.0291864759531062,8
"Fold_35",0.616338949111307,0.593690321100903,1.97265256947002,2.0515685737398,6.25091668829983,4.92620853943996,1,0.0336066916156036,9
"Fold_36",0.653767675715514,0.633004244592249,1.82360140816166,1.87526965701547,5.62675705990346,6.02137025607619,1,0.00998047627824803,11
