"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.590998395231893,0.485303184419178,2.18561818312169,2.48128533876748,7.42503868856405,4.28017342688264,1,0.273755046125604,2
"Fold_2",0.552260611355381,0.626185132052308,2.29838211552764,2.23654217646806,5.80546019824041,8.11507271318997,1,0.267353620014247,3
"Fold_3",0.576110663971376,0.558801446870516,2.32407119224388,1.95156461009975,6.76937222455448,5.76112264368854,1,0.244916008504605,4
"Fold_4",0.610212837594699,0.500787020443514,2.07461125076735,2.43847822151412,5.91578783714049,7.78080715648219,1,0.24493687370652,4
"Fold_5",0.630658129967078,0.41076528323003,2.01595523746876,2.59620161312849,6.18430288204298,7.2058375653521,1,0.240999231897982,4
"Fold_6",0.574828502723181,0.575976084525994,2.30591734914231,2.03769930241301,6.84852554602428,5.53108050301648,1,0.259201775460215,4
"Fold_7",0.558095449913054,0.565961814269938,2.22753423813465,2.64261597470638,5.74560188811668,8.28266363339014,1,0.302312396498205,3
"Fold_8",0.576638925232151,0.550336816584971,2.12436476992121,2.45968520432669,6.39666902416637,6.54550336256234,1,0.21794549683598,5
"Fold_9",0.586304239493268,0.532960850669321,2.19392538266545,2.34745147775342,6.53302632127028,6.33974815519719,1,0.258505780913781,4
"Fold_10",0.542956071312354,0.6644678443646,2.20193345144793,2.50893913846416,6.17136684362006,7.14245036529296,1,0.235643090079865,4
"Fold_11",0.572161239791954,0.593623084195533,2.29507728263296,1.91238924894054,7.24178287043479,4.54765555592518,1,0.208783622356804,4
"Fold_12",0.581483019008891,0.60001236536146,2.06626135166798,2.35440317593926,5.48520428858948,8.6183660973209,1,0.159885401805533,4
"Fold_13",0.554786894885754,0.604754949595223,2.32283823133886,2.3472891394232,5.35998017341528,9.26970500901402,1,0.311184854039637,4
"Fold_14",0.601982245908105,0.507317062314938,2.14405386042795,2.48854838889254,5.64129622970763,8.48929285765624,1,0.290486820531524,5
"Fold_15",0.563349694121826,0.568340421357106,2.40335901492393,2.25552673664967,6.03357770437294,7.69553255509293,1,0.359076118920266,3
"Fold_16",0.586804935046047,0.57874794293357,2.32940226506867,1.99006568656712,6.91613438813088,5.26451755497639,1,0.278659471984236,5
"Fold_17",0.606331576217275,0.503165513330708,2.25252000278328,2.1014941794729,7.41035693325855,4.10624996606471,1,0.271653411177121,5
"Fold_18",0.627841977507921,0.483947870037303,2.02744822614692,2.40646846871031,6.04939172247543,7.36357533837461,1,0.228281489482634,4
"Fold_19",0.568236805783753,0.603911389239995,2.31705027742849,1.90745145118881,7.31108776028726,4.36892419315647,1,0.21174742017548,5
"Fold_20",0.593585225634569,0.496400377504467,2.20603404412936,2.32111116131694,7.11376421986237,5.02395915831399,1,0.272544942018929,3
"Fold_21",0.599677931723449,0.469526580875383,2.04413825594631,2.66068653598994,5.66222077339104,8.59460497051991,1,0.225081684209853,2
"Fold_22",0.594038612052938,0.529609716937979,2.0889390370695,2.34577282684332,6.02661658826807,7.57150117991764,1,0.186813567789946,4
"Fold_23",0.581711111462857,0.596457445164897,2.25600539725324,1.77742260011485,7.19534223664474,4.68499742406316,1,0.152988190859664,5
