"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.637417118061931,0.52583415381732,1.94575497548075,2.28013946664354,7.24626419309351,4.34241377761747,1,0.148862171523256,6
"Fold_2",0.640754578648896,0.633742665939822,1.86595485981676,2.02866977165114,5.38051249516912,7.98554165844845,1,0.0765865306298973,8
"Fold_3",0.635683978882049,0.637223138835665,2.01165807190366,1.67360040818128,6.34391943492877,5.83787675910967,1,0.086555341605443,9
"Fold_4",0.641049342426847,0.624726096902989,1.8739991773341,1.98498568349041,5.68696071004559,7.27109839344286,1,0.0718856508618461,8
"Fold_5",0.665497762452348,0.514016797380179,1.79380413252251,2.31122054946806,5.96647468891992,6.96666726231207,1,0.0730782985403295,8
"Fold_6",0.598212668865799,0.609154104123061,2.14784142539367,1.90588309714036,6.70341816031695,5.34204535245048,1,0.159923824910613,6
"Fold_7",0.670760373424183,0.642084129544987,1.67978668169749,2.09525808802768,5.13175180428027,7.68750004403931,1,0.045693535989354,11
"Fold_8",0.623811181517304,0.547837429909137,1.91748917007898,2.41188440362858,6.17852567865379,6.65633973271089,1,0.148766114021352,6
"Fold_9",0.623295181874158,0.535175924079454,1.9959809445945,2.25878936434002,6.34807705246253,6.28060980787925,1,0.159852199209982,5
"Fold_10",0.622534821930104,0.642123497081826,1.84873268448553,2.29108359099809,5.8820579903165,6.99143542858427,1,0.0824338829072983,7
"Fold_11",0.600084501210666,0.564203095931308,2.24938318266545,2.02704583875392,7.0923295012812,4.62686842785336,1,0.267942101945049,4
"Fold_12",0.655390247293583,0.631095558644649,1.75789673560829,2.1211777917341,5.08874039966704,8.07024829729143,1,0.0593329930919074,9
"Fold_13",0.58284820950632,0.642974438381905,2.15611742730629,2.24618203121139,5.17867518162389,9.1136829541625,1,0.215386932974009,3
"Fold_14",0.619385580211424,0.556626049515499,1.98048010340784,2.28955531720989,5.454143107091,8.3661287304356,1,0.163431019764387,5
"Fold_15",0.578174006012322,0.653186833482478,2.21408065157215,1.94492860608085,5.90271675037344,7.36210249339663,1,0.190081324063825,5
"Fold_16",0.6521349832557,0.56051515108791,1.94083256700669,1.9352785568839,6.49425963441632,5.15344503069732,1,0.0925618543817894,7
"Fold_17",0.620721306988168,0.517030303910113,2.12382112637433,2.04541018096001,7.2668515045601,3.89917215910342,1,0.1796438081271,6
"Fold_18",0.672026749136648,0.582867514355937,1.77105252263749,2.06244909807459,5.68411531944486,6.90072530202912,1,0.0675076836261906,10
"Fold_19",0.602060864675957,0.585068523676097,2.15643220404964,1.91812421739678,7.10672623933337,4.38630155325037,1,0.159190253634188,5
"Fold_20",0.620394490182928,0.572917875309553,2.04727394244683,2.0619752952193,6.96716113182895,4.82921083504208,1,0.154580897086346,7
"Fold_21",0.614844336197633,0.585172931630007,1.94353390178823,2.24174114484869,5.51417303088498,8.4363779783928,1,0.115640950829109,7
"Fold_22",0.642177368533691,0.58185509779404,1.86346414497029,2.14871251592204,5.82372661375421,7.19544869303912,1,0.0781182236032279,8
