Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism.Name,Lifespan,AA_Rate_downstream1,AA_Rate_downstream2,AA_Rate_exon,AA_Rate_genome,AA_Rate_intron,AA_Rate_upstream1,AA_Rate_upstream2,AC_Rate_downstream1,AC_Rate_downstream2,AC_Rate_exon,AC_Rate_genome,AC_Rate_intron,AC_Rate_upstream1,AC_Rate_upstream2,AG_Rate_downstream1,AG_Rate_downstream2,AG_Rate_exon,AG_Rate_genome,AG_Rate_intron,AG_Rate_upstream1,AG_Rate_upstream2,AT_Rate_downstream1,AT_Rate_downstream2,AT_Rate_exon,AT_Rate_genome,AT_Rate_intron,AT_Rate_upstream1,AT_Rate_upstream2,CA_Rate_downstream1,CA_Rate_downstream2,CA_Rate_exon,CA_Rate_genome,CA_Rate_intron,CA_Rate_upstream1,CA_Rate_upstream2,CC_Rate_downstream1,CC_Rate_downstream2,CC_Rate_exon,CC_Rate_genome,CC_Rate_intron,CC_Rate_upstream1,CC_Rate_upstream2,CG_Rate_downstream1,CG_Rate_downstream2,CG_Rate_exon,CG_Rate_genome,CG_Rate_intron,CG_Rate_upstream1,CG_Rate_upstream2,CT_Rate_downstream1,CT_Rate_downstream2,CT_Rate_exon,CT_Rate_genome,CT_Rate_intron,CT_Rate_upstream1,CT_Rate_upstream2,GA_Rate_downstream1,GA_Rate_downstream2,GA_Rate_exon,GA_Rate_genome,GA_Rate_intron,GA_Rate_upstream1,GA_Rate_upstream2,GC_Rate_downstream1,GC_Rate_downstream2,GC_Rate_exon,GC_Rate_genome,GC_Rate_intron,GC_Rate_upstream1,GC_Rate_upstream2,GG_Rate_downstream1,GG_Rate_downstream2,GG_Rate_exon,GG_Rate_genome,GG_Rate_intron,GG_Rate_upstream1,GG_Rate_upstream2,GT_Rate_downstream1,GT_Rate_downstream2,GT_Rate_exon,GT_Rate_genome,GT_Rate_intron,GT_Rate_upstream1,GT_Rate_upstream2,TA_Rate_downstream1,TA_Rate_downstream2,TA_Rate_exon,TA_Rate_genome,TA_Rate_intron,TA_Rate_upstream1,TA_Rate_upstream2,TC_Rate_downstream1,TC_Rate_downstream2,TC_Rate_exon,TC_Rate_genome,TC_Rate_intron,TC_Rate_upstream1,TC_Rate_upstream2,TG_Rate_downstream1,TG_Rate_downstream2,TG_Rate_exon,TG_Rate_genome,TG_Rate_intron,TG_Rate_upstream1,TG_Rate_upstream2,TT_Rate_downstream1,TT_Rate_downstream2,TT_Rate_exon,TT_Rate_genome,TT_Rate_intron,TT_Rate_upstream1,TT_Rate_upstream2,log_lifespan
GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus,Angiostrongylus costaricensis,183.45,0.0899321418274446,0.0882674002759242,0.0908399852456138,0.097071,0.085665838189556,0.0875140932915932,0.0830327593435642,0.052896976254098,0.0509952448211976,0.0569598769823521,0.057567,0.0514728913945819,0.053560505199525,0.0514434985325645,0.0677422518926277,0.0524226192208311,0.0668104163389256,0.05961,0.0576632442373916,0.05670825686973,0.0603365734862519,0.0744938874142855,0.0869362785148441,0.0738717968404781,0.079135,0.0812538273877778,0.0797972665011454,0.0784877237950526,0.0600112353873087,0.0592296953566682,0.0644005332626039,0.06548,0.0603048644311104,0.0613777841747328,0.0606302092470733,0.0319822136090858,0.0319215533534344,0.0355820170448596,0.039659,0.0366029003663135,0.0378742218703897,0.034281789230481,0.0474204680222448,0.0337242384289778,0.0517905800653638,0.041283,0.0374474561398348,0.0399387391601597,0.044456454188361,0.0549226155268296,0.0618009092516693,0.0554828276233465,0.059664,0.0604683150609268,0.0616251664207837,0.0581584651844627,0.0816200358462357,0.0550624784084439,0.0844333172080277,0.064943,0.059346412493973,0.0607203471147733,0.0685449939191379,0.0457515077116963,0.0368125304520217,0.0508895316341449,0.043842,0.040891521967152,0.041775364926295,0.0438907407352342,0.0472614486516049,0.0324095318465658,0.0489688842451826,0.039708,0.0394622721747108,0.0385601453708034,0.0430975524901799,0.0613012243005376,0.0660375176369902,0.0585218660754889,0.057801,0.0648177083280509,0.0633133628392885,0.0659483617354691,0.0578860232376343,0.0759493009745393,0.0476721304785994,0.065886,0.070738199272241,0.0679933851486692,0.061088875739293,0.0617262667304725,0.0670060131784038,0.0633816859839237,0.065017,0.0658558165847824,0.0675256078106821,0.0679235268405386,0.0745206383364493,0.0716619547642444,0.0770730905875284,0.065695,0.0699450438332884,0.0690676238110659,0.0739322809031195,0.0905310652514438,0.1297627335152433,0.0733214603835603,0.097637,0.1180636881383078,0.1126481294903625,0.104746194629216,5.211942150801291
GCA_008729115.1_FGCZ_Drep_1.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dirofilaria,Dirofilaria repens,2653.2,0.1166985494470874,0.1325615033005488,0.1133039524094202,0.149298,0.1364093932364238,0.1306655302136061,0.1197087130568094,0.0468639006650702,0.0354296505274324,0.0516007721934808,0.039345,0.033894810183561,0.0370629842317137,0.0419257303466484,0.0609301895851603,0.0427935857632109,0.0593712144088474,0.044239,0.0448879877041133,0.0454844386667933,0.053744813656661,0.1015493062276688,0.1278373974817978,0.0981215043887168,0.129645,0.1300854110340927,0.1284618639260978,0.1131695097764853,0.0628673903527704,0.0520710924961477,0.0679187934171376,0.056668,0.0508383336564409,0.0529040872452561,0.0578345723776266,0.0250669841313116,0.0164577817812142,0.0271873831864811,0.018161,0.0146251014799896,0.0171211456918515,0.0199537335588353,0.0341804610810458,0.0173730344168522,0.0382329084985532,0.019071,0.016240531182911,0.0194535827398125,0.0292594935938773,0.042513908010984,0.0471419883768249,0.0440503721647467,0.044225,0.0443042300908994,0.0458124975088989,0.0415576672709795,0.0775804226096623,0.0539214117295607,0.0769389493554902,0.056663,0.0538768162426194,0.0573236837022206,0.0675395743852434,0.0390484542531326,0.0231693804174039,0.0439732601994691,0.023966,0.021709664589987,0.0238739456893987,0.033071684086291,0.0397875894951918,0.0181107234687236,0.0416550875290234,0.018039,0.0168502834704356,0.0201219643059715,0.0338739703359412,0.0513380922737647,0.0440792070757182,0.0536846466837133,0.039185,0.0437864194245839,0.0446489617090945,0.0528140095148867,0.0731865059350439,0.0999202869061717,0.0634208422996435,0.099897,0.1041530590227068,0.100814475059863,0.0833685680217066,0.0524316489228769,0.0580998715140762,0.054169443036845,0.056654,0.0557786201567032,0.0572240396613942,0.0537988063805711,0.0734591377866231,0.0610102377218211,0.0783730652811569,0.056504,0.058244381370166,0.060887874393321,0.0707677309063477,0.1024974592226054,0.1700228470224949,0.0879978049472741,0.148441,0.1743149571543659,0.1581389252547055,0.1276114227310888,7.883521737651401
GCA_030553155.1_ASM3055315v1,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Nippostrongylus,Nippostrongylus brasiliensis,323.9166667,0.0816884038746961,0.0844058216489597,0.0803591725561418,0.095009,0.0900832390487428,0.0856549018145968,0.0778062195191557,0.0590366158628639,0.0526264663948374,0.0630267718282013,0.056351,0.0521633280183931,0.053732005026953,0.0531234739759387,0.0699390784571003,0.0532326899196406,0.0682970778767039,0.059123,0.0569546819108992,0.0547884741753968,0.0594840215371541,0.0629036639763037,0.0813049228997863,0.0618751971232674,0.073877,0.0763875921742079,0.0739369774909412,0.071785757320159,0.0647503507350498,0.061248400188409,0.0683105317801802,0.063764,0.0602547741689961,0.0614255115884434,0.0634132362174263,0.045946490697654,0.0395290249832287,0.0487164355516073,0.044838,0.043143786434941,0.0458477470914381,0.0436296224656109,0.0641233695102296,0.0437618845978783,0.0667690421014342,0.048193,0.0445335547869793,0.0487347949145128,0.0545848897457525,0.0567764560981691,0.0610989258464529,0.0570923096147303,0.05902,0.0596705740490645,0.0628262056696384,0.0597995319664385,0.0887007148541969,0.0600224726941699,0.0872874363924514,0.066492,0.0615309223520011,0.0616832837155036,0.0701182292096067,0.0564808906160747,0.0435291486861324,0.0602842109804405,0.048207,0.0452671389054802,0.0480415861789723,0.0517655107463803,0.0522680866556566,0.0367631549315431,0.0543613657906355,0.044865,0.0429188036963244,0.0419304039051287,0.047158107191101,0.0549138358902535,0.0639088055850275,0.0548395999315489,0.056346,0.0600387107986977,0.0593359710692427,0.0614000735662508,0.043057756363222,0.0656751403155692,0.0363255393861038,0.059095,0.0637199549289391,0.0592554668510993,0.0509608798777278,0.0675522477715079,0.0700610426251659,0.068415879319578,0.066419,0.0670284484177756,0.0712200592717263,0.0728305883397492,0.0666249210298425,0.0704321513362292,0.0692152695549136,0.063729,0.0653485600315185,0.0655137775236188,0.0695066304754536,0.0652371176071783,0.1123999473469692,0.0548241602120613,0.094673,0.1109559302770387,0.1060728337127871,0.0926332278460943,5.78048628116713
GCA_964036135.1_CAEBRE_CFB2252,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis brenneri,43,0.101684994583091,0.1131022704270317,0.0996245418527594,0.118788,0.1198430340695467,0.1084197137114802,0.1029225305638384,0.0560926133130093,0.045537074251638,0.0597755980137159,0.050381,0.0482518568733906,0.0506644649409974,0.0529718044237575,0.071008224589755,0.0418977257246563,0.0676843663332885,0.057254,0.0555200610475647,0.0492253589196653,0.0553094748572481,0.0736406184001933,0.0931845627278681,0.0748502949995483,0.081376,0.0824065904110129,0.079269440928298407,0.0790521256254471,0.0719194081322358,0.0596742327043395,0.0754151085747742,0.063761,0.0627054197946668,0.0641636414119028,0.0704541160508107,0.0460703665351628,0.0391277108470827,0.0481627387145938,0.038608,0.0384495690045118,0.0450655453680387,0.0457317601099917,0.0448433575105847,0.0256409170988962,0.0451683630522793,0.032447,0.029953827747668402,0.0345008050444574,0.0380849803808844,0.0529675626380771,0.0618100457872145,0.0556169088296064,0.057304,0.0577886956393514,0.0649642572583971,0.0607917449257159,0.0933831858837592,0.0542438798372318,0.0914264294713052,0.07086,0.0645294140621419,0.0602321901483815,0.0681803227024162,0.0420248660444364,0.0249743894845648,0.0431722657514487,0.032218,0.0306926614992641,0.0327644044423204,0.0363168164892153,0.0485877041186268,0.0254800576631049,0.0481993087166989,0.038602,0.0339064712490998,0.0320800877712187,0.037989934356675,0.0479382927972485,0.0499884165812982,0.0480672707945255,0.050433,0.0507781940474041,0.049510330409038,0.0498399032454561,0.0407484368955204,0.0663660621994949,0.0345830932469815,0.054392,0.0589436744751595,0.0546790970716868,0.0487874705482385,0.0691217657810426,0.0770447427826835,0.0729662967001453,0.070912,0.071503424809032,0.0802930277103965,0.0799156206793982,0.0674530643951942,0.0616872846388474,0.0709070288554774,0.06381,0.0605263808135769,0.0586929590091618,0.0614262829577861,0.0725155383820623,0.1602406272440468,0.0643803860928508,0.118854,0.1342007244566077,0.1354746758545582,0.1122251120831202,3.7612001156935624
GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,815.75,0.0843607821572824,0.0853233051290086,0.0838296539055679,0.093365,0.0880144942589168,0.0839710933640194,0.0777930548555826,0.0583331696747121,0.0529950773007416,0.0616069614350098,0.055607,0.0517623092958286,0.0549965370422193,0.0552251683604651,0.0728784932932697,0.0555341193983077,0.0708802889569838,0.060033,0.0577286638772191,0.0567324242239203,0.0625503368840306,0.0642877249487748,0.0806513109787945,0.0651471577697577,0.074823,0.0770597953487506,0.0734147049497928,0.0702894544126018,0.0675942837316784,0.0635746369998955,0.0708985831341793,0.067284,0.0641894743705783,0.0672564851680587,0.0682960404097736,0.0458237593039926,0.039866355896793,0.0475299561463088,0.045466,0.0426043503710834,0.0469163022207012,0.0461264452740821,0.0539523557021936,0.0393172855949023,0.0556279055374244,0.043429,0.0397000593042923,0.0454089931103303,0.0500685837496472,0.0583953599507714,0.0622176303144259,0.058795983745487,0.060064,0.0620765760365237,0.0643832588114397,0.0619931856621634,0.0858932814862821,0.0603729238483234,0.0853036093911019,0.065155,0.0603368105000561,0.0610613663548099,0.0692942153154607,0.0563692662202059,0.0450746892301264,0.0591296932016425,0.049975,0.0470700071688375,0.0516031323032734,0.0550764207274607,0.0525219793528283,0.0375871591977436,0.0535148370555385,0.045421,0.0418936139298105,0.0413840598143097,0.0481244260902043,0.0536112911355944,0.0620139324140812,0.0527963127676291,0.055604,0.0589181492771715,0.0570684339887755,0.0582174096708795,0.0465137440510091,0.0651444818761099,0.0403531777372605,0.058024,0.0620244836511639,0.0567980587844022,0.0505063454239715,0.062807596378562,0.0671311892823566,0.0641508077311557,0.065196,0.0671337804664571,0.0704836809951375,0.0699743442953162,0.0697231550763631,0.0724919696020056,0.0723325826804655,0.067271,0.0688962693250959,0.067523594971413,0.0703122884790717,0.0669337575364795,0.1107039329363835,0.0581024888044868,0.093283,0.1105911628182138,0.1009978738973965,0.0861522803892882,6.70410793547343
GCA_002352805.1_T_circumcincta.14.0.ec.cg.pg,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Teladorsagia,Teladorsagia circumcincta,291.4375,0.0863896234343387,0.0841970263591175,0.085841668555628,0.089293,0.0826568713037668,0.0815179128263218,0.0814074738425887,0.0566130591533683,0.0517319161831922,0.0600746493020648,0.055316,0.0515943655990611,0.0536477107313508,0.0533327798135964,0.0699426479418186,0.0571558896397451,0.0683790137545227,0.062156,0.0603864594653323,0.0577229030025863,0.0622023570138878,0.0689212153773381,0.0779151396998865,0.0683256974593325,0.069609,0.0702206099840685,0.0701702088607213,0.0739326510625993,0.066256147043818,0.0634371514532349,0.0692746301817382,0.066888,0.063890928421543,0.0650135013561645,0.0663713408237238,0.0408902177658127,0.0404909412988668,0.0439845376255149,0.048569,0.0470920468971627,0.0490034585711673,0.041669945982816,0.0531978430996762,0.0417450067014705,0.0569129281093025,0.0462,0.0445289222665634,0.0467389418500508,0.0472057199345808,0.0562977104302386,0.061476697940196,0.0568689124254437,0.061825,0.0633021765156676,0.0655316506488086,0.0597458248899951,0.0852683835298777,0.0617685009013399,0.0858665422836072,0.066554,0.0625666016176924,0.0620107809886435,0.0715282997055678,0.0530141551229037,0.0473898631275403,0.0568829174157624,0.053387,0.0520146640791902,0.0529225696721558,0.0509984832982626,0.0507079685012282,0.0424501451204233,0.0521410656164618,0.048977,0.0478769560023314,0.0451476507774249,0.0473152707158365,0.05636884970448,0.0620796740804613,0.0546656408597052,0.055423,0.0593146434473538,0.0576646237673439,0.0592661077847073,0.047745601708192,0.0615348085941283,0.0404466283337284,0.053632,0.0557391397733044,0.0545172101261176,0.0516263822497752,0.0640518913225481,0.0678123213331708,0.0656553405408024,0.066201,0.0681059314281382,0.0706984062973728,0.0689036936199066,0.072659743505754,0.071919119967258,0.073927963953426,0.067018,0.0689898359736886,0.0680554094853139,0.0727224032212542,0.0716749423586067,0.1068957975999675,0.0607518635829588,0.088951,0.1017198472251348,0.0996370610384555,0.091771266040901,5.67482557456854
GCA_027920645.1_ASM2792064v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis nigoni,18,0.1012353607408666,0.1153146487354294,0.0978562861027228,0.1232,0.1290695129480411,0.111377929887682,0.1063622009208032,0.0562016032616489,0.0437949193049081,0.0588641441401204,0.047131,0.0446878882221606,0.0484470973191325,0.0505509053683125,0.0701159388049061,0.0406358856065765,0.0686242149204369,0.056635,0.0545485104479582,0.0488372327737447,0.0555241753472675,0.0745043061685488,0.094782495814115,0.0746811231698408,0.084155,0.0861191994680241,0.0806821697656507,0.0805798505652439,0.0724105099754383,0.057610514845579,0.0745211865258022,0.060795,0.0586753843748632,0.0620270129649563,0.0682402942059838,0.0457557079206777,0.0412445834074339,0.046426656143949,0.038367,0.0374526439421218,0.0446125634753168,0.0442596666412608,0.0475493909942278,0.0247707638513552,0.0480576438206818,0.032642,0.0288863887762858,0.0347255357053986,0.0388858204729583,0.0531654938469814,0.0626495860054494,0.0555385144599429,0.056828,0.0566369406919557,0.0651985601530751,0.059969144148612,0.0934897839115582,0.0538406951892688,0.0929448354032277,0.072271,0.065884503189705,0.0608576506745932,0.0696028100889515,0.0434247594023201,0.0237764530354322,0.0451022251420129,0.030749,0.0284546977250806,0.0327560651098139,0.0364493010102106,0.0470303142233331,0.0243562646627782,0.0482350613797484,0.038269,0.0336151710211178,0.031620113170604,0.0379346695385647,0.0467483897776854,0.0479545282905266,0.0476752144832767,0.047128,0.0472669074673275,0.0476776151691346,0.0487972099572591,0.0402102610704314,0.0673493316331094,0.0337521690406313,0.054856,0.0607957592696888,0.0550362450106338,0.0489169303822248,0.0710883332948573,0.0778875645719086,0.0738403003093069,0.072385,0.0710561522439205,0.0807670877414985,0.079984728685327,0.0658842738626657,0.0602294119018691,0.0702194170590758,0.060869,0.058171160461755,0.057671486457845,0.0608924531237112,0.0711855727438524,0.1638023531442599,0.0636610078992228,0.12372,0.1386791797499936,0.1377056346209195,0.1130498395433083,2.8903717578961645
GCA_013365325.1_Dcau_362YU_v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dipetalonema,Dipetalonema caudispina,692.475,0.1096608946608946,0.1196276497695852,0.1070457108289269,0.140527,0.1233328030618878,0.1198955555349061,0.1114406330718672,0.0511525974025974,0.040442396313364,0.0540225467687944,0.044927,0.0390294378490244,0.0414181774254996,0.0446434769265617,0.0611399711399711,0.045152995391705,0.0604918487817664,0.047765,0.0488279460511236,0.0484077794400512,0.0561491416191412,0.0919678932178932,0.1124258064516129,0.0907564965184228,0.114439,0.113464629840531,0.1154194969196316,0.1046314935717339,0.0651966089466089,0.0546082949308755,0.068529086235098,0.060247,0.0541144118211289,0.0553630002694741,0.0595496012246404,0.0292712842712842,0.0216682027649769,0.0301160191155709,0.02299,0.0194424755211619,0.0215718706152373,0.0227683741729475,0.0388600288600288,0.0198718894009216,0.0420512834370967,0.021142,0.0184117056691855,0.0209780982558517,0.0310599058137538,0.0447240259740259,0.0528248847926267,0.0450715328320623,0.047797,0.049737191309451,0.0492069096889896,0.0424788007876863,0.0782575757575757,0.0538193548387096,0.0783794963535801,0.057792,0.0545739804071998,0.05788026055363,0.0686448944697548,0.0424007936507936,0.0258774193548387,0.0465688214213605,0.026452,0.0242690483800531,0.0247572409563544,0.0339835886494247,0.0425450937950937,0.0224562211981566,0.0452980467110802,0.022981,0.0222222006005526,0.025519202356505,0.039049113487485,0.054556277056277,0.0518875576036866,0.0562160735869954,0.045002,0.0517572174078872,0.0512985866545248,0.0578744889720254,0.0651461038961039,0.0895299539170507,0.0574669668064033,0.089091,0.092633589079846,0.0920170605015936,0.0771419333389353,0.0538924963924963,0.061036866359447,0.0546340473812602,0.057808,0.0589648225706878,0.0593149781168402,0.0545818064907403,0.0756746031746031,0.0665824884792626,0.0800782056780765,0.060339,0.0633608215023611,0.0645641487869017,0.0737177262314906,0.0955537518037518,0.1621880184331797,0.0832738175435047,0.140701,0.1658577189279176,0.1523876339240082,0.1222850211718113,6.540272136326801
GCA_001447665.1_T11_ISS1029_r1.0,Nematoda,Enoplea,Rhabditida,Trichinellidae,Trichinella,Trichinella zimbabwensis,60,0.1036402591132212,0.1227713629097421,0.0983960020010315,0.134983,0.1273907418754808,0.1259602430483564,0.1067927231452291,0.0537170408519084,0.0465735743193846,0.0550467720521568,0.049519,0.039731962258763,0.0444462285949726,0.0462650231338092,0.0603692229285695,0.0401040992580829,0.0588455305422348,0.045598,0.0425554408696824,0.0443994681662942,0.0548956469680348,0.0772561760682385,0.1108030963932545,0.0745486823586675,0.104372,0.1146920907399915,0.1078710153277156,0.0893610431496586,0.0701949384404924,0.0650025709998216,0.0712296691751131,0.068985,0.0590087323211891,0.0593883912383308,0.0620122780486623,0.0354620986561519,0.0206921761152367,0.0359917294017925,0.023408,0.0149010660828593,0.019173540302637,0.0261505479788629,0.0445417907244977,0.0222199096827001,0.0507848508605557,0.025926,0.0176409471202278,0.0238857563322884,0.0360494651712455,0.0486055229205225,0.047057167142972,0.0470118768834556,0.045653,0.0413134374826483,0.0440342074592588,0.0452320475064971,0.0760038625573348,0.048035721156705,0.0768724516825545,0.052957,0.0480062009693104,0.0505639043016947,0.065335275858131,0.0526089026581905,0.0336241303199583,0.057330187175435,0.037979,0.0304636622603494,0.034667123095505,0.045623955345,0.0408133499637885,0.0201071424823615,0.0463214462255355,0.023562,0.0176617690510752,0.0217365411575588,0.0363609151091285,0.0549358252192806,0.0517925290592939,0.0587887854430416,0.050075,0.0556013720660907,0.056277499322856,0.0620970616428638,0.0502165982672138,0.084160017629713,0.039922765319044,0.077544,0.0899636929974855,0.0866576616080117,0.0630590958954358,0.0551688527668249,0.0540014901305088,0.0562215489705892,0.053066,0.0477686698355662,0.0482558801239063,0.0515899519328929,0.078580577237735,0.071248176688902,0.0843659679319258,0.069486,0.0738742276055176,0.0732206554047556,0.0825091445162317,0.0978849816260293,0.1618068357113624,0.0883217339768662,0.136886,0.1794259864637619,0.1594618845158575,0.1266658245983161,4.0943445622221
GCA_036852015.1_ASM3685201v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Pelodera,Pelodera strongyloides,15.5,0.0841168036129785,0.0906286229423655,0.0800592588690227,0.104474,0.0914861967760086,0.0901409598369682,0.0832125872504668,0.0586266029431163,0.05362062958742,0.0626076453502601,0.057615,0.0510863440028408,0.0535715415870283,0.0537765197558866,0.0688962103845034,0.0509177300525345,0.0677123994169313,0.05513,0.0526410167241669,0.0489759882536106,0.056892551911678003,0.0671165717916355,0.0902518861443921,0.0634762230295508,0.084258,0.0879033249237943,0.084751132868372,0.0786973364327873,0.0655320690093891,0.0577623723789334,0.0685564509639133,0.064588,0.0571902325561967,0.0599728016657595,0.0616584324364967,0.0511084104314921,0.0367686454206008,0.0536585107856907,0.039452,0.035135845563971,0.0392354562484968,0.0422812315943808,0.0519467138739219,0.0344035099114845,0.0590165114278294,0.039148,0.0354959275503707,0.0399351923344683,0.0451435011716938,0.056121839677979,0.0571431383316897,0.056620676452507,0.055122,0.0559085880601707,0.0594783584167689,0.056717502725598,0.0843423806100569,0.0529399838991274,0.0890091712179148,0.058159,0.0521612468861638,0.0528832765844335,0.0653379898244339,0.0507852655291029,0.0384216420921686,0.0556893056522312,0.043145,0.040296312228218,0.0433618818272723,0.047031447762503203,0.0533165672644847,0.034570029938175,0.0570773395545017,0.039377,0.0363755277265269,0.0361675347771603,0.0473000914798431,0.0532150966429615,0.064804634216913,0.0533819825328307,0.057732,0.0660249789978004,0.0611614432363327,0.0612629074299176,0.0495192243897908,0.0838103561284684,0.0347394775114552,0.074256,0.0822792062084416,0.0744069845448907,0.0623899578942092,0.0618322940400059,0.0575911283798546,0.0653316534574691,0.058097,0.0572120919356793,0.0624327557181372,0.0627149932956553,0.0680399544474963,0.070498989266741,0.0736827755824671,0.064759,0.0703455938376446,0.0685064965887371,0.0719127119387461,0.0754839953510844,0.1258667013091308,0.0593806181954242,0.104686,0.1284575660220049,0.1250181955115628,0.1036702370957029,2.740840023925201
