"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.739179770475608,0.5787348326674,1.46751672143156,2.15786859976887,6.84953158117317,4.66079102078103,1,0.0750002254489905,10
"Fold_2",0.678358599553144,0.634773918005703,1.74535056958807,2.00874312105604,5.39673368645296,8.47383602834324,1,0.153045782984475,8
"Fold_3",0.684706712081981,0.69516500190215,1.80138101674943,1.50815136305598,6.44424048917359,5.33451328658667,1,0.110228525103587,7
"Fold_4",0.687905900607938,0.629168956755968,1.71939608094267,1.99744740619999,5.68121556407141,7.42456761668013,1,0.162524636285986,8
"Fold_5",0.716923017951685,0.56527591581305,1.57896222368668,2.12391115160121,5.7826753049968,7.05730364257876,1,0.105711501195915,9
"Fold_6",0.6739940757659,0.673682015071336,1.83117253704534,1.67608550750454,6.54903402832667,5.22487841264981,1,0.147846879710667,8
"Fold_7",0.66795519175936,0.680966378756069,1.71740538920261,1.95815804954665,5.35100493738443,8.15313120467028,1,0.131472216539284,8
"Fold_8",0.684063830117629,0.648870719634492,1.69250024763617,2.05629334149747,6.05431523157368,6.29571512735021,1,0.155285243836443,10
"Fold_9",0.668652682701081,0.621185562847182,1.8788969635152,1.96953848026598,6.28081280579856,6.33681920316466,1,0.23250491000802,6
"Fold_10",0.731789780013765,0.692838713753763,1.4048591417776,2.04093494923671,5.72531721221627,6.89632535638248,1,0.0508303308714931,12
"Fold_11",0.662077208706263,0.66618763995812,1.92171868994679,1.63041027482504,7.03298703141002,4.28027777389201,1,0.171059561228773,8
"Fold_12",0.714071128642417,0.718481392354583,1.50724915819736,1.72398829308051,5.05353220843324,8.20902274089022,1,0.049376105523989,14
"Fold_13",0.654384426699879,0.703303613886145,1.87431731723332,1.93040553182944,5.05667415207536,8.96675429509696,1,0.190746191436856,8
"Fold_14",0.726117816412107,0.655684889037633,1.49102670770869,1.89645276933269,5.20844801137071,8.06278610000241,1,0.0606678932611208,12
"Fold_15",0.671174177709691,0.676088963029176,1.8485551699169,1.76346595440986,5.68562842898384,7.290474968319,1,0.178455344155993,7
"Fold_16",0.696639094129411,0.66533347971372,1.72930973712733,1.62848163619895,6.56205185973478,4.95984565868527,1,0.0822340501655241,9
"Fold_17",0.697584934479078,0.558659370736691,1.80766445125987,1.89341312004442,7.02861559214156,4.26263979648078,1,0.200119473726849,6
"Fold_18",0.708511806131018,0.610228033143902,1.63314222235176,1.97544430208535,5.65679521818801,7.29296078156007,1,0.130376450881864,7
"Fold_19",0.687843452605162,0.695853283960547,1.77105697620781,1.47664072465665,6.87473921724317,4.34972430571811,1,0.0934261089561997,12
"Fold_20",0.708032317545614,0.600591422686383,1.64208656339029,1.95809857533916,6.70996784587582,4.83437844184912,1,0.10915839482729,6
"Fold_21",0.744033260098113,0.616584410550646,1.39074886209901,2.13271529675535,5.2582353710252,8.69875307415389,1,0.0514479695862864,16
"Fold_22",0.699913334084167,0.659395600633196,1.6227470383184,1.84023215380806,5.74527382912905,7.11019671047107,1,0.084438772486512,11
"Fold_23",0.705977035445096,0.673494514987824,1.70160268413448,1.49545786520284,6.86757081798131,4.44956855008356,1,0.0767935225658267,12
"Fold_24",0.715688831585511,0.56401492207631,1.57224416306764,2.18189858874431,6.36826203442032,5.57516306960119,1,0.097739040401435,10
"Fold_25",0.744014031073153,0.658251805909919,1.45289853961562,1.78688529434521,5.5769719058453,7.18752589089199,1,0.0502405833129335,19
"Fold_26",0.753183247243874,0.543188664450085,1.46148831520739,2.06713421140434,6.55201238623726,5.17639800059841,1,0.0845017611531289,8
"Fold_27",0.711619470419003,0.722158114082569,1.672403914461,1.31989866614635,7.05056901940783,3.85106733855642,1,0.0609963554765003,14
"Fold_28",0.681742902754109,0.754032035670418,1.70010646292895,1.50594838308142,5.90274083692734,6.49536502159984,1,0.0724396432209266,13
"Fold_29",0.655766146430739,0.711870749537703,1.7722546419907,1.86052000737776,6.17354203763701,6.14673710671238,1,0.124264130887474,8
"Fold_30",0.686482124751922,0.660015934335247,1.71827972045711,1.78982877587601,5.83880226690469,6.90707477700118,1,0.119596540010797,8
"Fold_31",0.741380378328228,0.612466876329234,1.49035426175477,1.83564628392458,5.90630420664226,6.51403999909524,1,0.0603179467389749,15
"Fold_32",0.685304546497142,0.633530690363575,1.68581066042808,2.0015368194928,6.19040021486672,6.21149313496986,1,0.132862926811649,8
"Fold_33",0.700868830153453,0.627215116163182,1.65038713458466,1.89661098991203,6.47686618264986,5.3415749181655,1,0.0897026291121993,8
"Fold_34",0.688657852758936,0.642788839167717,1.68398760954043,1.9794158803155,6.22707430524425,6.04723451943702,1,0.132911589616134,8
"Fold_35",0.738316697600003,0.65305871746965,1.46928515703984,1.81487616993601,6.44936447773686,5.20350574646442,1,0.0617322010880903,16
"Fold_36",0.731765081895302,0.720462190294639,1.50652289130754,1.55434748493414,5.83734081357879,6.53414704999882,1,0.0500524856855805,15
"Fold_37",0.737063718993882,0.572907250152324,1.4325789211955,2.27746934825774,4.85289931619508,8.81187023314426,1,0.0732708763391636,13
"Fold_38",0.711445171369537,0.702199951813701,1.62069169615037,1.65588944775608,6.89768882753514,4.22151524341908,1,0.0654318376329545,12
"Fold_39",0.689214822652896,0.646706496107324,1.67902821986872,1.98144438568351,5.97843274106904,6.58452280475944,1,0.140124869994883,7
"Fold_40",0.716984585355007,0.711874500750716,1.58697022367826,1.52263897540895,5.70854760690355,6.8088058868888,1,0.0571096254578009,16
"Fold_41",0.741057109904367,0.686890065094958,1.41743813860734,1.85876831650793,4.92372012640432,8.68497308100232,1,0.0558362903679582,17
"Fold_42",0.697409021450184,0.647233665845692,1.66403247560199,1.86044860814132,6.44379944502845,5.30465126885392,1,0.101573209008339,10
"Fold_43",0.710666524432143,0.670224687098776,1.61325184236119,1.71345003322553,6.28848755715097,5.48031066755019,1,0.0789649562710449,12
"Fold_44",0.697518640568489,0.618669792943908,1.76003199219854,2.01557309471516,6.90334223053549,4.37285939129754,1,0.214173721302148,9
"Fold_45",0.659696987367737,0.727160478513248,1.91811546508704,1.36681594457917,7.06906308640913,3.97187009968853,1,0.137011623531565,8
"Fold_46",0.715111170127131,0.671867726048477,1.5400548560982,1.88903911527956,5.84896874584437,6.45717106687115,1,0.0649597493443962,14
"Fold_47",0.714206904223478,0.597135171549383,1.70524138735022,1.83387391973323,6.99090723533747,4.09948801079905,1,0.153010368772061,7
"Fold_48",0.699037176894383,0.604660088173853,1.58284569276648,2.29476152505985,5.0299939218934,8.93790632460817,1,0.129321240204479,8
"Fold_49",0.688625008076938,0.637093202681991,1.76071287255349,1.91752729046758,5.06353972541406,8.89466097238616,1,0.171546112714545,7
"Fold_50",0.700389098325606,0.612873725857804,1.78094896230314,1.90389947701075,6.49595365198223,5.32896960387449,1,0.211990347887756,8
"Fold_51",0.747195255838879,0.55163772907777,1.49679386827998,2.07342402483474,6.85006311174687,4.39962365545314,1,0.087805264002557,10
"Fold_52",0.725789358379756,0.650421684794972,1.56319360366074,1.7216392853074,6.26486428682986,5.53352980864447,1,0.0670816803918868,15
"Fold_53",0.755051527067348,0.691565447230173,1.36338457330791,1.72264619591524,5.56980425073155,7.25114120725963,1,0.0478151754153858,17
"Fold_54",0.679023487909681,0.643701617450522,1.73686895627173,1.89582439011481,5.49651938720047,7.93731700534744,1,0.122127753298511,9
"Fold_55",0.677831882599705,0.724569513144245,1.74205055190035,1.53441317148763,6.6232713870347,4.98065884589678,1,0.089319791391735,8
"Fold_56",0.746305737132399,0.696931873964423,1.38199082299842,1.76442895756812,5.34614899958778,7.68813632262979,1,0.0430596311373706,19
"Fold_57",0.660228900919522,0.701986273845389,1.83631940204996,1.77656403908941,6.33624782841736,5.76209834884139,1,0.178563072241893,6
"Fold_58",0.775710491010784,0.601635305646563,1.26958369650571,2.07829554825713,5.06403954441538,8.16182869721978,1,0.0418261513459693,23
"Fold_59",0.65578471723952,0.673809071989738,1.94639842574185,1.69637979363392,6.58993725481448,5.49565511918216,1,0.191685591393552,7
"Fold_60",0.698480427036094,0.687166057766944,1.69168791676707,1.57197070428049,6.65357672362652,4.80312725264357,1,0.0749144384263614,12
"Fold_61",0.715600473841667,0.674433982790406,1.59250188562569,1.66202610320169,6.54041097797935,5.13062510630302,1,0.0635449079965096,11
"Fold_62",0.663757340428672,0.71071785114376,1.8259705356988,1.59783022926885,6.76571137661249,4.54307286231441,1,0.110203813098903,9
"Fold_63",0.764875402018745,0.629893253375243,1.29742024362651,2.0648618590118,6.21926834673888,5.62569108251718,1,0.0486723742362636,19
"Fold_64",0.71454720445019,0.672116660900692,1.53998388983089,1.84271406969545,5.73078540724081,7.01089507851985,1,0.0665040727746815,14
"Fold_65",0.678473231887711,0.655008749056293,1.76958900126381,1.81384057231747,6.16766858369666,6.22021335089852,1,0.140666213789139,7
"Fold_66",0.702844320641737,0.702977591230995,1.63030754719428,1.61570105061065,4.89061309218946,8.9900446154671,1,0.0685231230528291,10
"Fold_67",0.672532945483386,0.689345628077766,1.86644882509587,1.5571623582342,6.72007300121989,4.85228451434304,1,0.141618341546852,7
