"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.816331137588753,0.705529056917682,1.11721817313073,1.60354748632304,6.10565386707536,4.00541107187171,1,0.11174442068669,13
"Fold_2",0.75390670486636,0.73834802520354,1.43991272383715,1.562821715604,5.04048914143123,7.46967723222818,1,0.186391593765314,15
"Fold_3",0.797714073700349,0.77054126579813,1.2714700245211,1.20236891732106,5.73415801261002,4.90344465556557,1,0.119889473513131,17
"Fold_4",0.792123979030484,0.815247045945768,1.21467086285055,1.22248008090464,5.09422401158542,6.28384915197419,1,0.0956560313643495,18
"Fold_5",0.812651933904428,0.735416034717401,1.12804056799625,1.50775993494894,5.21550155194985,5.97881596118474,1,0.101231811430266,22
"Fold_6",0.793392039490139,0.753890615099688,1.27829612568747,1.29496466567674,5.89108278888936,4.805903611039,1,0.129706937275091,16
"Fold_7",0.78421965746417,0.791959020385166,1.22247739042737,1.4183154161295,4.81540273148056,7.23679012573664,1,0.112392650577041,24
"Fold_8",0.782094322405073,0.742595599499361,1.25727156309188,1.60274145968906,5.54802062490075,5.69291931575254,1,0.143814967522283,12
"Fold_9",0.784736553565585,0.720598309135204,1.27566876405612,1.54020555026876,5.64171938917136,5.484349512991,1,0.137301268605905,16
"Fold_10",0.808689039275858,0.801494667790548,1.07962778036816,1.52723638852126,5.13979952597301,6.15235510719906,1,0.0884416988235598,19
"Fold_11",0.766159896559747,0.7318908440736,1.45713545079272,1.34672880384902,6.3253957263994,4.01799061019403,1,0.184913654010149,13
"Fold_12",0.804736290849129,0.795005097177398,1.11827032584108,1.3762269138214,4.46912577734895,7.57626008991107,1,0.0884392557264591,25
"Fold_13",0.761455216137572,0.761236580850802,1.39367328631297,1.51410302026021,4.536471015257,8.38585817647072,1,0.162878662351833,16
"Fold_14",0.793458886318721,0.67299944556892,1.2044525664577,1.81361401965957,4.66564316055371,7.70323867208248,1,0.128071733582744,16
"Fold_15",0.787980641946413,0.793175966636896,1.28446678759827,1.21097450386485,5.0424151231141,6.73920016304592,1,0.119301869916947,22
"Fold_16",0.791604293009615,0.759177889891818,1.28875986889839,1.26306449559514,5.92287970297506,4.53018876342973,1,0.113612485962806,21
"Fold_17",0.771665729179848,0.722324191566084,1.42948466091162,1.36177524202528,6.50284616698219,3.52332260015622,1,0.165007802906231,13
