"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.687243880094091,0.568136027268575,1.69653885284038,2.11953718979037,6.72127769024241,4.50090596504451,1,0.0701787528911344,14
"Fold_2",0.598850622014762,0.656487372095468,2.05970174820074,2.0122366003363,5.4684011940242,7.71434561696652,1,0.195266769816114,6
"Fold_3",0.685640141297419,0.67406207072194,1.78256716738047,1.53319420186522,6.0830402770738,5.5167987021214,1,0.0625104708541385,17
"Fold_4",0.634133446444046,0.608921986933677,1.93505980099571,2.09257633653548,5.68943020553962,7.00582067688033,1,0.173681118168412,7
"Fold_5",0.738494420235603,0.583563971053767,1.4675892340315,2.06836916273808,5.54953856382275,6.49350768620712,1,0.0469662362760424,19
"Fold_6",0.652035409988996,0.640925145262969,1.90220196380069,1.75844606864217,6.33667117861189,5.3408706160911,1,0.107684978034372,7
"Fold_7",0.695690216640453,0.676270851773634,1.57582301031934,1.95870144347198,5.189849057393,7.79122712214706,1,0.0533956146507074,14
"Fold_8",0.667710338076638,0.566370131415125,1.71861029886141,2.33374392123997,6.01245207192141,6.26300962041799,1,0.108790748884067,9
"Fold_9",0.653659349637009,0.533892126585061,1.8980676535565,2.27450582083766,6.15298253117176,6.0136683842839,1,0.22903231991976,6
"Fold_10",0.670852038267657,0.677855486375296,1.66987338830178,2.16394096430115,5.7624231089509,6.61688185177971,1,0.0805847820556106,11
"Fold_11",0.67960500699871,0.61633421729047,1.80460549366558,1.79986332131295,6.59566454643714,4.82066872672893,1,0.0948444486254436,11
"Fold_12",0.662626394612503,0.714820533606526,1.73269608677887,1.84523048523787,5.04557429255836,7.92500241392156,1,0.0725818904269332,11
"Fold_13",0.693658830579356,0.655232946093807,1.64042906997823,1.87865610478399,4.72335966126176,9.03742734907878,1,0.0614665759403336,13
"Fold_14",0.701550805620677,0.543769820373294,1.61322605546659,2.32852726976327,5.05456337657489,8.20958987384727,1,0.0983216680405438,8
"Fold_15",0.659003788710623,0.699930775549515,1.84042182257444,1.63002358365125,5.57024581681186,6.93928267930297,1,0.0744494682588922,14
"Fold_16",0.755229641510842,0.599347032053765,1.45146932888623,1.87785537791319,6.05417296080486,4.96696738720677,1,0.0427743716500073,18
"Fold_17",0.72150049324564,0.53583764751582,1.62152851865364,1.99010220629397,6.65944148440303,4.14022849488233,1,0.065082477607725,15
"Fold_18",0.748871756462096,0.531913979549618,1.41584958141774,2.30897274401725,5.3561713358985,7.62185538514392,1,0.046278273777784,18
"Fold_19",0.642792931638183,0.592204770265083,1.96770859409362,1.85992108457661,6.70445165576618,4.61542656990916,1,0.131424079364723,10
"Fold_20",0.752209971621843,0.617991458054143,1.42311219113982,1.87144735045914,6.37100221677026,4.45761237518842,1,0.0376170686883733,20
"Fold_21",0.752796277779616,0.622633572111364,1.34882229810428,2.08360388950969,5.10112563239848,7.81826930786977,1,0.0342886298423699,20
"Fold_22",0.711247897823144,0.604348651448277,1.56932446913755,2.06476532009272,5.50200461483073,7.0717076732281,1,0.0621489770927001,13
"Fold_23",0.674203271009793,0.605024195199268,1.85042508808125,1.7423933008222,6.81562098726119,4.1330535688229,1,0.0926020688422115,10
"Fold_24",0.69600587743083,0.553762566626982,1.66480860129976,2.20639650858032,6.21555279153825,5.42184982421918,1,0.0981307789605097,10
"Fold_25",0.667550215947808,0.63631573533065,1.79673899194393,1.87747568186056,5.51665742925729,7.3366259139156,1,0.0863197628650104,10
"Fold_26",0.71276498459368,0.566237227310726,1.65534464664555,1.9555479606405,6.64109364362648,4.47829079445669,1,0.0685152685748537,18
"Fold_27",0.62687440921504,0.647980903126138,2.06670566958081,1.61899881016739,6.99591550573179,3.71818098427362,1,0.137645427761529,6
"Fold_28",0.614055018735866,0.629410684078267,1.9945622209086,2.00752388361957,5.77545411950752,6.89810025192258,1,0.162786642435527,7
"Fold_29",0.801087187978254,0.7032808126521,1.10530907421562,1.84683510518461,5.42648357708436,6.0265466494039,1,0.0137284699166723,34
"Fold_30",0.716028877721415,0.628650115046178,1.57304390856425,1.93948339433424,5.4590782736318,6.99112431146204,1,0.0603803430432808,15
"Fold_31",0.686590466434959,0.631414207749988,1.75295756184013,1.76795780549096,6.07619387919635,5.88420517995606,1,0.0798254888676201,11
"Fold_32",0.771238236528051,0.706346623669241,1.2681352770303,1.6842849079345,5.79023366471374,5.38599456320987,1,0.0168249186414093,34
"Fold_33",0.734454589700714,0.61707427038553,1.48519845170206,1.92460005584314,6.23356357258611,5.01815468996149,1,0.0372176807005362,18
"Fold_34",0.612723230439584,0.568493115207942,2.08583760543707,2.36368829577893,6.27878199498608,5.98412831468804,1,0.329730047844803,4
"Fold_35",0.649697643815169,0.669163613209777,1.86382028649284,1.79682869308949,6.49405913775021,4.6794499456611,1,0.100342278725238,9
"Fold_36",0.70224401019358,0.649860981381609,1.63858124084825,1.82230680368043,5.7066972631302,6.47880246010635,1,0.0584446710054404,16
"Fold_37",0.757866761186216,0.615535759287072,1.32370433695026,2.1271377083911,4.66571281556308,8.41016164212926,1,0.0285700911468574,24
"Fold_38",0.658769571583537,0.637547801965848,1.86514118127267,1.89744939812717,6.62487750600501,4.79894505140983,1,0.107074699378134,9
"Fold_39",0.63507891691677,0.588151919133111,1.90083567849392,2.26511213441253,6.00143111770116,6.314632302623,1,0.18578789883563,6
"Fold_40",0.712359317514425,0.668785669236425,1.61426439777763,1.67470230173116,5.46249855465246,6.83081173308374,1,0.0547033755862626,15
"Fold_41",0.704549327540489,0.661132390796896,1.58762504309989,1.90711550228489,4.78275339953278,8.58985561490577,1,0.0606392315825924,16
"Fold_42",0.704481773679082,0.587601020987015,1.61794345405357,2.08174402234105,6.33367828998527,5.3019492537606,1,0.0624161506894681,12
"Fold_43",0.638229491526063,0.618827256410599,1.94224745709558,1.9791274648631,6.19335240279398,5.57400306328676,1,0.152039985755416,8
"Fold_44",0.618520636333085,0.561384117040954,2.18117841267561,2.18275389932526,6.98909852966261,4.31949633631294,1,0.400608766695104,3
"Fold_45",0.626219939000842,0.681485936031622,2.05141069933257,1.54944757300067,6.88355579938431,4.09084144250015,1,0.134188457560303,11
"Fold_46",0.666637121768696,0.584125549295048,1.75831513922374,2.19344081346352,5.8215224132114,6.50882931533713,1,0.117006626571293,10
"Fold_47",0.731602274369673,0.575544469339218,1.57798617711961,1.93293998829529,6.61118166037886,4.09331634392471,1,0.0491022010686543,19
"Fold_48",0.754966781283141,0.593982660756936,1.30900207081376,2.33671098196777,4.58544678956403,8.59506206874716,1,0.0325186434500837,23
"Fold_49",0.608747168796685,0.610459017295314,2.1495706472798,2.05461254382742,5.05529402015872,8.92886623873733,1,0.317161273840753,5
"Fold_50",0.623669131144489,0.582860584467467,2.11501403534641,1.99253810991088,6.49676946141254,5.30766017781982,1,0.2991258448284,4
"Fold_51",0.741512587303663,0.520728304908459,1.52247867141271,2.22913504480707,6.46229082404772,5.00477247984629,1,0.0725036529538748,13
"Fold_52",0.673874298711651,0.526159544891981,1.81358638168984,2.17698277608692,6.13066044693968,5.97626448365321,1,0.148419274759626,8
"Fold_53",0.7129685890458,0.662658981263032,1.55931195016766,1.85160689201063,5.54007026168682,6.97405471782152,1,0.0470323927792652,20
"Fold_54",0.656291662719706,0.590375504545215,1.83873112965796,2.10798550528785,5.37003373657783,7.77368339874751,1,0.137693274935724,10
"Fold_55",0.689803571052447,0.718665440745118,1.69837573501698,1.58597886480173,6.35134689240717,4.7753185476201,1,0.0629067127142684,12
"Fold_56",0.734149197690843,0.659593384827207,1.4422691732184,1.94292311764302,5.06435407463061,7.76167540366948,1,0.0449418756162025,19
"Fold_57",0.645406376633196,0.68325362374162,1.85339001401935,1.87434714026517,6.17527693119873,5.463134143558,1,0.117994366670405,10
"Fold_58",0.765475939637465,0.589985174436912,1.31937104936819,2.17583131502371,4.83038089609866,8.34057354445142,1,0.0356993932830029,23
"Fold_59",0.675307399919928,0.643718217691485,1.79882792868814,1.7295913136656,6.15236531552591,5.40312489307264,1,0.0736764635566433,12
"Fold_60",0.735710783212753,0.642874656933363,1.52668349443777,1.75382109360411,6.29324306566742,5.17844733615931,1,0.0495050373532965,17
"Fold_61",0.677766878462754,0.566571052280396,1.76042612057259,2.08081039551675,6.51226962782421,4.74653665522956,1,0.0745508771547632,12
"Fold_62",0.634925840671758,0.604941472766891,1.971600081027,1.97672093541051,6.60752951818062,4.72485390243707,1,0.181329714890619,8
"Fold_63",0.716834736250033,0.554967193693654,1.50890832197776,2.38426590106069,6.24125074199635,5.28611285522243,1,0.0605025859358448,18
"Fold_64",0.754365730646591,0.582442880843836,1.36206211722783,2.20671667985907,5.34908009256423,7.38702533407711,1,0.045897332469848,17
"Fold_65",0.719168933821744,0.682085982552896,1.56543585870949,1.67745975085377,5.79869251111529,5.8745347420639,1,0.0483701026018784,22
"Fold_66",0.695548211206791,0.669148394322825,1.67275286790105,1.78787728134163,4.59376494714152,9.09275060613888,1,0.0661313607563415,20
"Fold_67",0.726248107632398,0.670903830315246,1.59053753947593,1.56752832732717,6.34490795032766,4.81797400297431,1,0.0469795078053383,18
"Fold_68",0.754124135332146,0.534399561509863,1.43705479783141,2.08184610554167,6.47430134126736,4.67127074324468,1,0.0479724336023828,21
"Fold_69",0.76251180599377,0.60819850447236,1.39901615415694,1.815625671915,5.97006873628083,5.24093908440708,1,0.0353941913074029,21
"Fold_70",0.714036632506121,0.650307949583745,1.53215051568542,1.94632237338169,5.3603662895845,7.26371642301365,1,0.0500389734211164,18
"Fold_71",0.641975963943119,0.530489266104027,1.9665404455825,2.18218580669964,6.80082381216758,4.38275141586284,1,0.225192467475416,6
"Fold_72",0.645509176158539,0.577246331080142,1.87598423764189,2.27217518328676,5.98574528790551,6.29575083947322,1,0.18754777929234,8
"Fold_73",0.657361738434519,0.561273740584863,1.84376107438199,2.15125190983913,6.48908959469892,4.95479992625824,1,0.144137295332,8
"Fold_74",0.653745953999586,0.534325802351773,1.86548411294325,2.2326949766368,6.47228518202124,5.10625819620846,1,0.162409513957743,8
"Fold_75",0.624753440765331,0.581574252808516,1.94652520119651,2.29204537538701,6.3009297738197,5.63307054032285,1,0.20063924170116,6
"Fold_76",0.700898015201385,0.634859013707177,1.64145835698024,1.87532816602992,5.17203760863432,7.7462926069688,1,0.0602087115999613,15
"Fold_77",0.710954548276196,0.645774051289167,1.65354442712406,1.70430929086655,6.08778938224676,5.82756499124752,1,0.062129665405337,14
"Fold_78",0.724625773640436,0.664114730087819,1.58784261230195,1.61737126692377,6.35077190046948,4.54700374885206,1,0.0474283335919064,18
