"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.773966878341208,0.694221291904236,1.28852161918347,1.69653199526267,6.19753248654986,3.99687097602642,1,0.0322919653971517,19
"Fold_2",0.75729964887179,0.801544693214757,1.34406925445785,1.27149546857853,4.83933580715721,7.15131381242119,1,0.0263992411644168,22
"Fold_3",0.757698759378981,0.718771725738876,1.42693387745382,1.38263036376064,5.89114259614971,4.74102737407413,1,0.0382418359108088,19
"Fold_4",0.746027235147681,0.758173005137073,1.40951768680145,1.40114030451237,5.1057665571652,6.62977947093467,1,0.0423532763781805,14
"Fold_5",0.761018516374885,0.681771667345313,1.36483480639847,1.67203796021217,5.2849845554865,6.22936687665972,1,0.0568477889554998,12
"Fold_6",0.712142018396965,0.705376588170965,1.66859813428109,1.54527529170947,6.16486207753004,4.66989448486475,1,0.123487113050028,8
"Fold_7",0.752795212317721,0.717553136735722,1.32912503100543,1.76707329780477,4.73406372592725,7.53418927455391,1,0.0510421401151361,15
"Fold_8",0.707002249792666,0.691936020267625,1.59645088120859,1.88462771038884,5.7655892734883,5.89701364916123,1,0.135940651038555,7
"Fold_9",0.734084657810528,0.702478317058026,1.48619461547881,1.63680068841231,5.67336093567509,5.59822706301468,1,0.067991766825922,13
"Fold_10",0.749597921165707,0.754264393169683,1.32206941740561,1.75961225793197,5.29929469065424,6.2329786527028,1,0.0457519776684908,13
"Fold_11",0.730130871473777,0.727889511775952,1.57280992137345,1.37468318496852,6.33735449661696,3.94317153423245,1,0.0785687957594182,12
"Fold_12",0.729425956910094,0.724483009357434,1.45889183836636,1.74230977933459,4.73861172529034,7.83688130217494,1,0.0802666599632576,13
"Fold_13",0.719244602958896,0.756382143864511,1.54007676519488,1.48033677310061,4.51050908587447,8.38928457716075,1,0.0789788973205848,12
"Fold_14",0.725598828173911,0.64936057794047,1.51560939091994,1.95683984931189,4.90446369791824,7.80884777811855,1,0.101494658626863,10
"Fold_15",0.712518175278514,0.751683598734297,1.62507755677764,1.44245826578452,5.27420982893926,6.77708945408572,1,0.0945446916508239,9
"Fold_16",0.738058146566135,0.704854383595935,1.5312043494692,1.43545214993975,5.96867275403335,4.72308717808412,1,0.0618593751118467,11
"Fold_17",0.708216296099956,0.589196677568609,1.7265965151466,1.80694496320345,6.7924396226691,3.49066804392649,1,0.150217872311772,7
"Fold_18",0.752792841034747,0.682318605427004,1.40020975600454,1.67053107341759,5.22651410677886,6.41932851753088,1,0.0541192893095765,15
"Fold_19",0.735391189568144,0.687052075977969,1.55506107703955,1.52120525784114,6.35257841293776,4.00024349991109,1,0.0897914817919164,8
"Fold_20",0.74799093323353,0.678615538146278,1.46370414474714,1.63625369953371,6.17632478338165,4.26735384063449,1,0.0849331153606355,14
"Fold_21",0.777202326076472,0.664186589937231,1.23587119340145,1.90791752231953,4.76828215744992,7.54031881298355,1,0.0466062018087895,16
"Fold_22",0.749001316338768,0.68659740939125,1.40486184987969,1.76711757722302,5.17433612314468,6.63476210718524,1,0.0714487872680385,9
"Fold_23",0.73071469390987,0.705043967956728,1.59889974673852,1.38134396108746,6.44792349050578,3.72064539466535,1,0.0887066785138641,12
"Fold_24",0.770427973516321,0.667935005438752,1.30746636145265,1.78623879404256,5.73578523224601,5.18798627134893,1,0.0472430020961334,13
"Fold_25",0.769174529566406,0.72097883764952,1.31900444823701,1.50622232772298,4.97676379589373,6.79729165252431,1,0.0313006500852109,20
"Fold_26",0.744363875260203,0.656348860696438,1.51839160247618,1.6047086679192,6.32740548314589,4.14917735304277,1,0.0909070648678282,9
