"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.802196732898337,0.728784101319592,1.18223778181946,1.50498225580942,6.14189806101578,3.77929242106977,1,0.106665464307051,15
"Fold_2",0.768867786939331,0.758472891835688,1.33066122871219,1.45188378451092,4.89591714039089,7.35105562670765,1,0.128472495533583,14
"Fold_3",0.791638798968046,0.770617371688984,1.2969648829172,1.18603364775233,5.70292806752823,4.84442486226131,1,0.114440311911959,16
"Fold_4",0.800104824705924,0.816134202390363,1.16417531055994,1.1785150163232,5.0526213557231,6.29185292776324,1,0.0758057689806529,19
"Fold_5",0.807863018396812,0.729527667288336,1.15183257357882,1.53288191192351,5.21695385858889,6.0516035755017,1,0.101231811430266,17
"Fold_6",0.785329309809558,0.76023922797175,1.32483419939355,1.28133281642594,5.86735810226125,4.85467204710359,1,0.135883030735486,15
"Fold_7",0.781807970203299,0.791309226974329,1.22889424441567,1.43835903125048,4.78307654646332,7.27590683431793,1,0.107284231148447,22
"Fold_8",0.785422287631054,0.767818638255437,1.22268403014636,1.4845195461088,5.50397249287643,5.54783302421977,1,0.113970902288734,17
"Fold_9",0.809184107653768,0.75360671454867,1.12503155610196,1.37834804061178,5.51279967397807,5.37186054405279,1,0.078568833905819,20
"Fold_10",0.807598542272157,0.795351633183575,1.08087906044175,1.55550473902646,5.15279416052773,6.13358902408719,1,0.0844218871165797,18
"Fold_11",0.769345174397977,0.728253618158146,1.42261922320762,1.3512748464067,6.28620131125878,4.05156300622998,1,0.160828466145737,10
"Fold_12",0.819217286132756,0.799973907488433,1.02889995774616,1.32926766454646,4.41129383843749,7.58906465595073,1,0.0581871247064246,29
"Fold_13",0.764979891186158,0.775609994623124,1.35723146884586,1.42780373184928,4.46800235675401,8.34659013123565,1,0.135224726958327,15
"Fold_14",0.799522001253676,0.677983414980528,1.15743087342396,1.78021731246028,4.62189819579014,7.60990662161993,1,0.0968815697516924,20
"Fold_15",0.770575420371895,0.806338426901164,1.37396817620114,1.18719436466498,5.08843848852795,6.67241563930664,1,0.130933654954862,14
"Fold_16",0.795591593907338,0.765989153941422,1.25724925584005,1.21408373816755,5.86232778670397,4.41879713626314,1,0.0943230818054685,21
"Fold_17",0.779434984371422,0.726397021232907,1.37117841773553,1.33544902226857,6.4314735957773,3.54659470091425,1,0.136992376851611,16
"Fold_18",0.818779514663778,0.725740154503176,1.08509066438604,1.47853895908075,4.96054506892079,6.74577501002781,1,0.0857981143806575,20
"Fold_19",0.811436667447222,0.755668443234753,1.16447640357434,1.22438005110938,6.00223277295612,4.15526902242303,1,0.0825381520885218,22
"Fold_20",0.820492575077847,0.733141627545488,1.09942690346293,1.39701901564324,5.93059759648731,4.00063609160189,1,0.091474576240399,17
"Fold_21",0.807364525915404,0.721140773197235,1.11915218222626,1.65767686691463,4.82889945259762,7.2730181514468,1,0.104712521134471,16
"Fold_22",0.784610024144712,0.750403027367364,1.25695158024566,1.47264274610192,5.06284645152872,6.53949734982963,1,0.119196160918538,15
"Fold_23",0.79560693077958,0.774200837307846,1.27766172732753,1.09963048993526,6.16879970187374,3.74809622960031,1,0.106469876439636,15
"Fold_24",0.835945882094393,0.701487456180669,0.995652679665823,1.62817712685803,5.52786962312754,4.95500140620646,1,0.0825584878646159,19
"Fold_25",0.790996085418606,0.77195017350792,1.25834292001494,1.28582682528612,4.95749582074243,6.65969731485553,1,0.118986704893269,16
"Fold_26",0.802541405005895,0.655265853632779,1.24078953323997,1.6177688490364,6.1428256685488,4.1741052914009,1,0.131437855135598,18
"Fold_27",0.78376829080721,0.776842693011616,1.34148022089246,1.09133682487575,6.28749311383169,3.40923811158102,1,0.113942790448173,14
"Fold_28",0.800302815066184,0.812151156504086,1.16094700397583,1.13848516602175,4.95874834175885,6.48054234105827,1,0.0738217646191283,22
"Fold_29",0.80864718448294,0.798144764673821,1.0773387327739,1.26890300399151,5.3642476480913,5.40886882108475,1,0.0624222940814138,28
"Fold_30",0.792486252546092,0.763731745357154,1.22461195433213,1.33433580084512,5.09282059416331,6.44944001056673,1,0.100720482666821,17
