"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.635785720912862,0.506999788428738,1.95114343372057,2.36955803340386,7.09581096653921,4.33635133544526,1,0.160066938466865,6
"Fold_2",0.599390341882351,0.63742920261688,2.05317033888189,2.05239500153144,5.60603310694858,7.81849629380075,1,0.14280044634919,9
"Fold_3",0.677846842606022,0.59557371776232,1.82576510698881,1.80999121556359,6.38524254840569,5.54155810772084,1,0.0692358806782566,12
"Fold_4",0.627915024728691,0.534932266670715,1.96721717777857,2.34120143718192,5.78954544252966,7.4019717247439,1,0.167995224293316,6
"Fold_5",0.703212356390701,0.543956468742604,1.63554706988051,2.19961277367363,5.71734739830781,6.87661818451457,1,0.0611935247521101,13
"Fold_6",0.622518990097012,0.621244444210534,2.06413806049324,1.83902176837576,6.68126775006306,5.12254660180455,1,0.148708620153386,8
"Fold_7",0.682881892473122,0.654114786607865,1.6422654903729,2.02500494981467,5.36592688012595,8.18915350529346,1,0.0496275715234069,18
"Fold_8",0.64096527827233,0.586336431555745,1.86292838129832,2.32171763182845,6.1037069004732,6.46318715256884,1,0.138949974063498,7
"Fold_9",0.628575324354425,0.56772330351514,1.96600479228832,2.17266989489978,6.36645586694081,5.97777784445221,1,0.139216427696269,6
"Fold_10",0.64640813195462,0.747971828607584,1.77387770231953,1.92573287503636,5.84459262906014,6.5436470870532,1,0.061165144402085,16
"Fold_11",0.626229690634423,0.541739684038278,2.05394481109172,2.02383821248219,6.90909546446893,4.51095095017149,1,0.150961552123162,5
"Fold_12",0.6744102113917,0.688027194557059,1.68777371987418,1.96720001146542,5.0975156701045,8.1204039463085,1,0.0548879631797744,15
"Fold_13",0.623388625356788,0.566002917643822,2.00396900139227,2.28988769048368,5.04809148027462,9.17758717415809,1,0.195361956388402,8
"Fold_14",0.65615643564603,0.469819259897089,1.83558191364277,2.58569643436773,5.31345031737173,8.44696190572986,1,0.160954686492642,6
"Fold_15",0.633767420611495,0.530741910770854,1.95326499252195,2.2089463506575,5.68848114281302,7.55935789133651,1,0.11700616865155,5
"Fold_16",0.703101564883451,0.562022332230958,1.71268377194641,1.93279709974124,6.36007557164006,5.07980078169672,1,0.0677776045530125,16
"Fold_17",0.632968787309703,0.514829833218686,2.06791789540756,2.01853328261732,7.19992571569929,3.94338046178096,1,0.162229996288657,8
"Fold_18",0.696439567142756,0.601764329406748,1.66688748540063,2.00652224351739,5.63190275424316,7.13745742064757,1,0.055224979002018,16
"Fold_19",0.676976275214004,0.655771811520269,1.81665910377299,1.65298823889572,6.78720239400354,4.83829395389288,1,0.0580517381291223,15
"Fold_20",0.633998922121549,0.554216243840025,1.98127894133973,2.14898586595704,6.72216517039577,4.92927222645554,1,0.144344034371628,8
"Fold_21",0.679275820946517,0.579694780561826,1.68013824060223,2.25931194600821,5.3358143755877,8.25491757614194,1,0.0666131266860785,14
"Fold_22",0.664198725625964,0.613959893241262,1.78098967084988,2.0247198023678,5.72684752953788,7.36207019380304,1,0.0714127991713343,10
"Fold_23",0.686750534888295,0.60271755051464,1.79489397030236,1.74756630720658,6.83856494746458,4.48248284906031,1,0.0586829313886359,19
"Fold_24",0.69226207511784,0.570896020550481,1.68175002667046,2.16692582382463,6.33677615343119,5.27641528571921,1,0.069545938862663,14
"Fold_25",0.618821314869043,0.603349815466632,2.04335411842955,2.02795361676696,5.79891593972487,7.36877203458835,1,0.161783787621722,5
"Fold_26",0.691945412001779,0.511339484726767,1.7622757518648,2.16212760455695,6.69142349648241,4.75142882723143,1,0.0888596525196225,11
"Fold_27",0.649450004103432,0.675061845136955,1.96601511468447,1.49457700585258,7.0721745369929,3.80918370443471,1,0.0748436947215297,13
"Fold_28",0.653668079736712,0.703178910940314,1.82136818728606,1.68553634130792,5.7956247617911,6.65377676315727,1,0.0567096246054313,14
"Fold_29",0.581229213769649,0.632924865649034,2.05654711303962,2.1581369524298,6.36262390242854,6.03808773074967,1,0.139179921258997,10
"Fold_30",0.679568140000361,0.613226336315674,1.74968628516564,2.01284137129272,5.76315683929283,7.05158392443082,1,0.0757051056621111,14
"Fold_31",0.669859110598671,0.586588596661798,1.82489844292835,1.92212928992243,6.04982925304324,6.34011044686876,1,0.0725026860370432,15
"Fold_32",0.701153644390007,0.597721284104504,1.59252401799133,2.14256454681123,6.17211492845925,5.73643674839688,1,0.0439694065850343,16
"Fold_33",0.681294549757932,0.550638401249719,1.7368194715625,2.17887493808143,6.43055435742803,5.4305210626101,1,0.0683928299006544,12
"Fold_34",0.615316247127198,0.591811043188687,2.01392393685311,2.19777048614526,6.31900001193775,6.06084510771182,1,0.174800291296599,7
"Fold_35",0.682668846771702,0.566131703444462,1.72875324025944,2.15748204155126,6.5166716690423,4.92800646954307,1,0.0787502957672773,11
"Fold_36",0.691830214722055,0.693660387851567,1.69133013419581,1.6709486130602,5.80775376539233,6.57566130970996,1,0.0451314738655753,17
