"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.744498441364182,0.651571213696502,1.44095427152496,1.8644395614178,6.5956895695145,4.20396065951841,1,0.0412307892406873,17
"Fold_2",0.673704798966884,0.734723771357607,1.72608004942653,1.53682186555697,5.18001010271469,7.6391703675499,1,0.0535760813194908,21
"Fold_3",0.718244378454904,0.668941951870873,1.63016957408474,1.57194192692833,6.06022936392384,5.38641780173671,1,0.047133696861674,16
"Fold_4",0.735239445396634,0.653893474218012,1.45906504445287,1.84745604271394,5.43336270980059,6.98619463948132,1,0.0370284262061137,21
"Fold_5",0.747746260139045,0.491661578308783,1.42873357390364,2.39534761736869,5.41695271269459,6.95605544750871,1,0.0633883325584339,14
"Fold_6",0.673646810697744,0.66000354556877,1.80768920404946,1.69027772474332,6.30178820407774,5.19798501757496,1,0.0809108283893912,16
"Fold_7",0.659358978791642,0.626163390661175,1.73705897787832,2.1824989231851,5.29119781509844,7.88312130523229,1,0.0968848538219334,11
"Fold_8",0.705847149649459,0.642853179568452,1.55356435275173,2.0441979653844,5.82296789293336,6.02889807501058,1,0.0585321860584587,12
"Fold_9",0.729920552671565,0.681651632207573,1.50170693798894,1.71837216368968,5.96873750667008,5.6171446445089,1,0.040845494024809,19
"Fold_10",0.700837837850726,0.720110954119709,1.5410801673433,1.94747160298473,5.66899382123716,6.40286294558468,1,0.0495739425819686,16
"Fold_11",0.716464694293958,0.706093962990682,1.62837799781299,1.44088719653689,6.61190052448093,3.98730395096674,1,0.0453790330264772,22
"Fold_12",0.70925027834704,0.733058808209369,1.53007429077962,1.68853774138644,4.90363277315605,7.96413778704531,1,0.0376841219230364,22
"Fold_13",0.735968170168026,0.666240101235043,1.45213556550582,1.83071827766952,4.51229897166676,9.09397775678782,1,0.0389370046281959,19
"Fold_14",0.757857136271938,0.574862657861943,1.3410909585875,2.22610635597871,4.84750725748799,8.2267880869923,1,0.035604209892322,23
"Fold_15",0.75878607622743,0.694860074531433,1.38101642794609,1.59044282886429,5.1815058526754,6.90948077231107,1,0.0270874964769422,27
"Fold_16",0.712657112937068,0.62553831881198,1.663320263378,1.73107191473038,6.21460041230197,4.79882191409233,1,0.0665804488596846,15
"Fold_17",0.72153795644983,0.568495596453566,1.6229247781754,1.87430932672207,6.77860411462488,3.87407190730739,1,0.0614244728076414,20
"Fold_18",0.731378959260926,0.570387795541856,1.50208004359142,2.15229577245508,5.5400946465342,7.10563710222361,1,0.0563743522846985,14
"Fold_19",0.738452949600604,0.677700634184624,1.52209023961593,1.55852719640367,6.37829481961905,4.56123984176683,1,0.0381471472788854,22
"Fold_20",0.720980760918091,0.546453173163564,1.58897218689972,2.15844357791676,6.43699415355758,4.8412437938785,1,0.0875998405419779,14
"Fold_21",0.761347660989462,0.639279895722707,1.30785960788143,2.01110360773771,5.01479732126366,7.78087224223304,1,0.0303795150725015,20
"Fold_22",0.699207303058363,0.616083742823629,1.63479021901269,2.01629304409098,5.438541483318,7.12420787446985,1,0.0833744466337739,12
"Fold_23",0.713139929046562,0.685681222527769,1.66901928229849,1.47209021425988,6.46045542026978,4.67624416065226,1,0.0524682116980704,19
"Fold_24",0.72338516305027,0.611913393184679,1.53646792976123,2.02229902702121,6.09335879961061,5.28800932809579,1,0.0593136417292633,16
"Fold_25",0.723548851533049,0.679292946163812,1.54560936913881,1.67222620645649,5.36782916247463,6.83002146900539,1,0.0437046197082068,18
"Fold_26",0.748509206452813,0.518100655055413,1.47668071239988,2.24836160151229,6.33726729587205,5.21002217166108,1,0.0543102847264852,16
"Fold_27",0.722375119528,0.705903994459317,1.62209423536575,1.44031223678998,6.48848606549214,4.38394630225748,1,0.0441402326108971,16
"Fold_28",0.707499134614006,0.730104535728967,1.58185003315914,1.52370455561859,5.39197467734671,6.94949009793032,1,0.0374851280181598,25
"Fold_29",0.683641525785637,0.700590300145337,1.64380282469282,1.79035019245737,6.02560164716459,5.55171890209367,1,0.0592857331015602,15
"Fold_30",0.710964360808387,0.648251815817113,1.60640113611355,1.84411853657039,5.55827430000242,6.93129974416143,1,0.0674539343738983,19
"Fold_31",0.713769566605285,0.628531419894377,1.62551776613852,1.77474176376315,5.93633335757092,5.78117152615409,1,0.0597910210366767,17
"Fold_32",0.695090071387636,0.624266456293168,1.61976241415413,2.04046976113051,6.05347472751659,5.75110047645174,1,0.0582452029258941,14
"Fold_33",0.766605528754047,0.615856838023835,1.3331483513303,1.92305892538462,6.10518126168142,5.03776174914722,1,0.0295693657425795,21
"Fold_34",0.711118846223454,0.630804249616654,1.56248955173557,2.02165212357523,5.97816306278672,5.96453936545718,1,0.0555614910964619,18
"Fold_35",0.702435988143978,0.683578703204372,1.62852605398759,1.72489123009998,6.3715295772868,4.7329408943972,1,0.0524604850494176,18
"Fold_36",0.705117814774327,0.737609988309263,1.62450958576516,1.45262525663346,5.60637826528847,6.33987793880165,1,0.0416476159188172,18
"Fold_37",0.704227141507851,0.649479747684791,1.57411140968399,1.9560887912334,4.81027604210559,8.46534737336657,1,0.058012270721453,17
"Fold_38",0.686136744639705,0.685641307114781,1.74806420803024,1.70845677638353,6.62030599025593,4.45635913504304,1,0.0755319370894059,14
"Fold_39",0.753008188194974,0.664049188375551,1.35143254395102,1.89735446589049,5.61300905746603,6.26202932414914,1,0.0256072385160918,26
"Fold_40",0.680951973249985,0.664552186377685,1.76232047388562,1.69372858512641,5.62955052477851,6.69112964106502,1,0.0752465763981632,14
"Fold_41",0.738512092208473,0.601505943231576,1.42474895056356,2.17036172507611,4.69452695266675,8.91815294345905,1,0.0438456114639373,19
"Fold_42",0.714662553299473,0.644045859724445,1.5729721862107,1.85843044070275,6.30010390820631,4.75385160100264,1,0.0502308774212925,16
"Fold_43",0.732195254234573,0.704159634428901,1.50423048317475,1.55937500041075,6.00952526618199,4.87341073746084,1,0.0336044302105475,21
"Fold_44",0.723332042535446,0.63601631493648,1.5478263458687,1.8769123881262,6.58372837799446,4.06054643128534,1,0.0545028241328935,16
"Fold_45",0.661688377832168,0.707382247939721,1.90843760301248,1.43600922213826,6.90528281573293,3.69820480893263,1,0.103325146438979,12
"Fold_46",0.727521958802965,0.633288712327114,1.47559500407581,1.99926937140343,5.69436530626966,6.10594993708527,1,0.0370317226282737,20
"Fold_47",0.758145890941404,0.630014874880146,1.43928315837624,1.73886893886752,6.6515808490798,3.95211790145324,1,0.0347280125202088,20
"Fold_48",0.70299693016797,0.640943538500195,1.54387619785723,2.17346484941856,4.7412094658991,8.62926470119269,1,0.0568346571509623,15
"Fold_49",0.759477711896747,0.659545745950291,1.3783330493742,1.75982650619115,4.58619005083228,8.6892283055144,1,0.0376338353158267,21
"Fold_50",0.633678940902236,0.580882609152536,2.03669535065013,1.96851477476963,6.51812990654236,5.25898891882705,1,0.214860882203936,6
"Fold_51",0.790517550770603,0.578974964926619,1.2629701243912,1.97575876269876,6.29752427321425,4.39577913964031,1,0.0286969486411966,24
"Fold_52",0.698783962145783,0.596390708184165,1.68468587231316,1.93038811003874,6.10387481420737,5.4484485551615,1,0.0665159332457534,20
"Fold_53",0.703247440679089,0.681119411244299,1.59748930870539,1.77747321739524,5.62687181348935,6.76893239249294,1,0.053814541981386,14
"Fold_54",0.693466704382379,0.590012430414928,1.66044913903447,2.09357581199597,5.23551785153422,7.86606832238955,1,0.0798761339520746,12
"Fold_55",0.675768855379886,0.729212245559657,1.75507736710721,1.50853576627314,6.39909511328507,4.39082219398799,1,0.0607721396934689,18
"Fold_56",0.736818797679975,0.645437507695556,1.42856952051188,1.99647177598828,5.09905097767867,7.78001297639068,1,0.0451051182768515,18
"Fold_57",0.719080268504727,0.694215333398101,1.52568513540464,1.750511805104,6.06571666292445,5.14374653580176,1,0.0471545810141246,21
"Fold_58",0.769536843639709,0.535230690218626,1.2974857729222,2.3888965023182,4.8627244447334,8.1924805699164,1,0.0373590141018965,24
"Fold_59",0.717241847063701,0.716549111448911,1.60784678036711,1.45035014993028,6.10375090386545,4.95515676586279,1,0.0390028070510501,19
"Fold_60",0.733915002305663,0.647624665265191,1.53007822155018,1.7233556366299,6.4891026959283,4.61967911586787,1,0.0495381283706312,17
"Fold_61",0.726557916935958,0.709776392750595,1.54321202041185,1.52627090395746,6.29953343467103,4.65522507428792,1,0.039056468395453,21
"Fold_62",0.675886619909831,0.686959989659657,1.76633453814054,1.65753493577586,6.54889061040977,4.33413932137804,1,0.0727041319962468,17
"Fold_63",0.740435795343073,0.591749648017798,1.40271598178221,2.24101970959111,6.24929857229827,5.12178556466327,1,0.0457409510911054,16
"Fold_64",0.717984778536713,0.593018168216192,1.52746589823842,2.15182745901865,5.46874444499516,7.04913530257544,1,0.0614201763687858,16
"Fold_65",0.686942051219314,0.643405053856968,1.71310996775221,1.84866414519299,5.93500428440481,6.01934283532337,1,0.0808670182279544,14
"Fold_66",0.687536804163831,0.633121560593757,1.71394414974015,1.9132709671614,4.65727676261122,9.11282346150753,1,0.0861866578194203,14
