"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.729077409322566,0.643160067224815,1.55935561898942,1.87476819785161,6.61307317504603,3.84391391743113,1,0.173748758231799,8
"Fold_2",0.725392799277894,0.676276874081983,1.5718103859036,1.84019705259411,5.15514408288593,7.71667580531552,1,0.195049841679227,7
"Fold_3",0.713906203696453,0.719150118478947,1.69528686482168,1.38992277418738,6.07421101705587,5.15788868065354,1,0.163590433729337,8
"Fold_4",0.72625080423386,0.726439129354833,1.51930701931627,1.56970099866019,5.35342693840505,6.74995257659533,1,0.104982376334338,11
"Fold_5",0.746693410385743,0.655822497573618,1.44505176048501,1.81964980382671,5.42351946593299,6.46600332606861,1,0.111101788073342,10
"Fold_6",0.713399256098961,0.740822361266391,1.65702273921608,1.39699788868536,6.24964748239934,4.92315608106306,1,0.13662343651157,9
"Fold_7",0.712107319358197,0.75854309688252,1.53884171111422,1.65059330849967,5.08733399096676,7.34967222660953,1,0.12676062386406,9
"Fold_8",0.722965905983086,0.710319202301995,1.5059548948677,1.75063719608707,5.69922436915005,5.92557567439305,1,0.131286519328262,10
"Fold_9",0.716209903508783,0.667198256892395,1.67291312900159,1.8072943028636,5.97484099993626,5.71397285389478,1,0.247747968986251,6
"Fold_10",0.750022763112583,0.738099476452399,1.32014627154381,1.78620490885714,5.28693948790983,6.31674158601458,1,0.059675209786905,14
"Fold_11",0.705398461952534,0.65825961028047,1.81424647248589,1.69796993018702,6.68766338213722,4.33170140219447,1,0.281052312119349,5
"Fold_12",0.758358067482817,0.713947768627412,1.31634094684759,1.72545849618617,4.69818461710634,7.74715533802149,1,0.0638602975328914,14
"Fold_13",0.716579642507643,0.746364072021736,1.56201991737959,1.60255709676177,4.69066934630174,8.55916919638162,1,0.123211734910314,9
"Fold_14",0.743814486676046,0.671045213548308,1.43653741681408,1.82364444692962,4.90047879255518,7.77287946547335,1,0.123571200212299,10
"Fold_15",0.688602981673054,0.74855691714373,1.83961171939749,1.62979316380125,5.49762410178256,7.12568667237463,1,0.26204908397215,5
"Fold_16",0.724304279722688,0.673958704831307,1.63146555843358,1.58317050196294,6.18500812702059,4.8756776201071,1,0.153507862867795,8
"Fold_17",0.726399366501041,0.697690945451045,1.63635222882492,1.44070101343802,6.66736110986506,3.59711394026498,1,0.145885837344638,10
"Fold_18",0.738922635904853,0.646240905334445,1.50976537353668,1.82763594624416,5.34926726261788,6.75043711106862,1,0.164553084002812,9
"Fold_19",0.712359493606705,0.699909513120267,1.70961511898483,1.49229699072965,6.56099460611717,4.08990247398579,1,0.1882961005285,7
"Fold_20",0.7348650422882,0.658749964176585,1.53993212911861,1.72436762318545,6.3617946231029,4.39382233550273,1,0.145653393775755,8
"Fold_21",0.723902356454423,0.739521782840122,1.4795305331004,1.61179206980815,5.06160934142132,7.50583856446038,1,0.0770389439036352,13
"Fold_22",0.722240504639575,0.689040959639238,1.5746182839155,1.76030979575386,5.40820400625288,6.82000898601477,1,0.17410569252705,7
"Fold_23",0.732573343132837,0.718244383734034,1.58389645255917,1.33218971051362,6.44921742846584,3.98882887483962,1,0.106071956222325,10
"Fold_24",0.744662261308089,0.631624583915982,1.48978213412194,1.98740728537286,6.09255606106882,5.26108547717145,1,0.178466918085051,6
"Fold_25",0.715854608128846,0.692933758854383,1.64154859998116,1.6609202733126,5.3545198376638,6.97661055869513,1,0.189460482837906,7
"Fold_26",0.741971517186719,0.622182071731896,1.56050867296485,1.74181366627439,6.34781622784418,4.40435864529554,1,0.1739383042565,10
"Fold_27",0.719867129785678,0.676146740474283,1.6925385223003,1.48926259934877,6.71018357362204,3.49595714089369,1,0.19006802995667,5
"Fold_28",0.735092220163813,0.778847669051657,1.45317800677045,1.30669732062028,5.19327187956872,6.55410140233268,1,0.0504736636002541,18
"Fold_29",0.714734091872221,0.71794215761506,1.54996119665285,1.75435101891854,5.81191548517679,5.58953566376218,1,0.151069958259736,10
"Fold_30",0.707292013404667,0.675086159419953,1.69362380446901,1.73895806485852,5.54987385494922,6.60934349547105,1,0.221239500952894,5
"Fold_31",0.728824285469569,0.662729849471841,1.57504292479285,1.66176755613006,5.68419519596509,5.88253987513697,1,0.134946863372594,9
"Fold_32",0.750207299881666,0.707993203842788,1.37389023896379,1.67155488943532,5.75413171197272,5.32299813177745,1,0.068482762954973,15
"Fold_33",0.741758640727823,0.625906994445771,1.48076703655195,1.88240232170424,6.06022569450805,5.00074466491789,1,0.131685741030486,7
"Fold_34",0.73234001924354,0.70127145631244,1.48634578137149,1.74566709999762,5.80971051540048,5.70024141041751,1,0.120305457351617,10
"Fold_35",0.743840488981827,0.694448250306152,1.44695463236481,1.66843824152996,6.06464603175239,4.68533074100743,1,0.0954055296863777,12
"Fold_36",0.784283447431961,0.724159950995858,1.23670297462743,1.48626032269892,5.1346975398718,6.43056765838051,1,0.0276542549365379,23
"Fold_37",0.744535499450067,0.639422060754449,1.43964823528417,2.02353218289031,4.68198354426345,8.53162875438477,1,0.165813736182512,6
"Fold_38",0.701071493233337,0.765427452375421,1.72657604583416,1.4611642465801,6.5715825055401,3.96353209169273,1,0.177424300032198,7
"Fold_39",0.741982463430204,0.706445613446751,1.42082514776414,1.78851636548048,5.63339407842496,5.9961547309367,1,0.0953998865449812,11
"Fold_40",0.721728650921499,0.715370215502906,1.59310789937496,1.54609374899316,5.46605723383536,6.52255406949522,1,0.131316654034327,12
"Fold_41",0.740112793744446,0.62684135169561,1.48657744168785,2.05619003695997,4.69461979428572,8.61168033612955,1,0.19549746874427,6
"Fold_42",0.745729765611902,0.696196407738349,1.44083828082096,1.64651019106878,6.11269296515643,4.83066836613132,1,0.0942020073580766,12
"Fold_43",0.733486990176335,0.711077702267755,1.50738441062919,1.55309867737669,5.87904317614549,5.17773055494439,1,0.0962209059971035,12
"Fold_44",0.724008210286014,0.698099420753981,1.62273890627597,1.73634608055585,6.59503092705012,3.81056703951703,1,0.199859901478962,6
"Fold_45",0.686957226858551,0.758433353671342,1.80211243913875,1.28032091246497,6.6864142685347,3.74916917735473,1,0.161820557686641,6
"Fold_46",0.728240478103817,0.719962881626826,1.50892219741298,1.70065305243108,5.52018092729829,6.22806354107983,1,0.129789501583658,8
"Fold_47",0.72528469437995,0.674005885888918,1.64472588827169,1.53261877493098,6.70339799207954,3.69773061885459,1,0.164399800880929,8
"Fold_48",0.728445193380534,0.63834887154328,1.50732371739376,2.16967322416529,4.69992795673972,8.70032731163332,1,0.211364471859238,7
"Fold_49",0.714833409875914,0.616656534508908,1.71671534553124,1.95932090793124,4.81679025862592,8.7493747976913,1,0.287914350191297,5
"Fold_50",0.724786993994745,0.650778262267122,1.68814801033931,1.71718590434157,6.24363892132069,4.97627820011098,1,0.258330937562739,6
"Fold_51",0.757453184563823,0.564009662532575,1.50958832980192,1.9773989102444,6.35648152998474,4.41951268569816,1,0.209036579530311,6
"Fold_52",0.739808319878211,0.614639344851329,1.53329926623461,1.8640111984143,6.00327321165747,5.20361614371197,1,0.173536330966713,6
"Fold_53",0.716105178437718,0.709983921338284,1.57146961829458,1.68698742520027,5.43812522676639,6.99418609543393,1,0.145368260298629,8
"Fold_54",0.738461314531025,0.632419189576684,1.5063959705062,1.95939037191603,5.09151411926157,7.59065573377627,1,0.170834204683187,9
"Fold_55",0.703394365832612,0.739727241972839,1.67402144230697,1.46991271645442,6.33329479838586,4.64141699762349,1,0.164468234005017,9
"Fold_56",0.770647897297944,0.73480235576491,1.25871663036415,1.62881314285402,4.92587052322648,6.9299721672555,1,0.0354041491440186,20
"Fold_57",0.738767520235482,0.687826005106106,1.45205158632589,1.75061250650382,5.83606437048551,5.30905855298315,1,0.118550047426592,9
"Fold_58",0.759136891772888,0.566719903541859,1.38819234322279,2.28483337450219,4.8206459439577,8.08764117174978,1,0.164948527567355,4
"Fold_59",0.721375166989242,0.724522339198211,1.60875429698809,1.40927681402175,6.08322227503759,4.93502994945002,1,0.121485563185096,9
"Fold_60",0.691193327315944,0.750221438203782,1.75740342498412,1.36399741998815,6.44566387429875,4.16310462305941,1,0.157833036563292,8
"Fold_61",0.725309743257282,0.668186382350156,1.60142181763279,1.68049350512312,6.23513112705925,4.77547164918776,1,0.183953182602919,6
"Fold_62",0.699129554309439,0.721182015826917,1.75492167070059,1.63614829371555,6.53295575996543,4.53806735678385,1,0.226405062720374,6
"Fold_63",0.734102909498255,0.664718227882578,1.4542384972872,1.92849098054834,5.99029382618404,5.01051552655022,1,0.121543954522364,9
"Fold_64",0.748311752966029,0.672270066534303,1.39283360593744,1.85525847701247,5.29405881364514,6.52752851247103,1,0.0914374908264664,10
