"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.815092244162656,0.671378165343859,1.11484286379178,1.76257821937317,6.28563446909685,4.28895502857772,1,0.0715832619752221,25
"Fold_2",0.73986885759742,0.701418660120146,1.46887229445923,1.68695956756232,5.27988039115429,8.09225837583521,1,0.11107040615696,20
"Fold_3",0.800152819721876,0.733240047099204,1.25590059379037,1.31331688772021,5.95946352045001,5.27432012726927,1,0.0815395487852999,25
"Fold_4",0.761572624545884,0.73546225746097,1.37534802195046,1.55175576807724,5.447651590401,6.87592944335471,1,0.0964773435334992,21
"Fold_5",0.808266261581586,0.676027471804039,1.15361082050248,1.70558338683232,5.39817553957789,6.47532434489743,1,0.079010221527591,25
"Fold_6",0.761029429054733,0.708304076016293,1.45415580394003,1.51389133138595,6.26082897114134,5.2147005408109,1,0.120719083347274,22
"Fold_7",0.769053975633286,0.723778479837487,1.31197000890182,1.72477315553064,5.08628613836258,7.64149575642873,1,0.107850692824271,17
"Fold_8",0.781222242487787,0.7165964850935,1.25672236385357,1.72214593149592,5.73049129301793,5.96856098044316,1,0.0987601921266575,23
"Fold_9",0.719027202657051,0.636965974403117,1.63306707158707,1.90453674644407,6.18999543683716,5.91733052460018,1,0.184035924314144,12
"Fold_10",0.784945372797742,0.719003734431038,1.20825137690117,1.90250223815832,5.49900373222974,6.63330096213615,1,0.0853930859480691,19
"Fold_11",0.762348774227111,0.71777544485047,1.43922180976732,1.39828605715057,6.52422545513095,4.29851520289138,1,0.099322620787704,25
"Fold_12",0.77832524047336,0.777862734552873,1.25208041999124,1.49599642328045,4.84145410187047,7.74426143513339,1,0.0757631312022172,23
"Fold_13",0.737993530251935,0.707169128902832,1.48711790263257,1.74050165612538,4.83864140995679,8.91234085326931,1,0.122693002276608,19
"Fold_14",0.81535727237892,0.673330822474025,1.07548534781238,1.83306661828071,4.75375730302772,7.96327864399084,1,0.0587780439758198,30
"Fold_15",0.788347952280024,0.752253943256545,1.26889284500897,1.41068545266842,5.28812735348551,6.94731181366167,1,0.0788110343490277,23
"Fold_16",0.785190135936439,0.724014648618421,1.33131443952707,1.41297921372323,6.08198111949271,4.89360393850153,1,0.0910275024421153,24
"Fold_17",0.781906859280156,0.656040957068479,1.35163995679308,1.57244426781914,6.66843416764592,3.87246989869306,1,0.0944692975881414,25
"Fold_18",0.810359998675876,0.669414772859472,1.14088889460327,1.73584313444182,5.19133912021861,6.80053485174486,1,0.0771280724138421,21
"Fold_19",0.790132914286179,0.729335602283435,1.31037480876017,1.33796350685571,6.39772708069954,4.54912059923076,1,0.0887679745849696,24
"Fold_20",0.809879790106593,0.682492202076736,1.16130812758433,1.62053762657073,6.33944962341785,4.34764000329777,1,0.076851425317727,24
"Fold_21",0.827972605102184,0.680452939404307,1.00363209492791,1.83917698965709,4.87306238235861,7.86480410825296,1,0.057936700496469,33
"Fold_22",0.781686324562827,0.692310035453082,1.28095523475694,1.72771560015603,5.42463196055593,7.0341684413703,1,0.0964336732762802,20
"Fold_23",0.791930439866267,0.721200207578453,1.3119857742316,1.32176855663191,6.52646257625553,4.30258946917556,1,0.089285081334642,25
"Fold_24",0.818823266695735,0.696864860527952,1.08013437760459,1.70354665443148,5.95719998608893,5.15883613149819,1,0.0599828872332511,30
"Fold_25",0.811794064173034,0.700301488907668,1.14017118940003,1.58153018618731,5.14567227822053,7.34094263552411,1,0.0699154413969818,26
"Fold_26",0.826889433015623,0.633242494072306,1.09562118002626,1.71682068997931,6.23448559843792,4.58570874711929,1,0.0739915560045945,26
"Fold_27",0.801780096065301,0.784836420019735,1.23991928907091,1.0560526077742,6.53058050070608,3.60562580477379,1,0.0623432327337291,29
"Fold_28",0.776173207709941,0.820248079541152,1.30720350131074,1.12913337982236,5.46195559829647,6.39149437030061,1,0.0752679602562441,24
