"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.773212472622677,0.641306139825677,1.34929212110991,1.87565892184565,6.59607586286697,4.23682830139521,1,0.108800193230063,20
"Fold_2",0.714121903373116,0.656075000291913,1.59179992157942,1.87570689187509,5.43370531054224,8.4542875793156,1,0.133784697434039,15
"Fold_3",0.755619071530543,0.706081708450078,1.50753968902958,1.41713343658382,6.27912181262983,5.29718458155249,1,0.118299923963287,19
"Fold_4",0.734794139729953,0.694938068945849,1.51910230445079,1.74322414279735,5.61525844566023,7.14930162195609,1,0.127537370311626,16
"Fold_5",0.785244116137068,0.652703584727423,1.2788294348968,1.81665561909094,5.54382261790149,6.62139674693828,1,0.095168091546614,22
"Fold_6",0.735988190213462,0.688612629551603,1.57606057263428,1.59918265894345,6.38372695260719,5.36193160008623,1,0.132489044945086,18
"Fold_7",0.755132826509536,0.703907209959125,1.37504405064524,1.82708917101402,5.15362596243914,7.67874801521693,1,0.112986084751986,14
"Fold_8",0.752763333687197,0.679627567220218,1.40471449458522,1.90109652765073,5.88931774494037,6.15158112620863,1,0.124621228207945,18
"Fold_9",0.704235894189688,0.644828197669233,1.68924295338432,1.87494776126593,6.28314905859467,6.0768467281839,1,0.175554489349308,14
"Fold_10",0.762742771041006,0.694482386104712,1.31981278786964,2.03299226903759,5.58506353042771,6.74770702359576,1,0.102856274338072,16
"Fold_11",0.73664083351071,0.709272762115966,1.58352127574277,1.44786101285426,6.69899136190146,4.22725890302819,1,0.122601579217897,21
"Fold_12",0.748239374709545,0.770345973570824,1.392897765783,1.55243441087149,4.96408889650454,7.94132706231208,1,0.0871091900929857,20
"Fold_13",0.66727776671763,0.642013627173132,1.86481246601859,2.06319039749022,5.04110153850873,9.23272461453119,1,0.246468885288815,7
"Fold_14",0.766991138670878,0.621285540112032,1.31866252686493,2.05635512638394,4.9885103832196,8.14317048641818,1,0.0852768777438192,20
"Fold_15",0.753955488826245,0.740996024265073,1.44839101917402,1.51383485644648,5.47424655217414,7.05086523815883,1,0.0994482461548732,20
"Fold_16",0.75075140723022,0.699247040726586,1.51699284969308,1.51072707756541,6.26652842372378,4.92678722117028,1,0.114863680504892,15
"Fold_17",0.760765989756238,0.629562817057868,1.45904072398261,1.66376918167432,6.77966872477917,3.96962054984012,1,0.103679937479981,20
"Fold_18",0.782039661863759,0.663938635036346,1.29530723217694,1.75124288984294,5.35318512275665,6.77929557443605,1,0.0973245890530211,20
"Fold_19",0.752005289362971,0.732874240485483,1.50072262649871,1.32758980453141,6.60368795580564,4.47593391820011,1,0.102061599746357,17
"Fold_20",0.782089390218944,0.651085563672433,1.31701387643617,1.75161896402375,6.50879624698076,4.53684335429565,1,0.096975500010608,22
"Fold_21",0.800739021136066,0.676484439300926,1.1576300869258,1.85490580032698,5.05161879230227,7.86703626830115,1,0.0796992592686091,23
"Fold_22",0.762992388606869,0.67218329920215,1.37336425188875,1.81688568004874,5.50545295690405,7.18939488491043,1,0.105835837372678,18
"Fold_23",0.772424205371442,0.704762737510522,1.42212374103589,1.38443756578332,6.6368447410946,4.27298382647406,1,0.10265614684916,20
