"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.807158841316521,0.687555718299723,1.14583960178575,1.65051265723682,6.10078012464669,4.10916200235258,1,0.0545297892393659,36
"Fold_2",0.629264506252004,0.691225484664127,1.96505335723586,1.90588573517807,5.40380783011943,7.68080207922246,1,0.268455606955176,5
"Fold_3",0.738053369887032,0.706219679028555,1.54543559516309,1.4122847140351,5.86429308733369,5.36230661110336,1,0.0874292880749212,19
"Fold_4",0.67750173896321,0.682850922813519,1.75999125217733,1.8037003592688,5.58832025648611,6.75700897632771,1,0.187314304279014,8
"Fold_5",0.844375284745301,0.691059715718311,0.939106320926082,1.64678228985565,4.78414801573994,6.1959553630185,1,0.0320503675665052,47
"Fold_6",0.666899673066112,0.659379692332767,1.86276966356177,1.71305755833967,6.27599501691304,5.16867761449015,1,0.206418263382921,6
"Fold_7",0.774318453186032,0.70142766809055,1.24854695558884,1.84233678133973,4.8381511490664,7.77782756541335,1,0.0701867875790893,25
"Fold_8",0.710017652591007,0.636211813190423,1.5493879534164,2.06560947847792,5.89190787506361,5.99644106409468,1,0.134681307375447,14
"Fold_9",0.70433200475162,0.625005841966696,1.6557638788534,1.94628467474846,6.01800485571563,5.744135167812,1,0.177960154125679,10
"Fold_10",0.774190595379529,0.70662963192401,1.24292938490184,1.97007502536301,5.22603509738519,6.39760072377839,1,0.0799365246596329,23
"Fold_11",0.743406876830635,0.647643109564136,1.51677989188256,1.69579475429013,6.40417446020569,4.95699585824535,1,0.109598790520382,21
"Fold_12",0.75032083293402,0.77117278114232,1.36938941260477,1.58847845853463,4.65212087591763,7.74184093243201,1,0.0749774661969281,25
"Fold_13",0.718778753128407,0.678880443671862,1.54339548889648,1.79946717383835,4.50574601663921,8.99360337364076,1,0.107998291271892,15
"Fold_14",0.775057031990729,0.649026953571971,1.28204391184825,1.93120381644079,4.75954512537306,7.85569676984841,1,0.0813537770144973,28
"Fold_15",0.719591222632263,0.753867457186811,1.5954799152856,1.40639567617161,5.31841628159258,6.71973485837564,1,0.102813031064691,18
"Fold_16",0.777504965856253,0.670807470741432,1.35788398890873,1.58939336513424,5.85266140242078,4.74084806788902,1,0.0807818730653033,27
"Fold_17",0.793905981935578,0.624528893191275,1.26107795346913,1.68202960670187,6.2546326879424,4.10876983733793,1,0.0620554778195178,30
"Fold_18",0.807032121161429,0.645238439296438,1.14771018344997,1.83350541772174,5.02565780298326,6.98915480938108,1,0.0641665740977187,31
"Fold_19",0.720078210567583,0.660438651872393,1.62116581276345,1.61239842431849,6.38199908233901,4.69341643742889,1,0.108279412158998,20
"Fold_20",0.732477809101571,0.642175002761045,1.54028034300939,1.78996443984388,6.41642634793511,4.3694294995503,1,0.12514952133496,14
"Fold_21",0.85180948893227,0.698000128657047,0.86968803242965,1.74782015412923,4.40619664909357,7.26446463878567,1,0.0318789872482077,58
"Fold_22",0.867702395788653,0.706652090143764,0.801423956022917,1.6236687830898,4.47307155647198,6.7286033059907,1,0.0269300620663948,60
"Fold_23",0.71799800896542,0.662643744686679,1.66901793033111,1.53815426049597,6.60409604482194,4.00643332649995,1,0.139289077046642,14
"Fold_24",0.751243431441968,0.624883406672496,1.41365121773207,1.94502033110736,5.97447837588796,5.22349881247133,1,0.099170687484246,15
"Fold_25",0.818014092734776,0.692533324784854,1.09376633028475,1.60901711486487,4.73802104406073,7.00335695457141,1,0.0472231686445108,32
"Fold_26",0.778489927013183,0.627818903241169,1.34187599400601,1.7287378794522,6.3290607547474,4.14877171418392,1,0.0800887179858308,24
"Fold_27",0.859875662929137,0.723291516829899,0.910318468603967,1.37928070892768,5.57719431211848,4.73165077246105,1,0.031264829670684,53
"Fold_28",0.801446934216145,0.751006633170766,1.16603133715264,1.43309352836865,4.89791275196569,6.7183479004945,1,0.0583995093049674,32
"Fold_29",0.81209493294199,0.721978217684431,1.08556385962611,1.69779937408687,5.34062760753974,5.56301140408742,1,0.0555388582538429,28
"Fold_30",0.759466403591615,0.673783125846068,1.38126269012816,1.73502544078909,5.19704309069569,6.96740561188731,1,0.0861705258940474,25
"Fold_31",0.74351966919949,0.671601778083464,1.50113540453926,1.60932472491448,5.81561786676838,5.54211399149077,1,0.102872085594164,19
"Fold_32",0.712893288760197,0.686592808358566,1.55720766621432,1.8107145740115,6.00063309362759,5.29635255300625,1,0.109037024728598,19
"Fold_33",0.806757827654511,0.689574880072167,1.15446054578633,1.62424924217442,5.77350432475257,4.84410339100605,1,0.0569160351060398,30
"Fold_34",0.786470670727308,0.693308856203374,1.22547814075406,1.73368901719294,5.52537672785885,5.58896805878742,1,0.063751159264173,30
"Fold_35",0.725603349576974,0.722628510306891,1.55362159785334,1.58299083539905,6.14893596307638,4.52403872433367,1,0.112931392949906,20
"Fold_36",0.801279382563995,0.724927134574944,1.18295285943232,1.5170203880574,5.23396290821538,6.0098186539487,1,0.0580490793935777,32
"Fold_37",0.848167124777179,0.681306599282534,0.888859733563847,1.82750429993634,3.9200449697508,8.29845612367758,1,0.0328444918142238,46
"Fold_38",0.691774161569378,0.653494274821181,1.74323206028124,1.81478017117718,6.57091599608838,4.50349681971343,1,0.180679326049546,10
"Fold_39",0.770376998780978,0.672671673617664,1.30005922083174,1.85527084955009,5.51785162952936,5.73068207157251,1,0.078592218928494,23
"Fold_40",0.765819947553493,0.69254664782756,1.3731242836653,1.58093874876426,5.27874092761211,6.46483309412095,1,0.081225822628124,21
"Fold_41",0.779297559479156,0.691183809120002,1.25823481849465,1.76933034260461,4.51692056233175,8.3881223703219,1,0.0770061192284427,24
