"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.764941621502899,0.670735938248432,1.34572345777151,1.77360588736996,6.34932925494043,3.93391496183598,1,0.0704584361559699,19
"Fold_2",0.783575948261924,0.796150618735976,1.24436219079426,1.32233374666104,4.85681178384266,7.17691608219498,1,0.0528755148087598,29
"Fold_3",0.809784881747945,0.712218119973233,1.17056719326839,1.40360470430058,5.63589884626466,4.9558893512423,1,0.0424548148088332,31
"Fold_4",0.720820844957141,0.723526081893008,1.55054636007142,1.57521915769792,5.26444581055923,6.82784596838904,1,0.109499251929057,15
"Fold_5",0.854600607507792,0.707497976609742,0.879232929457708,1.56069352680975,4.7719576879176,6.02488635438559,1,0.0220655004911843,51
"Fold_6",0.763792638067802,0.721725803467636,1.3823900012094,1.4274343641287,5.8736587475986,4.67293036611507,1,0.0659042373362584,23
"Fold_7",0.773718927162962,0.678083784046953,1.25030843645643,1.95042130046398,4.64541475008392,7.62863278677726,1,0.0767880598974057,19
"Fold_8",0.689845473638854,0.657808182453147,1.64891450320884,2.01942012919563,5.86088886687014,6.00064129757702,1,0.167062985405073,8
"Fold_9",0.701129440123832,0.568571341931044,1.68764628145423,2.17693835604694,5.98468997787447,5.9852248033806,1,0.24251713137487,3
"Fold_10",0.836119202921662,0.723259790171492,0.92219307435419,1.81422650725463,4.74560781980387,6.36886716131564,1,0.0326923343967132,34
"Fold_11",0.7480541246573,0.690047902368352,1.48133116003043,1.50419703459452,6.33356390669427,4.26374392821909,1,0.0833960495205626,15
"Fold_12",0.766373538809505,0.722952657576871,1.28795219832969,1.74602741967848,4.62813317068218,7.81137042178151,1,0.0667542982643487,20
"Fold_13",0.661830059847207,0.690986132298324,1.89212769045975,1.95393489922842,4.88162266018038,8.99020532087391,1,0.307874684055923,3
"Fold_14",0.823237348294169,0.725788423986403,1.03149094623155,1.59085439198804,4.44019176996726,7.40757950687882,1,0.037785629493318,31
"Fold_15",0.774167394149916,0.76553650375184,1.32246158108741,1.31600947237653,5.04152685616326,6.752925908494,1,0.0572253108102612,32
"Fold_16",0.775249840419112,0.711977752498047,1.35141749861805,1.39998783637643,5.76837091020688,4.6686040418628,1,0.0585091728759151,21
"Fold_17",0.711293657618683,0.586704375989288,1.70083462171592,1.81935832531005,6.75774739033554,3.58700819950619,1,0.178643168538617,6
"Fold_18",0.770331801599471,0.654387609206274,1.33499302885951,1.78999520467411,5.1972311466941,6.43913261045655,1,0.0849419966425421,19
"Fold_19",0.782623335886378,0.69649535344164,1.30773045479002,1.46981196975123,6.10518832251556,3.99131545181268,1,0.0583165460633882,23
"Fold_20",0.756884864923463,0.6379543163157,1.41938968678907,1.80121300288719,6.16130083207733,4.49031552705675,1,0.106983664545131,16
"Fold_21",0.795487453840447,0.663227745584102,1.1588609900049,1.9275281994222,4.74788332062343,7.54541167493612,1,0.0611486647578027,23
"Fold_22",0.843352967988611,0.712656756099815,0.930005610651187,1.62228673134071,4.6337981594982,6.64730269869859,1,0.0285790007736476,47
"Fold_23",0.784159724639086,0.716874912274101,1.31453487737061,1.38263987054846,6.22455579620809,3.69442089000234,1,0.0543136216191944,22
"Fold_24",0.788339570744398,0.65263272154523,1.22752406234043,1.83824220128339,5.71356221953322,5.22611143830548,1,0.0605447531379049,26
"Fold_25",0.813905940778868,0.68710973860454,1.10942466693409,1.64314376980759,4.79091436539678,7.01362137210746,1,0.0431856453736291,30
"Fold_26",0.769427029429514,0.655997223532315,1.38522879014524,1.60244252776117,6.23134972127655,4.07794980825989,1,0.079433346338415,20
