"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.804241265408044,0.642159085404712,1.14907097130992,1.94519052411923,6.13695406947357,4.54393069829859,1,0.0510361641012662,27
"Fold_2",0.723392200452799,0.749119206401301,1.54610393657416,1.56634145176255,5.06468414871551,7.49776686084134,1,0.10338325691658,21
"Fold_3",0.77521019794237,0.68126204027977,1.37559997929209,1.49719047294066,5.9025954810501,5.12757425943353,1,0.0809976071101388,19
"Fold_4",0.684717293817076,0.635183237326547,1.79002982262286,2.06056772535251,5.65188191985247,7.13880433644331,1,0.225883413675019,10
"Fold_5",0.782458646055443,0.634125064037823,1.28053007922702,1.8712072968404,5.2975030206114,6.5781586769864,1,0.086074678736248,21
"Fold_6",0.786062521821274,0.713159972362407,1.28700079845303,1.46887571656413,5.87408169231017,4.99189338209793,1,0.0672706247843636,24
"Fold_7",0.719208695649919,0.694902051140314,1.52479387919528,1.8827051859872,5.10176782325894,7.83413893183293,1,0.127328246136955,10
"Fold_8",0.748922380341737,0.656433472129987,1.40002422397902,2.00110459023504,5.6537321949231,6.08296348942341,1,0.115467994271062,15
"Fold_9",0.81664082189358,0.71211950496458,1.07844235624425,1.5966227137165,5.37831630197274,5.42462531441554,1,0.0360637254452658,37
"Fold_10",0.815588964916734,0.722333131128277,1.02531194447843,1.78434890761025,4.72515170420463,6.89175276178071,1,0.0374695931538185,34
"Fold_11",0.75398465617914,0.700820915970965,1.47613494101522,1.46330880297316,6.38100357116416,4.03588243510072,1,0.0952135791008361,19
"Fold_12",0.748389268257636,0.774384294602152,1.3814499250187,1.55422774257408,4.72427942209531,7.64873978663875,1,0.0778387374667088,21
"Fold_13",0.699027445102816,0.661158250922303,1.6820604379195,1.911558103832,4.8464802462438,8.80505937628093,1,0.159035905108217,15
"Fold_14",0.667823678873033,0.518297085880861,1.96940225848493,2.49698467788084,5.39942863797301,8.38612401453522,1,0.380925796235896,7
"Fold_15",0.735494426030182,0.673053655259577,1.53979318370652,1.67892592860477,5.34375053358373,7.00421031064888,1,0.116891692747456,20
"Fold_16",0.766252936198932,0.635281398738159,1.44402765257188,1.68130672317359,5.9546170837686,4.83042504391959,1,0.118931552479027,18
"Fold_17",0.758090517338089,0.651407034444282,1.47574945025726,1.58578386957414,6.54802890705161,3.87055286699426,1,0.106508321187162,15
"Fold_18",0.745660983596078,0.681982705209803,1.47596384162734,1.71268233197493,5.38900240694791,6.68486962076589,1,0.116139892951159,18
