"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.818724213194505,0.683826792487003,1.09441527991664,1.70890433079905,6.14169331284292,4.18547291690625,1,0.104647161411394,24
"Fold_2",0.790188845536817,0.770015596924257,1.25399892972922,1.42518930611673,4.90292890935588,7.63646845294455,1,0.139578646571345,22
"Fold_3",0.822527778973842,0.761603537837519,1.13475256860675,1.19746069557106,5.69302713750435,5.02837071907615,1,0.106237945243551,26
"Fold_4",0.799007776819579,0.779448593101378,1.1970902775783,1.35675049648589,5.16430930001953,6.52281696680086,1,0.119045043821159,24
"Fold_5",0.833940387238407,0.715711605499726,1.00199939662971,1.55332524072887,5.06040036848248,6.30566562559239,1,0.0782228736798112,35
"Fold_6",0.80754211489842,0.768335228298705,1.20689057283884,1.24373070300232,5.84919580906299,4.82261834641972,1,0.126911448899505,23
"Fold_7",0.807376737253909,0.748409693577596,1.09991423555538,1.57943014621133,4.65327058866632,7.54483524426621,1,0.102034219423112,26
"Fold_8",0.788017638222263,0.721892028043933,1.22898224691565,1.70855509157181,5.58101418442784,5.78308135515554,1,0.147097423788937,17
"Fold_9",0.786950564651051,0.723178088068993,1.28356817226384,1.55178243630654,5.84257374289954,5.57227988259192,1,0.153115910152074,18
"Fold_10",0.891081717659655,0.72929116423092,0.641487910785233,1.74574033370434,4.42144498433757,6.38765856774168,1,0.0370902919232881,58
"Fold_11",0.796280207331705,0.745772125403223,1.28410789713872,1.27919228422199,6.29389639552682,4.10287864684279,1,0.140019314549724,20
"Fold_12",0.817318466270308,0.827530443746956,1.04736359232027,1.2437385843165,4.51547362960923,7.34911396462201,1,0.0739607111190829,40
"Fold_13",0.809245759767315,0.779686114061212,1.13201901491962,1.34430108075356,4.47881043801737,8.44003157273207,1,0.104031441369382,23
"Fold_14",0.818227033256503,0.700836356482982,1.08775337728144,1.75357441369798,4.63003331094016,7.8545690443777,1,0.123313593534735,20
"Fold_15",0.762259832286124,0.748716758640898,1.47367340615111,1.50390432413314,5.41642717629639,7.04869146365084,1,0.20708808192611,17
"Fold_16",0.823439913199285,0.743252920746712,1.13369951930646,1.29445245973541,5.81656456401056,4.56287397674249,1,0.113392144403613,26
"Fold_17",0.80430576910205,0.686263697697917,1.24479896747638,1.4665896701315,6.44043212816443,3.82847963368439,1,0.139944595965732,18
"Fold_18",0.821837920946648,0.702374417388615,1.08452583566053,1.5938981323245,5.03644674296092,6.82288038529743,1,0.11045497672221,19
"Fold_19",0.80954824243576,0.745332675754002,1.20348732396371,1.27747976490856,6.16291959291497,4.19322260955071,1,0.119230855989782,22
"Fold_20",0.817921244111172,0.722200562036325,1.13799689367678,1.46097531828697,6.16155717714659,4.27766732513073,1,0.127081948872501,21
"Fold_21",0.837114003832938,0.722472021152098,0.965007099246241,1.64780604133351,4.730590162979,7.46578856651216,1,0.0919683837794629,24
"Fold_22",0.800221150074775,0.719670213053762,1.21366325653328,1.65298497207943,5.20811972986585,6.81221628005258,1,0.150824753657994,18
"Fold_23",0.80614868062836,0.761569991593727,1.23313967883196,1.16407121278507,6.27586800680974,4.01039990508787,1,0.119149505052447,26
"Fold_24",0.824650804229247,0.715032570132895,1.06971258003842,1.63981424067359,5.73852296688997,4.90960325158867,1,0.112008186269922,23
