"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.804474823877108,0.695778965771864,1.1509121694932,1.64867836627949,6.1859087817188,4.30244647744921,1,0.042937745049871,25
"Fold_2",0.770735456136735,0.754252500756954,1.31700268074321,1.4796970938048,4.92032659608382,7.61744413381478,1,0.0653959614553843,22
"Fold_3",0.76960085011669,0.68614644697821,1.42771791629102,1.53623541722735,5.87249755385021,5.5880202811472,1,0.0933469719733771,15
"Fold_4",0.718987030485774,0.683407286204242,1.56680322632647,1.78407027759174,5.39370109179028,6.97141441226607,1,0.102605748473056,14
"Fold_5",0.796927755464234,0.713331051464645,1.18739454723604,1.55937961997103,5.33771381097694,6.18166472132195,1,0.0442230199401555,22
"Fold_6",0.750054366771479,0.763456930476368,1.50527873385131,1.350823082403,6.18852842829002,4.78366311341645,1,0.0928951343057627,16
"Fold_7",0.736083647478195,0.771521879633361,1.44708097886617,1.54716780689852,5.12747336393409,7.36268042241993,1,0.0861907900511006,16
"Fold_8",0.76900072952825,0.708002744551548,1.28362987241286,1.73760442901117,5.590576303597,6.08458360915948,1,0.0637607299156812,15
"Fold_9",0.77818478082044,0.686929243849719,1.29244722180788,1.70026760570713,5.79450199873357,5.59980261134996,1,0.0677836997357708,17
"Fold_10",0.75592128878762,0.771467997263128,1.34618002530437,1.74336043007566,5.45041698754674,6.39872744642777,1,0.0788802509108479,16
"Fold_11",0.77855828981744,0.721770518442999,1.34340387597935,1.37591013276891,6.30208649771047,4.3837757125089,1,0.0652200483043241,18
"Fold_12",0.773593199629062,0.752675357599536,1.26127744094409,1.63045251357197,4.66011514951771,7.86544888428051,1,0.0592652091230577,18
"Fold_13",0.747583425069655,0.768596980759222,1.43738183685196,1.50213661049869,4.6984052795452,8.38941957642887,1,0.0835986565888321,16
"Fold_14",0.779106466156229,0.668407094462634,1.26368491832469,1.83823205887935,4.82954434456043,7.88050731941386,1,0.0685452114661636,18
"Fold_15",0.775236174953398,0.754888053744003,1.32295985468235,1.35058793102841,5.07765516075713,6.87682100640971,1,0.056674989291898,21
"Fold_16",0.766187889648483,0.648335943075652,1.42843817975116,1.66307457585879,6.0297516502456,4.92857155121175,1,0.0908439673377252,16
"Fold_17",0.765247060840098,0.700985975934852,1.43124117347814,1.41570805339462,6.63463230783284,3.48917079582028,1,0.0774128406415276,16
"Fold_18",0.777545430373005,0.686284648914492,1.30006374688965,1.658605453015,5.20201670625781,7.0385742216974,1,0.0699728021076396,16
"Fold_19",0.783894560951086,0.684838284233689,1.34023134641915,1.52031678066023,6.25261230601079,4.36443359097127,1,0.0809016482629893,14
"Fold_20",0.790266720716916,0.719113062461559,1.24671737844212,1.46440939559565,6.20322951754491,4.20314200153076,1,0.0549750358798217,17
"Fold_21",0.81302839448253,0.648766196638389,1.0715296968249,1.98915998106013,4.79543345832327,7.70619798657205,1,0.046878110083554,22
"Fold_22",0.766120017518923,0.718658917327854,1.34588828123653,1.60937360278678,5.35272228463763,6.60558947340607,1,0.07668374206619,18
"Fold_23",0.79843708712569,0.721459145866412,1.2426099430181,1.31852226960611,6.26482638370418,4.01934136362912,1,0.0442732806894745,23
"Fold_24",0.822912335744976,0.67899249435101,1.04453255821563,1.70399267150007,5.70270398679732,5.23225093034535,1,0.0321072487136789,28
"Fold_25",0.822763885833889,0.726252919763547,1.05253226582236,1.47425433194967,4.7518479877423,6.99560105622145,1,0.0259739149313614,33
