"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.648740700906819,0.554655965516132,1.86284777874076,2.17875142834698,6.96677678867028,4.09845033671516,1,0.056761172003768,7
"Fold_2",0.574571020980208,0.593232682499115,2.10756778630628,2.19729995540345,5.34671293044564,7.93907293921013,1,0.0948783428768827,4
"Fold_3",0.582259540056847,0.524805249025078,2.24093003337216,2.02730271012495,6.38432788792793,5.65277172508856,1,0.163126484578198,5
"Fold_4",0.592993388260713,0.543349611331783,2.11522677772045,2.30938789385932,5.70752502723218,7.28221776802432,1,0.196788617903059,4
"Fold_5",0.672013203093692,0.48226552982929,1.76161738323187,2.3948547730526,5.73891658853431,6.84024835848696,1,0.0485347097906954,8
"Fold_6",0.642910049966584,0.637389549760386,1.92032273671431,1.76648780860427,6.42131605651292,5.24640564197161,1,0.0277166311107139,11
"Fold_7",0.57067349871763,0.586507347640811,2.05299817196519,2.38719770754407,5.49432332386677,7.82383437920583,1,0.103817111754252,5
"Fold_8",0.649720623314998,0.512034783909504,1.77827402640608,2.54631349375977,5.93998095990438,6.5064946683534,1,0.0580964024019074,8
"Fold_9",0.611188870816334,0.51350653818969,2.04074478597461,2.3382919610224,6.1892671049324,6.0617547710964,1,0.156589137941123,4
"Fold_10",0.578160918543708,0.659921969632302,2.01044069173131,2.35611054728018,5.86880177773984,6.71658119234218,1,0.0950115414786173,6
"Fold_11",0.650451579768064,0.60103718168797,1.91838228182981,1.85928408630379,6.71981890853104,4.56166697783741,1,0.0449536494388656,10
"Fold_12",0.65265156198918,0.696078731561726,1.74857561271976,1.84563775095821,5.27808206244398,8.05099369970408,1,0.00840069026923883,17
"Fold_13",0.580957111155282,0.657853783559856,2.08340853320479,1.91371066095545,5.04367396885015,8.64206937627077,1,0.0694050733722803,8
"Fold_14",0.64952153462066,0.550867300726338,1.80774830302183,2.31192883063198,5.16153283770527,8.30589425336211,1,0.0392240901297297,11
"Fold_15",0.556833647880519,0.619191132397648,2.28382601713258,2.03104233404111,5.72692669989178,7.2905008544918,1,0.189952044352656,3
"Fold_16",0.664044957324831,0.54657504320667,1.86281745027053,2.02649804718575,6.36163838503008,5.09498669530923,1,0.0326476291092538,9
"Fold_17",0.666196612662702,0.524001463464646,1.86079957982316,2.01169893620474,6.89619218120744,4.08625624357021,1,0.0278207324451452,12
"Fold_18",0.673880342109317,0.561674024287968,1.73983350329703,2.18847060929706,5.5740546107582,7.69032910539109,1,0.0157929994194985,13
"Fold_19",0.614826036369459,0.563249891973645,2.07198411653655,1.96038011157395,6.67161364939992,4.59750521428534,1,0.0737145688055913,7
"Fold_20",0.645577855338359,0.582058240751397,1.89346715180864,2.00100462297659,6.75165892428872,4.47096396504854,1,0.0415865985740851,10
"Fold_21",0.664039668940918,0.557879145140595,1.73335120338129,2.3488677329846,5.28565473990692,8.03619574650685,1,0.0427135879852163,9
"Fold_22",0.660612471164478,0.551762410461542,1.77235472751318,2.2970361641542,5.61761199181015,7.05076155962424,1,0.0331945613544684,8
"Fold_23",0.634502663347154,0.569262982595776,2.01939591738263,1.85980204673611,6.8525218944326,4.27445343627574,1,0.0642329497427181,8
"Fold_24",0.687668965734668,0.5543762761437,1.67379554607982,2.2247937813624,6.3283871709046,5.55893061155654,1,0.0126637604928364,15
"Fold_25",0.599881657808743,0.545337347564338,2.0842728265417,2.19076911428193,5.65378842905181,7.28887062594559,1,0.126300799785721,3
"Fold_26",0.641381655087651,0.523933483720626,1.96310037836912,2.07554310828734,6.67097246242753,4.77803304294045,1,0.0539113789193125,10
"Fold_27",0.573015771236552,0.625869638001058,2.26147179038817,1.69977426703484,7.09133899698568,3.59324746686172,1,0.08642844223717,6
"Fold_28",0.604014735200008,0.611944831708812,2.01294921805968,2.05175333494832,5.76153195904318,6.93006481945611,1,0.0773866168516757,5
"Fold_29",0.635300793090093,0.681235521051147,1.81292980429194,1.89531684160023,6.04187326292483,6.25149435883476,1,0.0150923653666494,13
"Fold_30",0.595268550368701,0.56082762991996,2.07277920471062,2.18803643569307,5.79251202705505,6.99729706491859,1,0.0931767543659087,7
"Fold_31",0.582049840974223,0.57766107740087,2.19110391485677,1.99475749848143,6.13762533375564,6.15741580261915,1,0.127440021738145,5
"Fold_32",0.65671379152594,0.592196320377345,1.763512419035,2.16771538595441,6.22599572114394,5.76666515482701,1,0.0202539171827796,13
"Fold_33",0.62408536283047,0.546710486719758,1.97820275859137,2.17775301994182,6.42753409212492,5.23529949827353,1,0.085794115527572,5
"Fold_34",0.559045041023442,0.509912451499803,2.1998440626248,2.49161897358609,6.34808209807766,5.98473766683847,1,0.210243536593115,3
"Fold_35",0.625106231090864,0.644640596633687,1.94080472679073,1.8722572909105,6.50189006690612,4.93971510105224,1,0.0354717540371844,8
"Fold_36",0.620525523538233,0.581629785913815,1.97714589733827,2.07352057512041,5.8002156478192,6.68887804071076,1,0.0655642611589182,7
"Fold_37",0.651850526322998,0.532899874782237,1.78551740527092,2.44029451367908,4.8813171584668,8.83418422323357,1,0.054344040738573,9
"Fold_38",0.596807789806867,0.583433535677606,2.11580079487339,2.04783329854455,6.77000378144252,4.40650714824094,1,0.105655230188384,6
"Fold_39",0.614548834482796,0.574574255431807,1.95707003243283,2.28756801486416,5.95678375847867,6.48280999103167,1,0.0951928165750457,5
"Fold_40",0.613376849892676,0.626054421932626,2.01883853537294,1.85474260758358,5.7416068031859,6.86877306235531,1,0.0449011537058121,7
"Fold_41",0.585978932275127,0.573300928676457,2.06623556071065,2.28395762137306,5.04659610515185,8.68822875844388,1,0.131334553652175,4
"Fold_42",0.63609660792618,0.535206741456695,1.91746947309923,2.28615917719326,6.4718439419869,5.23673080731923,1,0.0805547978016869,7
"Fold_43",0.633308259692621,0.623894275024056,1.92809195473181,1.92152975960877,6.22822480508678,5.52136908714022,1,0.0411190706240191,9
"Fold_44",0.570770808742136,0.490032669142163,2.33398304702896,2.40335211464184,7.06602818163998,4.38275936591173,1,0.358694926100349,2
"Fold_45",0.621521521108069,0.653498722140398,2.05345179039666,1.63733461912631,6.92210256310493,4.00344357497118,1,0.0568898012871823,8
"Fold_46",0.610851429946713,0.531839046945781,1.96175180875307,2.38376870402527,5.89184368522341,6.64642271087651,1,0.0787148721197152,6
"Fold_47",0.647485858485799,0.591541817079547,1.95957060396476,1.81528197782546,6.94294481507495,3.91701033190722,1,0.0515884129149884,9
