"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.710743111697371,0.63942788827952,1.58862033567787,1.91486709178282,6.60523599453485,3.74574474750977,1,0.0225745070998787,15
"Fold_2",0.648679638047695,0.664204698676129,1.82308933868931,1.86974408827584,5.26237908527143,7.65685448889483,1,0.0411573963920425,8
"Fold_3",0.703754642922803,0.644126902647831,1.68955734897498,1.64081601199713,6.08410736058585,5.20014320732631,1,0.0240275075870546,11
"Fold_4",0.704689695245056,0.66307693744208,1.58761284256182,1.84336284971549,5.34568316335586,6.95299876000628,1,0.0162770872530382,12
"Fold_5",0.709645033514822,0.58969194628716,1.58994583492651,2.03230357662506,5.47965565239994,6.77905379757524,1,0.0225844905438824,11
"Fold_6",0.683613122010339,0.666282580130798,1.74904922678807,1.6562587228441,6.24132797200328,4.90478144747085,1,0.0294140450696593,10
"Fold_7",0.713885391374142,0.671851215467179,1.48923166132354,1.9788147450823,4.97883998723526,7.72721818675412,1,0.0170120247782006,11
"Fold_8",0.696360409799911,0.692595806935378,1.58587884378802,1.81300777739484,5.65286414365256,5.96986213704234,1,0.0207251211175651,12
"Fold_9",0.677790062207355,0.593911632307813,1.73094804157258,2.07158288595076,5.98938818826295,5.81855914886699,1,0.045932755367865,10
"Fold_10",0.691855041874152,0.707170597600863,1.55819876613703,1.95401569531364,5.58198293542741,6.41933900736261,1,0.0166429687054497,10
"Fold_11",0.646232454975069,0.6208188364075,1.93732951970888,1.76594209867113,6.69759032597372,4.2920825494267,1,0.0530331171970286,9
"Fold_12",0.697084090007183,0.620243869830888,1.57318498764458,2.1574760260293,4.87781683431582,8.20857360658947,1,0.0249004680372791,9
"Fold_13",0.62735195458504,0.645456202827347,1.92009928684729,1.98215289778741,4.91262989351372,8.91050044710182,1,0.0704092099205515,7
"Fold_14",0.697994161784544,0.611739860553125,1.60875682329742,2.06790910396051,5.0305174159563,7.95080715210482,1,0.0295422170770775,12
"Fold_15",0.633418079166039,0.660723014186221,1.94970187074181,1.80030920623824,5.57521254063667,7.0682050341979,1,0.062060243185935,8
"Fold_16",0.693908279199487,0.585465597176641,1.72616424426115,1.85267768822075,6.15366727694044,4.95649089011686,1,0.0243891947734358,12
"Fold_17",0.669250221987822,0.537818514911437,1.85651045317554,1.95846912501906,6.89492307764105,3.6536386567376,1,0.0498262627000809,9
"Fold_18",0.719920394085139,0.640172400107113,1.5412754423885,1.86366155229786,5.33990871322563,6.7949290993016,1,0.0147024945499423,12
"Fold_19",0.669746120067906,0.58692218478979,1.83628421255471,1.87240170754021,6.64803351473025,4.18050488404323,1,0.0464068554372852,10
