"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.790711771505595,0.696295477735446,1.23548524281272,1.64252749356647,6.28425480336697,4.07339191346892,1,0.056761172003768,16
"Fold_2",0.762996526097024,0.751464883086304,1.35424666637836,1.50159705391433,4.9025843546294,7.61807781541882,1,0.0653959614553843,17
"Fold_3",0.75402357936057,0.704533115405477,1.49703921644275,1.45676139496043,5.91932188612054,5.36496776446682,1,0.0850542842582976,13
"Fold_4",0.73422442079995,0.709916782376198,1.49634797244582,1.67481532927904,5.33584008462809,6.88967626202548,1,0.0851850949736612,14
"Fold_5",0.772727232482324,0.690801383167101,1.31724058175425,1.67770096452164,5.38819885241685,6.29671442393014,1,0.0584602297683252,17
"Fold_6",0.74666387241486,0.746637339961579,1.51365483351683,1.40263458929031,6.14134412760366,4.81534888476122,1,0.0846425866037573,16
"Fold_7",0.756225620242691,0.784836408992069,1.32980897469362,1.43523474691506,5.0240950642683,7.26299656609129,1,0.054130328112286,19
"Fold_8",0.760279479882714,0.6948949450013,1.33132876733538,1.8086592176217,5.5964674100147,5.9922484961426,1,0.0699773223693963,13
"Fold_9",0.76380185977202,0.686732498114977,1.36824467739473,1.71983371014905,5.81585263794947,5.61930311249644,1,0.0743925267805605,17
"Fold_10",0.755455840138226,0.760946705608658,1.35340964644525,1.80622885642658,5.46060010709343,6.4273201423514,1,0.0788802509108479,13
"Fold_11",0.778295966512192,0.721954637459235,1.34325760503831,1.37160784483087,6.27546088321562,4.20895257636216,1,0.0594260789669533,15
"Fold_12",0.780390302022134,0.743527635593766,1.22309208733633,1.64106815857019,4.62503698292045,7.8669309748119,1,0.0492030177929779,16
"Fold_13",0.736802084964816,0.79036112972008,1.49264762084638,1.45061919244226,4.68391275148686,8.36772967598981,1,0.0835986565888321,13
"Fold_14",0.778181725872145,0.681141388687434,1.26266983811074,1.77336025987196,4.84700469942218,7.72977128365947,1,0.0569074387705303,18
"Fold_15",0.73945495741235,0.730244758530386,1.52518247562999,1.49026921947153,5.29249133359036,6.89797916753373,1,0.0902426102622799,11
"Fold_16",0.749643603821928,0.618486717814859,1.51417189631864,1.76126911023147,6.06342057914745,4.93186740250926,1,0.099701142005645,9
"Fold_17",0.782517306460013,0.717769249376907,1.32868730217052,1.3434050925678,6.49577810501045,3.39596299108177,1,0.0533576682437888,19
"Fold_18",0.79422209159195,0.705920702860002,1.19601361901355,1.57384768885479,5.0573874877004,7.0045985121108,1,0.040041009981487,20
"Fold_19",0.785220717929379,0.68415235593807,1.32124291934493,1.51950257260874,6.21474748107047,4.24480978497277,1,0.0671659696787674,18
"Fold_20",0.786697058247165,0.719997190875333,1.26226169263271,1.46126915269884,6.20578385434371,4.1425694381084,1,0.0500912052098063,18
"Fold_21",0.818392969249407,0.675845152165797,1.03528924269882,1.85501426003406,4.78291468878278,7.38010470925985,1,0.0323112628990942,27
"Fold_22",0.770070806863169,0.705838912451374,1.32340988571855,1.65092202172735,5.31012512981954,6.56439338531945,1,0.069871369770279,15
"Fold_23",0.781183402593852,0.729641150295183,1.34137763724461,1.28079124773998,6.26068538836293,3.92878340859895,1,0.0533273233293428,17
"Fold_24",0.81284724292227,0.686325203373485,1.09028130118274,1.67744367997512,5.65063494706181,5.22471036248951,1,0.026656001946479,25
"Fold_25",0.798991673261446,0.742710556731935,1.17912490215031,1.42295385912561,4.90600217591341,6.89053563455276,1,0.0343359869345229,21
"Fold_26",0.786739740381877,0.667137902260146,1.29115696840862,1.56525331743905,6.2165161789691,4.24477560959449,1,0.0491220406021073,19
"Fold_27",0.75967717017547,0.783634197123677,1.45116243786186,1.06155182241552,6.4497816087811,3.68045837752266,1,0.0542795806113165,18
"Fold_28",0.778486202573293,0.735087638318969,1.28170905633479,1.50966515130816,5.12280156256413,6.81687357347591,1,0.0585401376918137,18
"Fold_29",0.74808812806565,0.754434190086043,1.38211089120653,1.54726581074639,5.63320976272717,5.70935281388126,1,0.0668685578391728,13
"Fold_30",0.752075614234363,0.721369323170733,1.42499107765386,1.54751469909398,5.37721454583054,6.6273564925469,1,0.0704847976583756,14
"Fold_31",0.800096613041776,0.667978776435315,1.19904190012767,1.65183481672431,5.42389092493694,5.95038915451735,1,0.0417308616499763,19
"Fold_32",0.772642623559609,0.689309871702819,1.28712817334931,1.75877827503682,5.77562302854065,5.49821014087871,1,0.0618525365640872,13
"Fold_33",0.782080337055263,0.673052256156726,1.28518393752806,1.70317466850316,5.90867896922808,5.00248201422561,1,0.0649001021165934,18
"Fold_34",0.775938031038198,0.701837607324042,1.29254972983793,1.67535172792731,5.64389603933945,5.78019612670383,1,0.0688452796751439,15
"Fold_35",0.788466337932789,0.722580618345998,1.2372632284888,1.53513057538547,5.94336063078018,4.67745652307138,1,0.0514634415808767,18
"Fold_36",0.76906044686822,0.745553463701844,1.33913679651041,1.40591155825484,5.51058932722579,5.93599391813179,1,0.0544326014557267,14
"Fold_37",0.777114594124296,0.644605857534524,1.27301858665456,2.01925367430703,4.58219384822618,8.55991757496539,1,0.0788438982432774,12
"Fold_38",0.74653290064097,0.78935185682253,1.48063407893467,1.28043528371128,6.42677213964974,3.80367920812931,1,0.0663545637937135,16
"Fold_39",0.743930603274738,0.69782520677093,1.438358949139,1.75347609914547,5.50703952597015,6.3760317854304,1,0.0867361491129149,12
"Fold_40",0.775640160723963,0.724094192541154,1.3280590229107,1.45826457691936,5.23680646218464,6.53955654966497,1,0.059356682697311,13
"Fold_41",0.859195113139596,0.700363528768158,0.816886764956412,1.71711714557109,4.09560813281609,8.50242025011333,1,0.00884426670862205,47
"Fold_42",0.75621750692373,0.70966857735268,1.41687005055977,1.60038858841187,6.15151415740634,4.71426918250488,1,0.0805547978016869,12
