"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.708096842271841,0.582988482643664,1.60498847512425,2.13423891153838,6.64364015762311,3.78699168779755,1,0.022023294264982,14
"Fold_2",0.699672156860286,0.670709556458734,1.60833290858758,1.8538182880917,5.00207893944207,7.6865344560743,1,0.0170648936932792,14
"Fold_3",0.701474555660337,0.672992782283528,1.70924390654947,1.54129790943675,5.97884369777927,5.3451556378096,1,0.0202605985168482,17
"Fold_4",0.703249343364461,0.656438611687831,1.60431960263473,1.84309129561656,5.27186952023465,6.9928847288517,1,0.0180709881666098,14
"Fold_5",0.722817662772553,0.619265944562774,1.53184261007438,1.94559554913472,5.41950462802901,6.60623072650822,1,0.0140603606945637,15
"Fold_6",0.71447107936135,0.689484412031117,1.61151908388845,1.55653835295154,6.07538281848215,4.89831794649267,1,0.0142255446208913,19
"Fold_7",0.697030908957831,0.717385268102313,1.57035920351475,1.7862539051034,5.1454491595261,7.41117626441462,1,0.0153349255397358,16
"Fold_8",0.725360388335728,0.670721023713378,1.46250477885257,1.89613676957352,5.55813197644135,6.10598331886613,1,0.0137020131372358,17
"Fold_9",0.704720633600268,0.636335087037656,1.60948016302371,1.89692322705429,5.88612236960375,5.62015853138675,1,0.0184775496528126,15
"Fold_10",0.710315866282521,0.743256721390389,1.50738574126993,1.84622564085117,5.50466287414716,6.25175834264791,1,0.0176272449565652,16
"Fold_11",0.666735979482906,0.600414268864554,1.84551899831311,1.83461148337836,6.52268261698838,4.17068733179178,1,0.0305666797649436,12
"Fold_12",0.74654467488032,0.688020906270281,1.36321721407848,1.833297789805,4.67302059902491,7.79666644564013,1,0.00982471876496607,19
"Fold_13",0.719125288733645,0.725699848300111,1.52380213766009,1.56433525147879,4.63805213638977,8.42289895283669,1,0.0131029267234127,17
"Fold_14",0.712039280637586,0.626298973584888,1.54915764936506,2.00196273400334,4.98863050649016,7.76005262235454,1,0.017682039098357,13
"Fold_15",0.660279949393862,0.673156582766593,1.82597225232476,1.71437930136303,5.3141902496438,6.96424473559612,1,0.0241051426998727,12
"Fold_16",0.735994703501022,0.631164981680372,1.53107581674424,1.70095221850654,5.97743734944092,4.66899326751291,1,0.0117558628111999,17
"Fold_17",0.7087960155485,0.631693834345254,1.6723597861129,1.65050661231876,6.63282062618878,3.67042764487845,1,0.0154263221195705,16
"Fold_18",0.740994108958939,0.660763609106901,1.46275416133573,1.76327655160628,5.3381295699381,6.77454304680913,1,0.0157869701429383,15
"Fold_19",0.71720406217377,0.703580449636049,1.61524480059094,1.44071111777721,6.40885175044546,4.10662346700344,1,0.0125807014321468,15
"Fold_20",0.704059362274181,0.679441992109788,1.64862726092635,1.63960401433544,6.35940596648591,4.35021412143294,1,0.0189096266316704,17
"Fold_21",0.701298963366268,0.643141648945832,1.5720510517941,2.00546018486906,4.93768139976769,7.88341881451471,1,0.0157768426080164,17
"Fold_22",0.741416348231489,0.653135459037027,1.42626323130998,1.86650954740179,5.23575477736079,6.75205905316699,1,0.012786957999869,17
"Fold_23",0.713210937389204,0.707134754545907,1.65514657482345,1.37077042391946,6.49461249486757,3.8747337564543,1,0.0127342922072202,17
"Fold_24",0.759049273298083,0.588265065054389,1.36245615808553,2.07623451846193,5.82752408476611,5.23653883752332,1,0.0143508705993333,15
"Fold_25",0.713616146360406,0.675849785970909,1.59446457189546,1.70284095516277,5.21510668737553,6.87986233806375,1,0.0194714277486518,13
"Fold_26",0.715614298969226,0.58297849435245,1.6359990395809,1.91767478000595,6.42804466069977,4.28241860333849,1,0.020494464413351,14
"Fold_27",0.712399526711409,0.710303753214515,1.66325168636315,1.37767942091043,6.59800960135661,3.50538826887282,1,0.0145440556451767,15
"Fold_28",0.70130232513855,0.667507436194108,1.60951823866304,1.81710855937734,5.36401854231479,6.81344815589127,1,0.0171809072262972,15
"Fold_29",0.684306045571417,0.738461290951582,1.64447576273554,1.65803359634294,5.89468536642811,5.60789395006105,1,0.0197056113914924,13
"Fold_30",0.711760496337411,0.666222992729853,1.58196716458315,1.74849022276633,5.39996059279887,6.53354743673942,1,0.0150063930246249,15
"Fold_31",0.687504549786217,0.633631307198394,1.73694542842826,1.77014973388785,5.814663181789,5.94106722612102,1,0.0219634923953233,13
"Fold_32",0.772040008533492,0.6325687291361,1.26246025147797,2.02669777504257,5.62595712751973,5.5639974918807,1,0.00863248901280186,20
"Fold_33",0.736035982263209,0.630059241976742,1.48172257677726,1.86899321954135,5.97419077605,5.06104839320843,1,0.0146749982939556,13
"Fold_34",0.715629095397795,0.68251736063115,1.5344788730289,1.77649345883599,5.81422155468401,5.74669945695724,1,0.0141629048206584,16
"Fold_35",0.752317848885079,0.614660227466716,1.39429873272291,1.97669724106403,6.00343573222997,4.79097874629221,1,0.0136611653691761,18
"Fold_36",0.707991524606294,0.744629715380907,1.60502247440036,1.42125050936388,5.58076694091255,6.07795763660308,1,0.0125277623981684,18
"Fold_37",0.734005888409813,0.58656103202441,1.43751320420715,2.23171487022415,4.63263694972602,8.59835118633584,1,0.0178765154504412,13
"Fold_38",0.704693609262256,0.722290958263855,1.65558738832287,1.50636181879258,6.48796014060996,4.01548210634151,1,0.0174496933535447,16
"Fold_39",0.71627273807351,0.643682419786708,1.52142026573138,1.99058726555884,5.55361969707152,6.42945457510437,1,0.015924701652211,14
