"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.827601014927035,0.704733806775883,1.01459060544341,1.64004016586995,6.22261701546293,4.53220499328032,1,0.0101505789532545,41
"Fold_2",0.701811997449027,0.678627891569687,1.62702534568835,1.81179544184886,5.24461404722081,7.96219827789031,1,0.0666559255159001,20
"Fold_3",0.703318240206273,0.559073358738573,1.73051685467928,1.92202991325391,6.24865219083628,5.51841524341316,1,0.0905896820577752,17
"Fold_4",0.678165136443941,0.620306172367984,1.73346271701803,2.01171403028065,5.65773580187875,7.19589578129016,1,0.0849949626341042,12
"Fold_5",0.75339779849577,0.564733526875209,1.41384867425501,2.13965662562866,5.59445022767517,6.94302446405279,1,0.0618553954959316,16
"Fold_6",0.637233833609894,0.63728924878144,2.00906942109021,1.85297290445327,6.54782609467368,5.09800127683523,1,0.145111265808787,8
"Fold_7",0.843249178896658,0.744598051859437,0.883484666651864,1.63029325893008,4.57166447108486,7.81007223652293,1,0.00701407062448773,50
"Fold_8",0.693376005425923,0.640665317316417,1.63197436071601,2.06137822859672,5.98124344692801,6.27671985610411,1,0.0844711449318327,14
"Fold_9",0.751540126829085,0.666398770382217,1.4087960486795,1.80943552295961,6.08889900463853,5.96558399631123,1,0.0416924130476136,26
"Fold_10",0.794140789974348,0.663444015043208,1.12357414133863,2.16652494526519,5.35035426029613,6.62156393699087,1,0.01951704828931,34
"Fold_11",0.651938108184869,0.640785530046591,1.96139076953255,1.69711839334766,6.89905267865431,4.33017407102924,1,0.122390180099258,10
"Fold_12",0.727968969037913,0.664494607848317,1.45957625039088,1.94394648295296,5.00868290330297,8.25208113611057,1,0.0457771402037636,19
"Fold_13",0.703211713262912,0.630340149854163,1.611669341952,1.98821297474227,4.97124071793303,8.85096360705239,1,0.0670170115871921,19
"Fold_14",0.76215780203776,0.620840921899827,1.33526783217507,2.03507268220232,5.00085013503981,8.03798319673526,1,0.0453029483889111,25
"Fold_15",0.687000825578832,0.627981815083319,1.73513128242564,1.88620718505074,5.62782263363924,7.36459215383952,1,0.0786358421152028,19
"Fold_16",0.702914480769611,0.555571385254225,1.71851983977492,1.9632538867934,6.50100808456407,5.12307794855854,1,0.0842026643798682,16
