phylotree_tip_name,Assembly.Identifier,Phylum,Class,Order,Family,Genus,Organism.Name,Eusociality.level,Host.number,eigenvector_1,eigenvector_2,eigenvector_3,eigenvector_4,eigenvector_5,eigenvector_6,eigenvector_7,eigenvector_8,eigenvector_9,eigenvector_10,eigenvector_11,eigenvector_12,Lifespan,log_lifespan
Angiostrongylus_costaricensis_ott575729,GCA_900624975.1_A_costaricensis_Costa_Rica_0011_upd,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus,Angiostrongylus costaricensis,0,2,-0.00796041425830058,-0.0871705123138615,0.0859594272506565,0.00110783438481799,0.0103537843686907,-0.00495834248439317,-0.00197809658304497,5.450869325408e-4,9.6079753152378e-4,3.1493271447566e-5,8.97083364457892e-5,-1.0251135735364e-4,183.45,5.211942150801291
Dirofilaria_repens_ott232965,GCA_008729115.1_FGCZ_Drep_1.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dirofilaria,Dirofilaria repens,0,2,-0.00795789562872608,-0.0870939717188531,0.08583247747012,0.00110518225456422,0.0103185293279584,-0.00492352828319979,-0.00195815576846099,5.3658892216648e-4,9.4520182181025e-4,3.08334891475919e-5,8.77878503302301e-5,-9.99853727107768e-5,2653.2,7.883521737651401
Nippostrongylus_brasiliensis_ott369898,GCA_030553155.1_ASM3055315v1,Nematoda,Chromadorea,Rhabditida,Heligmosomidae,Nippostrongylus,Nippostrongylus brasiliensis,0,1,-0.00796047748544044,-0.0871724320908541,0.0859626084130634,0.0011079007482891,0.0103546651607576,-0.00495920740835789,-0.00197858966460469,5.4529530197478e-4,9.611795616753e-4,3.15093182153809e-5,8.9755012882288007e-05,-1.0257245206303e-4,323.9166667,5.78048628116713
Caenorhabditis_brenneri_ott90647,GCA_964036135.1_CAEBRE_CFB2252,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis brenneri,0,0,-0.00796036909448579,-0.0871691409122284,0.0859571546232503,0.00110778696989318,0.0103531549969197,-0.00495772420914534,-0.00197774399703224,5.4493784774288e-4,9.605241770477e-4,3.14817838557209e-5,8.96749200487602e-5,-1.0246760419119e-4,43,3.7612001156935624
Ancylostoma_caninum_ott936408,GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,0,1,-0.00796046290364625,-0.0871719893328687,0.0859618747271533,0.00110788544211149,0.0103544620066141,-0.00495900789031837,-0.00197847591065907,5.4524722258875e-4,9.6109140982231e-4,3.15056149378621e-5,8.97442407263727e-5,-1.0255835098322e-4,815.75,6.70410793547343
Teladorsagia_circumcincta_ott428054,GCA_002352805.1_T_circumcincta.14.0.ec.cg.pg,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Teladorsagia,Teladorsagia circumcincta,0,1,-0.00796048764680931,-0.0871727406150129,0.0859631196394843,0.00110791141277244,0.0103548066963745,-0.00495934637322944,-0.00197866887665352,5.4532876841195e-4,9.6124091836421e-4,3.15118949533592e-5,8.9762507897427e-5,-1.0258226103046e-4,291.4375,5.67482557456854
Caenorhabditis_nigoni_ott5701061,GCA_027920645.1_ASM2792064v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis nigoni,0,0,-0.00796036810959363,-0.0871691110093364,0.085957105075487,0.00110778593634593,0.0103531412807136,-0.0049577107445209,-0.00197773632316537,5.449346064758e-4,9.6051823476008e-4,3.14815343600759e-5,8.96741943510768e-5,-1.0246665459376e-4,18,2.8903717578961645
Dipetalonema_caudispina_ott5926603,GCA_013365325.1_Dcau_362YU_v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dipetalonema,Dipetalonema caudispina,0,2,-0.00795787132623492,-0.0870932342624576,0.0858312562546659,0.00110515680339018,0.0103181919006259,-0.00492319822218724,-0.00195796822527032,5.3651014026259e-4,9.4505748149282e-4,3.08274573054434e-5,8.77703138134399e-5,-9.99625000015686e-5,692.475,6.540272136326801
Trichinella_zimbabwensis_ott584335,GCA_001447665.1_T11_ISS1029_r1.0,Nematoda,Enoplea,Rhabditida,Trichinellidae,Trichinella,Trichinella zimbabwensis,0,1,-0.00793911023923328,-0.0865237178328994,0.08488776972906,0.00108548169962351,0.0100571666068529,-0.00466725369052644,-0.00181224064322683,4.7506744829885e-4,8.3243672348932e-4,2.61062061853567e-5,7.40398793111141e-5,-8.20150153682593e-5,60,4.0943445622221
Pelodera_strongyloides_dermatitica_ott434751,GCA_036852015.1_ASM3685201v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Pelodera,Pelodera strongyloides,0,0,-0.0079598078221608,-0.0871520995821975,0.0859289175264337,0.00110719794313723,0.0103453378504484,-0.00495004984426886,-0.00197336987505657,5.4309010302755e-4,9.5713661973295e-4,3.13395383809799e-5,8.92611726539289e-5,-1.0192616734243e-4,15.5,2.740840023925201
Acanthocheilonema_viteae_ott295364,GCA_046563165.1_ASM4656316v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Acanthocheilonema,Acanthocheilonema viteae,0,2,-0.00795787132623492,-0.0870932342624575,0.0858312562546659,0.00110515680339017,0.0103181919006259,-0.00492319822218724,-0.00195796822527031,5.365101402626e-4,9.4505748149284e-4,3.08274573054302e-5,8.77703138134715e-5,-9.99625000017645e-5,730.2,6.593318469221536
Pristionchus_arcanus_ott576362,GCA_900490705.1_P._arcanus_genome,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus arcanus,0,0,-0.00796005591479206,-0.0871596318478378,0.0859413977660797,0.00110745826370057,0.0103487923835066,-0.00495344038249268,-0.00197530193611935,5.4390593517409e-4,9.5863225515792e-4,3.14023201418515e-5,8.94437792335801e-5,-1.0216507579768e-4,80,4.382026634673881
Wuchereria_bancrofti_ott245091,GCA_005281725.1_ASM528172v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Wuchereria,Wuchereria bancrofti,0,2,-0.00795787132623492,-0.0870932342624576,0.0858312562546659,0.00110515680339018,0.0103181919006259,-0.00492319822218723,-0.00195796822527031,5.365101402626e-4,9.4505748149286e-4,3.08274573054475e-5,8.77703138134306e-5,-9.99625000016003e-5,5196.632813,8.555766158866021
Dirofilaria_immitis_ott819804,GCA_024305405.1_ICBAS_JMDir_1.0,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Dirofilaria,Dirofilaria immitis,0,2,-0.00795789562872608,-0.0870939717188531,0.0858324774701199,0.00110518225456422,0.0103185293279584,-0.00492352828319979,-0.00195815576846098,5.3658892216649e-4,9.4520182181028e-4,3.08334891476011e-5,8.7787850330099e-5,-9.99853727106268e-5,2509.125,7.827689365771091
Pristionchus_exspectatus_ott576348,GCA_911812115.1_exspectatus_chromosome,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus exspectatus,0,0,-0.00796005591479206,-0.0871596318478378,0.0859413977660797,0.00110745826370058,0.0103487923835066,-0.00495344038249268,-0.00197530193611934,5.4390593517411e-4,9.5863225515793e-4,3.14023201418867e-5,8.9443779233532e-5,-1.0216507579766e-4,138.5,4.930870325627393
Brugia_pahangi_ott510894,GCA_012070555.1_ASM1207055v1,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia pahangi,0,2,-0.00795788880864495,-0.087093764763472,0.0858321347541022,0.00110517511202585,0.0103184346327657,-0.00492343565307711,-0.0019581031342684402,5.365668111603e-4,9.4516131095023e-4,3.0831796187603e-5,8.77829283334606e-5,-9.99789528688729e-5,1956.135,7.57872586661801
Caenorhabditis_monodelphis_ott624495,GCA_964197825.1_nxCaeMono1.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis monodelphis,0,0,-0.00796036810959362,-0.0871691110093364,0.085957105075487,0.00110778593634593,0.0103531412807136,-0.0049577107445209,-0.00197773632316536,5.4493460647579e-4,9.6051823476006e-4,3.14815343600703e-5,8.96741943511583e-5,-1.0246665459385e-4,20,2.995732273553991
Caenorhabditis_angaria_ott94476,GCA_964213925.1_nxCaeAnga2.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis angaria,0,0,-0.00796036909448579,-0.0871691409122284,0.0859571546232503,0.00110778696989318,0.0103531549969197,-0.00495772420914534,-0.00197774399703224,5.4493784774286e-4,9.6052417704772e-4,3.14817838557259e-5,8.96749200487677e-5,-1.0246760419118e-4,24,3.1780538303479458
Dracunculus_medinensis_ott560721,GCA_900625125.1_D_medinensis_Ghana_0011_upd,Nematoda,Chromadorea,Rhabditida,Dracunculidae,Dracunculus,Dracunculus medinensis,0,2,-0.00795690873366081,-0.0870640243579217,0.0857828848951283,0.00110414869506386,0.0103048264577982,-0.00491012416130062,-0.00195053925519248,5.333892867794e-4,9.3933957794496e-4,3.05885025832784e-5,8.70755925860024e-5,-9.90563585939516e-5,468.75,6.15006957728462
Onchocerca_volvulus_ott819809,GCA_000499405.2_ASM49940v2,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Onchocerca,Onchocerca volvulus,0,2,-0.00795789524449731,-0.0870939600594925,0.0858324581624465,0.00110518185217684,0.0103185239931902,-0.00492352306494677,-0.00195815280343476,5.3658767665659e-4,9.4519953985245e-4,3.08333937879962e-5,8.77875730893715e-5,-9.99850111111816e-5,3872.925,8.26176531449379
Poikilolaimus_oxycercus_ott3587972,GCA_034700245.1_ASM3470024v1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Poikilolaimus,Poikilolaimus oxycercus,0,0,-0.00796015429098409,-0.0871626190867516,0.0859463481606547,0.00110756154845733,0.0103501633882328,-0.00495478733051694,-0.00197607011994537,5.4423078934722e-4,9.5922790030204e-4,3.14273544967283e-5,8.95166027174147e-5,-1.0226043271911e-4,123,4.812184355372417
Strongylus_vulgaris_ott585543,GCA_900624965.1_S_vulgaris_Kentucky_0011_upd,Nematoda,Chromadorea,Rhabditida,Strongylidae,Strongylus,Strongylus vulgaris,0,1,-0.00796044152400128,-0.0871713401978686,0.0859607991128689,0.00110786300436947,0.0103541642230373,-0.00495871552580793,-0.00197830926346881,5.4517681923417e-4,9.6096233452071e-4,3.15001945264876e-5,8.97284743223013e-5,-1.0253771760106e-4,2436.25,7.79821525082177
Cercopithifilaria_bainae_ott331879,GCA_916381525.1_SD210906,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Cercopithifilaria,Cercopithifilaria johnstoni,0,3,-0.00795787132623492,-0.0870932342624576,0.0858312562546659,0.00110515680339017,0.0103181919006259,-0.00492319822218724,-0.00195796822527032,5.3651014026259e-4,9.4505748149281e-4,3.08274573054124e-5,8.77703138133749e-5,-9.99625000015544e-5,574.875,6.354152625860088
Angiostrongylus_vasorum_ott569850,GCA_018806985.1_UZH_Avas_1.0,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus,Angiostrongylus vasorum,0,2,-0.00796041425830058,-0.0871705123138615,0.0859594272506565,0.00110783438481799,0.0103537843686907,-0.00495834248439317,-0.00197809658304496,5.450869325408e-4,9.6079753152377e-4,3.14932714475883e-5,8.97083364459559e-5,-1.0251135735374e-4,1257.045,7.136519007472133
Oscheius_dolichura_ott14290,GCA_932521035.1_nxOscDolc1.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,Oscheius dolichura,0,0,-0.00796019342175681,-0.0871638071229185,0.0859483166197813,0.00110760260771587,0.0103507082559145,-0.00495532210054347,-0.001976374850877,5.4435946362271e-4,9.594637938786e-4,3.14372564282246e-5,8.95454033793614e-5,-1.0229811306987e-4,43.9,3.7819143200811256
Toxascaris_leonina_ott396917,GCA_022844705.1_ASM2284470v1,Nematoda,Chromadorea,Rhabditida,Ascarididae,Toxascaris,Toxascaris leonina,0,1,-0.0079569688830088,-0.0870658492323689,0.0857859062384133,0.00110421164275264,0.0103056607206494,-0.0049109392149995,-0.00195100190085534,5.3358327801107e-4,9.3969492428172e-4,3.06033293658908e-5,8.71186924544821e-5,-9.91125148938282e-5,425.5416667,6.0533628673084845
Brugia_timori_ott462290,GCA_900618025.1_B_timori_Indonesia_v1_0_4_001_upd,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia,Brugia timori,0,2,-0.00795788880864495,-0.087093764763472,0.0858321347541022,0.00110517511202585,0.0103184346327657,-0.00492343565307712,-0.00195810313426843,5.3656681116029e-4,9.4516131095022e-4,3.08317961875907e-5,8.77829283335183e-5,-9.99789528689072e-5,2628,7.873978379604501
Caenorhabditis_macrosperma_ott624491,GCA_963932285.1_nxCaeMacr1.1,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,Caenorhabditis macrosperma,0,0,-0.00796036810959362,-0.0871691110093364,0.085957105075487,0.00110778593634593,0.0103531412807136,-0.0049577107445209,-0.00197773632316535,5.449346064758e-4,9.6051823476007e-4,3.14815343600934e-5,8.96741943511766e-5,-1.0246665459393e-4,13,2.5649493574615367
Pristionchus_mayeri_ott5262691,GCA_036245805.1_ASM3624580v1,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus mayeri,0,0,-0.00796005591479206,-0.0871596318478378,0.0859413977660797,0.00110745826370057,0.0103487923835066,-0.00495344038249268,-0.00197530193611935,5.4390593517409e-4,9.5863225515794e-4,3.14023201418703e-5,8.94437792335764e-5,-1.0216507579769e-4,77,4.343805421853684
Haemonchus_contortus_ott819797,GCA_000469685.2_haemonchus_contortus_MHCO3ISE_4.0,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Haemonchus,Haemonchus contortus,0,1,-0.00796049619871128,-0.0871730002727157,0.0859635498955075,0.00110792038821734,0.0103549258163657,-0.0049594633322397,-0.00197873554628525,5.4535693672097e-4,9.6129256177086e-4,3.15140638327991e-5,8.97688165825731e-5,-1.0259051756604e-4,829.1111111,6.720354176431482
Cooperia_oncophora_ott970617,GCA_036418165.1_C_oncophora_1.0.allpaths.nc.pg.lrna,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,Cooperia,Cooperia oncophora,0,1,-0.00796048764680931,-0.087172740615013,0.0859631196394843,0.00110791141277243,0.0103548066963745,-0.00495934637322945,-0.00197866887665351,5.4532876841194e-4,9.6124091836421e-4,3.15118949533514e-5,8.97625078974072e-5,-1.0258226103045e-4,418.1666667,6.0358800772180805
Radopholus_similis_ott186666,GCA_013357305.1_ASM1335730v1,Nematoda,Chromadorea,Rhabditida,Pratylenchidae,Radopholus,Radopholus similis,0,1,-0.00795720667372369,-0.0870731193980024,0.0857980417316193,0.00110446763316816,0.0103090996553357,-0.00491446150551784,-0.0019530800057898,5.3451480640506e-4,9.4141421056127e-4,3.0679065325756003e-05,8.73399855197935e-5,-9.94113480237195e-5,166.0416667,5.112238761077123
