"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.698812076194625,0.505716578238548,1.70388834571879,2.40600995266349,6.77411927305594,4.16303511330779,1,0.138951598252145,6
"Fold_2",0.616996001360882,0.666027550004403,2.11583428957892,2.07937516572454,5.56728618399047,7.88300303990747,1,0.219878631759411,6
"Fold_3",0.688318582030002,0.481732366218687,1.89538528917633,2.15335448194377,6.35893207639806,5.61807903268432,1,0.199666634497231,6
"Fold_4",0.636493034193258,0.637726921309115,2.04139634220567,2.15522781611056,5.75832914682696,7.28238547930528,1,0.213348982169797,6
"Fold_5",0.640179699588442,0.615927033329691,1.99496775679885,2.05506520247394,5.9073743307325,6.68258524682615,1,0.177019713352475,7
"Fold_6",0.636475505471929,0.643501594214044,2.13767811821969,1.83043412864759,6.70114023693818,4.95726810981047,1,0.219171415640895,6
"Fold_7",0.634974837365453,0.669436138977245,1.95459478550676,2.23889242802987,5.43769715511717,7.79020680414516,1,0.188844608857763,6
"Fold_8",0.6294705434587,0.633814807036702,2.02780700574701,2.30423750006069,6.13965114571665,6.24590294188518,1,0.219950585574157,6
"Fold_9",0.640168707785594,0.651910789940283,2.01473997473317,1.99410679234314,6.24772172145147,5.793791824905,1,0.194668504374417,6
"Fold_10",0.639961589879,0.673652337012653,1.8378554584573,2.24463628549652,5.7806672882437,6.67310958420578,1,0.133003633434514,8
"Fold_11",0.623897429399992,0.641289887636012,2.14810707723198,1.84885328829807,6.79494550169238,4.45511771086396,1,0.197786728607935,6
"Fold_12",0.622949535903832,0.650986295861707,1.99947675996963,2.2492483897593,5.25781432180135,8.33028356385631,1,0.19435444561213,6
"Fold_13",0.63502458014533,0.668079260601699,2.03164236805183,2.0509878374261,4.96604914803616,9.00702516260943,1,0.204360265716059,6
"Fold_14",0.668089969250437,0.544551432581445,1.85967750071828,2.39488685154519,5.21129044530217,8.22571692407395,1,0.192393683924804,6
"Fold_15",0.654574114001524,0.568091110600974,1.94792495517124,2.11807367468946,5.56096799794665,7.37102117597231,1,0.172980110377663,6
