"phylotree_tip_name","Assembly.Identifier","Phylum","Class","Order","Family","Genus","Organism.Name","Eusociality.level","Host.number","eigenvector_1","eigenvector_2","eigenvector_3","eigenvector_4","eigenvector_5","eigenvector_6","eigenvector_7","eigenvector_8","eigenvector_9","eigenvector_10","eigenvector_11","eigenvector_12","Average_lifespan_days"
"Onchidella_celtica_ott162894","GCA_963931925.1_xgOncCelt3.1","Mollusca","Gastropoda","Systellommatophora","Onchidiidae","Onchidella","Onchidella celtica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095
"Platydemus_manokwari_ott1048970","GCA_037951405.1_ASM3795140v1","Platyhelminthes","Rhabditophora","Tricladida","Geoplanidae","Platydemus","Platydemus manokwari",0,0,-0.0617464920146524,0.0063039583326868,0.000909172848562918,3.85249478466709e-05,0.000359640632082107,8.12363545993052e-05,0.00018727903611403,-0.000212415840954733,-0.000436146554046172,-0.00012290787971775,-0.0777656464588346,0.114390506128908,730
"Macrostomum_hystrix_ott264325","GCA_950097015.1_Machtx_SR1_v2","Platyhelminthes","Turbellaria","Macrostomida","Macrostomidae","Macrostomum","Macrostomum hystrix",0,0,-0.0617475610300303,0.00630426095914376,0.00090924619183294,3.85299785838082e-05,0.000359707327162214,8.12672502234375e-05,0.000187380827551567,-0.000212592928088368,-0.000436524769645145,-0.000123044482322263,-0.077853907430775,0.114539231060089,100
"Macrostomum_lignano_ott735030","GCA_002269645.1_Mlig_3_7","Platyhelminthes","Turbellaria","Macrostomida","Macrostomidae","Macrostomum","Macrostomum lignano",0,0,-0.0617475610300432,0.0063042609591456,0.000909246191836452,3.85299785852183e-05,0.000359707327163629,8.12672502322421e-05,0.000187380827552716,-0.000212592928090423,-0.000436524769640986,-0.000123044482322298,-0.0778539074307693,0.114539231060001,627.2916667
"Gyrodactylus_salaris_ott975572","GCA_000715275.1_Gsalaris_v1","Platyhelminthes","Monogenea","Gyrodactylidea","Gyrodactylidae","Gyrodactylus","Gyrodactylus salaris",0,1,-0.0617429461010965,0.00630295428304917,0.000908929449230649,3.85082461656364e-05,0.000359419114388266,8.11335829679349e-05,0.00018694000316287,-0.000211824682035784,-0.00043488364922029,-0.000122450874043872,-0.0774703137913317,0.113892207881167,58
"Protopolystoma_xenopodis_ott825123","GCA_900617795.1_P_xenopodis_South_Africa_001_upd","Platyhelminthes","Monogenea","Polystomatidea","Polystomatidae","Protopolystoma","Protopolystoma xenopodis",0,1,-0.0617429461010965,0.00630295428304926,0.000908929449231488,3.85082461653377e-05,0.00035941911438836,8.11335829683712e-05,0.000186940003163942,-0.000211824682035796,-0.000434883649221898,-0.000122450874039864,-0.077470313791335,0.113892207881156,609.3333333
"Moniezia_expansa_ott416825","GCA_019097775.1_ASM1909777v1","Platyhelminthes","Cestoda","Cyclophyllidea","Anoplocephalidae","Moniezia","Moniezia expansa",0,2,-0.0617897611793849,0.00631622602759677,0.000912150826590241,3.87297208355071e-05,0.000362362861074494,8.25098018052799e-05,0.000191509516654479,-0.000219886011750152,-0.000452128715458097,-0.000128754203294863,-0.0815477119583732,0.12081927553722,346.9875
"Taenia_asiatica_ott614168","GCA_001693035.2_Taenia_asiatica_TASYD01_v1","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia asiatica",0,2,-0.0617911988360665,0.00631663351458423,0.00091224971337131,3.87365173226684e-05,0.000362453165946852,8.25519681707347e-05,0.000191649379587586,-0.000220132301061269,-0.000452655474551827,-0.000128946445165385,-0.0816720478706467,0.121030288825196,10054.4125
"Taenia_hydatigena_ott1004844","GCA_036345935.2_Thy_genome_v2.1_HiC","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia hydatigena",0,2,-0.0617911988360665,0.00631663351458423,0.00091224971337126,3.87365173218357e-05,0.000362453165948712,8.25519681692116e-05,0.000191649379586621,-0.000220132301060497,-0.00045265547455297,-0.000128946445164523,-0.0816720478706519,0.121030288825186,545.3022321
"Taenia_solium_ott1021812","GCA_001870725.1_MEX_genome.1-6-13","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia solium",0,2,-0.0617911988360665,0.00631663351458422,0.00091224971337125,3.87365173244447e-05,0.000362453165947879,8.25519681694961e-05,0.000191649379586826,-0.000220132301060873,-0.000452655474550435,-0.000128946445166635,-0.0816720478706495,0.121030288825192,4719.2
"Taenia_saginata_ott1021818","GCA_001693075.2_ASM169307v2","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia saginata",0,2,-0.0617911988360665,0.0063166335145842,0.000912249713371257,3.87365173229598e-05,0.000362453165948379,8.25519681713627e-05,0.000191649379587266,-0.00022013230106134,-0.000452655474552484,-0.000128946445165035,-0.0816720478706452,0.121030288825197,9332.25
"Hydatigera_taeniaeformis_taeniaeformis_ott5706087","GCA_900622495.1_H_taeniaeformis_Canary_Islands_0011_upd","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Hydatigera","Hydatigera taeniaeformis",0,2,-0.0617911842917627,0.00631662939221288,0.000912248712986807,3.87364485677014e-05,0.000362452252413988,8.2551541638276e-05,0.000191647964884273,-0.000220129810101353,-0.000452650146990799,-0.000128944501015155,-0.0816707904665348,0.121028154971772,1505.775
"Rodentolepis_nana_ott348019","GCA_900617975.1_H_nana_Japan_0011_upd","Platyhelminthes","Cestoda","Cyclophyllidea","Hymenolepididae","Rodentolepis","Rodentolepis nana",0,1,-0.0617902627674578,0.00631636819345801,0.000912185325765082,3.87320918706843e-05,0.000362394363647438,8.25245091652382e-05,0.000191558293730965,-0.000219971885434725,-0.000452312375719494,-0.000128821217701156,-0.0815910539429496,0.120892822700595,66.33333333
