"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.331472262972386,0.34175018056345,2.83135335645371,2.75655474400378,7.667752421963,4.59020610445101,NA,NA,1
"Fold_2",0.318321024427453,0.372538094866122,2.77876695100027,2.88430062788755,6.0596425881689,8.43703883859449,NA,NA,1
"Fold_3",0.351396588697138,0.30265998667086,2.68554027571224,3.11502586057836,6.00893314381459,8.59565195190059,NA,NA,1
"Fold_4",0.346634301658691,0.312719334002471,2.91436305893372,2.56791619491342,7.4564271658432,5.10464406527192,NA,NA,1
"Fold_5",0.393922042691414,0.196506007350414,2.69889628083087,3.12101515597983,7.13577890279574,5.92769994633476,NA,NA,1
"Fold_6",0.332606211184556,0.342433971655778,2.82975159976973,2.76094131946968,6.64684357909741,7.03556263686139,NA,NA,1
"Fold_7",0.343711441576494,0.313202632637649,2.81174322119971,2.80412630486462,5.95322704178594,8.69822187905269,NA,NA,1
"Fold_8",0.323272878195073,0.36538011983968,2.70279432230384,3.07036294653267,5.60530280638811,9.52836183447404,NA,NA,1
"Fold_9",0.337274269336062,0.328271729687434,2.87434607033849,2.6507656979625,7.38806108930554,5.24291160758988,NA,NA,1
"Fold_10",0.36238270295898,0.270992441111472,2.83271170932418,2.77110407132856,7.17508577963376,5.7746229080693,NA,NA,1
"Fold_11",0.390490156508479,0.198420148477144,2.81502384861063,2.8514673523537,7.63893189717826,4.70737628234097,NA,NA,1
"Fold_12",0.261195559452705,0.51706859218079,2.82212227892221,2.85434879784068,6.43394913908407,7.55593295331604,NA,NA,1
"Fold_13",0.292661557840359,0.437303481649649,2.89128536287492,2.62974955017812,6.71198776056526,6.86824612363054,NA,NA,1
"Fold_14",0.367247411483669,0.257680865932565,2.74130275793367,2.98380214145982,6.33323586888236,7.81194208072827,NA,NA,1
"Fold_15",0.340583811674838,0.328057981684108,2.77046659287551,2.90994661532624,6.81813391084396,6.63091738284455,NA,NA,1
"Fold_16",0.350775434611436,0.294093371520748,2.67159914789103,3.14268982013003,7.38949392469816,5.25557373618995,NA,NA,1
"Fold_17",0.316399244406638,0.383515747048589,2.88118430829478,2.6472770967736,7.62321316303699,4.6857510731861,NA,NA,1
"Fold_18",0.346625371265341,0.303666598308279,2.83105661709129,2.75588234866181,6.53944976595728,7.28524329955897,NA,NA,1
"Fold_19",0.347876856092226,0.305332224232423,2.83598676823742,2.74895980350865,7.45643502684158,5.10116376773237,NA,NA,1
"Fold_20",0.355217389725781,0.281377969753796,2.80143124919296,2.8290892996503,6.43737486029038,7.54558214854066,NA,NA,1
"Fold_21",0.333238944810261,0.341454748310422,2.75525375792963,2.94306935146081,7.43578334942997,5.14149210568847,NA,NA,1
"Fold_22",0.359441529797125,0.274735142701557,2.72156910908955,3.02209513288402,6.19986060524382,8.11558126935275,NA,NA,1
"Fold_23",0.292942464052498,0.431370221576845,2.94435564653899,2.49204999646478,7.19175896722946,5.7112598268807,NA,NA,1
"Fold_24",0.308753854943999,0.412540403911776,2.78864692784762,2.87656993114607,6.03405539127442,8.49964970112349,NA,NA,1
"Fold_25",0.359253741580866,0.279643830594524,2.66122966565007,3.1686706226384,6.7204945328665,6.87579332643224,NA,NA,1
"Fold_26",0.287966105888549,0.468884538447131,2.89100581497103,2.64923413353822,6.02197735547905,8.53487452463764,NA,NA,1
"Fold_27",0.337594655372867,0.332609181141197,2.74228384114986,2.97280515557723,7.17985457543706,5.7447410193197,NA,NA,1
"Fold_28",0.333440347634801,0.339647719788125,2.70178858923937,3.06749455388206,6.03121035394862,8.5071388207205,NA,NA,1
"Fold_29",0.323463304015395,0.372099082026064,2.83260851858395,2.75887150340718,7.21348322225344,5.67120365951102,NA,NA,1
"Fold_30",0.395203680274579,0.20430715202047,2.74603593466887,3.04113815194057,7.74265855172175,4.52698577969832,NA,NA,1
"Fold_31",0.345758406274958,0.313003776482494,2.9188591901598,2.5540888026372,6.66917816183766,7.00901023859494,NA,NA,1
"Fold_32",0.290402618831736,0.432108922015414,2.8265435463389,2.78595081681528,6.62032304541613,7.09117471302106,NA,NA,1
"Fold_33",0.273627296341703,0.482416107055434,2.8332734990135,2.80118158168058,7.01588862216579,6.1502432570699,NA,NA,1
"Fold_34",0.329597188287771,0.350116504369671,2.72660562398016,3.00987893774545,5.96598235583702,8.67000391199469,NA,NA,1
"Fold_35",0.303270173522864,0.411814513226297,2.96387682003962,2.43953607789114,7.31407506326838,5.42472909901799,NA,NA,1
"Fold_36",0.318120307175825,0.378059348860117,2.80987223624295,2.81217016666453,5.9017035855388,8.82425803290868,NA,NA,1
"Fold_37",0.332585614539648,0.342595747399995,2.8136041656579,2.79845999137023,6.88228614451291,6.45718679545756,NA,NA,1
"Fold_38",0.320392266141651,0.366544104696529,2.77705217056534,2.88764987779092,5.65435622360368,9.4125716664099,NA,NA,1
"Fold_39",0.336387026251148,0.33287069378348,2.95340939919315,2.46269302424966,7.59168067176165,4.77261164520374,NA,NA,1
"Fold_40",0.340283080534307,0.324106656362707,2.74839728727608,2.95634687379666,6.19794251168852,8.12677989200036,NA,NA,1
"Fold_41",0.418019364248142,0.130163636814731,2.69846054303364,3.17529542046487,7.08731208956267,6.13066048737544,NA,NA,1
"Fold_42",0.370121159293916,0.237563395855977,2.91399222614852,2.57831571536861,7.75258714100136,4.41592836790576,NA,NA,1
"Fold_43",0.334794680119837,0.337038353531246,2.81555509398297,2.79562018972938,6.15981774695201,8.19477693953024,NA,NA,1
"Fold_44",0.294755106540234,0.439678949794024,2.93431142863668,2.5253911612995,7.38120515584805,5.25757314076546,NA,NA,1
"Fold_45",0.365713243806924,0.255681555168862,2.77731661812863,2.89448346750215,7.33905418099387,5.37492891038693,NA,NA,1
"Fold_46",0.273209069880772,0.49752020925642,2.97490527651779,2.45830603544812,7.56904690877623,4.81507293798055,NA,NA,1
"Fold_47",0.325127927562735,0.35399686687672,2.74219145363042,2.97050041443541,6.41543896666355,7.59430474409429,NA,NA,1
"Fold_48",0.357581784164362,0.270201459315432,2.79988076089181,2.83046961279692,6.86738618096932,6.50681438076587,NA,NA,1
"Fold_49",0.314025699052554,0.380472934881516,2.77097406317232,2.90419474445253,6.23683458455886,8.00958189458643,NA,NA,1
"Fold_50",0.303751858158274,0.406839622494484,2.74813768227257,2.97279818779479,6.47542664897672,7.44033912681535,NA,NA,1
