"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.807186552840854,0.687320641155045,1.1457226291151,1.65163518191018,6.0999226654933,4.11059640656635,1,0.0545297892393659,37
"Fold_2",0.629264506252004,0.691225484664127,1.96505335723586,1.90588573517807,5.40380783011943,7.68080207922246,1,0.268455606955176,5
"Fold_3",0.738053369887032,0.706219679028555,1.54543559516309,1.4122847140351,5.86429308733369,5.36230661110336,1,0.0874292880749212,19
"Fold_4",0.68546262113285,0.686189104853591,1.72172118772762,1.77979029437713,5.56066990034804,6.73717121421586,1,0.170673817746722,10
"Fold_5",0.844375284745301,0.69105971571831,0.939106320926082,1.64678228985565,4.78414801573994,6.1959553630185,1,0.0320503675665052,47
"Fold_6",0.666899673066112,0.659379692332767,1.86276966356177,1.71305755833967,6.27599501691304,5.16867761449015,1,0.206418263382921,6
"Fold_7",0.774318453186032,0.70142766809055,1.24854695558884,1.84233678133973,4.8381511490664,7.77782756541335,1,0.0701867875790893,25
"Fold_8",0.714171526349585,0.638668692302223,1.53064987512351,2.05398837139468,5.87705031020637,5.96869985310565,1,0.128559834096431,15
"Fold_9",0.706529694238797,0.626048812374774,1.64236576830867,1.94110134778334,6.01243046614277,5.73948593368472,1,0.169871590467969,10
"Fold_10",0.768522575882608,0.704866277489626,1.26930168955353,1.98271928652954,5.25733308315878,6.40612471096483,1,0.0837427624566909,21
"Fold_11",0.743406876830635,0.647643109564136,1.51677989188256,1.69579475429013,6.40417446020569,4.95699585824535,1,0.109598790520382,21
"Fold_12",0.75032083293402,0.77117278114232,1.36938941260477,1.58847845853463,4.65212087591763,7.74184093243201,1,0.0749774661969281,25
"Fold_13",0.718778753128407,0.678880443671862,1.54339548889648,1.79946717383835,4.50574601663921,8.99360337364076,1,0.107998291271892,15
"Fold_14",0.775057031990729,0.649026953571971,1.28204391184825,1.93120381644079,4.75954512537306,7.85569676984841,1,0.0813537770144973,28
"Fold_15",0.719591222632263,0.753867457186811,1.5954799152856,1.40639567617161,5.31841628159258,6.71973485837564,1,0.102813031064691,18
"Fold_16",0.777559021015142,0.670006486737795,1.35767543483592,1.59230915399904,5.85266653655358,4.74245954060642,1,0.0807818730653033,28
"Fold_17",0.79912322340342,0.628913245246416,1.23383418236908,1.66707102346805,6.21845198244086,4.09746563512071,1,0.0592349605800334,32
"Fold_18",0.807032121161429,0.645238439296438,1.14771018344997,1.83350541772174,5.02565780298326,6.98915480938108,1,0.0641665740977187,31
"Fold_19",0.720078210567583,0.660438651872393,1.62116581276345,1.61239842431849,6.38199908233901,4.69341643742889,1,0.108279412158998,20
"Fold_20",0.728329842576685,0.639759387326742,1.56102134584119,1.80050399243288,6.4328111369232,4.37613188580779,1,0.13110861000459,13
"Fold_21",0.846830221344684,0.694938639133368,0.895319999579873,1.76228164165155,4.44685566472531,7.30053421068917,1,0.0333969292242033,56
"Fold_22",0.858440679063816,0.698755928383368,0.851283688584297,1.65972084092395,4.5548041409865,6.77285877397923,1,0.0295557098725197,58
"Fold_23",0.71799800896542,0.662643744686679,1.66901793033111,1.53815426049597,6.60409604482194,4.00643332649995,1,0.139289077046642,14
"Fold_24",0.748341668538685,0.621622210701038,1.42884041665211,1.958611959094,5.98840058800449,5.2437811342875,1,0.103892774423477,15
"Fold_25",0.818014092734777,0.692533324784854,1.09376633028475,1.60901711486487,4.73802104406073,7.00335695457141,1,0.0472231686445108,32
"Fold_26",0.778489927013183,0.627818903241169,1.34187599400601,1.7287378794522,6.3290607547474,4.14877171418392,1,0.0800887179858308,24
"Fold_27",0.859734489804159,0.72330985124634,0.911078022735668,1.37878287377923,5.57781387687302,4.72504940718012,1,0.031264829670684,53
"Fold_28",0.801446934216146,0.751006633170767,1.16603133715264,1.43309352836865,4.89791275196569,6.7183479004945,1,0.0583995093049674,32
"Fold_29",0.81209493294199,0.721978217684431,1.08556385962611,1.69779937408687,5.34062760753974,5.56301140408742,1,0.0555388582538429,28
"Fold_30",0.759466403591615,0.673783125846068,1.38126269012816,1.73502544078909,5.19704309069569,6.96740561188731,1,0.0861705258940474,25
"Fold_31",0.737850880033452,0.667559909084433,1.52826305264488,1.62542831501434,5.8378400797,5.57210495612211,1,0.107770417390773,18
"Fold_32",0.712893288760197,0.686592808358566,1.55720766621432,1.8107145740115,6.00063309362759,5.29635255300625,1,0.109037024728598,19
"Fold_33",0.806928229228794,0.689175236299495,1.15362912959776,1.62610706173751,5.77208500270658,4.84141712217853,1,0.0569160351060398,30
"Fold_34",0.782835059835542,0.6907677858184,1.24426976722551,1.74529981601037,5.53380671552941,5.62513459661196,1,0.0667867187037504,31
"Fold_35",0.725603349576974,0.722628510306891,1.55362159785334,1.58299083539905,6.14893596307638,4.52403872433367,1,0.112931392949906,20
"Fold_36",0.801279382563995,0.724927134574944,1.18295285943232,1.5170203880574,5.23396290821538,6.0098186539487,1,0.0580490793935777,32
"Fold_37",0.848167124777179,0.681306599282534,0.888859733563847,1.82750429993634,3.9200449697508,8.29845612367758,1,0.0328444918142238,46
"Fold_38",0.691774161569378,0.653494274821182,1.74323206028124,1.81478017117718,6.57091599608838,4.50349681971343,1,0.180679326049546,10
"Fold_39",0.770376998780978,0.672671673617664,1.30005922083174,1.85527084955009,5.51785162952936,5.73068207157251,1,0.078592218928494,23
"Fold_40",0.765819947553494,0.69254664782756,1.3731242836653,1.58093874876426,5.27874092761211,6.46483309412095,1,0.081225822628124,21
"Fold_41",0.779297559479156,0.691183809120002,1.25823481849465,1.76933034260461,4.51692056233174,8.3881223703219,1,0.0770061192284427,24
"Fold_42",0.816219028652809,0.708057598381474,1.0915870983325,1.57605871553317,5.65374180711027,4.69044602181433,1,0.0470607671704636,41
"Fold_43",0.699463116429321,0.676652822232626,1.68167441571116,1.71897444821591,6.08555179885318,5.16944574304544,1,0.145845858428191,13
"Fold_44",0.651004417292491,0.600549593905415,2.1200283897632,2.13276656103624,6.98498482257692,4.25694570067845,1,0.527368085414024,2
"Fold_45",0.726320446547752,0.733225166753912,1.60519244764701,1.31528172906039,6.71252163413564,3.45023228016121,1,0.104537738415771,16
"Fold_46",0.816635206184153,0.680981672786529,1.06251674664419,1.8419387102579,5.0852698576985,6.36814895746909,1,0.0413064015285256,38
"Fold_47",0.765944188365916,0.606241526648597,1.42119160249813,1.80488862770062,6.45963614429806,3.83971183219501,1,0.0887115783981682,23
"Fold_48",0.766245271647235,0.642711476611698,1.28276752056011,2.15040697709367,4.52180892101947,8.46103674399936,1,0.0921512876699779,23
"Fold_49",0.859453612397111,0.712439755913142,0.870804801759242,1.5457334250988,3.97191721389804,8.73123300635775,1,0.0345810918869705,50
"Fold_50",0.698907442958367,0.621443948456581,1.72417559865557,1.81407117630987,6.21316438713692,5.11454329705018,1,0.192243646674304,8
"Fold_51",0.853177699803584,0.611352966674358,0.935076688834067,1.97389438279354,5.7421300669793,4.65558955821234,1,0.0471522235572475,38
"Fold_52",0.806805073042311,0.620050397451678,1.16854222078815,1.90285798603722,5.46853162419566,6.0475201262902,1,0.066876208334949,26
"Fold_53",0.795497212039516,0.723971552144354,1.18891696954968,1.57760354388099,4.9733372924306,6.97734040352281,1,0.0569136238783918,30
"Fold_54",0.746691378072806,0.67366177556625,1.43253967200188,1.78054253513935,5.02344508255565,7.47181572608815,1,0.0962086373563958,19
