"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.766736600335182,0.669277772274231,1.33784067985507,1.78042048458603,6.3466055466066,3.95920196847979,1,0.0704584361559699,20
"Fold_2",0.797400672024534,0.79953815373794,1.17467422332905,1.28688123766088,4.78128891473455,7.15034845843021,1,0.0459884262678207,32
"Fold_3",0.79762787233592,0.709492717940384,1.23599540615164,1.41144361978953,5.69968310330594,4.86552677718303,1,0.0488127203147713,28
"Fold_4",0.754224729369622,0.735497393899345,1.38433263897237,1.51462241005746,5.10553770344827,6.70131155151821,1,0.0687687214777307,21
"Fold_5",0.847040241008023,0.711122513872165,0.918605328128027,1.54580023905918,4.81580691472508,5.93026495703643,1,0.0242168595490611,44
"Fold_6",0.755869431880017,0.71424516488704,1.42213638372596,1.4592122136681,5.90590708776814,4.71620109661988,1,0.072329819117305,23
"Fold_7",0.801307755130612,0.686112229148682,1.11301303008168,1.9049439378783,4.43633812787655,7.56914572832676,1,0.055447191541151,27
"Fold_8",0.705307161675522,0.673154845835067,1.57716691960781,1.94006850420371,5.79885824830292,5.90981496124102,1,0.138698625467867,11
"Fold_9",0.698454250345813,0.562436094483703,1.71246672887464,2.19755906516666,6.01395091423653,6.01196677916684,1,0.266162252294837,3
"Fold_10",0.835231323375513,0.729514637778091,0.92785116835151,1.77770754989192,4.7344026011033,6.32901786802802,1,0.0342490045094642,35
"Fold_11",0.756243324198966,0.691279092990865,1.44004609658167,1.50177316261475,6.30537370856171,4.25245195921388,1,0.0759873743302996,17
"Fold_12",0.79586145426856,0.730758415277214,1.14511514207135,1.67591162096532,4.44091831365805,7.7390230050758,1,0.0482020038923203,28
"Fold_13",0.662747302434578,0.690313945742135,1.87671574510119,1.94111561077938,4.86786138964957,8.98125261717738,1,0.293881304510831,4
"Fold_14",0.830040063172233,0.730162426925365,0.995109179120596,1.56457349614621,4.39772054703455,7.38531258467833,1,0.0344288583106903,34
"Fold_15",0.76630737660569,0.763243404233233,1.36257307005302,1.33028299609207,5.08713314544368,6.72470466957085,1,0.0628047079692181,30
"Fold_16",0.794196324360823,0.726485639889071,1.25601262154031,1.34389597735497,5.64938003416941,4.57862072835869,1,0.0508882947528187,26
"Fold_17",0.734056916991249,0.630548675354204,1.56277635470003,1.66930243914346,6.58135939494007,3.43140738503968,1,0.0975798509603433,17
"Fold_18",0.772638169516926,0.653071039508662,1.3214858830887,1.79617974923707,5.18316836649455,6.44274938135409,1,0.0810812518009132,19
"Fold_19",0.801139539613334,0.707610057631882,1.20860144656115,1.42539146152481,5.98524698559675,3.99927843624714,1,0.0462148654463036,28
"Fold_20",0.753013636742908,0.637585705103772,1.43919429057954,1.80258811986958,6.17623254076524,4.4610217746008,1,0.112077772268645,16
"Fold_21",0.805855896295264,0.665047561160333,1.10553824624665,1.92254251710664,4.68661633016167,7.52380261284687,1,0.0531839901845081,27
"Fold_22",0.799499954440975,0.710042285153821,1.1569095481595,1.67010516952197,4.92443102637956,6.58142546397819,1,0.0476726465431625,32
"Fold_23",0.788210482079556,0.722992376246947,1.29294673631175,1.35802501384956,6.19878988589347,3.68554606845966,1,0.0518449836923168,24
"Fold_24",0.804010974105374,0.668360340847607,1.14961930539134,1.77235060761096,5.62259303703058,5.17391287397618,1,0.0526587386554327,31
"Fold_25",0.813157029958633,0.684117727108393,1.11526361219934,1.65539353966839,4.78462921848281,6.9957179530206,1,0.045241962387802,32
"Fold_26",0.775196719657023,0.656648044699663,1.35648593914602,1.6004631806356,6.19663749185665,4.07319063608512,1,0.075822978154819,23
"Fold_27",0.816362901687075,0.772791483137536,1.14114276131272,1.12307147140504,6.1628904707425,3.13790909586751,1,0.0335897017744805,42
"Fold_28",0.782085814478648,0.768739450885422,1.24658230967209,1.3867078130451,5.16349536164344,6.2262519949081,1,0.0504482963734809,32
"Fold_29",0.795293362962974,0.702103145640157,1.14168678267603,1.78476519583515,5.36603357652567,5.47515645851983,1,0.0468266341395833,33
"Fold_30",0.755110759883174,0.67428708279771,1.39646951698901,1.74057223527256,5.21099471397464,6.69388588117987,1,0.0843629180236052,17
"Fold_31",0.784857032185169,0.633241117050651,1.28669302701232,1.77357445416304,5.51990969088195,5.67887280510658,1,0.0731073930784872,18
