"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.804241265408044,0.642159085404712,1.14907097130992,1.94519052411923,6.13695406947357,4.54393069829859,1,0.0510361641012662,27
"Fold_2",0.723499974566422,0.748147019285233,1.54549833741685,1.57054640705158,5.06793598324568,7.51159406480302,1,0.10338325691658,20
"Fold_3",0.77521019794237,0.68126204027977,1.37559997929209,1.49719047294066,5.9025954810501,5.12757425943353,1,0.0809976071101388,19
"Fold_4",0.684607971128062,0.633402150510329,1.79025233871429,2.0644906287063,5.65358566501476,7.1392024853412,1,0.225883413675019,10
"Fold_5",0.782458646055443,0.634125064037822,1.28053007922702,1.8712072968404,5.2975030206114,6.5781586769864,1,0.086074678736248,21
"Fold_6",0.786062521821274,0.713159972362407,1.28700079845303,1.46887571656413,5.87408169231017,4.99189338209793,1,0.0672706247843636,24
"Fold_7",0.719208695649919,0.694902051140314,1.52479387919528,1.8827051859872,5.10176782325894,7.83413893183293,1,0.127328246136955,10
"Fold_8",0.748922380341737,0.656433472129987,1.40002422397902,2.00110459023504,5.6537321949231,6.08296348942341,1,0.115467994271062,15
"Fold_9",0.814063290241716,0.71238534041592,1.09260610143493,1.59440880287398,5.40814952850491,5.42958574047529,1,0.037780926880742,36
"Fold_10",0.811670564863273,0.724896054828083,1.04482301626552,1.77258861304988,4.77811948642045,6.85281814520724,1,0.0392537360385601,34
"Fold_11",0.75398465617914,0.700820915970964,1.47613494101522,1.46330880297316,6.38100357116416,4.03588243510072,1,0.0952135791008361,19
"Fold_12",0.748389268257636,0.774384294602152,1.3814499250187,1.55422774257408,4.72427942209531,7.64873978663875,1,0.0778387374667088,21
"Fold_13",0.703994472137954,0.665513142726167,1.65727892836472,1.89087808339991,4.83035884724339,8.78633897715032,1,0.151807477774867,14
"Fold_14",0.667397119751109,0.516593864466224,1.97035560365022,2.50100792401135,5.39910894976486,8.38835483288595,1,0.380925796235896,7
"Fold_15",0.736022172052838,0.668686546565734,1.53709113128514,1.69672481499048,5.34591786293882,7.04240322999411,1,0.116891692747456,20
"Fold_16",0.766252936198932,0.63528139873816,1.44402765257188,1.68130672317359,5.9546170837686,4.83042504391959,1,0.118931552479027,18
"Fold_17",0.758204056777078,0.648178725131935,1.47513223021004,1.59691520343583,6.54360828461494,3.88036968986235,1,0.106508321187162,17
"Fold_18",0.745660983596078,0.681982705209802,1.47596384162734,1.71268233197493,5.38900240694791,6.68486962076589,1,0.116139892951159,18
"Fold_19",0.737857427053039,0.689199069179831,1.57984060867239,1.51928324828703,6.51167197195527,4.19271467237075,1,0.125375792545756,16
