"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.793363769333346,0.658426500919582,1.2268015265922,1.79550344157609,6.14468834933689,3.91187287440919,1,0.106836497333829,19
"Fold_2",0.752560303537262,0.710609265986904,1.41110674741247,1.67001147774721,4.93592653192222,7.6306647072583,1,0.136940513693371,17
"Fold_3",0.755648214206452,0.715784240391188,1.48365962461367,1.3808065272078,5.90639248522831,5.32150940822065,1,0.134101911456404,18
"Fold_4",0.791351810568435,0.741315934049194,1.21308371062244,1.47213193826737,5.04109159848927,6.63832450910216,1,0.0789867595865616,27
"Fold_5",0.779229996462968,0.683663219587427,1.2907381756606,1.69167609608053,5.31185165064544,6.53998528888663,1,0.100613634265713,24
"Fold_6",0.709723589067537,0.710039168447796,1.72259130341221,1.52380912864561,6.24287821524481,4.85472349160642,1,0.22653092269166,9
"Fold_7",0.723533816608398,0.743846648767998,1.50904830484823,1.70291759768348,5.04448646924661,7.50006965818234,1,0.157286930230046,20
"Fold_8",0.745554973114565,0.678686721532515,1.42305258488391,1.87330706922027,5.58906400826474,5.96063846265291,1,0.162277693470197,15
"Fold_9",0.786905579528454,0.700680003444164,1.24698856034142,1.65826903186162,5.67053640003839,5.26726622789424,1,0.0931971550660656,23
"Fold_10",0.793174584546217,0.7462156070949,1.15425299230319,1.76033518571568,5.10651310273521,6.41682893029142,1,0.0882571234357858,26
"Fold_11",0.711897968641581,0.672514386732543,1.77548035913619,1.62955462328646,6.60322597096536,4.23499687285396,1,0.289946819121942,9
"Fold_12",0.778656726179896,0.722029201395451,1.25093816684593,1.70734294957777,4.68289013598403,7.72586634651265,1,0.105982452304472,22
"Fold_13",0.731022789502908,0.759987611503108,1.53116717750651,1.56326168681874,4.66229545864583,8.55990331059228,1,0.162190404806993,19
"Fold_14",0.795404488821717,0.698920724242541,1.17155270684553,1.69473663705954,4.65999548413023,7.54804524688582,1,0.075068058896511,29
"Fold_15",0.744532863647684,0.782974993281362,1.49599814381253,1.29924277286146,5.24219811557261,6.75605156786877,1,0.129780441750508,21
