"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.809194638289067,0.714465542399984,1.14313899922022,1.65657315875808,6.16918563776001,3.97402589367439,1,0.097576927982128,17
"Fold_2",0.820781645258138,0.809807181183023,1.04736639968702,1.16004742248831,4.62016798939526,7.01793893917851,1,0.0504722410559016,36
"Fold_3",0.831482278490633,0.731633399531734,1.04975701644463,1.38777447649641,5.51076397685869,5.05454038159598,1,0.0561227666463015,27
"Fold_4",0.767256206465931,0.781846523430593,1.36121522665016,1.36071469388923,5.22196837366952,6.77707644598631,1,0.131892236604237,15
"Fold_5",0.878285732640809,0.755028181889016,0.741362373799127,1.34566110233669,4.6341076058734,6.07869254710614,1,0.0191914470444697,51
"Fold_6",0.752129706699346,0.71231034969416,1.52365703083016,1.48637769850978,6.16000977933528,4.99234055068724,1,0.201262018244797,11
"Fold_7",0.795829054436132,0.770965153431808,1.15882861489478,1.57571048908084,4.68254734308059,7.52779714819351,1,0.101509296089255,16
"Fold_8",0.776528700692347,0.761791924415244,1.26366317646647,1.55750912905998,5.61134927620562,5.59137063549426,1,0.10991628870848,18
"Fold_9",0.78753529305785,0.689056237408857,1.26195148838637,1.68497355689638,5.70670809621248,5.69483809254833,1,0.132469580160711,13
"Fold_10",0.805053946966267,0.734993844704404,1.10120054177862,1.867541730645,5.16493300875735,6.58086030686924,1,0.104591511093288,14
"Fold_11",0.786227919183293,0.732229495388522,1.31962887210674,1.33051193269993,6.20448883782287,4.16795459123696,1,0.120993388657305,16
"Fold_12",0.768536463976815,0.779146882423297,1.30417827381419,1.53348082342768,4.75808480487208,7.81800839597927,1,0.122209649206798,15
"Fold_13",0.766061747070275,0.750356499870803,1.35410007781218,1.50475702579762,4.46435542509453,8.84659574037545,1,0.133271601176696,13
"Fold_14",0.795248885339249,0.704769242895181,1.21878419278502,1.71319550999002,4.70296286861787,7.65172789437609,1,0.132672589949053,16
"Fold_15",0.751489961388915,0.798952448558876,1.47826807838913,1.26246474385036,5.25781046397224,6.72330331876731,1,0.14508702118474,14
"Fold_16",0.767897745774272,0.748098162279228,1.42614828009104,1.2982015603953,5.96445111136157,4.87972145975223,1,0.135163777987951,17
"Fold_17",0.775256277354812,0.713072251572329,1.37865952164879,1.38865475452761,6.51614646964637,3.40203791782646,1,0.117535275939658,18
"Fold_18",0.800093361885142,0.747122787036815,1.2125826425008,1.39527019453333,5.18919927917257,6.25385298833065,1,0.11228832059464,19
"Fold_19",0.785375713059454,0.76824171378593,1.31554905928959,1.20495581847496,6.23486781882831,3.85276446990501,1,0.106762333252853,17
"Fold_20",0.808652449111043,0.704190865257521,1.17548235269444,1.53083391362629,6.04722500708592,4.32890299403674,1,0.112077772268645,17
"Fold_21",0.815348584591297,0.732146918248132,1.0862218727563,1.59675250751078,4.78438394453205,7.23846446095542,1,0.097365966729632,21
"Fold_22",0.785095565609026,0.741657471276366,1.25925041340411,1.59174766710119,5.14328396761588,6.77797820798878,1,0.120867535379121,15
"Fold_23",0.78860850158126,0.731928712614171,1.32014138116825,1.27479879787949,6.30628403308931,3.8166824751055,1,0.1143249672497,16
"Fold_24",0.82365075379675,0.722913762554913,1.0491783728771,1.53647796604981,5.57610384315798,4.9039054387089,1,0.0696117534549351,24
"Fold_25",0.800229806640708,0.716129994245446,1.19918358378227,1.5377047186336,4.88551214378612,7.06218867786824,1,0.0997644419948795,19
"Fold_26",0.80274515145901,0.678309102969275,1.23467867122371,1.51704041063485,6.22596629680375,4.28036467752418,1,0.115244184840008,18
"Fold_27",0.779695028627546,0.756094019271419,1.37033123696579,1.17691262921865,6.5518963272423,3.22722869881547,1,0.117939883225307,20
"Fold_28",0.742961900959934,0.77701239612424,1.48119611320936,1.39732495394494,5.53337336918922,6.35785172369783,1,0.154061807791415,11
"Fold_29",0.766122538617101,0.773150084677514,1.33597079323423,1.45119162595814,5.65566546541168,5.33982908736101,1,0.136502123270386,15
"Fold_30",0.742466650429141,0.688260940046858,1.51532245682041,1.72094735882101,5.48053141149068,6.68628396576063,1,0.194889282512011,9
"Fold_31",0.777560139066236,0.654386886242512,1.37245162680636,1.68084867665864,5.70396966336293,5.77477482477712,1,0.161211359791547,12
"Fold_32",0.79247636371945,0.770559836865156,1.20460546188599,1.37377040769775,5.80943277346715,4.8247808299968,1,0.100485759296815,19
"Fold_33",0.806008260370266,0.729475033637571,1.1729915454827,1.45422583089372,5.67921901044509,5.06224411052309,1,0.104205973393208,17
"Fold_34",0.796651638733306,0.704526926139217,1.21167398844958,1.67111084894398,5.54348321748674,5.96187535998547,1,0.129887834549292,15
