"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.792372116919038,0.594129019018482,1.28227837098809,2.13944466655828,6.38684059638684,4.40655510737836,1,0.163278322648415,11
"Fold_2",0.788479738891458,0.766032387039424,1.2417415276813,1.42196687479016,4.79085488473075,7.48279062249138,1,0.089917484590574,22
"Fold_3",0.81205180941741,0.722058208260142,1.1740143740783,1.34270871940654,5.78790612429531,4.93540272514658,1,0.0738020029332336,22
"Fold_4",0.742175443265343,0.708328916317852,1.53248782247366,1.77540718952524,5.45309397345091,7.0053555251672,1,0.187532378382623,15
"Fold_5",0.80977008595424,0.704071450285203,1.14217927591349,1.59037249905896,5.22085928206248,6.23467181434779,1,0.0821624517453487,23
"Fold_6",0.796191988092605,0.726331745242436,1.24837260099353,1.40546702009257,5.8869399747318,5.07685951565748,1,0.0931621714590161,24
"Fold_7",0.769434597492829,0.754063147452081,1.30046776234965,1.60235527807745,4.84649832163741,7.62975600808496,1,0.110743615082688,17
"Fold_8",0.747231766794905,0.680051300438528,1.47059736382748,1.97740999361894,5.77294992796593,6.05437430564675,1,0.192612223272971,12
"Fold_9",0.803076496366198,0.742541170829424,1.15862063650989,1.43944599537802,5.58715931911082,5.43013351656639,1,0.0660232427027103,21
"Fold_10",0.780329664511366,0.734108710131702,1.25336731277444,1.83375607303827,5.33039757400189,6.24190204194506,1,0.125583187743938,14
"Fold_11",0.777494128539856,0.728485822757346,1.35536875282046,1.35920354419998,6.24206166025509,3.92566159516724,1,0.0997472453455207,20
"Fold_12",0.770233772418382,0.813040363760672,1.29439203775857,1.38549898020272,4.67000161830085,7.60523537260335,1,0.0937570348479246,20
"Fold_13",0.784537189753685,0.77249267338428,1.2456530758404,1.39843609103586,4.50982684221365,8.47014630404012,1,0.0791525447298483,30
"Fold_14",0.799867967911317,0.671481060671244,1.17073766278875,1.84532049959311,4.64794983703315,7.84834536635543,1,0.0900695012203299,25
"Fold_15",0.763383300957134,0.716991991263346,1.42669449329076,1.52256252354375,5.22486188718989,6.98304750367324,1,0.13439704144027,14
"Fold_16",0.787287149125857,0.693763943321143,1.33197025440834,1.48328784737073,5.84166451715951,4.78224864195798,1,0.118931552479027,20
"Fold_17",0.774836910231498,0.693118039066551,1.40380616048317,1.46973746810096,6.471627076078,3.75959314187286,1,0.122458687353008,18
"Fold_18",0.761358822489847,0.710335310234377,1.42665624098531,1.62018085999345,5.38259471548137,6.63261736876845,1,0.146551923318971,13
"Fold_19",0.755314652484791,0.714037066064263,1.54128921417677,1.42962061334277,6.48778516099243,4.093914739777,1,0.173631226399323,12
"Fold_20",0.777389691244268,0.704978323470194,1.35610448508382,1.61629216871256,6.24996759180922,4.25558163969966,1,0.132812039565821,15
"Fold_21",0.831056074958309,0.73517723302063,0.970136794130512,1.56392658531611,4.80383453560878,7.40615649351867,1,0.0422737815603104,33
"Fold_22",0.750372397057246,0.69505831470277,1.50807023958857,1.78349354586598,5.38712611084523,7.03117096835604,1,0.197663494145592,10
"Fold_23",0.811783450310148,0.749820907192513,1.17648888113601,1.20226584554152,6.04147681518628,4.2729460603961,1,0.0652426463647723,28
"Fold_24",0.817933106721086,0.711224570573619,1.09392591511509,1.62636323778452,5.72229841438464,4.782048139259,1,0.0788139390335463,21
"Fold_25",0.87192725281312,0.696879607709752,0.783287459708218,1.66240110197966,4.65673775138909,7.03090286892486,1,0.0209836224003514,48
"Fold_26",0.784120052081114,0.605445336248904,1.41249901372136,1.79338458956465,6.35784813902327,4.58655963298693,1,0.19112613116507,16
"Fold_27",0.782712041252341,0.777700343688635,1.35970351262358,1.09437799063612,6.41975252583751,3.16389921499412,1,0.0985477186017168,17
"Fold_28",0.783480530655276,0.79061729249327,1.26154667850415,1.2580483600168,5.24292325255479,6.10628014627695,1,0.0823819150579019,20
"Fold_29",0.723142392444427,0.763744985179873,1.60082429059263,1.748021442632,6.01155072774763,5.56736836998358,1,0.203358726772899,10
"Fold_30",0.782139195952021,0.711617193222113,1.29763390848174,1.58612580004205,5.16514189429969,6.56108661557448,1,0.112410081819854,21
"Fold_31",0.793022424234689,0.66164070699597,1.30440844135005,1.65744617624177,5.59645715429113,5.82674235985126,1,0.134430621301374,15
"Fold_32",0.777687509601928,0.678277280778753,1.29012483427519,1.81946150481141,5.83445224999898,5.47431430422114,1,0.124762490502957,16
"Fold_33",0.766324040256655,0.682748687654791,1.39930744352266,1.74156897609977,6.03022199363907,5.05104724049097,1,0.139715581926894,16
"Fold_34",0.80739452663036,0.725472608078243,1.14337855259222,1.56053398155357,5.50277077173553,5.43023077685024,1,0.087360605566221,21
"Fold_35",0.781503518961401,0.61382979446381,1.33963343496448,1.98274049830883,6.08486975058855,4.81569246258136,1,0.163682340253132,12
"Fold_36",0.757513714785789,0.744387837590301,1.46700376426588,1.47494748849023,5.54419230492552,6.05625286902917,1,0.150317004531802,15
"Fold_37",0.761433345527306,0.694677413300276,1.42102412404515,1.7996567690414,4.60660033521859,8.60020519308376,1,0.180499722384094,13
"Fold_38",0.789935740301493,0.730132038753746,1.2739061509593,1.49891795927752,6.38288817473468,3.49527578446601,1,0.0975953458314464,21
"Fold_39",0.782226269823205,0.670982013884655,1.27433250658292,1.89365359699806,5.33856627492921,6.21986337174232,1,0.123427682031548,17
"Fold_40",0.79151844158448,0.753109066344944,1.25756620615619,1.32050313291144,5.2128868270948,6.45283805991692,1,0.0866114392442335,24
"Fold_41",0.775033317901075,0.691802001868845,1.32543013491733,1.87303892809402,4.64416152752999,8.26143120574113,1,0.14392213333307,14
"Fold_42",0.771803260118855,0.771838195366442,1.34453300001346,1.40560651185197,5.95295752648381,4.77353321865549,1,0.106689611723782,19
