"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.837593356485882,0.704566448845146,0.991905920745565,1.65183019819601,6.00956761831822,4.19046154869001,1,0.0953505960112681,34
"Fold_2",0.806807611205503,0.768918485272097,1.17219732892867,1.39776259832086,4.88930652828515,7.62528808766554,1,0.133234581667625,22
"Fold_3",0.819288183829171,0.75414969638844,1.16444709381017,1.24845401285606,5.85618860035344,5.0634416919828,1,0.127963981155676,22
"Fold_4",0.783988701841222,0.756424483884415,1.3169114449796,1.51188449860203,5.31676142820441,6.8742946350399,1,0.180937881474397,16
"Fold_5",0.835383292379414,0.715781788958365,1.01232351248305,1.559523556099,5.14130767311825,6.3875667163448,1,0.103406035468603,25
"Fold_6",0.809361202192912,0.772134538026461,1.20657183995798,1.22710313187001,5.9141607134851,4.849470089322,1,0.139285158494142,24
"Fold_7",0.805155942172492,0.757093434647679,1.12547117242811,1.55405364516135,4.72936755488964,7.50924853185937,1,0.12290057852268,23
"Fold_8",0.797589216259051,0.740797019284263,1.19223606513584,1.63876384699825,5.55668120976382,5.75556027535271,1,0.154101578356068,19
"Fold_9",0.790578726589314,0.734535295601199,1.27919740667997,1.49536448823844,5.81385937427366,5.61314682421788,1,0.168044522369247,17
"Fold_10",0.884010430866178,0.727475551961423,0.678930083694674,1.80925487270426,4.55366056808945,6.33432008902967,1,0.0446753879308322,58
"Fold_11",0.787805124186143,0.760439638381424,1.36850567322408,1.24487467025178,6.37558317739871,4.02261531155889,1,0.185097293483288,18
"Fold_12",0.804951584044234,0.837508419356109,1.14333711856245,1.24903544709733,4.68400199782341,7.49865094945165,1,0.117766367698187,25
"Fold_13",0.801916087494046,0.788386444471585,1.19484369443359,1.34860658742498,4.53547761104502,8.51440821128271,1,0.137523443080418,23
"Fold_14",0.839195388105856,0.716145229030356,0.980182039087757,1.66686888131816,4.54447179095104,7.78962883316445,1,0.112358753751615,26
"Fold_15",0.754817632457926,0.739010040801189,1.5362276714739,1.55546768169155,5.46313221166563,7.12146545368788,1,0.238100970858044,18
"Fold_16",0.821234674419196,0.750042955889105,1.16534205567316,1.2885521297038,5.84591285747576,4.58947847256177,1,0.136581239371687,25
"Fold_17",0.812358361938312,0.689933692998189,1.2116080827341,1.45908606615238,6.42312052456078,3.8894684098183,1,0.146608163251485,25
"Fold_18",0.818226935805443,0.708484651361919,1.13457122860256,1.57713640391846,5.14881137327622,6.70202409801279,1,0.146014978781947,18
"Fold_19",0.805312688886057,0.749062310427588,1.25325699736081,1.26865301630847,6.23844159329435,4.14923044163086,1,0.15045227630456,22
