"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.812889356914398,0.68878046712942,1.15904629634369,1.71415084210997,6.29840029831981,4.16518071149337,1,0.15182511336356,23
"Fold_2",0.793796475727406,0.764284349386571,1.24482800741323,1.41935545165538,4.98325359906778,7.73515104100078,1,0.146224788901202,20
"Fold_3",0.820794244938741,0.745622641974294,1.142631489233,1.27374880660214,5.8272066797534,5.09277872361793,1,0.11129654498115,28
"Fold_4",0.789824766464962,0.755372619277261,1.26822469111489,1.48825918372436,5.27824324795865,6.86204079169244,1,0.157370541948132,17
"Fold_5",0.833027283265021,0.725930587335404,1.02214733902272,1.53005918205442,5.16606597171399,6.36413965415183,1,0.0987060715660736,27
"Fold_6",0.789695860562615,0.766632352874586,1.31838346229516,1.27509543108109,6.07055881983085,4.88885317116303,1,0.160144085333722,21
"Fold_7",0.784538456017319,0.750021476489151,1.25167613169156,1.64036803508902,4.91756651835934,7.57892436613796,1,0.162467331919411,15
"Fold_8",0.793356597237855,0.735661169923861,1.21095717635845,1.65349153922495,5.58275728431249,5.78573093518231,1,0.154101578356068,21
"Fold_9",0.779995772830318,0.736687676654233,1.3274591958654,1.49490303603575,5.8891214490641,5.6288975734614,1,0.168044522369247,22
"Fold_10",0.829877110952324,0.72028502705935,0.978311398872328,1.87021913705322,5.10977571476101,6.31093873391437,1,0.0940374092132908,28
"Fold_11",0.78658500511051,0.7597059081438,1.36907223574063,1.24862964794826,6.39377677162987,4.00902671463833,1,0.176684335826755,19
"Fold_12",0.789146042776733,0.82621051674904,1.22454491065297,1.32022057539834,4.75985173684149,7.56559468782836,1,0.129248443165361,22
"Fold_13",0.806562118893725,0.789343176900699,1.14829367374648,1.30007222567097,4.48299582904607,8.47064520407667,1,0.108984976763979,28
"Fold_14",0.826822516857602,0.699693895453574,1.05402747387081,1.74101211054649,4.62381479950604,7.78484019342147,1,0.129185263120091,24
"Fold_15",0.725644052094929,0.70997553295141,1.70140420228862,1.70342529131028,5.60040827695956,7.30404933925883,1,0.286793462337568,15
"Fold_16",0.81431165418511,0.747659620701765,1.20889760894604,1.31027986839659,5.90016492250794,4.63256416382319,1,0.143084657901315,23
"Fold_17",0.807170409768686,0.683763092325358,1.23807772149493,1.48162934024419,6.47451855426705,3.87585587328227,1,0.146608163251485,18
"Fold_18",0.806915984028267,0.686782924905908,1.20896601779753,1.67042554850186,5.22340851092808,6.75329550992973,1,0.167881743287396,15
"Fold_19",0.792831315129745,0.757305135108916,1.32158099336704,1.24683257720271,6.34566738782494,4.17362824012153,1,0.157616174699721,24
"Fold_20",0.810641247800519,0.722307371610882,1.18994401250728,1.49403045215977,6.21090559816076,4.35939390439526,1,0.146113359704935,20
"Fold_21",0.809284829675639,0.717018339807807,1.14839740551749,1.70704419858121,4.93688766501206,7.58587581953902,1,0.153412510387943,22
"Fold_22",0.793213579824079,0.652397959671485,1.28271260150671,1.91282531126468,5.27091231901779,7.03952753004564,1,0.190319253540076,19
"Fold_23",0.814819154402008,0.747302758719153,1.19348808522547,1.22053083898736,6.28512931865253,4.23029525828935,1,0.124822898430036,28
"Fold_24",0.835931227512113,0.731911715228916,1.01068472631537,1.57203837523066,5.70099875927732,4.99335203435256,1,0.106917241337446,25
"Fold_25",0.839366083031856,0.719840328848843,1.01100716313027,1.52067642408642,4.91504205687858,7.0250938445195,1,0.106230257563462,26
"Fold_26",0.816517774483986,0.643036984482761,1.20650604100698,1.66181105380248,6.17103723839194,4.51200049008695,1,0.173041140210875,18
"Fold_27",0.799669417190136,0.782967667340916,1.30574033823157,1.07469940805123,6.5772776184138,3.28073560646902,1,0.150926457480722,22
