"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.803056297339824,0.684888012493957,1.16757451153023,1.66200213011728,6.12482312206522,4.09332749841475,1,0.0571262669301986,36
"Fold_2",0.626083190480716,0.687319533978546,2.00000288074758,1.95917840867819,5.43927936661628,7.70340294865402,1,0.308658719132094,2
"Fold_3",0.72746784875941,0.694932785722655,1.59621381859792,1.45415237244492,5.91178599617726,5.37546861082868,1,0.0959535372095397,18
"Fold_4",0.673656369217791,0.680078842272974,1.78516734872668,1.82433163574165,5.60286420330088,6.78059662617574,1,0.205577223990858,8
"Fold_5",0.840724590686049,0.693986683756937,0.958836707764078,1.63599977880373,4.82201421321062,6.19095615901826,1,0.0335764699586446,44
"Fold_6",0.668567697804694,0.661052810957277,1.85170588695608,1.70442431190919,6.27015065476029,5.17249047758683,1,0.197036236355734,8
"Fold_7",0.774318471628828,0.70142763829217,1.24854688095716,1.84233694890103,4.838150982024,7.77782739872232,1,0.0701867883959305,25
"Fold_8",0.718332266208316,0.645093010688932,1.51186955607885,2.02620633261114,5.86895885798153,5.93151447754578,1,0.122716594747939,15
"Fold_9",0.688580470160261,0.615732340106678,1.74246166631875,1.98786473293036,6.05770009090922,5.79419401458616,1,0.224560250972746,9
"Fold_10",0.768522583300224,0.704866266127883,1.26930166509953,1.98271928657991,5.25733286579646,6.40612452022553,1,0.083742762688609,21
"Fold_11",0.743406857089534,0.647643069072036,1.51677997452035,1.6957948884094,6.4041744433498,4.95699635724179,1,0.109598793666716,21
"Fold_12",0.725039151318993,0.754510175564392,1.48428765984358,1.68033391093548,4.75996547184148,7.84456647204508,1,0.0946108323837037,18
"Fold_13",0.72542883025042,0.679642426415988,1.5141107301115,1.79612373802102,4.48738305984505,8.98416903746873,1,0.103089606460678,16
"Fold_14",0.775057024957319,0.649026874383833,1.28204394396667,1.93120414343788,4.75954515592468,7.85569683724039,1,0.0813537771580557,28
"Fold_15",0.74939326493075,0.753975399335626,1.45949225850347,1.3856526968874,5.20743336304761,6.72459223750267,1,0.0853571851345543,20
"Fold_16",0.777924376092584,0.671118340913209,1.35609783012923,1.58861697514493,5.85240026961669,4.73217454091731,1,0.0807818733797657,27
"Fold_17",0.797463286828907,0.62258262011555,1.24359698984387,1.68857015909664,6.21504798203548,4.10669571665235,1,0.0620554787341478,28
"Fold_18",0.813165424557104,0.64850697302261,1.11652753882007,1.82532182834038,4.9731239047761,6.99471873001437,1,0.0612501052455916,34
"Fold_19",0.701826763230716,0.646725985268549,1.71164229803137,1.66255992173173,6.47987808986722,4.63354980430492,1,0.136633123169607,13
"Fold_20",0.73247781663249,0.642174991676766,1.54028030858644,1.78996448592031,6.4164263679975,4.36942932262444,1,0.125149524961117,14
"Fold_21",0.869212189546091,0.70444866369545,0.77932488146354,1.72614226615221,4.24679548703601,7.20578819373027,1,0.027726718413292,60
"Fold_22",0.862488484961255,0.69453118906889,0.832642107232197,1.67958719101136,4.53318810415006,6.8204508676224,1,0.0309630274289441,52
"Fold_23",0.722429268806017,0.665064148555009,1.6466698376463,1.52980253416069,6.57713096733082,3.99659106488503,1,0.132958174491005,14
"Fold_24",0.744748485730676,0.617677268195702,1.44678129143507,1.97465443499259,6.00616599746746,5.27201762927282,1,0.108839708539639,16
"Fold_25",0.813827320329233,0.692842417882561,1.11602739318224,1.60713987680404,4.77374855235712,7.01478355338827,1,0.049471736424974,33
"Fold_26",0.783840562947843,0.632169896782356,1.31435222038931,1.71661556858926,6.30267613007088,4.15027908323887,1,0.0764485641551673,26
"Fold_27",0.861123809521302,0.726509273281138,0.903725636708043,1.3619828134358,5.56807979514596,4.6701357528542,1,0.0312648298055999,55
"Fold_28",0.801446947316557,0.751006660025075,1.16603128176472,1.43309339224822,4.89791268781187,6.71834824983973,1,0.058399509311162,32
"Fold_29",0.816113500814044,0.723073299683367,1.0639522794793,1.6969327402098,5.31343057322458,5.54423919683255,1,0.0530145320838048,29
"Fold_30",0.75363547724946,0.670322843165587,1.40875380190434,1.74954612691137,5.22038590349166,6.95553370711625,1,0.0902736016332184,25
