"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.830259953354688,0.738929144356843,1.0331924701233,1.45473494938106,5.91152633647089,3.97113957183622,1,0.0998297738469418,34
"Fold_2",0.761420178718404,0.770914145241815,1.45255204076873,1.50132047512584,5.02993239117293,7.42400585239375,1,0.244606756340009,13
"Fold_3",0.795999172397142,0.770060713950699,1.29238739037264,1.19050540623573,5.68031031678407,4.88544569061609,1,0.160060146965479,18
"Fold_4",0.768636644450926,0.774440397818656,1.41767174847922,1.5202838887922,5.28315912556022,6.66792359229111,1,0.236363851377936,11
"Fold_5",0.786730999723214,0.716155715449688,1.30894691252823,1.63503188064757,5.29463908086041,6.34198563512023,1,0.196658083544635,17
"Fold_6",0.773913038365772,0.766150113708418,1.42118519182896,1.30571547016885,5.96270916346521,4.72450177603192,1,0.216247026157816,11
"Fold_7",0.782739255225951,0.785620772236603,1.25236014790044,1.49551209272468,4.74033025458783,7.3260579929088,1,0.162140584426891,17
"Fold_8",0.783242857904608,0.763816323717812,1.25291893985262,1.51503993355843,5.49078216102562,5.53262647972793,1,0.162224116196931,20
"Fold_9",0.776495372137426,0.694338324089678,1.37147679212691,1.69273830759727,5.80251885153287,5.56047878805341,1,0.231494355066462,12
"Fold_10",0.820579579451937,0.787222939379708,1.03274909161775,1.59126938438977,4.9937678217793,6.2849237445127,1,0.110703003884298,34
"Fold_11",0.779603916518261,0.724821737340977,1.41093983831155,1.37755516038149,6.33865322490302,4.27964804785309,1,0.22150722640062,16
"Fold_12",0.780007022828403,0.783789947731393,1.28828581911504,1.59841305690212,4.68090102030404,7.71686169497388,1,0.190095206825487,12
"Fold_13",0.775961130310331,0.782969339809758,1.33705474534428,1.44245509688136,4.44983882230776,8.52347222306086,1,0.188730088848147,15
"Fold_14",0.824402685442952,0.705276672057759,1.0696974851951,1.67650785894915,4.52858621625285,7.61040188548973,1,0.148937474089871,19
"Fold_15",0.786139491439186,0.81221114015602,1.32077107520657,1.16479802505293,5.09161730924717,6.6063867286059,1,0.166814814704618,20
"Fold_16",0.809368115705031,0.73099919932683,1.20784962381931,1.3397852479653,5.76447111424096,4.55536326705281,1,0.141168617936965,21
"Fold_17",0.895567640037663,0.761634113005859,0.688833889818399,1.15734044238857,5.52485426170844,3.35395509614524,1,0.040828361231227,67
"Fold_18",0.827806503323278,0.695241001207986,1.06999035186978,1.61495952834033,4.95474989716807,6.71501983260784,1,0.14149568726106,20
"Fold_19",0.789654866488434,0.747858850231617,1.34842151727359,1.28974773267971,6.18271037637153,4.00176399777789,1,0.198231267190245,13
"Fold_20",0.836769158159991,0.73706586622937,1.01934651406834,1.3793264550787,5.80136468474791,4.18114226511134,1,0.108848674513021,27
"Fold_21",0.827532717988603,0.732932978393914,1.013665548999,1.57967238478163,4.71858553376818,7.13830882718737,1,0.106845702215381,25
"Fold_22",0.77264078403711,0.712520750863995,1.40104315817845,1.70245630544158,5.225777474242,6.7552902363508,1,0.251150661622032,12
"Fold_23",0.797538070174269,0.757449692502901,1.29170838369231,1.17214144355937,6.19067018458486,3.79130995170717,1,0.160148591880761,19
"Fold_24",0.838916583975451,0.704755566759868,0.986881633622798,1.62248963597327,5.46430488246492,4.98387379308024,1,0.108839708539639,27
"Fold_25",0.805968681019513,0.759563641922512,1.21132162117038,1.36622877704788,5.00651835376881,6.73460875387913,1,0.1588532037567,21
"Fold_26",0.803016379532853,0.6793630213069,1.31505661837695,1.53180986355964,6.26426247124539,4.19194768988349,1,0.233462868787662,16
"Fold_27",0.881525356040772,0.790182158383277,0.776442446491457,1.07366713535635,5.46497852476221,4.52994828694229,1,0.0475197613281685,55
"Fold_28",0.779460488892868,0.803307629930531,1.30561620464893,1.21415566774045,5.12181149699249,6.47559164048535,1,0.155114223211458,23
"Fold_29",0.803799162181554,0.762517709405787,1.14966629890048,1.4668938600106,5.44798547527403,5.28852889383056,1,0.140811250986429,23
"Fold_30",0.783101596364327,0.73880816174408,1.30909597512787,1.47363808876,5.18585376563078,6.59245954084933,1,0.181380699661872,14
"Fold_31",0.806168212652639,0.728305791058906,1.22790785776033,1.40296127333407,5.51597270573944,5.59633918601723,1,0.171600982701956,17
"Fold_32",0.791859749964311,0.754871832676612,1.24643700019589,1.58875963874394,5.6795537358213,5.1274177073931,1,0.181884723074495,13
"Fold_33",0.802830084877532,0.70765294763271,1.24731508154602,1.57845530195973,5.8387360966419,4.98341957134687,1,0.199857704387398,15
"Fold_34",0.808117573022791,0.729573075620257,1.16303213763142,1.55583411146926,5.47753911942375,5.52673610710883,1,0.161632428893352,15
"Fold_35",0.840127939506605,0.767603873915534,0.980458447588799,1.32089839672668,5.58895726718467,4.30740180541469,1,0.0937576273795701,29
"Fold_36",0.85031823217639,0.785534752074458,0.92569366333989,1.19992367194343,4.89343197403159,5.85118896397389,1,0.073249632454466,39
"Fold_37",0.844071915474897,0.744217079525674,0.921759777376561,1.53208136410524,4.10667961118565,8.27232561697684,1,0.083272759801978,39
"Fold_38",0.7641689730497,0.75651052499594,1.45522635560922,1.43492012418342,6.40015630476552,3.99288377094968,1,0.217628893463975,11
"Fold_39",0.783065066439677,0.744305722268208,1.30980733877731,1.61711601803183,5.5166252483647,5.82631603977931,1,0.208747837308466,15
