"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.811331798044719,0.647898183028594,1.10973916429027,1.92568729864362,6.07838461001775,4.5587131526511,1,0.0443886528245138,29
"Fold_2",0.744026052067862,0.756987984323104,1.45156195982797,1.50267712650684,5.02636433455489,7.46754549131518,1,0.089917484590574,23
"Fold_3",0.7742151654036,0.681540964743455,1.38413045666082,1.49610406266126,5.92497171747887,5.11386988123232,1,0.0848543691468495,18
"Fold_4",0.661577049586,0.605609734148069,1.92105236742558,2.20102691219507,5.76766795437093,7.26044792710972,1,0.285032540316272,7
"Fold_5",0.786301973649684,0.640588792117659,1.25982197010649,1.8472126721838,5.2838761861138,6.56119833881538,1,0.0821624517453487,23
"Fold_6",0.77858443494027,0.713001532557641,1.32700322135022,1.46674860885493,5.93056577861579,4.97777068098216,1,0.0738294276547857,23
"Fold_7",0.716758234501903,0.693398306139436,1.539094444023,1.89515282473971,5.14282671397677,7.82508232353579,1,0.133391076428154,11
"Fold_8",0.752546703762449,0.661205131742871,1.38082918854338,1.97800337619335,5.6461463462368,6.07604215731662,1,0.11021979572528,17
"Fold_9",0.798756641222592,0.717490455554389,1.17397703814354,1.57265850259792,5.52270394750731,5.4866004722273,1,0.0476741226330783,33
"Fold_10",0.80752483837652,0.727119788115973,1.06510746487376,1.76239765225603,4.82910122424903,6.81566698233038,1,0.0411228322298429,34
"Fold_11",0.757672757014463,0.703407428205994,1.45523679206349,1.45221496369544,6.34819663963946,4.01436795356004,1,0.0908859749839526,21
"Fold_12",0.742255240316161,0.773080338058997,1.41250064069796,1.58557772268809,4.75383535686488,7.67858090145037,1,0.085427918277251,21
"Fold_13",0.715247883300215,0.672622889130129,1.60236376507832,1.86388033940882,4.79433173456681,8.79511705761469,1,0.138321319848288,16
"Fold_14",0.68527452126749,0.531009359207171,1.84309287805883,2.42627801800102,5.30588515721836,8.31275877786274,1,0.316251288189702,7
"Fold_15",0.742133537611925,0.674735534143431,1.50024514280724,1.67049824895699,5.32207192982538,6.96420511292804,1,0.106507356930777,18
"Fold_16",0.76668307945428,0.636546434327725,1.44218404980592,1.67691308678398,5.95365633772261,4.82564646105292,1,0.118931552479027,19
"Fold_17",0.769133025035339,0.650913595478015,1.41617835142095,1.58684782562343,6.48792362701402,3.97297876884609,1,0.0970464154821281,20
"Fold_18",0.744777723178551,0.675122982107804,1.4842455500319,1.73858613595538,5.41947732537955,6.73926433436649,1,0.12166998138294,16
"Fold_19",0.737300760504206,0.672744530914924,1.5863824855351,1.58256621229568,6.54176580778641,4.24238199598298,1,0.131345655289423,14
"Fold_20",0.779932730324967,0.699359959722831,1.30022031698339,1.57766182860999,6.27773751205875,4.0714340540842,1,0.0692483075042334,22
"Fold_21",0.803988139351687,0.693450757898947,1.11667444635935,1.7728903148737,4.80347676654089,7.74630536188464,1,0.053343462235107,28
