"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.835261745276763,0.690436177594123,0.981943408060758,1.71532895759251,5.96423033157006,4.04001098763937,1,0.0366821489095097,36
"Fold_2",0.72777820870933,0.783882291557784,1.53144465818063,1.34105275115953,4.975554443083,7.21709223361743,1,0.127587010604549,14
"Fold_3",0.732206223623816,0.74265283715159,1.59729459047843,1.27216950948315,5.97312239625978,4.84672840336391,1,0.132740324674052,12
"Fold_4",0.748914502556678,0.713850207615284,1.42673163375834,1.65740180465622,5.23499990081266,6.75480836264947,1,0.120740006883296,14
"Fold_5",0.758979037894892,0.585747597552412,1.43663686806405,2.05055659805466,5.37036406569951,6.77553194490698,1,0.18560512093373,10
"Fold_6",0.733651878907387,0.747781686708661,1.55821296187442,1.35614285349144,6.14663032639398,4.71736701032021,1,0.129302359991889,13
"Fold_7",0.731627885698493,0.719649265118738,1.46655339692019,1.79631776536747,5.03344825775919,7.66402054845208,1,0.138889273422493,12
"Fold_8",0.755593531680339,0.686559957665869,1.36293640640086,1.85082675457047,5.55018986362801,5.85631695800619,1,0.122163842141738,11
"Fold_9",0.79336532548799,0.717795649285504,1.21611066912099,1.58173790150516,5.60000026905905,5.28256810648656,1,0.0809106521354882,20
"Fold_10",0.782430217394993,0.744774172356672,1.19591422225285,1.80730459786384,5.21865256185646,6.46760998648019,1,0.0785640970523671,19
"Fold_11",0.766236950564326,0.754869135649145,1.40499780828672,1.2329728531457,6.37220423512759,3.6457320436136,1,0.0935302033031056,21
"Fold_12",0.728619238779394,0.784023543047513,1.48011377770883,1.5783687396204,4.7671359450401,7.81320593008118,1,0.122701441587798,13
"Fold_13",0.73854557526335,0.706807940249321,1.46409396281642,1.67745786760902,4.39513247630292,9.00764737638651,1,0.119710837745427,12
"Fold_14",0.767154018043009,0.583908445557145,1.35510108001546,2.17106690303045,4.81448199712998,7.98894372094592,1,0.165413130446368,12
"Fold_15",0.73875056932922,0.728262682821581,1.5291008941083,1.4960779101559,5.23766748421714,6.86774125422819,1,0.142343238838689,15
"Fold_16",0.764430613955656,0.693580064568803,1.46063033331389,1.49482043919715,5.99897476167178,4.65067414015697,1,0.147977905354114,14
