"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.790468574401191,0.65789465214783,1.24369277278821,1.79673519741872,6.15781296679771,3.90401246041857,1,0.1119235991576,19
"Fold_2",0.775654163857026,0.714094147212593,1.29825571315103,1.63862796093169,4.84699556603036,7.61695118703717,1,0.113690423739891,21
"Fold_3",0.7931135994683,0.73517457889814,1.27778776832154,1.31065715031375,5.73989837897008,5.4153751002441,1,0.0882301048480046,27
"Fold_4",0.792959903305667,0.746277666559344,1.20585108943035,1.45065840951337,5.04514896947525,6.63224015689421,1,0.0789867625185974,25
"Fold_5",0.788614609756452,0.690038203911999,1.23966438973003,1.66429153789207,5.26692514452383,6.53000402711295,1,0.0875086115426155,28
"Fold_6",0.707783675032433,0.709253185527973,1.73977925524874,1.53336377663545,6.26092001196731,4.86285611676874,1,0.237317365512112,9
"Fold_7",0.728654128207439,0.744717572175061,1.48465711004208,1.68735531452884,5.02762911399405,7.47798328992276,1,0.150137996380199,22
"Fold_8",0.772816684485713,0.691451589594643,1.27621411493927,1.79411097908158,5.47282781614114,5.96396271015738,1,0.11185171993576,20
"Fold_9",0.800743389820125,0.70730527280018,1.17814975434223,1.63428078383224,5.64207245328071,5.19357681513634,1,0.0849177743376824,25
"Fold_10",0.802942645988037,0.748953146866073,1.10583606682089,1.73863085519874,5.06580443355031,6.43234154971537,1,0.080416604906241,29
"Fold_11",0.715712953280577,0.673034605341871,1.7490367912,1.61908168325548,6.57779847025127,4.22242125634363,1,0.276768298113807,10
"Fold_12",0.784856592471508,0.724212278188658,1.21651170540559,1.68640715457618,4.65251629523575,7.70226193348938,1,0.0965672613179348,24
"Fold_13",0.746227581494926,0.76230756757939,1.44756028722595,1.52388766424929,4.61283108616371,8.5441780169975,1,0.134653325499942,21
"Fold_14",0.799964581089749,0.707190339570621,1.14878881650782,1.6561523237133,4.63960252488006,7.51021489162044,1,0.0716561006673918,31
"Fold_15",0.768495512463663,0.788719174359448,1.37634472963798,1.26091473789326,5.15643969928732,6.65965515147648,1,0.107746005345235,23
"Fold_16",0.821774269851367,0.717620062543266,1.11466922479093,1.37736391471833,5.6568840829831,4.58225287011013,1,0.065574425319585,29
"Fold_17",0.793243776408495,0.689924122010001,1.27353750664581,1.44127441307289,6.28721380892481,3.55696490795704,1,0.0847181373776259,25
"Fold_18",0.775334794163147,0.641971814036508,1.32874334466682,1.83761073811528,5.14810629459841,6.8607566346565,1,0.139167734269243,22
"Fold_19",0.793367890446282,0.721235137543032,1.27443953721281,1.36805968440014,6.06491584699948,4.207886985608,1,0.0960324101031786,26
"Fold_20",0.80205830226137,0.701075699163009,1.19462827454784,1.5400471224042,6.06982672095537,4.19748412247624,1,0.0860016741478541,27
"Fold_21",0.797072534448585,0.762728251319519,1.15400189757539,1.44348462363866,4.72001409975989,7.18564015183602,1,0.0693684213036429,29
"Fold_22",0.800952553717506,0.725539519457939,1.16614506029844,1.56530379199633,5.03844726782684,6.53959066535006,1,0.0831912797023099,26
"Fold_23",0.819428199990397,0.744731226412526,1.13388349910952,1.23878223990622,5.98545947459315,3.95260433959827,1,0.0637294864380311,31
"Fold_24",0.828388527920584,0.660232234504097,1.02654536429009,1.79309888910222,5.529573308166,4.99946641580764,1,0.0683093845463853,29
"Fold_25",0.837786866143957,0.706734353910385,0.987062668825903,1.56543971543119,4.70720263119972,6.78717823795984,1,0.0505308840639429,41
"Fold_26",0.774914156002555,0.639517429220988,1.38059286039627,1.67316065846025,6.1744717510479,4.36120196206382,1,0.137317330871792,19
"Fold_27",0.770807633485736,0.715184342825591,1.403244765543,1.34495600979719,6.39928037799828,3.46195424951724,1,0.106215518264193,23
"Fold_28",0.75971838686913,0.776233627022573,1.37079389449029,1.33893680812047,5.20324309527856,6.54854195999296,1,0.0971139266823025,27
