"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.818724215972072,0.68382669702725,1.0944152688466,1.708904773514,6.14169321307959,4.18547331000073,1,0.104647161210292,24
"Fold_2",0.79018886239994,0.770015629759578,1.25399886153119,1.42518914923115,4.90292883391363,7.636468149602,1,0.139578644749684,22
"Fold_3",0.822527798380801,0.761603571839434,1.13475247594242,1.19746054765058,5.69302696083401,5.02837056771466,1,0.106237942140427,26
"Fold_4",0.799007784928861,0.779448593058912,1.19709024260963,1.35675046519638,5.16430911174994,6.5228166565665,1,0.119045038884567,24
"Fold_5",0.833940401718099,0.715711608074097,1.00199933052946,1.55332520124869,5.0604002583987,6.30566562897014,1,0.0782228740530467,35
"Fold_6",0.807542124962651,0.768335249462608,1.2068905307537,1.24373062674717,5.84919559626199,4.82261811147598,1,0.126911449815085,23
"Fold_7",0.807376759115825,0.748409781525832,1.09991413939659,1.57942963953916,4.6532704946246,7.54483498785767,1,0.102034218487758,26
"Fold_8",0.788017628907656,0.721892005248307,1.22898228169825,1.70855517277152,5.58101429643669,5.78308120295198,1,0.14709742364402,17
"Fold_9",0.786950561397401,0.723178102842443,1.28356818962634,1.55178237571955,5.84257369762178,5.57227976411306,1,0.153115906193543,18
"Fold_10",0.891081732152123,0.729291156390934,0.641487847798647,1.74574035725261,4.42144497859164,6.38765878938505,1,0.0370902913490384,58
"Fold_11",0.796280196480007,0.74577214785305,1.28410795330875,1.27919219365061,6.29389650384009,4.10287860649846,1,0.140019312135565,20
"Fold_12",0.817318458760561,0.827530431847294,1.04736362844602,1.24373845582606,4.51547368802928,7.34911349157658,1,0.0739607097152161,40
"Fold_13",0.809245750988315,0.779686174893088,1.13201905194212,1.34430088554074,4.47881050728344,8.44003106931518,1,0.104031442168177,23
"Fold_14",0.818227045680172,0.700836357565077,1.08775332009561,1.75357446636891,4.63003322500188,7.85456904232383,1,0.123313591638415,20
"Fold_15",0.762259834632576,0.748716779946617,1.47367339719648,1.50390425699985,5.41642714028207,7.04869124603324,1,0.20708807699501,17
"Fold_16",0.823439885165998,0.743252923379559,1.13369965275307,1.29445244350101,5.81656464330325,4.56287402350273,1,0.113392146105186,26
