"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.795329192218756,0.67641854185949,1.25249430790403,1.74300371597568,6.39024488314401,4.18860505247861,1,0.159054380123085,21
"Fold_2",0.755256899455984,0.742569957344185,1.45232086670139,1.59052068520401,5.1392826769955,7.8066781074547,1,0.193300562851465,13
"Fold_3",0.828328449846693,0.749097919198679,1.08886597371949,1.23701011737534,5.58406839028961,5.0983789346595,1,0.0841917523026015,26
"Fold_4",0.776218239640015,0.748056127168505,1.33727544797182,1.52716190761777,5.31486867047625,6.74890568992147,1,0.164863851933291,17
"Fold_5",0.818855043318528,0.712560069177448,1.08830494871784,1.59044402572767,5.20899147094013,6.40936821501017,1,0.0942197287261116,24
"Fold_6",0.787114331432785,0.763910960253287,1.30829795792478,1.28276731208283,5.95921412652213,4.86736496513198,1,0.132954434035658,22
"Fold_7",0.780719029764287,0.737450828568375,1.24194238317056,1.65981291958683,4.84425273876181,7.60695010962387,1,0.13488323197054,17
"Fold_8",0.772726165051269,0.70124774209619,1.31122610822363,1.80495908944558,5.6788678151215,5.88421138934908,1,0.169126291839696,18
"Fold_9",0.742070264814241,0.678122887642671,1.52810395185516,1.75765733610261,6.07697554720655,5.80678183768464,1,0.222144963151077,14
"Fold_10",0.860899200719965,0.736743726906603,0.802903878868992,1.74878315697309,4.76520172682027,6.33847411324965,1,0.0513658390003113,47
"Fold_11",0.780002227323694,0.73450783023445,1.39129895161054,1.33255530942507,6.43587738575805,4.14184024085487,1,0.168653757171888,19
"Fold_12",0.790052177004104,0.810992183857162,1.19654968411255,1.3613659754667,4.69517879118394,7.52681855320238,1,0.102427178903221,23
"Fold_13",0.821369132025151,0.776029936529665,1.05861520139624,1.32318925364313,4.35066881369197,8.46762598939181,1,0.0786959709128463,25
"Fold_14",0.792277582038529,0.676895348707336,1.23598520949588,1.86683329814651,4.79787495876895,7.89024708508738,1,0.163013310951957,16
"Fold_15",0.730051282804524,0.716209524273165,1.65815145324533,1.67099236739478,5.57372522355773,7.22867083327174,1,0.26131551535706,14
"Fold_16",0.807805925568175,0.73191045527517,1.22930850583414,1.35196780001619,5.92947430700026,4.64576736352495,1,0.1303734132076,24
"Fold_17",0.790304800328691,0.662881125439496,1.33071173429144,1.5527108828522,6.57616538044321,3.86248976079244,1,0.160902279512754,15
"Fold_18",0.824097911342877,0.704188488334835,1.05748446312923,1.5805725932922,4.95147166560237,6.81812577828127,1,0.0875336804564003,25
"Fold_19",0.802646981837624,0.761627674977369,1.23664677833344,1.2151462156391,6.19824573898211,4.15292856261071,1,0.113811628873888,23
"Fold_20",0.804872905842432,0.705128859755922,1.20731292692668,1.53047038683639,6.24528082294888,4.30260805299478,1,0.13313305222228,24
"Fold_21",0.798577643562649,0.700784706899955,1.19626672308086,1.78272368006062,4.95792514202591,7.68986321912206,1,0.153412509054897,17
"Fold_22",0.793022371130458,0.690312781071094,1.24401569429584,1.76286764286833,5.22561937913794,6.87335465544183,1,0.150824753117249,16
"Fold_23",0.796867612360764,0.737121260823332,1.28328354558307,1.26442375129584,6.35656024815813,4.13653185931917,1,0.124822896150612,22
"Fold_24",0.813372435480362,0.694960121655053,1.13208759334444,1.73325318683594,5.83051233644418,5.08578509105938,1,0.122928846304755,20
"Fold_25",0.812128124180025,0.712076080459187,1.15247639576507,1.56300074693131,5.09235995217116,6.9475979549974,1,0.116587574999311,22
"Fold_26",0.800986741551596,0.676361506574018,1.27349056331523,1.53518905764594,6.21916506389603,4.30976670349876,1,0.157668639932821,21
"Fold_27",0.798626000893295,0.775799832215053,1.27885007863972,1.09612689405371,6.49042210682856,3.23254671539133,1,0.119606635974568,23
"Fold_28",0.781803089212309,0.811733352673158,1.29204548338306,1.18612602094706,5.32659853787119,6.19423347300559,1,0.122629728563351,18
"Fold_29",0.841756436294687,0.74418407974621,0.926455906599156,1.55792461164216,5.16522143221543,5.40565700848908,1,0.0678644866180061,31
"Fold_30",0.802707497286421,0.720468740792069,1.17616485907869,1.5440015114173,5.18688911471508,6.56803026652803,1,0.107913044158001,22
"Fold_31",0.814455539105113,0.652857474022431,1.16745949911137,1.6813022501015,5.50841902727355,6.0287352608497,1,0.135939027365276,18
"Fold_32",0.775842871439249,0.644371556871421,1.32806405544128,1.97171053890454,5.89713291071452,5.61837619686287,1,0.18087538456474,17
"Fold_33",0.804874621104169,0.728824102144958,1.18867780496805,1.48809742990447,5.85185225172406,4.98453578093629,1,0.12097918005165,19
"Fold_34",0.806566545638752,0.741274548468286,1.14343795924852,1.50944936081788,5.50620811711162,5.52296740524821,1,0.109417887294477,18
"Fold_35",0.803131433445408,0.744243620942205,1.19818611052896,1.44419124643609,6.01334733770658,4.50006708903799,1,0.127820337785268,23
"Fold_36",0.82796111141345,0.76408691313407,1.04330155315295,1.31803195772469,5.15831491332271,5.81355976573788,1,0.0745696340565579,35
"Fold_37",0.78945347702947,0.672072788253347,1.25798060730101,1.89123721599416,4.56103781815288,8.56308669363195,1,0.178623627251281,19
"Fold_38",0.781028018194156,0.74909374471771,1.35969423367348,1.47036923935864,6.50973327869791,3.93891344411393,1,0.169027853837223,18
"Fold_39",0.773190914259007,0.691752116421849,1.31845111271754,1.80153610359765,5.62247665942814,6.20832512066607,1,0.1608945158072,16
"Fold_40",0.801765793042448,0.732773203802035,1.2168033007474,1.41364998406132,5.25050200000064,6.45823549355889,1,0.125791327942321,22
"Fold_41",0.854021199469178,0.712282288382758,0.870810095832491,1.68571674574871,4.22252097103958,8.21088018845691,1,0.0695804768002758,31
"Fold_42",0.797206796953246,0.725501786681242,1.22928828550915,1.55564441479087,5.99511053254567,4.8241176579536,1,0.139020234555962,20
"Fold_43",0.778060819641051,0.801579240797455,1.33421311427195,1.23673523294881,5.88451201792064,5.03236840627622,1,0.128908997197021,25
"Fold_44",0.775650522156617,0.648595279851308,1.38648748117735,1.8526737852168,6.40053372020924,4.09748334575019,1,0.214348752892434,13
"Fold_45",0.811861337958173,0.790305174844943,1.17987065688437,1.06901169978703,6.29839568290196,3.38210067053107,1,0.0949068593021823,29
