"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.7932095210104,0.65808352042998,1.24309161229375,1.88052018378293,6.29285069955566,3.83755825578293,1,0.108862834250584,17
"Fold_2",0.81095042142645,0.775087805177702,1.10395222420371,1.33399185520339,4.70935467917781,7.4502014763852,1,0.0542928760851415,31
"Fold_3",0.799567607896384,0.685368833365475,1.2480372947455,1.53717133655942,5.82312520896112,5.48305758207775,1,0.0850542842582976,25
"Fold_4",0.757794611116835,0.718541124830935,1.43841907141412,1.68874693275745,5.30918822092796,6.79634804922407,1,0.148863372723825,17
"Fold_5",0.764395086454849,0.646995666090025,1.42879810177169,1.86903065340884,5.47080538124864,6.489357637691,1,0.162669061997042,13
"Fold_6",0.749752970009508,0.761982274054201,1.52575937512716,1.27959743734059,6.14159976096005,4.64286246149563,1,0.134774934233046,17
"Fold_7",0.780561954901839,0.782460978907676,1.2370580491205,1.50254935355482,4.83521823320927,7.40301025378766,1,0.0861907900511006,21
"Fold_8",0.805403255817989,0.75626575918634,1.10367477161566,1.50418713463878,5.36288186526703,5.74195393172844,1,0.0580964024019074,22
"Fold_9",0.830355544789235,0.721590500726721,1.02120685969102,1.53534467543836,5.5893917598911,5.33913994243865,1,0.0562752183536196,29
"Fold_10",0.80856829274694,0.764878460952524,1.06268953154182,1.65983745774531,5.15313826996059,6.09477844242784,1,0.0543690972222251,25
"Fold_11",0.794780156764838,0.747217280442713,1.2597493081756,1.26676906437545,6.10045926126068,3.91521548307995,1,0.0785577790784072,20
"Fold_12",0.793972232126191,0.789612319367343,1.16356020328633,1.42153467259197,4.51964240645646,7.71213049365788,1,0.0650434938492436,25
"Fold_13",0.760830944728944,0.779891767908544,1.38650719737708,1.3814388098875,4.54955894608531,8.28975641524653,1,0.110512504101258,18
"Fold_14",0.812565070521835,0.692088028822756,1.09948068510639,1.7401050617038,4.56541095112123,7.76830429102347,1,0.0752282849645751,22
"Fold_15",0.771168960076163,0.76506785668976,1.35692431168664,1.34082465922845,5.07554256326293,6.7614213798579,1,0.0902426102622799,23
"Fold_16",0.785132648143529,0.708761888428235,1.32843780829125,1.43948585052294,5.78910773573638,4.8615027658921,1,0.099701142005645,20
"Fold_17",0.778255164138138,0.713153467465491,1.3652084158183,1.38047404423793,6.44514199895466,3.50140796269497,1,0.093244040614209,19
