"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.753476467007943,0.626675476689702,1.42328895165593,2.00679275368563,6.4689560552512,3.90393400323899,1,0.0991917600943056,14
"Fold_2",0.701967828317881,0.731303583184552,1.64379016375297,1.61897553311241,5.07381971318533,7.45897860312624,1,0.114281299889092,12
"Fold_3",0.73968041251328,0.594849452422761,1.56868177763938,1.82248047354008,6.01621159152131,5.39850785183318,1,0.123399203336312,10
"Fold_4",0.708384276725809,0.68826926530317,1.67510980156655,1.82658345698102,5.45584616168903,6.81310851879443,1,0.16337736779153,10
"Fold_5",0.747969494779804,0.66617547762714,1.4363488506462,1.77622267722504,5.4612972032211,6.18779382878235,1,0.0772809832795278,13
"Fold_6",0.761530804784207,0.741368168215331,1.37762766036284,1.36203660944214,5.99656397162285,4.65469837193797,1,0.0252543619930744,21
"Fold_7",0.718764287097547,0.71942299335208,1.52508866264081,1.87000833801067,4.99605114044738,7.55117846408686,1,0.113939151987346,11
"Fold_8",0.722358361056188,0.635881884154587,1.5221955593462,2.07336647217677,5.60936826952923,6.00764576792811,1,0.122287358197013,11
"Fold_9",0.726612149578166,0.694314288416298,1.57807937334264,1.71316668841029,5.85912696187103,5.46775613629747,1,0.130003053297362,13
"Fold_10",0.770615401033326,0.699051702352778,1.21343708478181,1.97669441649198,5.26041360218507,6.35491241810165,1,0.0195392404485955,20
"Fold_11",0.726368040323326,0.73238783418243,1.59946295234484,1.34352400537297,6.3426368018442,4.0414967937568,1,0.0862170655584281,12
"Fold_12",0.698435378283174,0.742291293490662,1.6159563222913,1.72988271739123,4.84217485351341,8.01256615299733,1,0.113665352737278,9
"Fold_13",0.70114869281637,0.726234128460141,1.68503450457456,1.64480607145485,4.654070208498,8.69827631030952,1,0.146091026591474,8
"Fold_14",0.758190270644561,0.634799527835461,1.35551926662682,2.00166762144746,4.72189855015034,7.93470258092409,1,0.0752282849645751,14
"Fold_15",0.708255955021406,0.690280630878083,1.66552509897377,1.67953834780759,5.28331383643673,7.02581090526283,1,0.119295419850691,12
"Fold_16",0.728715167719472,0.676473168272569,1.60719832432742,1.58483565829462,6.01237334472281,5.04161202003239,1,0.109421880269443,9
"Fold_17",0.732465285311354,0.638085109937892,1.60199034534331,1.6644592881815,6.60962353563404,3.59942667519595,1,0.112312777027848,10
"Fold_18",0.741541361435533,0.63763464055274,1.50293227655457,1.88161922086651,5.27244000741244,6.89766821755207,1,0.122279458911218,10
"Fold_19",0.716406096795371,0.717289927775056,1.64314913888454,1.39285259283268,6.4650176771573,3.82388469701436,1,0.0887894590949843,12
"Fold_20",0.740081614261821,0.659851927871878,1.51387295274297,1.75450947451787,6.23651060833028,4.53958399884883,1,0.105437185449723,12
"Fold_21",0.784367082780377,0.644336196903053,1.18732017681888,1.99660375950569,4.8459680278903,7.50279753249238,1,0.0202924147860038,22
"Fold_22",0.72773181062938,0.65192389188991,1.52382584328562,1.88255971177531,5.30820344582501,6.75498654018462,1,0.111254979832388,10
"Fold_23",0.729785226520498,0.677437421937392,1.60523514757829,1.49391438304791,6.40463849302564,3.96320299407206,1,0.0931910120144188,13
"Fold_24",0.783722525992038,0.700871798849976,1.22580329537064,1.62178795175413,5.73513357819766,5.3649060942922,1,0.0126637604928364,22
"Fold_25",0.722526599636055,0.671132681158181,1.61878452823596,1.7548010789094,5.25702031987,6.90486373349991,1,0.138614971845615,10
"Fold_26",0.740275620740228,0.620971668154952,1.55319598110482,1.74015785103462,6.26533664171884,4.47651120142632,1,0.113478284923619,9
"Fold_27",0.716986699376739,0.717409066229072,1.68878735257013,1.34537371190507,6.73728473507552,3.23273634714148,1,0.114253314191134,11
"Fold_28",0.719583585759292,0.723467947454539,1.54827440185132,1.58709334729904,5.38546339983207,6.47599210743329,1,0.0849317164603982,13
"Fold_29",0.69184949215741,0.713585958114374,1.66615294024879,1.84818474114263,5.89431566463304,5.59546452103498,1,0.140751904533216,10
"Fold_30",0.717977489371991,0.722180574180951,1.63236497713069,1.58730895097146,5.40251101287669,6.61954451522213,1,0.135183516720908,10
"Fold_31",0.702465542464716,0.665951246567088,1.76305153032473,1.70419787083014,5.89150154978094,5.80362825922027,1,0.16846820869706,9
"Fold_32",0.738698938242784,0.653695264226203,1.46324923746994,1.92971870608424,5.92268619837963,5.27751299253286,1,0.108089064258256,13
"Fold_33",0.730999360939268,0.630651740340806,1.58160692681848,1.92071523257013,6.07418678030802,5.09957802614824,1,0.149927653437972,11
"Fold_34",0.711228202807142,0.622988528220968,1.64635122044469,2.06055911512708,5.92808084938845,5.71505656837544,1,0.174547877665802,9
"Fold_35",0.726175043187905,0.678323536401912,1.58112796881023,1.75726955678587,6.11971022403142,4.88288290632211,1,0.13047858252166,11
"Fold_36",0.715365548451443,0.715507595212343,1.59301090668145,1.53696460945635,5.52008166164741,6.16315468629196,1,0.086672094694747,11
"Fold_37",0.73992005641105,0.641483534551894,1.45069245421735,2.02729754494143,4.51560760805809,8.63697533759573,1,0.114388996580152,9
"Fold_38",0.721320372893788,0.730860683297678,1.59907738873269,1.48589803815245,6.54965270958194,3.57732465617275,1,0.087716828267424,16
"Fold_39",0.736501394043445,0.68764077136545,1.47468091462975,1.84783973823863,5.52343216999882,6.10971682733232,1,0.10447399867492,14
"Fold_40",0.710862935679797,0.700717682048987,1.66551281556035,1.58860703939468,5.42141511926703,6.59929459176077,1,0.124940127414055,10
"Fold_41",0.721279019831226,0.693778361499226,1.56518173930698,1.8490706852011,4.6807178015257,8.45794723082253,1,0.131334553652175,12
"Fold_42",0.705554537914037,0.701034657300641,1.67960446745187,1.71087286970077,6.1374984576081,4.85513701444105,1,0.140771796915324,9
"Fold_43",0.715950617527357,0.74395928429007,1.59331534250322,1.48881280193927,5.91326275802045,5.13661974359421,1,0.0788626875002421,15
"Fold_44",0.748030540494618,0.651759905580198,1.44281948146082,1.80050673404956,6.39800587589072,3.90149267991228,1,0.0809581521541121,15
"Fold_45",0.738746435989406,0.674188294973197,1.55700450994331,1.55405457276598,6.51886099793043,3.59519121464386,1,0.0905846517061743,13
"Fold_46",0.720185666848796,0.699897467863796,1.58133710874121,1.82997953205353,5.62010375075675,6.12942059054823,1,0.137556474532175,10
"Fold_47",0.706307371296733,0.660380381956279,1.78630206532708,1.58993481923162,6.75800545135207,3.52248340494731,1,0.172903861483603,10
"Fold_48",0.711743022435681,0.634006610144202,1.58969833811258,2.22811867795445,4.60385147115061,8.86214821806494,1,0.163327458854629,9
"Fold_49",0.758179478240365,0.655692187187203,1.39330696864457,1.79620763074542,4.52218908644028,8.36402985988301,1,0.0708578424454021,16
"Fold_50",0.69062914714105,0.660257688125816,1.7956130702787,1.69433587652426,6.15285613784997,5.01587551083477,1,0.16434936214567,11
"Fold_51",0.80798736293878,0.548937959395029,1.18140758209356,2.04537179412818,6.08363245979985,4.61327580307596,1,0.0530613182541427,19
"Fold_52",0.738201417526599,0.652470403375347,1.54875734567317,1.73815326791002,5.88465224934844,5.27401546470855,1,0.12465485262615,10
"Fold_53",0.70829962859382,0.73500903348797,1.62642772959354,1.60218849841283,5.46908085891075,6.43115962537544,1,0.120063159152047,14
"Fold_54",0.736044162206832,0.7300479705297,1.46710574125092,1.55187715847601,4.9399756441273,7.30130610403845,1,0.0608113000777595,15
