"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.760516194371808,0.614915236641367,1.43457167066336,2.09703652009391,6.5083375401719,3.96957166373738,1,0.132219358041357,11
"Fold_2",0.759594491167134,0.755053236962883,1.38195692563783,1.45598197809484,5.03504796068917,7.26007138507826,1,0.0789361928840206,17
"Fold_3",0.779880950339535,0.70141557680857,1.31107003847206,1.45729909229416,5.81773396421989,5.15611924682396,1,0.0317629509744071,19
"Fold_4",0.74911626443173,0.720523635897091,1.46943148891931,1.72204907441831,5.37504989212603,6.84557157161358,1,0.114831632764503,14
"Fold_5",0.764170931455035,0.699151469841896,1.3879362058125,1.66472453054825,5.452025514293,6.37225354468185,1,0.0911739781022637,14
"Fold_6",0.725765570246296,0.710012800050532,1.67021993097482,1.49816286551206,6.29704296937361,4.77959068433226,1,0.143028782031839,12
"Fold_7",0.760269180745281,0.750361835514189,1.31526028710867,1.69205228576777,4.82352466024153,7.5950205690478,1,0.068677837633268,14
"Fold_8",0.741704571847772,0.74838030741876,1.43988323887734,1.66153394725262,5.65269556201632,5.75393223951717,1,0.0918251663345089,15
"Fold_9",0.773389661731263,0.700361009444554,1.35183362455197,1.630979044619,5.77819600380076,5.45515616274891,1,0.0966840471426758,16
"Fold_10",0.785776579428454,0.688692573838768,1.14595241761984,1.99120519276227,5.2199331490904,6.2776442502808,1,0.0265003126998018,19
"Fold_11",0.741674812949464,0.687613410266844,1.56053931312563,1.52349211461533,6.34961740785282,4.2050254391555,1,0.111629628184417,13
"Fold_12",0.76038741250998,0.723893468085969,1.33142626444862,1.74601907164378,4.70375306634062,7.96782516582855,1,0.0766573982062011,16
"Fold_13",0.73358883532728,0.729241246173631,1.52277023958924,1.64287405163939,4.6136306415812,8.70951058841746,1,0.112111373449235,13
"Fold_14",0.790717584025767,0.658403192003935,1.20202494333837,1.8841952753672,4.63916552119726,7.8378764524074,1,0.0621835351636142,16
"Fold_15",0.74016987077801,0.713805322964928,1.52217883228378,1.56847940363251,5.24036438096494,6.93659088390755,1,0.098985578933597,15
"Fold_16",0.747153548376725,0.63675397165637,1.58035183641791,1.70428889641489,6.07024503012847,5.13635197122121,1,0.142848021523652,12
"Fold_17",0.755055310279458,0.659513075237612,1.49403551087604,1.56763226646046,6.65256889690569,3.42383946117552,1,0.0955623005332744,12
"Fold_18",0.768426584328002,0.728582379999255,1.34905576607088,1.47492970197888,5.24111230841362,6.48437889181986,1,0.0714923732294517,14
"Fold_19",0.753175821500709,0.717462262407619,1.4864346821643,1.40183179690098,6.3728330289055,3.95560838949251,1,0.089004184255121,16
"Fold_20",0.763827202242086,0.687235938070557,1.40578874154311,1.65501541413436,6.20272324233269,4.50239371214353,1,0.0908553733721775,16
"Fold_21",0.788072278433075,0.713572095477087,1.17814515681753,1.70891741751847,4.81746630230859,7.12980651770219,1,0.0318500642655266,19
"Fold_22",0.770015624524592,0.704923977147159,1.31864472385751,1.66980208084248,5.18627032992331,6.74082641159753,1,0.0721457900410531,17
"Fold_23",0.759001291355154,0.679827899783587,1.47928195453268,1.49379340018321,6.32859086439079,4.06966191536588,1,0.0930207876555413,16
"Fold_24",0.775619134553695,0.702359741030121,1.28886950733399,1.63518140930431,5.69956297612462,5.13139008576589,1,0.0552123516352654,16
"Fold_25",0.764615959381207,0.731888172429311,1.36697924720103,1.50310991641776,5.02899280689375,6.95346384846736,1,0.0649531128027555,18
"Fold_26",0.770849241303533,0.644064378742817,1.39199198991723,1.6506325571229,6.29554604450915,4.37821047879486,1,0.0820899303655921,15
"Fold_27",0.751193889362161,0.692045854464654,1.53834788530253,1.42976705875524,6.62544206754102,3.42613075188371,1,0.10637755466792,14
"Fold_28",0.751580964733291,0.752121719457421,1.39286830923599,1.45364529968755,5.25949986247311,6.43457641221542,1,0.0612867578554202,16
"Fold_29",0.742050263889865,0.784824709621994,1.40952529902265,1.41582043629494,5.73313831590418,5.47382365232472,1,0.0696036945115305,16
"Fold_30",0.748950938315042,0.744814561250669,1.48673041441806,1.47329046516605,5.38102758778032,6.46597500525357,1,0.107608596882374,14
"Fold_31",0.734550848371981,0.59084214140249,1.62488745497487,1.90940954925575,5.8803424490656,5.98001658922846,1,0.15535017552276,12
"Fold_32",0.77951905569784,0.711425635118061,1.22980077323773,1.66148629081384,5.77625211753657,5.05359811153076,1,0.0400933100904901,17
"Fold_33",0.760835065302558,0.652930598849781,1.42183531932796,1.84420908996453,5.97205066511639,5.12025080990179,1,0.109498131635157,13
"Fold_34",0.777453325412629,0.646121440302993,1.31049077550615,1.92072684692669,5.63705282774209,5.93712868870673,1,0.0992067208806544,13
"Fold_35",0.763029081798346,0.71633650644831,1.39232820498817,1.60190983217657,6.11871301150205,4.69016268780529,1,0.0901219243982408,15
"Fold_36",0.745311147166607,0.747877977080927,1.47692014064527,1.44742615868665,5.51673997328236,6.13963103572517,1,0.0875943741140433,14
"Fold_37",0.757277180656198,0.652652469696881,1.37579768464267,1.98970734545991,4.52039810065696,8.58332658573252,1,0.10179602142859,15
"Fold_38",0.746076128122565,0.763594146331669,1.46869523050443,1.32303757623515,6.50855009616078,3.50697331048112,1,0.0611778125828422,18
"Fold_39",0.763665081910281,0.68041703100228,1.36273928558154,1.84608877709808,5.41880132557155,6.28661652095484,1,0.100787764384594,11
"Fold_40",0.763338316717896,0.718258936916422,1.41035617962946,1.49481885612888,5.37005990694367,6.52968344841524,1,0.0858855746457136,15
"Fold_41",0.797824898418627,0.686954690026883,1.13679545583395,1.79111724173019,4.43961440732692,8.26853828454456,1,0.0334109543202623,22
"Fold_42",0.729658576531998,0.727648120173119,1.57484539579255,1.61197238803956,6.11530905095062,4.91570433406597,1,0.12091123048681,13
"Fold_43",0.746964514282037,0.772718519979956,1.45430389951192,1.34462123699229,5.82700743143164,5.08642381302446,1,0.0675071655150364,17
"Fold_44",0.763954295819504,0.685161127752296,1.42272091616137,1.74999051500088,6.40925728453164,4.0432374749206,1,0.115406152408757,15
"Fold_45",0.77371614455485,0.71071269527805,1.36931290467159,1.41951144791481,6.37702358449041,3.54650314167753,1,0.0639239740832406,19
"Fold_46",0.737720093421686,0.735363530556879,1.50788065596493,1.66410339066075,5.66301387462343,5.96642798042243,1,0.115713324433432,12
"Fold_47",0.773423162004554,0.702715990279605,1.39625408611514,1.3919105957843,6.50783604240804,3.51286263853645,1,0.0788756254805931,15
"Fold_48",0.764726397815145,0.63604647362614,1.30811807024666,2.1246520926595,4.4838132224152,8.583138954221,1,0.0929449261684094,15
"Fold_49",0.792166165594034,0.67671538231771,1.2556284631056,1.70954822723825,4.47681794444793,8.29257892680689,1,0.0802299637280093,21
"Fold_50",0.734588678621836,0.72839928246392,1.62451805282513,1.43165725372623,6.11405266668042,4.86800132786893,1,0.134428842288389,15
"Fold_51",0.815167847779765,0.61479215382223,1.14764026566066,1.89102044942198,6.04254176790441,4.3499350854517,1,0.0576916049364682,20
"Fold_52",0.769792148510878,0.638111061880199,1.42319534632731,1.77517079749441,5.90232367673951,5.3729098211592,1,0.116735742065757,13
"Fold_53",0.776171178835426,0.784664301275883,1.24158034180775,1.27478504600135,5.11424654404061,6.17769001977493,1,0.0159449100893819,24
"Fold_54",0.783058174420807,0.754806190773467,1.21973028691718,1.39337530017155,4.77153113596605,7.10867462740127,1,0.0150156631836479,24
"Fold_55",0.71885118610286,0.7175348649673,1.65427284533555,1.634525180682,6.26018546613904,4.75411899425632,1,0.143590939070468,11
"Fold_56",0.741671880334183,0.69896701039435,1.50168393324725,1.85393315756556,5.09598663435292,7.31473763521305,1,0.127817751078704,15
"Fold_57",0.752647878354194,0.712513768323236,1.44492132680859,1.6865177390695,5.91094020330177,5.29438217678323,1,0.113336974688263,14
"Fold_58",0.790189759940369,0.631132275201461,1.23281793053077,1.99866642602306,4.84730200197814,7.66100986495831,1,0.0850682093052029,14
"Fold_59",0.740089828642552,0.80656857026788,1.49852104926923,1.06555301633129,6.14800737675617,4.45186451180907,1,0.0485004833121884,17
"Fold_60",0.748046861211033,0.747621518417982,1.51136049797205,1.48372826444925,6.26129263069967,4.29808240463626,1,0.103117961463789,13
"Fold_61",0.726909258944572,0.703531676650822,1.6549144627488,1.65678426724172,6.31749950411188,4.66096132700113,1,0.155380741181114,11
"Fold_62",0.708788538291109,0.720681565793631,1.70860523420152,1.65132845599472,6.35266298086463,4.56059395086377,1,0.14515855837588,10
"Fold_63",0.747400745253664,0.67662710382066,1.42375500619278,1.93834295400454,6.00746567020572,5.09692817035109,1,0.10991831141519,15
"Fold_64",0.781460028188441,0.682125082873009,1.23680174932848,1.78038726769204,5.20049444463458,6.3753586185182,1,0.0571912570236617,16
"Fold_65",0.765970858134801,0.653951772853677,1.36174166392218,1.80076238579504,5.52044698765365,6.11759529295732,1,0.0778692446587577,15
"Fold_66",0.768532266101903,0.727401296611673,1.338846038956,1.50237642904254,4.29556828824922,8.76407037159037,1,0.066676981670062,16
"Fold_67",0.751763145781951,0.767528021066215,1.49330227341061,1.26704945794805,6.24406488815786,4.26502145457158,1,0.081183301928638,16
"Fold_68",0.769569739168893,0.657707791586985,1.39638459911464,1.66273409948408,6.25598248454835,4.20129850293668,1,0.089887293704792,13
"Fold_69",0.762520089913879,0.734070116678372,1.40986036370538,1.36103175828489,5.96867664524462,4.58125319595851,1,0.060496588207748,18
"Fold_70",0.769010101702562,0.704377487736604,1.32832124480091,1.7462592000607,5.09062165195985,6.98312945896072,1,0.0907912801876175,16
"Fold_71",0.765739879392522,0.727549100782846,1.38397551222937,1.4930686480454,6.36490328603988,3.83474523745938,1,0.0768124172925133,18
"Fold_72",0.745707245930265,0.674993265762828,1.46067151120323,1.8508811340689,5.7324734699558,5.73474410853505,1,0.116304061376914,12
"Fold_73",0.744776170449223,0.726641839459001,1.50385094116402,1.57268319276077,6.12190282675792,4.67192044303207,1,0.110178417211856,14
"Fold_74",0.767060459653811,0.677675590420848,1.38196191527016,1.71789461293634,5.95084725988209,5.01526816537648,1,0.0987268620648879,14
"Fold_75",0.768018320502024,0.740684216774747,1.29073748157153,1.6053755296704,5.62235856440967,5.37425939920509,1,0.0493131396017765,18
"Fold_76",0.762500950751733,0.718713034324538,1.38383576977156,1.54253980024454,4.93429364282534,7.56773481506916,1,0.0781318167121886,15
"Fold_77",0.742369084780887,0.78994970263813,1.53288142152744,1.12370627145715,6.14541760377835,4.39641642057305,1,0.0793450793391625,16
"Fold_78",0.765490397214238,0.744197539087684,1.38124531284904,1.29278342972155,6.07663723765849,4.38928689394132,1,0.0471680074563718,18
"Fold_79",0.767485511133447,0.732877685072262,1.27508078460836,1.66943045749,4.75295954485927,7.63846413396591,1,0.0586603764193571,18
"Fold_80",0.761011595933574,0.752641192952366,1.41753337931131,1.29106165305435,6.40463324646751,3.52073999640776,1,0.052354869989908,17
"Fold_81",0.726523312045429,0.740122439315959,1.66654138924881,1.26879989879661,6.51195209148307,3.777132575984,1,0.113877219098802,13
"Fold_82",0.769099913148211,0.677280396735237,1.36893674094493,1.63955814775355,5.59377811794267,5.96427586646947,1,0.0797179052239984,14
"Fold_83",0.766391739228092,0.711804415181272,1.35809827267151,1.54861483380792,5.94969882899602,4.85299532065124,1,0.0671619172659779,19
"Fold_84",0.750356615843338,0.796161140689648,1.42611604104098,1.22836616479258,5.32121477486437,6.15592569435034,1,0.0502988771723994,15
"Fold_85",0.752401190126992,0.760546177874584,1.34404806610825,1.67959366557346,5.42280351362634,6.28348232923583,1,0.058129344364113,17
"Fold_86",0.74427567049522,0.71537723417964,1.44663228782396,1.74856860758415,4.61599211408294,8.54753963619209,1,0.105677700568357,14
"Fold_87",0.793164564747999,0.722458820188297,1.22386871110571,1.53678413942673,5.27193794751625,6.16909880384504,1,0.0356158360361279,20
"Fold_88",0.733222369225785,0.720843852116043,1.53305474162914,1.6797006051478,5.35675987789541,6.87025798513943,1,0.110555512801457,14
"Fold_89",0.752764460450897,0.755559688668677,1.34887747098831,1.57705279717549,5.64059488654517,5.76873638489182,1,0.0545424169405592,15
"Fold_90",0.766840584534229,0.728422557864508,1.40153395764964,1.46805872853898,6.3239686103014,3.99304900679321,1,0.0865802575396303,19
"Fold_91",0.752705225701016,0.640037331371658,1.49586266621636,1.76485158504015,6.54049176656887,3.84344854151119,1,0.120060372238897,14
"Fold_92",0.737507027524375,0.772435888656423,1.58740402235507,1.23507338448161,6.22226542952527,4.45923863255656,1,0.109109532608711,14
"Fold_93",0.767822017268908,0.714722997242464,1.33712888230057,1.72075473047842,5.87669686491202,5.20792809803856,1,0.0817924574828101,15
"Fold_94",0.757809432593284,0.702190494852334,1.38150861192432,1.70490442382496,5.65305341173813,5.64182870840547,1,0.0849528301345129,14
