"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.798227890243887,0.683987520604558,1.20510461284218,1.79622903263526,6.20977459886745,3.79411183496306,1,0.0903798375114739,16
"Fold_2",0.802618175272297,0.771194396692002,1.14855482687946,1.35172857102606,4.72449464816995,7.45047681067988,1,0.0595863644785103,22
"Fold_3",0.794342373157296,0.693611457930552,1.27639089761871,1.50925282959232,5.85282494140556,5.41750498507868,1,0.0850542842582976,19
"Fold_4",0.763927040232735,0.746234678581354,1.40424599816115,1.59504311622956,5.26486093936127,6.65619465393081,1,0.135638760975687,17
"Fold_5",0.769101955656019,0.66672911965607,1.38167890935494,1.8038320289795,5.40281136005444,6.37289389675384,1,0.135050713061494,13
"Fold_6",0.751550255667653,0.76226291139089,1.5050190728579,1.26500941847463,6.12266479872583,4.60311175731143,1,0.122801900531066,16
"Fold_7",0.788117938233364,0.785012954581963,1.18897296570226,1.47849639935819,4.79206966279767,7.42372979296164,1,0.0715571081115983,21
"Fold_8",0.802477445078058,0.759813016357257,1.11314740896107,1.49394540170908,5.37028291676489,5.6568214338051,1,0.0529352781329165,24
"Fold_9",0.806794483644279,0.72482221612605,1.16224616245116,1.53518749000723,5.64082379283423,5.31647603751943,1,0.0816457063035742,20
"Fold_10",0.807670414674124,0.759893994188919,1.06837703183471,1.68913849935042,5.14723451191596,6.07384389201371,1,0.0543690972222251,26
"Fold_11",0.788858802185552,0.740219413610815,1.29676996199324,1.29670310719173,6.10065009853191,3.89878699592809,1,0.0862170655584281,15
"Fold_12",0.793683060983582,0.784247803159662,1.16598535894783,1.43905406386364,4.49954609145319,7.70282219793397,1,0.0650434938492436,23
"Fold_13",0.765213003349106,0.790355733496699,1.36138942358695,1.3202008319209,4.51159346059894,8.25091882175416,1,0.100694877822126,18
"Fold_14",0.802415974919145,0.67914673836178,1.16279503266696,1.79368821226538,4.60337966805221,7.70135234679631,1,0.0906127355674272,15
"Fold_15",0.750820448713636,0.759138843021389,1.47887157530391,1.40152420181309,5.12816304690894,6.76438654575581,1,0.119295419850691,14
"Fold_16",0.782415163024871,0.704962698795085,1.3418049564367,1.45408901954041,5.78371887270563,4.81178816248488,1,0.099701142005645,16
"Fold_17",0.791202768666939,0.731584300114553,1.28310730114721,1.30344918472187,6.3526399665868,3.49521483611529,1,0.0705356972376635,20
"Fold_18",0.800668044881797,0.707173407570968,1.19141502877538,1.56779426987832,5.05767531436112,6.78606719601639,1,0.084282487860479,15
"Fold_19",0.804690464220787,0.764827692350502,1.20992978526378,1.18877961558744,6.11782175809189,3.96361445502583,1,0.0671659696787674,27
"Fold_20",0.789021493086985,0.720424605878032,1.27677084452319,1.53007028763243,6.07157018500569,4.23535887689781,1,0.0960704364914299,17
"Fold_21",0.84125224093548,0.697450915107592,0.916824880738759,1.75623779714585,4.711294204319,7.1123363829478,1,0.0354615711432774,30
"Fold_22",0.783636326745956,0.743077195694553,1.25503049837871,1.49811599338882,5.13828691478996,6.4648978062263,1,0.0841603122510315,18
"Fold_23",0.797246404732561,0.740112317870053,1.26615747515915,1.2486316608033,6.1441698165918,3.78979315110316,1,0.0773688153663684,21
"Fold_24",0.825442176987522,0.708594356225323,1.03331559844534,1.58063290180123,5.51581284079386,5.26693249089971,1,0.0465821204321321,24
"Fold_25",0.823306297200646,0.742385389478878,1.06574031501562,1.42984809286359,4.76820687446225,7.13185664071225,1,0.0546726011882253,27
"Fold_26",0.79759999885208,0.647524199399714,1.277216745032,1.64119693971251,6.12866186916867,4.36141681368179,1,0.113478284923619,14
"Fold_27",0.788905660992415,0.771659681553901,1.30499274199687,1.11063874619183,6.35192081055538,3.25507798662136,1,0.0717544111315781,22
"Fold_28",0.79242704155622,0.773240819757006,1.20241160873201,1.32619603016938,5.06106066889965,6.54172912145735,1,0.064247728848559,22
"Fold_29",0.760454507701344,0.767271408862447,1.36684781775215,1.5079040794003,5.64111866412231,5.52391457061602,1,0.116854703891511,16
"Fold_30",0.775762720763619,0.762940159068086,1.33365656533268,1.36701831319024,5.17839289099111,6.3345252814892,1,0.102261372889235,18
"Fold_31",0.803928749406596,0.686987858008682,1.20226117077933,1.54960691751863,5.49850261802626,5.69330932252064,1,0.0800360477869245,17
"Fold_32",0.798777992896598,0.70421535229843,1.16028166996235,1.69521213547374,5.68067432776981,5.14572282066153,1,0.0745015992654287,21
"Fold_33",0.79129304925603,0.686303221312207,1.26911299419626,1.69895194204938,5.7965940026825,4.93886343364101,1,0.113414771612146,18
"Fold_34",0.795087701388937,0.692250747047393,1.21270769152967,1.7190411184359,5.5299515493574,5.7080981487309,1,0.0998827130163004,18
