"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.748259991365093,0.588383344413947,1.49572083528793,2.17260158821872,6.50929802330957,3.908745232141,1,0.142322176821003,10
"Fold_2",0.716577315360475,0.72984728404211,1.52725350791702,1.58545202723167,5.01505422341222,7.15953003325803,1,0.0364507296117194,20
"Fold_3",0.723136550603759,0.595147472019816,1.66230635157755,1.81582648299213,6.10382557046879,5.28171186644319,1,0.137622466177038,9
"Fold_4",0.70956145929225,0.643832222223664,1.69399893932546,1.99787248596929,5.4900072437025,7.02359287210541,1,0.177126073140441,10
"Fold_5",0.742236968325978,0.606662303357088,1.47562271778272,1.97126469045625,5.36586749679909,6.50890226689098,1,0.0951786256636973,14
"Fold_6",0.691735218192184,0.69718588678895,1.84436584546134,1.60253173972907,6.37469873593179,4.74333454824585,1,0.178777151006834,10
"Fold_7",0.705690482661424,0.703279869096542,1.64368723037834,1.98115391899299,5.12002005437437,7.61775580629377,1,0.154665993388987,11
"Fold_8",0.7051953165291,0.65691325495133,1.61971893593185,2.03207395642309,5.690858299056,5.94626731606947,1,0.136692168287181,10
"Fold_9",0.706135770945327,0.686881533328997,1.72417828063846,1.79251158894647,6.00344232601179,5.49022373739412,1,0.172393218222888,10
"Fold_10",0.724636186512074,0.716854583023528,1.44191754093287,1.93844803708527,5.44532921399885,6.05869867679339,1,0.0631875013317285,16
"Fold_11",0.698291444349878,0.697939644978883,1.80022699681764,1.52881266276826,6.48750516469175,4.16770243225351,1,0.153762387026768,11
"Fold_12",0.690654069874491,0.736979209639532,1.65031652984253,1.78270318368839,4.88329112105466,7.95376949000908,1,0.11121675940218,11
"Fold_13",0.704485036689291,0.693018674910229,1.65784518805339,1.77018889401215,4.67362996420418,8.8154204311766,1,0.131690440564389,11
"Fold_14",0.752766147750539,0.608552668520582,1.37257331188383,2.09135231960518,4.76741541745992,8.02000697414626,1,0.063000257663893,15
"Fold_15",0.70552165215687,0.69543598168492,1.6735583753209,1.64901522442663,5.25727754873415,7.0745156084602,1,0.108636550681238,13
"Fold_16",0.719336963436174,0.674906980609229,1.65696057124573,1.58007552909475,6.02995350155465,4.90887436859646,1,0.108511931246103,11
"Fold_17",0.709565110593251,0.620426732360998,1.79399560165849,1.75932825966596,6.80344809294754,3.64957894485671,1,0.179577421608898,9
"Fold_18",0.715400007831719,0.672055430688115,1.63321074327487,1.78512994749625,5.42431848425262,6.76189885131025,1,0.126909903654321,11
"Fold_19",0.710241898280962,0.692859871546645,1.6919332803445,1.49512948086364,6.4282962257062,3.92627139081109,1,0.106752125536628,11
"Fold_20",0.777621045370618,0.66259387269955,1.28095513756888,1.75351943689093,6.13933421808188,4.42993388800347,1,0.0170246381585272,22
"Fold_21",0.749475700237233,0.645756335097632,1.38200180802696,1.99817223286557,4.94618614293209,7.47619003236631,1,0.0735169322834082,15
"Fold_22",0.71947806093267,0.649731139747893,1.56557193846753,1.9045828959819,5.28004170703139,6.87163897750089,1,0.110959998241058,11
"Fold_23",0.713111671750961,0.66094913828865,1.72348536276681,1.57387780439794,6.47535731982145,4.06245033298889,1,0.132591874422412,9
"Fold_24",0.731796650251831,0.661114111360868,1.50054574149876,1.7894035082858,5.82891163836379,5.17061398254263,1,0.0728238820511522,13
"Fold_25",0.805875246779782,0.69229472683817,1.1219085296269,1.71701412344412,4.85024896021405,7.51330181084571,1,0.00147541239060145,37
"Fold_26",0.762372378270757,0.611234562521548,1.40933916135794,1.82409459485597,6.14323935481905,4.51298310115867,1,0.0558786835461932,16
"Fold_27",0.71373276310058,0.712277086981672,1.7115282886837,1.36121093113684,6.68549568397798,3.2453109047089,1,0.113309323608457,11
"Fold_28",0.707340076716147,0.699075594316133,1.63731582682749,1.72122639856489,5.44145622090832,6.59648144592481,1,0.119329487527682,10
"Fold_29",0.672296910821339,0.717506275215018,1.77425453393838,1.93706929483559,5.98752948125453,5.63145323898864,1,0.160793561926602,10
"Fold_30",0.713495775080111,0.705383742608653,1.63766444308905,1.64460656475238,5.42836560397041,6.61903313589132,1,0.119410945472258,11
"Fold_31",0.704224319705942,0.646144207778906,1.75571828339679,1.75480180428898,5.96691614550163,5.89942064344742,1,0.15535017552276,12
"Fold_32",0.73404726263481,0.599878115181962,1.49468220302437,2.14311774153977,5.90582513228112,5.52623070979575,1,0.119597977450271,13
"Fold_33",0.730714767512182,0.60398630380323,1.62424118190627,2.0596746982855,6.13157050034733,5.22419755358397,1,0.173110187627802,10
