"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.760616851800307,0.6082496304798,1.41845327225263,2.11193458189332,6.4392834824039,3.92641839375608,1,0.128990892992187,8
"Fold_2",0.752628091494646,0.72864911529134,1.40262314749981,1.59159816168276,4.82659940898548,7.58622870548567,1,0.0829797790365867,14
"Fold_3",0.770472026347969,0.661085923005798,1.38702893401381,1.60137047900186,5.81658184606334,5.16624748928428,1,0.0745261757495158,17
"Fold_4",0.748031971775812,0.700887526437756,1.48128925903204,1.72210984671327,5.34358971422228,6.65383637926164,1,0.127487249074768,14
"Fold_5",0.754706394694973,0.658587772072291,1.44878815181927,1.8129765200994,5.35837253031277,6.34962491760693,1,0.119478398103204,13
"Fold_6",0.729971946094452,0.743289122364868,1.59519776589773,1.35780656188004,6.10429883162595,4.50565992022814,1,0.11014322566316,15
"Fold_7",0.731587704702355,0.755678175785732,1.51052881337667,1.71572112224083,4.98018358040072,7.257569460067,1,0.130309056667937,10
"Fold_8",0.74016323673393,0.728244497975474,1.4488545569289,1.75149142076677,5.54269145559528,5.77263687844849,1,0.106089711517814,18
"Fold_9",0.754592850433693,0.704894680042594,1.45079037695446,1.6460821215291,5.67352744461286,5.33476155886048,1,0.118775040196531,13
"Fold_10",0.764090972707595,0.734465351017826,1.2690492324336,1.82328067752337,5.23982673995884,6.10097494810261,1,0.0590795209251723,18
"Fold_11",0.737131917845282,0.706089969813835,1.60464273972211,1.48375174002127,6.24434610659553,3.96109172383256,1,0.135429387253654,10
"Fold_12",0.790268456047214,0.7744547563985,1.14498639577293,1.40913114410229,4.41787523389857,7.82249147667572,1,0.00990068369741316,26
"Fold_13",0.734425373884161,0.744460978604193,1.51062345325527,1.54945844749101,4.47515087021463,8.40188706370251,1,0.111342570036791,12
"Fold_14",0.779509553310068,0.649169798101307,1.2618496302965,1.93042592832507,4.57625240351692,7.78656087352427,1,0.0783424218430177,15
"Fold_15",0.710613295438106,0.679155242978857,1.71907196539598,1.75398587940422,5.35735826286608,7.00147975459579,1,0.172980110377663,10
"Fold_16",0.76060336104652,0.636129938462923,1.44863453111862,1.6987905790316,5.86541759581976,5.07050231193604,1,0.0998958481588773,15
"Fold_17",0.752629056900478,0.6625692097189,1.50178404375916,1.5665881958077,6.47502660717366,3.37375971806262,1,0.0991615265153794,14
"Fold_18",0.758077011624862,0.713678581737857,1.40191655124496,1.55723866029813,5.19397902109336,6.41981917967851,1,0.0842503114248961,14
"Fold_19",0.762297122015801,0.755997020196692,1.39088427571392,1.22461702297894,6.21337387041089,3.73611209334677,1,0.0350065490563807,22
"Fold_20",0.765181317086761,0.66899836200873,1.41185815242782,1.75176363132728,6.10044571516,4.35750006964724,1,0.110754076843372,14
"Fold_21",0.785351372379057,0.724801317489102,1.17855385935829,1.62809809418423,4.79072833251007,7.16636071561226,1,0.0130982119028283,25
"Fold_22",0.762944189641536,0.697763780627158,1.33987982759053,1.68438902783745,5.05104987636788,6.52685589967199,1,0.0682401489273684,19
"Fold_23",0.756710351242652,0.673395558213845,1.48574021179877,1.50500568312294,6.25978710776417,3.86060411242536,1,0.098596999806999,16
"Fold_24",0.823036680718472,0.698042345503061,1.02617635607537,1.62884963447653,5.51127746842084,5.38524677374741,1,0.00748255582449346,29
"Fold_25",0.753831486892165,0.708911155174317,1.43758468787999,1.57882049529111,5.04141313124607,6.78291754968922,1,0.0946817953367225,15
"Fold_26",0.774797102402759,0.599678457470994,1.38992183410406,1.82532362363424,6.18485074233552,4.44194273947516,1,0.109372792478715,13
"Fold_27",0.756221767641308,0.71565297777369,1.49165837179186,1.33808142377692,6.45908270139917,3.12099510298154,1,0.0934902531090479,13
"Fold_28",0.752129369168633,0.774882119453977,1.37266655176988,1.33897592889949,5.08559684630217,6.28776898577802,1,0.0396901240578426,19
"Fold_29",0.706631758243779,0.730688221931884,1.62778940515461,1.80571264464999,5.89129043660845,5.48952321012231,1,0.146509105050669,13
"Fold_30",0.775021050463394,0.728100797581661,1.28428048989374,1.50212554390338,5.08287372047141,6.32264006061938,1,0.0417561800038854,19
"Fold_31",0.750789378092254,0.65695216234986,1.51637290997452,1.69026045566694,5.67535783139114,5.75724563803817,1,0.128974444931382,12
"Fold_32",0.784024338829381,0.697933302405607,1.20152754923119,1.73316929813931,5.68601603584024,5.0635524066585,1,0.0317535729652233,20
"Fold_33",0.772160195881697,0.655831396794055,1.34515268672349,1.78843703663573,5.7257425411632,5.01370427725864,1,0.0943319620295693,17
"Fold_34",0.764067423162834,0.668560755292271,1.37246428682434,1.83586010321746,5.66248705810994,5.63740954938554,1,0.109658228439052,13
"Fold_35",0.794677698260149,0.677141030858275,1.18219431748805,1.7225531991002,5.77205309739083,4.73495874769521,1,0.0380130041431074,18
"Fold_36",0.751103500537164,0.794316678325754,1.39753680570344,1.16562538412025,5.32263652933115,5.92091525315664,1,0.03176244397321,21
"Fold_37",0.774814677541752,0.653681373613437,1.27664484096127,1.96182053594165,4.28654334120527,8.55758624957874,1,0.0869263722753778,15
"Fold_38",0.732225070815058,0.751216284044405,1.56697550028346,1.37698720279254,6.42951984110542,3.47741715997822,1,0.102203217240417,13
"Fold_39",0.76753656131432,0.702007856920212,1.33236687678172,1.75452999171149,5.28491854808469,6.0082620737499,1,0.0932713090983411,15
"Fold_40",0.755373141537106,0.725412570210885,1.4412801578546,1.46781747890586,5.19652675495373,6.38937276201478,1,0.0892900763006467,15
"Fold_41",0.782024402483251,0.666347648594461,1.22760612954426,1.87900299844608,4.4023970504324,8.1903660346539,1,0.059697295284707,17
"Fold_42",0.736810153846628,0.745239696542297,1.50773744976302,1.46894939143215,5.93375606505474,4.59344512100677,1,0.0953437674747294,13
"Fold_43",0.743453848845022,0.772629964572442,1.4592227697827,1.33596411177945,5.70548194759015,4.86174165728091,1,0.0633666406183107,17
"Fold_44",0.78037624163231,0.682096639094087,1.26520550336152,1.70873922654826,6.13881646140405,4.18615617383666,1,0.0445711018357606,19
"Fold_45",0.765656624193828,0.736024949790931,1.38675216839189,1.31383452404908,6.33982749553982,3.34686175071722,1,0.0458405036249665,19
"Fold_46",0.747236357513948,0.732600953972907,1.47694399478284,1.66572136917769,5.49720436361835,5.96565283803471,1,0.128292207944222,11
"Fold_47",0.755368585038983,0.653972740408522,1.51291450285503,1.57162124675911,6.5728558548843,3.52167622326031,1,0.119681322149219,14
"Fold_48",0.773339320909486,0.708779353666936,1.22466388006612,1.77679541516706,4.28569923975776,8.29553521341861,1,0.0415547495218653,17
"Fold_49",0.79306745533945,0.676906411806808,1.20788877157295,1.72594705402145,4.30904890924629,8.21189424207767,1,0.0468218724435755,22
"Fold_50",0.730952752858669,0.709891153707903,1.61520149026316,1.49746625715504,6.04546303783838,4.92396983631689,1,0.135540038820302,13
"Fold_51",0.806685625911629,0.603326736765261,1.20033010144911,1.85214459104045,6.04614456937748,4.14357697511581,1,0.0724994706938456,16
"Fold_52",0.761001960296644,0.663686747017454,1.4410816624935,1.68426570414226,5.83990960516863,4.92059551358409,1,0.111884986261088,14
"Fold_53",0.74392230193776,0.772337242203852,1.42410974258383,1.37164356546571,5.24628531503841,6.17281540519741,1,0.0666998261652378,17
"Fold_54",0.739348684617748,0.733260785422762,1.50582947598793,1.62215579101168,4.89218010499717,7.4587553336089,1,0.116190648908703,13
"Fold_55",0.712990599363902,0.750097102113009,1.66119334094213,1.50385886651416,6.24424847421958,4.4726213936726,1,0.13976275808251,13
"Fold_56",0.739040582622422,0.743209288561071,1.46225022646135,1.64425120559385,4.92794436744368,7.00570130592778,1,0.100641970210978,17
"Fold_57",0.760701543833491,0.709734784724052,1.38988847734626,1.6767667962019,5.71582556118839,5.09089328176439,1,0.109106409280846,11
"Fold_58",0.805029560557269,0.612145901779556,1.13867062810399,2.12423958508602,4.66446959148376,7.62817088172956,1,0.071648204707165,14
"Fold_59",0.787367097929759,0.778405867958641,1.24281914938663,1.16676190528118,5.89979180741191,4.48342824576266,1,0.00909052223100465,27
"Fold_60",0.732277326383303,0.724935199024447,1.60820985183671,1.56673545145826,6.28423842582759,4.25586002971882,1,0.136315876404916,13
"Fold_61",0.752697014416404,0.719235594149979,1.42879899529647,1.47561918476049,6.03501851084706,4.40766614236,1,0.0709907122642552,17
"Fold_62",0.711192308778498,0.75703699138227,1.67379412474859,1.49433906379945,6.19204246535244,4.34963690263391,1,0.132838404547457,12
"Fold_63",0.759099760428647,0.695080570313223,1.35687495001527,1.84273091210878,5.85067853846021,4.84567533867653,1,0.100153471576625,13
"Fold_64",0.801438510214772,0.678199163258021,1.1122394150786,1.79755729607291,5.14694090608994,6.51115783287937,1,0.0152973113574335,24
"Fold_65",0.739213091211429,0.656053162037644,1.51616851956822,1.79789553629523,5.56402934487883,6.05183619005515,1,0.121077503143921,10
"Fold_66",0.772405076719813,0.722806413354945,1.30604820753868,1.51072651134498,4.16574635816979,8.71457928902346,1,0.0522689832313668,16
"Fold_67",0.755260561635977,0.74176852883366,1.45751127693713,1.29894172671864,6.10173335973438,4.24228658002014,1,0.0701362370280578,17
"Fold_68",0.754042034153724,0.637240190297753,1.49891387061017,1.75194129697363,6.23473559963186,4.18419335201062,1,0.127427348644057,12
"Fold_69",0.745487590603782,0.675872431409678,1.50120874280097,1.57767552237542,5.96718432457637,4.6079985213542,1,0.0840462300570128,16
"Fold_70",0.763340463227336,0.708640231612348,1.3190668316027,1.69081943606181,4.95336773444416,6.90512721843235,1,0.0666297955660085,17
"Fold_71",0.761073200927798,0.72260123246305,1.39120341838213,1.47854783281604,6.2650194388861,3.6155174947337,1,0.0704604197933976,16
"Fold_72",0.753413629460416,0.703112897893126,1.41018327058021,1.74119593932854,5.59718920935077,5.48039710779047,1,0.106127073801495,12
"Fold_73",0.760849945401895,0.701503371699761,1.39983991169276,1.61583435824658,5.90315627546533,4.58445573021854,1,0.0939181073035335,13
"Fold_74",0.765853402156518,0.670728548040891,1.37720826876431,1.74151409920311,5.84127118312167,4.81796694212096,1,0.0978639083108127,14
"Fold_75",0.762763220895723,0.724618757495848,1.3026302886646,1.63992470316535,5.59265790489901,5.16849853519509,1,0.0379070689183175,19
"Fold_76",0.764731365222862,0.739015072466209,1.33670272202685,1.43193298427444,4.74616463133902,7.43189307457923,1,0.0434231839057269,19
"Fold_77",0.738464956840296,0.788937025428511,1.53577502821322,1.11056570322954,5.99038728795135,4.25558386646369,1,0.0728738943739451,16
"Fold_78",0.761639152103265,0.742472712465505,1.40662777603718,1.304389710861,6.01041238065873,4.34885778198837,1,0.0590270218115864,16
"Fold_79",0.748256654662875,0.733933498289501,1.37675085447662,1.69173156306915,4.76702867016336,7.53876839781245,1,0.0813871770754668,16
"Fold_80",0.753642614316108,0.749648587255353,1.46932774947268,1.29552094056285,6.37001220390737,3.41653183306416,1,0.0731242652772889,19
"Fold_81",0.734135496562236,0.74977314609324,1.60888002339531,1.21996977076358,6.3759407731086,3.49662976441602,1,0.102812327884813,13
"Fold_82",0.766657365574497,0.68570654776194,1.36740206144917,1.6133351005936,5.43392516187508,5.77512657707332,1,0.0740965746045217,16
"Fold_83",0.752407607429108,0.705340546297329,1.43000855462444,1.56946186064389,5.84891714423858,4.87212867839397,1,0.0813102155252707,16
"Fold_84",0.718400346153893,0.765213459680851,1.62754684456114,1.41444728241523,5.41507498836483,6.21833901250275,1,0.115766717063818,13
"Fold_85",0.739396457792846,0.733136121549051,1.42470265171847,1.78164851496565,5.33852221551854,6.19321111410148,1,0.0916162408726042,14
"Fold_86",0.737911865391619,0.711974594107078,1.49408180772192,1.79698739677418,4.56886413184666,8.45876800831576,1,0.133076622494971,12
"Fold_87",0.7906835680009,0.739661209838717,1.22184475832937,1.45008268777751,5.25126176835513,6.46771629346476,1,0.0131980877766094,22
"Fold_88",0.746690457648793,0.71016236809347,1.43365927768794,1.65669479410043,5.15902183835744,6.73885119823747,1,0.0868889840793571,13
"Fold_89",0.75336635389015,0.711011649355075,1.3526435713445,1.77007706667184,5.4440541944657,5.94363194285239,1,0.0703373819445351,16
"Fold_90",0.737774118290276,0.741893610539022,1.54042768048147,1.4348897951397,6.2926295935812,3.81377368175372,1,0.104286226723002,15
"Fold_91",0.747667808162206,0.683150917676071,1.48988216800283,1.6037966956017,6.38330341368842,3.57768848207189,1,0.100940601766304,17
"Fold_92",0.713099029979022,0.77717194459601,1.68445197750494,1.22967957751345,6.15033577353597,4.3622128650222,1,0.117499966097343,14
"Fold_93",0.761569266954904,0.694826265200036,1.35257102325318,1.78006240242335,5.75884382170986,5.10953380444357,1,0.083818976794049,17
"Fold_94",0.774850192990451,0.720881943266947,1.24804945814308,1.59131031657353,5.399980377092,5.5782172658235,1,0.027370649296174,17
"Fold_95",0.799719713691579,0.726927504193238,1.13578607166938,1.51456930856864,5.03608737823633,6.95216222672063,1,0.0092618752053534,25
"Fold_96",0.804500496048609,0.680724326763628,1.12121465369537,1.69706348309754,5.34097455088758,5.90457579690322,1,0.0125303814499808,25
"Fold_97",0.743480123041499,0.767940520875124,1.50935708675766,1.2232633807836,4.91126622893192,6.94377698518021,1,0.0786712470247236,16
"Fold_98",0.756495319160873,0.738181531956342,1.35671254995943,1.57014755823772,5.05999722782869,6.46537256832689,1,0.047416554093074,17
"Fold_99",0.750976164780129,0.748642086011559,1.48084872776244,1.23016946200055,6.40277992451079,3.220411373035,1,0.064729683671728,19
"Fold_100",0.705446986789711,0.74926124177135,1.62131301647087,1.77999342303258,5.76133196670705,5.72810865549584,1,0.136662297538918,10
"Fold_101",0.729476558488576,0.756594373893234,1.61529315501208,1.32439624107571,6.04272392995057,4.67788970286747,1,0.118673282464316,12
"Fold_102",0.75190035278527,0.770653367102302,1.33185180235626,1.45135894824336,5.02666082500092,6.60152478809462,1,0.0312535498879339,16
"Fold_103",0.729949589389116,0.729128548579902,1.59019949285015,1.54898769244883,6.55514288149456,3.64722530305058,1,0.128926647418918,11
