"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.796575920779913,0.640961211697859,1.21389740902083,1.9342317523669,6.33718988926453,4.06829153684779,1,0.0862548934198994,19
"Fold_2",0.760940760462215,0.730075474417178,1.38277139576268,1.57327436861658,5.0250829965176,7.67523272494119,1,0.0967063349957497,20
"Fold_3",0.792126890718784,0.673373832813465,1.27392166487761,1.53305630480221,5.99964433321102,5.18244610204218,1,0.0685277723315405,22
"Fold_4",0.733227871896995,0.67016349089437,1.57182471981874,1.88529883224899,5.4867443361162,7.04384440263744,1,0.163012711026418,13
"Fold_5",0.763479242948163,0.636728197235768,1.40110721621631,1.86464776547666,5.42882611025673,6.5138756198489,1,0.118633097761457,15
"Fold_6",0.731870127781314,0.714405238710519,1.64609058458015,1.50552038408728,6.28534236060386,4.87128588312921,1,0.159259435084279,16
"Fold_7",0.761760375818153,0.759774945011773,1.32290536735278,1.67185790809279,4.97968132377649,7.55932870090512,1,0.0864727409961607,18
"Fold_8",0.779931881430482,0.753413321318982,1.24263083976341,1.54258706676741,5.61991282792234,5.73180652227168,1,0.0701294285226297,21
"Fold_9",0.799628759282431,0.724686191602082,1.19014943754355,1.51966859370807,5.7951209211534,5.68398830987628,1,0.0663861119085848,22
"Fold_10",0.791921293823941,0.719282740627193,1.15739978698046,1.91078068922901,5.40150253017223,6.36375223596662,1,0.0654133907849526,26
"Fold_11",0.72794800544787,0.729267119966293,1.66013527287137,1.40757737578275,6.50823091087499,4.05198513110974,1,0.147419405222467,14
"Fold_12",0.764290124594958,0.751878313717355,1.32328333414666,1.61299633061534,4.8347427525883,7.93003302282241,1,0.0841313998972153,18
"Fold_13",0.765115178141503,0.72191039005441,1.37336468227209,1.63168921783784,4.62542407591849,8.63111163468792,1,0.106710034411427,19
"Fold_14",0.786740811249659,0.669262934202698,1.2474841698921,1.86031144564973,4.74278857132947,7.94490950207094,1,0.0953583638224332,19
"Fold_15",0.759415422929141,0.711095644983201,1.42532262654948,1.57248002177337,5.22420364700609,7.03255762063597,1,0.098985578933597,16
"Fold_16",0.757518634248412,0.667162694722821,1.49193903244181,1.60381138415862,6.09581695216103,4.99043654455928,1,0.122163648708348,16
"Fold_17",0.761463849733473,0.65376798057899,1.46084810997465,1.58685809573079,6.64939348743969,3.71990761687553,1,0.102611518616322,15
"Fold_18",0.770654035617403,0.680853885714099,1.38070223278861,1.71938063509662,5.34425375918411,6.81001612771521,1,0.117367153121085,16
"Fold_19",0.798020656203447,0.740076021310558,1.23570537852795,1.3022781897756,6.28732118364716,4.25352758998486,1,0.058252717684131,25
"Fold_20",0.787348041596889,0.681014827973541,1.27077206438371,1.64431682630496,6.17978955596991,4.67801477929098,1,0.0754297271327718,22
"Fold_21",0.809811235048107,0.68931931490343,1.08611798381205,1.82099117710518,4.87146238067411,7.64969703091818,1,0.049039214601128,25
"Fold_22",0.797297568443763,0.715471719291497,1.17382187407176,1.60129039312168,5.19921428805044,6.74672935608124,1,0.0569930664275785,26
"Fold_23",0.779459573039769,0.691258201434163,1.37737000732167,1.45826658496268,6.36623789964815,4.16941127204697,1,0.094887232171757,18
"Fold_24",0.837829770745753,0.686500375348486,0.962143564313417,1.70886672999226,5.70890657373275,5.67933048146013,1,0.0301017990531641,32
"Fold_25",0.833915895440392,0.683564278751978,0.996245435105112,1.68083970333853,4.94857246127181,7.30335034545325,1,0.0324946532507576,32
"Fold_26",0.793570748866676,0.616890992044593,1.30035193063607,1.74862279834254,6.22438415509642,4.57841653444476,1,0.108530449771218,18
"Fold_27",0.76152712090277,0.747579565067466,1.49024880689304,1.22324771590273,6.66274924082383,3.35262208014767,1,0.108296507859012,17
"Fold_28",0.764439928545272,0.78542001185956,1.33880493171447,1.29938596556143,5.37049886725715,6.41515331224056,1,0.0640901510171842,25
"Fold_29",0.744822525087726,0.723804749627271,1.46434517930285,1.74940297346532,5.82936935708938,5.77451948483708,1,0.133493639953981,14
"Fold_30",0.763311774324744,0.733170726852883,1.40565916832155,1.5126095829257,5.36966340663868,6.58522663913105,1,0.106136304862974,18
"Fold_31",0.761947977608073,0.627564401011884,1.45900675490253,1.77743600047306,5.76248628597638,6.07445546237095,1,0.128974444931382,16
"Fold_32",0.792315235129532,0.653803873805273,1.18623370825486,1.92498117997598,5.71644530314893,5.72111886371115,1,0.0663017829370872,24
"Fold_33",0.7776303872324,0.673657937304788,1.33723506688022,1.78442603452337,5.95606802389213,5.13816088580871,1,0.108718242985321,16
"Fold_34",0.77119008045898,0.696518662728701,1.35024853726525,1.74074815786846,5.72964131153532,5.76508755959543,1,0.114642836832033,14
"Fold_35",0.770663852133402,0.641689051698731,1.36445105056612,1.88365465069928,6.11343037353944,4.87649251112876,1,0.116365225281755,16
"Fold_36",0.779717283935863,0.782180500614301,1.29172489656985,1.25505956967983,5.49838856199798,6.16741234000678,1,0.0620941253717503,25
"Fold_37",0.774472306367949,0.653864452916789,1.32423903090502,1.98645057287719,4.52421794509675,8.67963962983396,1,0.127681250923208,15
"Fold_38",0.737350545758289,0.74414022740734,1.56393419848546,1.45418076864485,6.64663851252384,3.5650046397206,1,0.120171822491962,16
"Fold_39",0.764307414774001,0.723607183595457,1.36406558216491,1.64880211041687,5.46532968109542,6.19698636048984,1,0.105379074704275,20
"Fold_40",0.755456355314283,0.719356574815377,1.47596034294946,1.53067565954604,5.43615178200815,6.65121504354932,1,0.121808809339511,14
"Fold_41",0.811701569123444,0.723007036294452,1.08861775798104,1.66893214697303,4.59087341798114,8.24128993607696,1,0.0531996876732588,26
"Fold_42",0.77254282158983,0.752896426377831,1.33876106546776,1.41864592197753,6.04193706560826,4.88687051006418,1,0.082646120756071,21
"Fold_43",0.780036385864283,0.778531215631229,1.30127816965418,1.29608327089402,5.90751961419445,5.14387485417926,1,0.0674440002871531,22
"Fold_44",0.803746510458453,0.695028577516624,1.16938758063213,1.66080889820319,6.24069029462457,4.31541424869678,1,0.0639431711344572,28
"Fold_45",0.74673123921103,0.716227327593004,1.58007169305707,1.40907017703569,6.56300443437761,3.74062569110031,1,0.133604967155151,17
"Fold_46",0.736440628953814,0.644383123987152,1.55018948117498,2.04059812094896,5.66444877808971,6.31631763980637,1,0.172593847166691,13
"Fold_47",0.802285969631555,0.701015920109297,1.23291050979327,1.41571963052732,6.57837568696416,3.44452812730862,1,0.0667037922874809,24
"Fold_48",0.779014615091822,0.684904048680874,1.2314658129406,1.9293494921012,4.48738119073283,8.7348075912802,1,0.0795271816351348,19
"Fold_49",0.790414080107884,0.689038502289542,1.27303208462085,1.67432179157027,4.6164280054031,8.32559974098884,1,0.0938158811975473,22
"Fold_50",0.782169394233851,0.706154394157917,1.30858082144859,1.49022658931016,6.04227619149453,5.01093363785176,1,0.0740751346168649,20
"Fold_51",0.776821169842298,0.612335744566934,1.43552340003061,1.76427730464695,6.3965105311181,4.21239307882393,1,0.148717153098316,15
"Fold_52",0.788727458980915,0.670351685359813,1.3102535189081,1.65772152028669,5.91009154344874,5.31805226566301,1,0.1039393981294,16
"Fold_53",0.804163704863076,0.764850609809027,1.11972041537511,1.37002130276394,5.2133647273909,6.53882749029441,1,0.0341942689063973,32
"Fold_54",0.772053614094002,0.735169221192632,1.33237166646327,1.50589195601025,4.90065431459388,7.65124910933366,1,0.0868096007399011,20
"Fold_55",0.731718360195586,0.71134868609375,1.58395362234896,1.64494932355577,6.23884625908205,4.82722827069805,1,0.144764965642589,16
"Fold_56",0.7891230031312,0.74427178503553,1.2101974080569,1.56400620448143,4.98910834143782,7.29300418333938,1,0.0680186715389114,23
"Fold_57",0.787307629804392,0.720133663647332,1.20781451894678,1.61287438232494,5.82190697016363,5.32709218206132,1,0.0556612394420152,22
"Fold_58",0.794613040166377,0.616543587443243,1.22094518113297,2.02342086406648,4.85921681228915,7.66679180822642,1,0.102464959271592,16
"Fold_59",0.758782740207339,0.74463274063026,1.45948576520103,1.35159799869795,6.12217571070898,4.98136704827282,1,0.100351163159438,20
"Fold_60",0.775554230719575,0.758566332397298,1.35018506129763,1.35083548667509,6.19062125519454,4.29281358984185,1,0.0780049562595475,20
"Fold_61",0.751482864545185,0.759043184052688,1.47381416427325,1.3783333027712,6.29741351662261,4.4962621417283,1,0.103915550318086,19
"Fold_62",0.699722674833117,0.75950509995684,1.78775533309883,1.58604773832942,6.43278161645988,4.60841113148995,1,0.181205187626929,13
"Fold_63",0.773236358586951,0.66913328389728,1.33206717287284,1.96071287520708,5.9898075728137,5.12223519157243,1,0.132396995238864,17
"Fold_64",0.790761294440004,0.681038879436063,1.21119102047224,1.79239362039235,5.27763525728811,6.55145558992961,1,0.0792533248660125,19
