"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.786637057364004,0.632252554683647,1.26105586372993,1.99635391410829,6.34875085262116,4.13459682989047,1,0.0862548934198994,19
"Fold_2",0.758447742897262,0.715741127871042,1.39375866015087,1.63185106799707,5.03244873812555,7.75302875372071,1,0.0967063349957497,19
"Fold_3",0.796357816250848,0.683114475475128,1.24880733717838,1.50007497520759,5.98224730412144,5.12883471283404,1,0.0568929604945932,27
"Fold_4",0.727409480197123,0.668614011936217,1.58028110243953,1.88574291863901,5.48760775150018,7.0293662840877,1,0.148531111060689,15
"Fold_5",0.760318199992379,0.64463624520496,1.39728503659208,1.83522318865713,5.38889753967483,6.40236715965782,1,0.09849128192348,13
"Fold_6",0.727899775572409,0.709465352572461,1.66753590216968,1.52255348385368,6.34363221181306,4.87705463876815,1,0.159259435084279,13
"Fold_7",0.761595467869169,0.753129113902138,1.31047595527263,1.69927681054245,4.98163274467124,7.57525850841128,1,0.0717911887395387,20
"Fold_8",0.755531103270667,0.727480064909085,1.36056280831186,1.7006583720889,5.65072712605678,5.85120074087537,1,0.0844711449318327,19
"Fold_9",0.786139543106969,0.747160770599803,1.25132440364106,1.42114977628587,5.80517947482292,5.43989360168961,1,0.0604885526944174,28
"Fold_10",0.801543705101858,0.692464451632377,1.09886385245961,2.01117712319388,5.35903306657845,6.31979392284662,1,0.0494828312598166,27
"Fold_11",0.713858312503132,0.721243429194188,1.71884844753171,1.45615265715786,6.52494944072617,4.12452487832729,1,0.147419405222467,12
"Fold_12",0.757697916737218,0.742324515162108,1.33628365449384,1.63929404980129,4.80675618687141,7.90721896129431,1,0.0698473662262047,20
"Fold_13",0.787369196996368,0.744834080025054,1.22135436933158,1.46380708214342,4.54438094906633,8.49538884075526,1,0.055638700383391,22
"Fold_14",0.789749612346963,0.676606356997577,1.21367392287263,1.838090726834,4.71239561408089,7.88458410643558,1,0.0721351052072828,21
"Fold_15",0.759188256523024,0.699390689369247,1.41098752326937,1.60366344220682,5.24887450530434,6.97715168142154,1,0.0821795666223865,19
"Fold_16",0.764606481934941,0.672489805229811,1.42092890698144,1.58606127443337,6.07725008800552,4.99047506988072,1,0.0842026643798682,19
"Fold_17",0.745491408964295,0.612611289579506,1.57130301414577,1.72572013631426,6.70954744244762,3.70744625638221,1,0.135646388765504,13
"Fold_18",0.76631257229563,0.704540964010196,1.37234137811755,1.59733379757436,5.30699817249915,6.65452018673529,1,0.0887839471955897,17
"Fold_19",0.792201823142991,0.729998564666479,1.27721218888964,1.34653538415189,6.29387095583088,4.1066682790693,1,0.0639322857449492,25
"Fold_20",0.764114791356212,0.669387449473018,1.40558448415975,1.71420510698382,6.23017349263408,4.62507375660186,1,0.0997136601143755,17
"Fold_21",0.792113148516368,0.709825166732366,1.18363963531141,1.73458883403241,4.88223624754867,7.53240268892237,1,0.0590679075985688,25
"Fold_22",0.808642728598239,0.704511235336931,1.10808067364947,1.6411524991225,5.1343569906363,6.72826537075808,1,0.043113164677348,26
"Fold_23",0.770693232071902,0.675542822070044,1.41877016067712,1.51595662318505,6.3613400571276,4.20495617569831,1,0.094887232171757,17
"Fold_24",0.804229661115018,0.669705629538939,1.14942064469182,1.75945738031073,5.82282118421325,5.33969353593809,1,0.0526037487367286,24
"Fold_25",0.814129426409855,0.681472637035938,1.11901549361228,1.67935623420147,5.05327737650536,7.3153294077145,1,0.0517406772467665,27
"Fold_26",0.791731164501361,0.644133864662607,1.27839651311907,1.67533850804512,6.15866855958509,4.72576422808075,1,0.0748058291783615,19
"Fold_27",0.753635430520538,0.727643611028482,1.51212530850501,1.29479338438181,6.6740014134517,3.43073174189135,1,0.0986757445784998,15
"Fold_28",0.745528887164173,0.762227055463698,1.42647006509327,1.41454905880121,5.40576600152081,6.53355728247999,1,0.0703388616216232,18
"Fold_29",0.739174438204272,0.718239920982389,1.47226902890989,1.76316369063323,5.87173892456246,5.76224658736438,1,0.121634432904358,14
"Fold_30",0.756412314497256,0.717424896364553,1.43657674945849,1.57453865330542,5.35511360817788,6.63925295587012,1,0.106136304862974,15
"Fold_31",0.730084875169714,0.594430597055788,1.67164840671225,1.90214645895333,5.91117396293142,6.08721922027392,1,0.187119836396988,10
"Fold_32",0.797934066344114,0.633930301609748,1.15213866021215,2.03220967731009,5.72937084532169,5.78163787372478,1,0.0550449049928426,25
"Fold_33",0.766131089822944,0.668852159504318,1.39234365559933,1.81495424603692,6.00424764316115,5.1497096855951,1,0.108718242985321,14
"Fold_34",0.751835379598457,0.682463890282464,1.44838498191376,1.80515124114479,5.85416918343511,5.72727992963989,1,0.125820371895779,16
