"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.644243081616826,0.584455788405647,1.89321994906931,2.09582781907773,7.02090705592589,4.20399948059605,1,0.0627925428199287,10
"Fold_2",0.576318192012608,0.531081684165727,2.14933805018459,2.39881176021889,5.5792519407934,8.0638027492471,1,0.143982929541504,7
"Fold_3",0.676940878250251,0.521648169013832,1.80607543874434,2.10556278989223,6.2957315390152,5.5558941962862,1,0.0270049896556418,13
"Fold_4",0.640837025641422,0.580597247895115,1.87744970284466,2.1512577885182,5.74495389812849,7.23026741440275,1,0.0614626171966459,9
"Fold_5",0.707833576653161,0.528416204480556,1.59434674208712,2.33576784571683,5.77735111140297,6.88552979323173,1,0.0190344771913259,14
"Fold_6",0.623355510519498,0.615284605832224,2.02233439912772,1.86510002227138,6.56451099824646,5.15247058974084,1,0.0708029546517509,9
"Fold_7",0.610981098803382,0.625778650821218,1.92025405376351,2.17596069869617,5.47295826755318,8.1928073852941,1,0.065746835942123,9
"Fold_8",0.66030758469972,0.584765697889026,1.73934667862003,2.26210741576587,6.036466526301,6.39816968539727,1,0.0427675002300458,10
"Fold_9",0.637971339180675,0.569857811143997,1.92301117396261,2.14502094953906,6.27973851494787,6.06780917651934,1,0.0814595854937378,9
"Fold_10",0.55193843037899,0.736221052557995,2.14581810238284,2.16867245791092,6.01168251716459,6.88286022224622,1,0.114646624965973,8
"Fold_11",0.673237498317667,0.630645451043539,1.81523177136466,1.74389929812377,6.74784301683093,4.42898701583557,1,0.0292342200611079,14
"Fold_12",0.678768666419985,0.691512911808267,1.64613162526648,1.87723063131078,5.11529123096005,8.10654808534897,1,0.012335071422178,16
"Fold_13",0.663415897930255,0.536152999073447,1.76777810353692,2.33877189277321,4.88839795412136,8.9646903481735,1,0.05319446586222,10
"Fold_14",0.702854178338291,0.561220544305713,1.57983998292063,2.2879454810471,5.20287357471428,8.10004021125391,1,0.0182568058528282,13
"Fold_15",0.635969982971222,0.577268910193314,1.94156275227755,2.04856549698111,5.66669132771268,7.39117740485891,1,0.0664857327254234,9
"Fold_16",0.687450064988896,0.542414704020547,1.76387947218492,1.99428236756072,6.43278181856758,5.09266821086469,1,0.0329842397665719,13
"Fold_17",0.663337669686049,0.482364899182636,1.90492569424111,2.11977578335907,7.03936222044147,4.15833713893678,1,0.0733747828916412,9
"Fold_18",0.63941875718936,0.530283471789419,1.91583015926605,2.25894186617559,5.77899925722293,7.40389608421523,1,0.0759672747114584,8
"Fold_19",0.654365830783629,0.596478424494673,1.91842440631558,1.88835189996381,6.83786568889877,4.6828732075335,1,0.0595293409986726,9
"Fold_20",0.664447513351515,0.608499555865743,1.81174040070419,1.90287040435964,6.72150058488649,4.54860325202603,1,0.0320966773990544,13
"Fold_21",0.667207363876031,0.533701706530509,1.72889770124541,2.46001216013332,5.43450603377251,8.21479293104449,1,0.0540166865655452,8
"Fold_22",0.670378131738638,0.578636783801206,1.73475158023504,2.17153166960949,5.62693254534095,7.39298858222271,1,0.0294246249530925,12
"Fold_23",0.681292612587109,0.567988192713091,1.80115407292733,1.88462689890404,6.75529444793903,4.90192151565103,1,0.0267478146858121,12
"Fold_24",0.686741840684006,0.568713749175272,1.68977575334745,2.15984957093839,6.38138056790554,5.23218822723874,1,0.0305701492036186,13
"Fold_25",0.659070621459612,0.537393445855694,1.82120019509818,2.26227840227095,5.66072976214947,7.27066519915718,1,0.0367353948919133,13
"Fold_26",0.722919900698026,0.507471673632806,1.59420035186035,2.31167650968943,6.5556996535729,5.0465826534346,1,0.0269666648414052,11
"Fold_27",0.66324144395349,0.67406758559669,1.88331263107856,1.50774236569398,7.08109900853552,3.68077137513937,1,0.0247530178155336,13
"Fold_28",0.652956338555691,0.721030410580987,1.80459109507929,1.59750870065803,5.80640903873715,6.77886652819281,1,0.0193402033574768,12
"Fold_29",0.602846795360946,0.62104814833335,1.98276292502025,2.2049414111585,6.27599112989328,6.0409226628248,1,0.089643260542576,8
"Fold_30",0.661452610247154,0.596771175647252,1.81845130080982,2.08203743504667,5.80438923536073,7.06887155380462,1,0.0560090309456147,10
"Fold_31",0.647481172907679,0.581699552326093,1.92945383679381,1.93768260694815,6.07430261727845,6.24810544741915,1,0.0698949938274538,10
"Fold_32",0.683619946818959,0.608882877020898,1.65845714451823,2.09817575643779,6.22020281123787,5.8229125742952,1,0.0233654982251595,12
"Fold_33",0.690800680208636,0.579221225145236,1.68150447783973,2.06093718943459,6.43476846659783,5.33871414976199,1,0.0231895264718615,13
"Fold_34",0.615853742150906,0.653054183597406,1.96908190197226,1.95699615738646,6.32943176827243,5.84444281630639,1,0.0672557720992586,10
"Fold_35",0.666069284615312,0.550952996225909,1.78876999019817,2.2194672189223,6.53895764831518,5.16331190932352,1,0.0535379722634048,9
"Fold_36",0.662685142725717,0.656526940673937,1.7976934503762,1.7888301186128,5.88825894020097,6.59781906330289,1,0.0265087613721818,12
"Fold_37",0.696256361945882,0.591396769332799,1.59931406539996,2.24145044564027,4.87822952090487,8.81570872162102,1,0.0256096523988964,12
"Fold_38",0.653549498714152,0.646357258799151,1.88370474844054,1.83742104176748,6.92235588834098,4.21404408405467,1,0.0512106696944283,10
"Fold_39",0.658548142488676,0.673718377209455,1.76732037791973,1.86684571516342,6.06328064069422,6.42108268448714,1,0.0283242045009492,12
"Fold_40",0.672673508991819,0.62549188524295,1.774978793842,1.84859961496631,5.78535729596156,6.7849923284633,1,0.0277161540497207,10
"Fold_41",0.666263651678108,0.601563834553139,1.73808963697093,2.19137561118201,5.08761880546469,8.6835013295762,1,0.0415364802665195,10
"Fold_42",0.640319592802059,0.606761073496368,1.9082586679403,2.00675297284826,6.46218802140819,5.35382677234917,1,0.0667688330808151,9
"Fold_43",0.661999907870867,0.645903703718831,1.80500278468793,1.8029170721957,6.24058400361392,5.50293633331895,1,0.022158040042196,12
"Fold_44",0.680743768307341,0.555601577208064,1.73397723195691,2.16487088754053,6.78886754795419,4.42463667578233,1,0.0415971855333811,12
"Fold_45",0.623443118664917,0.624394544983375,2.05491783161552,1.74203113145866,7.06658974527903,4.08466266973075,1,0.0667271985013867,9
"Fold_46",0.707635218643947,0.561208709429487,1.5555102321256,2.29721918525961,5.74215386792244,6.96384983834302,1,0.018506672503752,16
"Fold_47",0.687306802879153,0.60195016970251,1.7647790692855,1.8342334341834,7.04566407438697,3.93740816237248,1,0.0144625712896078,17
"Fold_48",0.664247869414434,0.517541341492688,1.713267648544,2.60604683425205,4.89295314664631,9.20257364962541,1,0.06602486333751,9
"Fold_49",0.672535737698173,0.615591807585148,1.76702458959693,1.96874902154588,5.03847290815443,8.89798352873998,1,0.031270643714361,14
"Fold_50",0.616791428349129,0.553939210625475,2.0541045762569,2.05407810457723,6.47341693732301,5.51221932663406,1,0.0907387493490705,8
"Fold_51",0.693731487270277,0.603876243472969,1.73428399340305,1.83511728822946,6.78874791460904,4.59721248155807,1,0.0227847031043802,14
"Fold_52",0.668523226075646,0.5117668885217,1.84711960840533,2.23141052388485,6.28002597241022,5.51189102462178,1,0.0777506814240955,9
"Fold_53",0.61414531460262,0.636099396050937,1.99291957032885,2.02711605548652,5.82651100035434,7.16093355850903,1,0.0874030035930296,8
"Fold_54",0.621573079295952,0.579927347493908,1.9796621143327,2.13376840727311,5.45598425296964,8.04413891830135,1,0.082297753000175,9
"Fold_55",0.638186108633236,0.597029667635377,1.91867320112267,2.0490617380449,6.46749193975625,5.10554215457159,1,0.0699311935535211,10
"Fold_56",0.667634922884381,0.681209500510982,1.71718526821025,1.83849786278426,5.56663131591064,7.47011245905141,1,0.0249256710902612,14
"Fold_57",0.648790236778015,0.595727495149256,1.81847041605919,2.15839469038519,6.19703745955672,5.87898940734631,1,0.0507164483387922,10
"Fold_58",0.72513873483958,0.516003924976814,1.4978009434489,2.40534368715713,5.18329099915291,8.17383825080925,1,0.0203188214826382,14
"Fold_59",0.643589726023425,0.576311500762833,1.96259532734693,1.96898067863876,6.43634819005926,5.37546768579764,1,0.0838004124128763,9
"Fold_60",0.652522595123655,0.662998328071421,1.88100278818508,1.67419164975256,6.70261250405414,4.70683667019003,1,0.0290403445348526,11
"Fold_61",0.66997887851224,0.639790128862007,1.78109285474947,1.8074432400083,6.62427811963274,5.00227229956968,1,0.0193252064226856,13
"Fold_62",0.622809376080218,0.645785184066093,1.98698303561235,1.84948008398642,6.75038225270515,4.6239650299491,1,0.059418404665253,10
"Fold_63",0.683283050034761,0.509251729720095,1.66810909155732,2.5465408091065,6.40510543441271,5.59289874243852,1,0.0625642333405036,8
"Fold_64",0.690771046806001,0.637727815178398,1.62971972867678,1.97555287715628,5.70829874363894,6.99625002453466,1,0.0158239148722556,17
"Fold_65",0.632135829797353,0.546986850958441,1.93777829465258,2.19737317142377,6.06711739155241,6.49033570297471,1,0.0711036550097417,9
"Fold_66",0.647558550472298,0.555200609024829,1.87565825559608,2.17830397255434,4.84807620156924,9.29942558186766,1,0.0649980324892479,10
"Fold_67",0.661334740298016,0.614995134200112,1.87867390458474,1.75729012062047,6.72718913004573,4.80240740263863,1,0.0365421892333924,12
"Fold_68",0.66814496307113,0.451019800481765,1.85329301318446,2.31351763432079,6.73708254147835,4.81519825760525,1,0.0777681252212293,9
"Fold_69",0.704289267023437,0.537340397442721,1.66237140688375,2.08513884138794,6.36925424527149,5.23662901007226,1,0.0172719572830482,12
"Fold_70",0.652995323681667,0.612978670397803,1.78601030025262,2.14704670200636,5.5623223363147,7.41756899836676,1,0.0402111489308516,10
"Fold_71",0.622813378663683,0.540128721820313,2.02405726093832,2.15049458987583,6.94951664103199,4.50342693066974,1,0.104241294996257,8
"Fold_72",0.685068350441809,0.544845749209537,1.67837887073774,2.3334413334372,6.03461672573783,6.36532825643574,1,0.0530663978074136,10
"Fold_73",0.64388215397229,0.590773591201112,1.88294808502785,2.04378439301855,6.61923702499728,5.02895483800208,1,0.0515262275304265,8
"Fold_74",0.714239400764891,0.605424089456647,1.56413943039817,2.00032629853671,6.24510276347724,5.54402476521458,1,0.00958357695378729,19
"Fold_75",0.665186919005918,0.65237125908006,1.72650751716266,1.99107019414126,6.20755555789284,5.73977666029556,1,0.0185352517517298,12
"Fold_76",0.657453684721532,0.680903987149912,1.81213933455416,1.70674832303425,5.29544651883165,8.01545030591076,1,0.0171869325878498,14
"Fold_77",0.670836204692516,0.662470761173985,1.81876063702165,1.65553180907617,6.35288607699915,5.98812198137682,1,0.0232061071916943,13
"Fold_78",0.688514419158254,0.597693471998821,1.74792534639257,1.85780565824038,6.5509893070014,4.84435898001513,1,0.0298447735605067,12
"Fold_79",0.674527084111663,0.671784876148447,1.64871576398701,1.97489172498115,5.39242359789916,7.89203785877038,1,0.0108390798812031,17
"Fold_80",0.676744004899338,0.613554008914173,1.80245371037812,1.82777000834926,6.94795156119066,4.12897323106662,1,0.0238940961651748,13
"Fold_81",0.62298708276471,0.602016045530904,2.08596983704313,1.77724331046478,7.04036467607058,4.15795360662887,1,0.0765608514332492,9
"Fold_82",0.685670154767394,0.511604115359895,1.73927388897585,2.226451574284,6.04071058737605,6.16114683237451,1,0.0558930487811305,10
"Fold_83",0.631531133339138,0.653728025094972,1.94021638014589,1.83389534169331,6.52814516687497,5.40714903020207,1,0.0513687054310097,10
"Fold_84",0.616908680110408,0.714984520848953,1.99717061597377,1.57366312503307,5.97493371172698,6.65576722595804,1,0.034425560178175,12
"Fold_85",0.590642705730788,0.453050194810567,2.09576144793727,2.86574075730235,6.01531251951313,7.24470089374918,1,0.215082926831142,5
"Fold_86",0.680363947712425,0.655374271460055,1.65121983261844,1.97829656583017,5.05463572847389,8.65319814028805,1,0.0199449503794376,12
"Fold_87",0.635354543269183,0.633467099886439,1.98631338340879,1.78657387058035,6.05543484125681,6.4676289403322,1,0.0672471694138611,10
"Fold_88",0.711813843651946,0.573201641277677,1.55111101802814,2.18541749911015,5.57584076693351,7.0692429486631,1,0.0101839961975202,15
"Fold_89",0.663071420387765,0.624880299599657,1.72224289877147,2.11359746908613,6.03494817728438,6.27353365666757,1,0.0275651536803713,11
"Fold_90",0.654948450426108,0.606240953343267,1.85414391254685,1.92279982087852,6.7406644174381,4.79680548463297,1,0.0326634404404225,11
"Fold_91",0.670449757523347,0.569941486320164,1.80631211475059,2.00282635998906,6.97158991709711,4.13042695342701,1,0.0426269704088319,9
"Fold_92",0.607387786051854,0.599540616733561,2.09800053530773,1.92222020771049,6.68082544200545,5.05810203725488,1,0.0821374656855466,8
"Fold_93",0.664361103388711,0.681788864147747,1.74230943613435,1.81344168082385,6.26010250541362,5.70677588564945,1,0.0202028989015175,13
"Fold_94",0.664796484652639,0.602112344553493,1.74960148062915,2.12004542143602,6.06628980797339,6.34313723889703,1,0.0347647109806367,10
"Fold_95",0.637663187135222,0.596218401047138,1.89639942639821,2.11091264429324,5.65999223541275,7.46629069733639,1,0.0618077404568829,8
"Fold_96",0.701235893044308,0.532358583855544,1.61861038525443,2.28262014503296,6.02924944799506,6.31574650102591,1,0.023027519504641,11
"Fold_97",0.720218934843085,0.565952801679172,1.57900731564336,2.09998991935449,5.58333165038278,7.72991307036088,1,0.00975428476711056,18
"Fold_98",0.657319054992145,0.63878748326656,1.80345557112811,1.92339819900965,5.66793831302895,7.18558604808981,1,0.0401251346678049,10
"Fold_99",0.702603511770001,0.624075578544599,1.68841730359518,1.79564756149862,6.9735488928985,3.80798505418337,1,0.0135827734718228,15
"Fold_100",0.612842006132067,0.736375249190593,1.91529728507792,1.8387653720237,6.19347651517618,6.01904409336206,1,0.0397454665084311,10
"Fold_101",0.623379134405053,0.624188889223422,2.04490275203547,1.78528749541352,6.53297261457682,5.25327661738395,1,0.0770297173320092,8
"Fold_102",0.659614331104485,0.702351386157695,1.73007899793124,1.84126922760291,5.74464653669559,6.89126070806113,1,0.017014932357991,14
"Fold_103",0.622538535512732,0.604894105186991,2.00197081061285,1.95347953449681,6.94742942532362,4.00441288039691,1,0.0718331052933517,9
"Fold_104",0.642869743953306,0.714301598010042,1.74910523800015,1.85734374761664,4.82372439237856,9.2325997401228,1,0.0176101973583169,13
"Fold_105",0.645130709001123,0.611580129789855,1.87051565478302,1.98979289500546,6.40601825407651,5.67381838993545,1,0.0362289601581199,10
"Fold_106",0.647931654544201,0.686934393799715,1.80123826825699,1.81546749549451,6.46425558191898,5.30237463804675,1,0.0228870757292392,10
"Fold_107",0.656432388546113,0.516323775120828,1.83114216803024,2.3397739123139,4.98327792470532,9.20472089170166,1,0.0693027475689477,8
"Fold_108",0.620564033704617,0.592283399321542,1.9882320516102,2.06865070645964,7.03340709083549,4.14334472454371,1,0.0781396039924321,9
"Fold_109",0.716139736996764,0.548618187959997,1.54371149556186,2.25513488858304,5.59888832020076,7.07666064674463,1,0.0211482410028643,13
"Fold_110",0.639880284036077,0.602039674654712,1.84123312325784,2.18882909669627,5.93175517783994,6.52125927431608,1,0.0572126439695649,10
"Fold_111",0.648982521973602,0.676444021677299,1.86365790183105,1.6703323033093,6.2918858628877,5.79152333922545,1,0.0236309255999659,12
"Fold_112",0.653930301698231,0.563868661509821,1.89883236357469,2.05934358091739,6.85070387603328,4.4179308327724,1,0.0803786830937104,8
"Fold_113",0.667251737532628,0.648390332925476,1.82302631950459,1.68575070503829,5.90124435133208,6.9014012161025,1,0.0192592319142471,12
"Fold_114",0.664283586204899,0.6874881775844,1.71296194570998,1.86341723151418,5.0125856837265,8.68323265257458,1,0.0185886113040675,11
"Fold_115",0.623512084702774,0.589645780793626,2.04473968877058,1.89100053078416,6.20343367823879,6.22256311763182,1,0.0757886790791537,9
"Fold_116",0.634987279126588,0.572219987698319,1.99937755305501,1.92704577065886,6.86215431605766,4.51447965929838,1,0.0677848379636045,9
"Fold_117",0.661138360924531,0.552656426048294,1.84416894996311,2.12748476091886,6.36434977172604,5.51451062644092,1,0.0670788078759865,10
"Fold_118",0.6687127162913,0.633694584260443,1.75784810188346,1.93381455395119,5.48385271824482,7.73090209424778,1,0.0271009799760766,13
"Fold_119",0.672539247993709,0.578699783819052,1.83658092306545,1.86082792936794,6.81796371689254,4.46212862811418,1,0.0351018945321113,11
"Fold_120",0.675995700454015,0.636689309963909,1.6650347439597,2.06399323607555,5.70939074459813,6.75489731290839,1,0.0195973565418879,14
"Fold_121",0.668697357579106,0.653892066466882,1.7016823085224,1.95730006048551,5.60399294429123,7.55090374299422,1,0.0181497225611061,13
"Fold_122",0.645137077466993,0.569266964418557,1.91944828322287,2.06155357516253,6.5863505997094,4.94411627201585,1,0.0715228070444432,9
"Fold_123",0.614837100235761,0.636395404897774,1.96298146622109,2.025684446525,6.38264716608339,5.75741119216439,1,0.0665510171984935,9
"Fold_124",0.634361111734503,0.624392076110303,1.97869514491903,1.81963205886316,6.82088747203309,4.52379421042632,1,0.0567140176235341,10
"Fold_125",0.624853094207424,0.631425480952607,1.9243890682808,2.04983752552723,5.26536474315432,8.4067112912221,1,0.0663151940323477,9
"Fold_126",0.634851194446049,0.655533015910817,1.98157013682809,1.64511565463893,6.97290755145685,4.15253298196132,1,0.0461578278327098,11
"Fold_127",0.687757794124901,0.616124630350507,1.65220498893857,2.04058332819407,5.7519260750547,7.38636742999791,1,0.0209607223946204,12
"Fold_128",0.623976444545859,0.612193239465624,1.94535197127732,2.1364036607907,5.66960782877384,7.3730528048231,1,0.0840955672790887,8
"Fold_129",0.671248165695407,0.587130242040566,1.79965701483922,1.99189958106662,6.50661830167922,5.3407224682801,1,0.0439695667668852,10
"Fold_130",0.67703899585583,0.632305060204797,1.68285140439795,2.03006583606571,5.69060105015743,7.04572769258591,1,0.0229173334680226,13
"Fold_131",0.641596682998581,0.58411231086615,1.9639923315023,1.9142537214489,6.54107488957458,5.32074361030579,1,0.0685470950794502,9
"Fold_132",0.669490012938073,0.560696837735701,1.74746604439956,2.31674669975336,5.46536198555973,7.86127635268859,1,0.0638484211645314,10
"Fold_133",0.631761801514449,0.598460463465206,1.97263642517405,2.01908765747434,6.20297090000972,6.22837540645437,1,0.0718908627486768,9
