"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.693068945636013,0.600933252392806,1.66264004097392,2.05606895757852,6.79201856198306,4.12843014184704,1,0.0105186364893332,16
"Fold_2",0.654230549042623,0.656182183554177,1.79522296323587,1.87481759242665,5.23132651257845,7.81424157095632,1,0.0143769189539843,17
"Fold_3",0.70125463501775,0.602227347544172,1.700526291856,1.84274266858911,6.19078039734663,5.13834534779621,1,0.0109083767824064,17
"Fold_4",0.68669948867163,0.571478531217363,1.66798825971982,2.17030417592057,5.52532417314443,7.21575761178049,1,0.01427909537558,16
"Fold_5",0.721876960060665,0.487541274547525,1.53287303711102,2.43325495271338,5.5385671644864,6.93981565296719,1,0.0112007344686461,17
"Fold_6",0.623643034383148,0.620165143978036,1.99378472120645,1.82620995519969,6.48718049973257,5.24430094155318,1,0.0230899569986092,15
"Fold_7",0.665374507363159,0.699222728129667,1.68979391734942,1.85307063867035,5.28663094875351,7.62108080942695,1,0.00949016194951724,19
"Fold_8",0.704536739165531,0.628094449980801,1.54752321731723,2.08454149682006,5.75943327296143,6.26696097640876,1,0.00920505654228481,18
"Fold_9",0.683672143200689,0.637562403524884,1.69644710409135,1.90696847232392,6.15830764654462,5.52319643129088,1,0.0116092190414732,16
"Fold_10",0.676287571582323,0.739424364032339,1.6280499514943,1.76496533781176,5.71508683486483,6.45436675058626,1,0.00869323434380534,19
"Fold_11",0.706031091526624,0.693413235470553,1.65463115898018,1.49560080317077,6.53189565097192,4.27948189063979,1,0.00491926948160725,20
"Fold_12",0.67230649692477,0.663799873816996,1.67987173723526,2.00824730329748,5.02673898993196,8.15235896125001,1,0.0129630443236113,16
"Fold_13",0.701281481793414,0.595536638899137,1.59491561645288,2.14223782858051,4.71784483844965,8.90619287692865,1,0.0107781507592223,17
"Fold_14",0.722379778298487,0.532434886989914,1.49711633062007,2.39576072543842,4.95701417404815,8.25556235729766,1,0.0111713318288951,16
"Fold_15",0.681221162458908,0.626612335597728,1.73218007615031,1.8655675571704,5.46337567567056,7.26296057554009,1,0.0136728727679412,16
"Fold_16",0.610743034534076,0.521014095837556,2.09201818378151,2.08254753822772,6.54227177051433,5.04822520037473,1,0.0681486555986048,7
"Fold_17",0.684653865228863,0.51538423020821,1.77981036975413,2.05466733078666,6.8663526017792,4.1402172937975,1,0.0159862530088675,17
"Fold_18",0.702125322895444,0.611276881878644,1.6219206119075,1.98544022958891,5.47406026586642,7.29246514642135,1,0.00937955824748676,20
"Fold_19",0.71355387714536,0.648006427065166,1.6267459273456,1.69732845976281,6.42492861528006,4.8267504153735,1,0.00788975287633774,20
"Fold_20",0.727560794579072,0.553631804689058,1.52603949269123,2.2419728434215,6.53004018785678,4.85104399189257,1,0.00828080079440576,18
"Fold_21",0.716877748025593,0.521606575815474,1.49770380606795,2.54716076874133,5.17214242922225,8.23965682040382,1,0.00949507688263387,18
"Fold_22",0.70401528278315,0.567281734610031,1.58835156030114,2.25835329410806,5.46737521822297,7.33413650813239,1,0.0108409022498639,19
"Fold_23",0.686067250188116,0.609672374061703,1.77961711537289,1.74418159346601,6.70265314804919,4.51494640783048,1,0.012954358118001,17
"Fold_24",0.685238433276634,0.538864801846397,1.69388999018958,2.26407924794364,6.19591336247551,5.53538212397074,1,0.0197978149342943,15
"Fold_25",0.716899880255657,0.558343180152821,1.56756343280517,2.29409415646543,5.3609681438933,7.18251874992934,1,0.00896324877881384,19
"Fold_26",0.731064950266695,0.505230060352786,1.55218262281878,2.38170925833896,6.43081276867962,5.28256771418365,1,0.011491519994775,18
