"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.70977480627281,0.589980564142752,1.5979835674858,2.10283402264049,6.64261632161753,3.7574154661861,1,0.0220232944409868,15
"Fold_2",0.697338627973292,0.657048636203192,1.61805150880036,1.88791343396493,5.01957801182344,7.72347470523699,1,0.0187286999474663,16
"Fold_3",0.706763708661667,0.680477022883895,1.68610138140122,1.51139807067161,5.96704649555829,5.29401467732577,1,0.0202605987938218,16
"Fold_4",0.701118960251104,0.643491376292688,1.61391575162245,1.91232002801858,5.29444649257845,6.96088922712942,1,0.019832887346694,15
"Fold_5",0.727728933737629,0.630007516897408,1.509890395321,1.90893819372,5.43570408835321,6.52796630036204,1,0.014060360799982,17
"Fold_6",0.715422781911814,0.697407117894716,1.60644255894042,1.52647630408927,6.08712151327537,4.87097728731804,1,0.0142255447413989,20
"Fold_7",0.70081789755303,0.713450863195928,1.55379586899619,1.78377856478569,5.11472768793325,7.44047684848526,1,0.0153349255647476,16
"Fold_8",0.732938084851281,0.65559886997266,1.42805269887098,1.95942292850008,5.54437270424191,6.17726137406723,1,0.0137020131622637,17
"Fold_9",0.707031562499499,0.616991342164535,1.59988768629128,1.98284575228723,5.90222085019688,5.6863075640789,1,0.0202790882391084,15
"Fold_10",0.70591663911954,0.744975946070107,1.52803124151364,1.82734481376964,5.52590492737118,6.28633731818027,1,0.0193458796971134,17
"Fold_11",0.664323750505322,0.589849508733762,1.85936427010544,1.87236219059906,6.52677051968906,4.1242542893367,1,0.0368176745332041,11
"Fold_12",0.750365661771842,0.692708830396507,1.34608026113865,1.81309925099023,4.64594082951023,7.84344265148282,1,0.00982471890692711,19
"Fold_13",0.728559742160653,0.717460015741861,1.47910398550738,1.59992534664047,4.63111204098423,8.4634523672087,1,0.0119388989333224,18
"Fold_14",0.716974282952724,0.633541105901616,1.52815861110499,1.97476223972265,4.95627408006049,7.76879043045335,1,0.0176820392313956,14
"Fold_15",0.680837104007453,0.693784519078066,1.74131075066912,1.65030430815218,5.29027756678112,6.80882085832576,1,0.0219637084158099,13
"Fold_16",0.738098711791865,0.626037085771243,1.51891004085988,1.7221415390079,5.97630066165649,4.59385027044198,1,0.0117558629838696,17
"Fold_17",0.715966453718266,0.624578855897869,1.63851466858628,1.67522710769658,6.58867668934962,3.75869473913947,1,0.0154263222431307,18
"Fold_18",0.744065889906322,0.665485841468262,1.44702768033476,1.74758655693202,5.30827713815759,6.83316331091616,1,0.015786970136168,16
"Fold_19",0.721968640254874,0.701312383807848,1.5920003197246,1.44917897038524,6.39033196947151,4.12972546887123,1,0.0125807015750406,16
"Fold_20",0.710979378978582,0.676939659207262,1.6178016183913,1.64866942036368,6.33392414946823,4.43844465877654,1,0.018909626886239,16
"Fold_21",0.716833614537698,0.67784707351657,1.50435083552554,1.86819312534359,4.95228340280825,7.74565872988766,1,0.013098212066346,18
"Fold_22",0.75014019166057,0.632153861555589,1.38173913347648,1.97422072137292,5.14688842446381,6.98140875972108,1,0.0116510000128957,18
"Fold_23",0.715221502101468,0.704699707796461,1.64446676557076,1.38435889212464,6.51548828883997,3.73212305843138,1,0.0127342922677183,18
"Fold_24",0.766613720558169,0.590247549538919,1.32474514358536,2.06380568106829,5.78649621970566,5.14691499775284,1,0.0130759789313554,16
"Fold_25",0.720367314172745,0.671045737978848,1.56317762741948,1.72766113517524,5.1874941887383,7.00745675400729,1,0.0194714279022412,14
"Fold_26",0.719537614954733,0.593277701994822,1.61744326188995,1.89701116251066,6.39414547351079,4.36550548718864,1,0.020494464595818,14
"Fold_27",0.712779074534945,0.716312653475465,1.66145889075839,1.34963510827804,6.60310022199608,3.43074030262904,1,0.0145440558391535,16
"Fold_28",0.704542969797953,0.670839071153377,1.59521565937509,1.80199901356526,5.34752483818991,6.70250046316657,1,0.0171809073011417,15
"Fold_29",0.688804877352329,0.738337366892433,1.62569043317956,1.6572882078065,5.84625600198031,5.66304980085296,1,0.0197056116373944,15
"Fold_30",0.715763978760493,0.673527716791703,1.56418207816399,1.71712346104308,5.36284693807048,6.52464578306665,1,0.0150063931733264,16
"Fold_31",0.69804336327844,0.644838861762823,1.6897441754356,1.72303367444973,5.76374835152011,5.96506144566467,1,0.0200123164479971,15
"Fold_32",0.766604654558744,0.634851959166995,1.29102955402827,2.01005324769815,5.64720011916126,5.53789444432351,1,0.0103978637235365,19
"Fold_33",0.737731949752046,0.638621754349094,1.47407277673165,1.83548472972938,5.97004542797802,5.00594089745647,1,0.0146749983941472,14
"Fold_34",0.717236714155745,0.690763561644223,1.52763300202143,1.74396270871791,5.79191844967605,5.73935276561402,1,0.0141629048549978,17
"Fold_35",0.761918204224569,0.621654321723728,1.34696784414075,1.9598479511294,6.014488777667,4.80645255708116,1,0.0124475453066283,18
"Fold_36",0.721221241885644,0.745695964311477,1.5453930052562,1.4099284004817,5.53301701144692,6.07268803979049,1,0.0114148305728953,20
"Fold_37",0.739614451583093,0.584114816388685,1.41204101446819,2.23985482381016,4.58394329611758,8.61394290304447,1,0.0178765155902972,14
"Fold_38",0.707788420616801,0.733784344605352,1.64228505116527,1.47516886535229,6.46799938105402,4.01776853036724,1,0.0174496934587114,16
"Fold_39",0.717571211313126,0.649077113197737,1.51589765377932,1.96214237710606,5.56885261894712,6.37162704603285,1,0.0159247016753856,13
"Fold_40",0.725089106168455,0.699050788438235,1.55056954295379,1.56158419835266,5.38911595531545,6.5253167705707,1,0.0152449649351427,15
"Fold_41",0.726096132767746,0.60547302759913,1.48090646350883,2.14130611765304,4.55729379098134,8.55374886532083,1,0.019548173042034,15
"Fold_42",0.702347344076119,0.668257722626626,1.62512025033269,1.77691766179345,6.21822769729716,4.81575935513501,1,0.0178656813399861,15
"Fold_43",0.735490664677742,0.653378019692794,1.48274211127934,1.7875015610068,5.88679219959141,5.11726998039596,1,0.0130314276583626,17
