"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.799457215642099,0.687499842642332,1.16415578804455,1.68319231449155,6.40118561238663,4.32583720023121,1,0.0177384252563676,37
"Fold_2",0.701811965585799,0.678627829654037,1.62702546933679,1.81179565172883,5.24461404769451,7.96219866894539,1,0.0666559263305822,20
"Fold_3",0.695222050744661,0.554152355087947,1.77150111891312,1.93719971008896,6.25772187663632,5.5184872766649,1,0.0994220650982982,17
"Fold_4",0.678165104373012,0.620306140157917,1.73346283570094,2.01171415065921,5.65773591687776,7.19589588986631,1,0.0849949645313822,12
"Fold_5",0.753629105752653,0.564389503784608,1.41293432403345,2.14113805509868,5.59328707744893,6.94033869666494,1,0.0618553961179221,17
"Fold_6",0.631866149018466,0.63184708090762,2.04126104548264,1.88290995962364,6.55573489775784,5.10415242941473,1,0.159259437693005,8
"Fold_7",0.848510269487991,0.74346091229231,0.856154844355706,1.64920215953968,4.53469779150036,7.83897083440027,1,0.00639096000551475,53
"Fold_8",0.693402678736031,0.640609605788948,1.63189907097267,2.06157370188676,5.98123018890654,6.27666217795673,1,0.0844711468419051,15
"Fold_9",0.752412678471922,0.666349972301331,1.4050780637039,1.81378474113212,6.08883089867099,5.97541571597316,1,0.0416924138297181,26
"Fold_10",0.794140803593088,0.663443961147011,1.12357409221884,2.16652530929924,5.35035458505132,6.62156425034061,1,0.0195170487888855,34
"Fold_11",0.661411933891473,0.645795559869324,1.91662946647982,1.67532762548377,6.88792218331966,4.31908572306086,1,0.111517374573209,12
"Fold_12",0.728194917171539,0.664018275078853,1.45871961226384,1.94636207567872,5.01138986100999,8.25176898620731,1,0.045777138020721,20
"Fold_13",0.782015313679281,0.652286024262372,1.23070574972174,1.91987844941715,4.57251185550173,8.52113119850594,1,0.0219450500116698,33
"Fold_14",0.771605764110507,0.625315003785001,1.28479001694452,2.0213714634393,4.93970684539137,8.01694502438137,1,0.0376113039567585,25
"Fold_15",0.687000771958528,0.627981810232161,1.73513149716899,1.88620717489318,5.62782282309174,7.36459213458944,1,0.078635843154714,19
"Fold_16",0.695848277214475,0.550358572161248,1.75412162098153,1.97866462525556,6.51370384831555,5.12341915993828,1,0.092412321599787,15
"Fold_17",0.720932163088842,0.554453628261499,1.63759883522475,1.90484956778942,6.93748273009304,4.06470402188914,1,0.0707261403489338,18
"Fold_18",0.718227631003267,0.590337404010566,1.58466917197427,2.04600424516697,5.55009221401347,7.31238418701085,1,0.0737099936396736,16
"Fold_19",0.754050436007997,0.620710097470294,1.45876175943139,1.83028151273384,6.61078589131344,4.89218593755002,1,0.048362430340111,28
"Fold_20",0.737893042104315,0.647771681565985,1.50942361890413,1.75375453491066,6.56080103454507,4.53546958228364,1,0.0559386172015248,19
"Fold_21",0.805592645980458,0.597070411994357,1.09710199062535,2.25707686165727,4.93450839744206,8.51058290732091,1,0.0232976002531498,37
"Fold_22",0.751356069963885,0.607202718655219,1.40667119829021,2.04750612634552,5.46445352297101,7.05112171403496,1,0.0569930672994936,24
"Fold_23",0.748335611703329,0.628551788197688,1.50026722090571,1.66564033882667,6.69758615888454,4.51673693287131,1,0.0450791236769312,21
"Fold_24",0.811479391861888,0.572865897486571,1.10448518435243,2.18421879498601,5.90365176102895,5.75460932336658,1,0.0249910428958886,31
"Fold_25",0.796055365908793,0.585610226673608,1.20048597464954,2.09364626321551,5.12783067849614,7.25421475549964,1,0.0269776324911795,34
"Fold_26",0.766162788162173,0.570263604683429,1.40276320337781,1.96347183061596,6.42790973964973,4.76882283886018,1,0.0515607572288974,21
"Fold_27",0.706744853553833,0.691257877549815,1.72913445651575,1.43582582204446,6.99087072232607,3.74984744714155,1,0.0746445834206245,16
"Fold_28",0.742621296237948,0.713128619067756,1.43009962042001,1.60721059983446,5.65929029455847,6.6425156508929,1,0.03341665876272,26
"Fold_29",0.752514757611773,0.661443253143854,1.34106859846586,1.96596463809117,5.7403405866108,6.15772519858539,1,0.0320644981094363,27
"Fold_30",0.715253547608833,0.615234644418567,1.58290936544553,2.01718237401907,5.74981355209461,7.04393758783276,1,0.0607350966211104,19
"Fold_31",0.730126409641052,0.575041257658396,1.58048396943975,1.97319807624742,5.99840122228711,6.40790511772692,1,0.0809657512991196,18
"Fold_32",0.761081061026285,0.594666366845194,1.32626584655708,2.17376918905239,5.76485795086178,6.27580861852434,1,0.0379403182216535,23
"Fold_33",0.766088452856714,0.623131323532817,1.34718432381962,1.91475927382158,6.20666470484937,5.35249436534416,1,0.0379042021791743,22
"Fold_34",0.722796223564357,0.681909629807834,1.52558610792738,1.79161759574523,6.03665483749696,5.97054759477965,1,0.0544646357031075,19
"Fold_35",0.77748214403783,0.639977937354661,1.27280567692031,1.88087632294072,6.22669264009544,5.01646482878101,1,0.0288245552569573,28
"Fold_36",0.801833689013333,0.721594469153815,1.15470878745822,1.50000642293149,5.3871980235339,6.28215653214058,1,0.0153811892901484,35
"Fold_37",0.725393892401568,0.593754499562356,1.50325635340434,2.19293419905486,4.81030533185294,8.88591879119953,1,0.0730639071039872,19
"Fold_38",0.64672944731167,0.663930037857289,1.94421571621546,1.79048435619982,6.93879356572974,4.25494302492723,1,0.120171824942806,11
"Fold_39",0.744256168435302,0.702136832642219,1.41531582893527,1.69731719927263,5.77837203947348,6.25247356025336,1,0.0415636792084449,24
"Fold_40",0.698272672914575,0.626624512697978,1.6905529996643,1.85113002784247,5.76920166828419,6.9241092440381,1,0.0764994829493062,13
"Fold_41",0.723623659832596,0.632218471312629,1.51706662392979,2.07728315908628,4.96808645002967,8.65838732081872,1,0.0699089317537926,17
"Fold_42",0.721809117975352,0.624960435796458,1.56545406122945,1.92689205608131,6.38900429289796,5.31507187851311,1,0.0686142622646745,19
"Fold_43",0.733619579036906,0.662893639066698,1.52347109954913,1.75172216128994,6.14879939196204,5.48296422446381,1,0.0559931947295176,24
"Fold_44",0.74030468571642,0.620861486714599,1.48683891675467,1.98178325846928,6.63032535271745,4.36275654970086,1,0.0639431718699476,18
"Fold_45",0.743035755011442,0.702127650286484,1.51303628968585,1.44845325786772,6.81737853509394,3.91070794537572,1,0.0437496044247733,20
"Fold_46",0.652663593605245,0.524064736990107,1.85114810766902,2.44965097510708,5.9737678811965,6.61440998443263,1,0.157261085472993,8
"Fold_47",0.721360240502491,0.620672755150567,1.64585434273282,1.73833609919076,6.91570527377821,3.92986449762705,1,0.0732073308553742,18
"Fold_48",0.730675997126987,0.56749967777612,1.43301344740406,2.39919060969478,4.77083681741767,9.12344801711583,1,0.0601593964507541,18
"Fold_49",0.733782366950001,0.644824156571494,1.52693797490814,1.87619899979708,4.93499119747007,8.71564941782626,1,0.0646636487553287,18
"Fold_50",0.695538791092857,0.618732832657729,1.73082900816469,1.83846536039828,6.38687939575097,5.38820754123693,1,0.0892237634327487,14
"Fold_51",0.791617698881133,0.613710247190227,1.2727095514018,1.85965145158782,6.40185064940752,4.49116489923375,1,0.0368383747955796,27
"Fold_52",0.761223492401651,0.587330073905447,1.40748534112599,2.02036413204345,6.07691707403993,5.64794763615033,1,0.0541940893372864,20
"Fold_53",0.792525723130345,0.694371863001246,1.1771703755915,1.73550465449068,5.22695738613389,7.36418054345207,1,0.0195672182141961,33
"Fold_54",0.750010561133635,0.648113333718759,1.41488526310145,1.8658117585466,5.13865062386467,7.82990863228683,1,0.0452625984736703,28
"Fold_55",0.669120514234459,0.660933275767966,1.8211924196852,1.85590966023631,6.51983267454165,5.05527618049506,1,0.109509389264989,15
"Fold_56",0.784580227764413,0.692415591684245,1.20883428284315,1.77546771383384,5.05095845394366,7.58742610732844,1,0.0268279660779463,30
"Fold_57",0.717093684928048,0.640307114443828,1.54538747711134,1.97618873365422,6.05700929208808,5.75407785558208,1,0.0610881415734269,15
"Fold_58",0.75153706052742,0.614081957924274,1.3940034040535,2.05076856215259,5.06457417559193,8.06784450994866,1,0.047341958434101,21
"Fold_59",0.681709855592923,0.633722744078384,1.81876525064026,1.79729905455839,6.43749199684789,5.33789421701775,1,0.110135279552066,15
"Fold_60",0.751631455645635,0.699833449747662,1.44229926173969,1.55228877546799,6.35471276852754,4.5848839772203,1,0.0311813227436214,30
"Fold_61",0.732454590978248,0.652136282888886,1.52981216981351,1.74586667518434,6.51494680653889,4.92529169438932,1,0.0493683059627332,24
"Fold_62",0.656583067141868,0.649492813349671,1.8986165716484,1.8634044058854,6.70416900417298,4.69428382328032,1,0.124897709090132,13
"Fold_63",0.762071894424907,0.564053483508782,1.32089298907232,2.33764556390522,6.17822757943828,5.57100492038993,1,0.0542108989366908,21
"Fold_64",0.798160153376501,0.681205917612523,1.1425644935516,1.78043742231305,5.26292698896498,6.76900924565169,1,0.0178876320230503,38
"Fold_65",0.703629206556665,0.634788377134041,1.64379100090564,1.889729080904,6.04250472937543,6.24700152683563,1,0.070490883889394,17
"Fold_66",0.702596970218105,0.645031105768985,1.65414983205267,1.87213058966053,4.77202399045485,9.22643102669182,1,0.0747640972589084,17
"Fold_67",0.761765928092486,0.7257531061543,1.41706800868513,1.35832797605556,6.3587308661313,4.49365279280101,1,0.030208617091767,30
"Fold_68",0.720543168982255,0.549791601636813,1.60800941144188,2.01959659391538,6.65881914727955,4.64506088808569,1,0.070204633092303,16
"Fold_69",0.768304142359872,0.623312237821729,1.37175232089464,1.76791893747815,6.15684762259863,5.12021690239759,1,0.0335979906699518,27
"Fold_70",0.754613197164854,0.704424525588845,1.35933253751619,1.71566729196145,5.32212239890126,7.23657256397357,1,0.0355388933994565,27
"Fold_71",0.704450872988575,0.590048834355792,1.66311551346504,1.97968393383455,6.8007794828945,4.42399211888547,1,0.078972260321936,15
"Fold_72",0.736280074270079,0.591344028241847,1.4635354306823,2.16035332115545,5.96484463497811,6.26786947568124,1,0.0661774619827737,14
"Fold_73",0.752412908539857,0.64394444260147,1.40271543222541,1.84260274888355,6.25156161861097,5.24749629962165,1,0.0364520928867957,23
"Fold_74",0.66464049974133,0.511633077337967,1.83753109107175,2.30960536924959,6.39912770464857,5.43145010286314,1,0.129054242048068,13
"Fold_75",0.737957396783502,0.682382543724614,1.43855318661116,1.89519586632552,6.04349463084033,5.62265254260264,1,0.0444537977240939,24
"Fold_76",0.790204203701854,0.729026448344907,1.20890559799431,1.49834274353849,5.01495417637392,7.70594751536347,1,0.015452707252698,36
"Fold_77",0.662902787691736,0.64914599439506,1.91679998876613,1.66349441397973,6.39284534350526,5.52842913480557,1,0.121166465940519,10
"Fold_78",0.746830115971938,0.67728426501137,1.48186937008035,1.56267089503362,6.36767214662003,4.79809246491151,1,0.0394530342362848,23
"Fold_79",0.850600040159439,0.672794250385635,0.847802145284584,1.96912871069159,4.49823801322794,8.07545614627329,1,0.00832294353462137,51
"Fold_80",0.721290862542021,0.648426269183405,1.65225294143591,1.66818028952593,6.87100758169803,3.94765453933799,1,0.0795859728317569,13
"Fold_81",0.677161156685858,0.629036483343077,1.86998486493087,1.66439945831128,6.91287610420293,4.3214657338074,1,0.101327584491733,12
"Fold_82",0.746615445304412,0.565461904339893,1.46566729032989,2.05883720079714,5.97088855452448,6.14061792054707,1,0.0615092720762828,15
"Fold_83",0.796086974618735,0.675381243406145,1.18508137182797,1.70470564853307,5.88136482912906,5.42155760252633,1,0.0170435413310056,41
"Fold_84",0.722442370947549,0.74487098433,1.56893957139113,1.42855453175966,5.75117340659408,6.5511037805882,1,0.0447150414911517,28
"Fold_85",0.633572616875266,0.562712400210364,1.9670276715694,2.59052524462257,5.87866685746317,7.1242271116157,1,0.251193457710665,6
"Fold_86",0.701023324173293,0.683325799873889,1.60581048438351,1.88540842271071,5.00596562853023,8.57613997812775,1,0.0722786166139831,19
"Fold_87",0.746471580762652,0.650672918197004,1.47562579104897,1.70959751723401,5.8111669948655,6.54408843245664,1,0.0462583074133569,20
"Fold_88",0.705778272280804,0.655792773236303,1.61629157016234,1.91524358401298,5.65801465898959,6.97947841046414,1,0.0720595549418448,15
"Fold_89",0.751910184943131,0.70474878089898,1.35118976164586,1.81352212134873,5.74923168540187,6.05273859309733,1,0.0313139361780436,27
"Fold_90",0.734571493608576,0.655531159354078,1.51588718553384,1.74113900980083,6.53565218584032,4.58210992821275,1,0.0444308670793241,23
"Fold_91",0.787264586065647,0.547699022750967,1.25694451945467,2.10756233801653,6.63144013731736,4.09481738972749,1,0.0271190071924593,32
"Fold_92",0.650883375374227,0.641441725231715,1.95200249601158,1.76555989409992,6.62155969301281,4.99025201415973,1,0.12434668917578,11
"Fold_93",0.724956066899282,0.678320458424987,1.50604837836023,1.82448193375047,6.04484848709948,6.01266790074515,1,0.0487432307463722,25
"Fold_94",0.78184640282163,0.671551217486802,1.2275577874304,1.8209721562704,5.71653488812875,6.21972683133981,1,0.0223667407566971,35
"Fold_95",0.734239969538067,0.659637691668533,1.48612885061134,1.8399413648755,5.37493063200184,7.46325708404621,1,0.0502607805866712,21
"Fold_96",0.74445773227711,0.550164891476434,1.44858512248593,2.20118656375332,5.8780197944096,6.36328876123986,1,0.0612107072410707,18
"Fold_97",0.70005592188943,0.602599407837547,1.7372374952573,1.85146942646812,5.51187194088143,7.83467332528664,1,0.0998946728641465,14
"Fold_98",0.773448920717188,0.723773089440809,1.29097107192244,1.57609152146511,5.26179992661568,6.99211776416088,1,0.0273989346319021,31
"Fold_99",0.705405003423262,0.632549338146244,1.70720735110379,1.67877458334941,6.93960938778053,3.93006353120911,1,0.0713885131431331,15
"Fold_100",0.600882336270137,0.730930137662809,2.01117492432763,1.97814280087427,6.27403371781365,5.98736424301415,1,0.132547090146601,10
"Fold_101",0.760754100060132,0.721106524965577,1.3967537991162,1.43519567905649,6.08602992751976,5.36644154028789,1,0.0249182172037057,31
"Fold_102",0.719698393485295,0.75316263536153,1.49896538565523,1.6543567487651,5.55351788757841,6.92393532054982,1,0.0403639132485981,25
"Fold_103",0.767786835397944,0.673317247798589,1.34702255286613,1.66351918981376,6.54700994002473,3.832622917592,1,0.0310948364893823,30
"Fold_104",0.691871281226519,0.607953651832255,1.58540418177391,2.31700046212207,4.67089724025235,9.80298626237194,1,0.068572760064027,15
"Fold_105",0.68194615208785,0.652963259986447,1.77649819565351,1.84668129356882,6.27013752445208,5.65704701242182,1,0.102157434665616,16
"Fold_106",0.734471677707475,0.723519366631755,1.45354658234955,1.63742671341371,6.26974967685609,5.13746584245297,1,0.0393276903554779,23
"Fold_107",0.738067113906142,0.556604567755759,1.46758701014732,2.19585428590163,4.7527825692741,9.05581507343306,1,0.0524249870346847,19
"Fold_108",0.750535511901182,0.64098467109232,1.41526986573344,1.89597269387291,6.68338665296241,4.29597712796172,1,0.0404701984817187,24
"Fold_109",0.785260414835955,0.570055474288938,1.24608160764195,2.18068359854455,5.37101633840727,7.08550983506584,1,0.0485940464176578,16
"Fold_110",0.754662827846168,0.708861225564914,1.34809801035988,1.71914453390772,5.63720146764372,6.29392374575803,1,0.0304170424044461,27
"Fold_111",0.66301291278694,0.62218180842099,1.8726327667116,1.89233625144647,6.2739323301553,5.83629894654534,1,0.125858565866327,12
"Fold_112",0.705921417959733,0.62276681925659,1.6913856941912,1.86220305577385,6.76060376913004,4.32568574738206,1,0.0990889042705052,14
"Fold_113",0.705230468612475,0.66251700621694,1.69115165644852,1.64244843850004,5.85001009547193,6.64305963265747,1,0.0696188802037356,19
"Fold_114",0.742119519756145,0.72896151723431,1.40371921781494,1.65846132169907,4.79444879057115,8.43532863272235,1,0.0378550126911689,26
"Fold_115",0.770918590588592,0.635199034383323,1.35698676315677,1.77369680148389,5.84939967626883,6.17022958769384,1,0.0334840450456389,29
"Fold_116",0.890114050324528,0.588202353801389,0.688587193754138,2.38537207505214,5.13616491749936,18.1444752813151,1,0.00196829801521998,83
"Fold_117",0.74815255495842,0.604854112220483,1.44511321552817,1.93308022126756,6.15420568948275,5.51580696444625,1,0.0492839056042804,21
"Fold_118",0.707155244641233,0.676593907182691,1.6285071047881,1.78346994114739,5.44368353182209,7.6601009357522,1,0.0724858639174534,17
"Fold_119",0.805152342916992,0.642943808361634,1.19504399777932,1.64092210926046,6.34145043270072,4.22497321201367,1,0.0235154066107476,32
"Fold_120",0.743892914142919,0.671568008607105,1.40004014238263,1.93589289353034,5.56852783241319,6.70387117773195,1,0.0479805578454013,22
"Fold_121",0.768760374783588,0.709217858497455,1.27555247348617,1.6939857004376,5.17964437209495,7.4305402237929,1,0.0260071835717578,28
