"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.724247582722428,0.634398770881817,1.54747641063375,1.90380159412142,6.84882518717523,4.1710305564332,1,0.0493582219774539,20
"Fold_2",0.705496965950904,0.663334952389952,1.60756603997311,1.86053963602696,5.20700072852465,8.05650317389954,1,0.05533892105976,19
"Fold_3",0.650951733014259,0.582949986126967,1.96434879112607,1.86496203543223,6.33607943443567,5.48789681925399,1,0.109115593708153,11
"Fold_4",0.660445000037885,0.593554613306245,1.799911946397,2.10193286834777,5.69612629871442,7.23012133280938,1,0.0774442461383525,11
"Fold_5",0.706265241770199,0.506312014605175,1.63784524662994,2.32401055452001,5.65225225088147,7.00799435893035,1,0.0817691933829471,11
"Fold_6",0.659729726618755,0.663666050373787,1.88520445457292,1.72450989498183,6.50516237053189,5.12889937670994,1,0.0830380028073499,15
"Fold_7",0.76467617633874,0.668077851606558,1.26885759185627,1.98462050768942,5.06840164183369,7.76973643920954,1,0.0195170684195752,29
"Fold_8",0.676884468002284,0.598635847426271,1.69624641105237,2.22836115806098,6.01154490089839,6.36566832329744,1,0.0844711468419051,10
"Fold_9",0.73106809739374,0.658713181792778,1.51125247031263,1.82004002635848,6.11153521986242,5.83479619499874,1,0.0457573727085412,23
"Fold_10",0.719711767103644,0.653523396829955,1.47227020058048,2.17781867162133,5.69457724945096,6.60558515318339,1,0.0450869140651766,18
"Fold_11",0.645366890697099,0.646405826342521,1.9683355406149,1.67607242833831,6.93924494562867,4.30899184585414,1,0.0925836835226318,12
"Fold_12",0.735619489132629,0.687033126617423,1.41409897924756,1.85708327923844,4.93405202271914,8.06708692910114,1,0.0261953614147385,25
"Fold_13",0.701751615208187,0.635758167480958,1.61756484227926,1.9537944063654,4.91708428355328,8.80643669067118,1,0.055638700617986,17
"Fold_14",0.723685035675397,0.602127641792653,1.51700670111053,2.12102881219269,5.0593472642502,8.06625432769582,1,0.0545675621772234,18
"Fold_15",0.689922797231866,0.646865610682167,1.72979472638766,1.83329368820786,5.5865454745133,7.25293675853786,1,0.0716500515783145,17
