"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.833489149785111,0.72678290611295,1.04062862343703,1.54533225172432,5.99467462090438,3.84061674794941,1,0.138252891501162,23
"Fold_2",0.798619904066025,0.776973897970512,1.24164812695812,1.39745383288737,4.83641059465585,7.35922547805285,1,0.185036036597979,16
"Fold_3",0.807518588038348,0.743260849229329,1.2877969306534,1.30998445344621,5.76721869861053,5.05068883487906,1,0.211590091240967,17
"Fold_4",0.781600340894338,0.785539779428146,1.35681990147126,1.46094590536679,5.23859236611274,6.62293310709375,1,0.225620742645184,13
"Fold_5",0.829906259042752,0.754892885968109,1.06321033874873,1.43269608426051,5.09886713211872,6.08623605377822,1,0.135548788652206,30
"Fold_6",0.785925646981193,0.758752576813454,1.37983991245053,1.32484965477687,5.96137031692721,4.7304617855799,1,0.226543789237976,16
"Fold_7",0.767193304711214,0.792310267938973,1.38459036986685,1.56067650729892,4.9671340006656,7.40453892850726,1,0.235238223310957,13
"Fold_8",0.81877428775232,0.786134751328789,1.07810826375907,1.40781924844783,5.33762395538521,5.45990126289518,1,0.134681307375447,34
"Fold_9",0.820582918636447,0.744456370222537,1.11890618115511,1.44870501222216,5.61593764598051,5.29657784833718,1,0.159560078280171,24
"Fold_10",0.814386311744087,0.78923559698006,1.09092761306406,1.62701524698068,5.17856186486974,6.29864009978534,1,0.153311080927146,20
"Fold_11",0.786919761621946,0.72658001146301,1.41544671314371,1.38564607827401,6.33244395733406,4.19437890615158,1,0.254679485243314,14
"Fold_12",0.846707251650996,0.794348575791096,0.898676893797334,1.339210361019,4.1971495418619,7.49993365404355,1,0.0785475746921565,34
"Fold_13",0.78775745023504,0.772088713959603,1.31880569038817,1.51065554720108,4.49008516110646,8.63920849434292,1,0.216993731044118,18
"Fold_14",0.812377433772568,0.700848191800419,1.18693468696787,1.72832996920493,4.69897076882262,7.71892220456144,1,0.216082773224775,19
"Fold_15",0.791715055910419,0.81387567224784,1.33401044358713,1.2053225755034,5.15829381939582,6.60945128912858,1,0.200929038304881,19
"Fold_16",0.810689246817034,0.75124157598155,1.25441187732822,1.30647443726995,5.83467831858013,4.65794094815411,1,0.195502494288372,17
"Fold_17",0.909525389712244,0.753353771031016,0.602883922919837,1.21068538074933,5.31286148989513,3.29530469609108,1,0.0372012815988173,73
"Fold_18",0.821749785836712,0.707783527540818,1.12329528430254,1.56618149158975,5.0509183658716,6.64199716767168,1,0.170432053534494,17
"Fold_19",0.804447628086826,0.756028976703693,1.28564570714973,1.25520068315808,6.16269151018755,4.0038707194477,1,0.198231264807357,18
"Fold_20",0.844902719047639,0.743461036806856,0.997769552530965,1.366138301484,5.79536422712419,4.21903786464879,1,0.13110861000459,30
"Fold_21",0.837379686477802,0.741627421462712,0.973403243520757,1.54652061637696,4.71411966255332,7.15192036602717,1,0.11726302184019,28
"Fold_22",0.788972779598041,0.739318622266126,1.30347679441546,1.59559241853055,5.14380084017307,6.70691975081994,1,0.218438036171326,16
"Fold_23",0.81459577419677,0.776734918270173,1.20413381638593,1.09694689970512,6.08798979419117,3.70414041996139,1,0.152869590105357,23
"Fold_24",0.848720921405217,0.723343345320528,0.944998760222791,1.55210245849683,5.40097500661794,4.87058846663642,1,0.119451444164672,27
"Fold_25",0.847294205389708,0.755123393230766,0.960544958748758,1.34227554738551,4.71092225695242,6.93932467020462,1,0.104514801002107,34
"Fold_26",0.832732876397435,0.678292885837976,1.12473595521755,1.52836132323328,6.07630121164172,4.17401974560133,1,0.185015326060652,19
"Fold_27",0.808972169650754,0.777007088133363,1.26209617598547,1.10384329145119,6.31687761480093,3.26161832090428,1,0.17479572807737,22
"Fold_28",0.785844547673756,0.810946533176266,1.30995656214325,1.20677134722964,5.18557043784295,6.41126097253984,1,0.186835630982875,22
"Fold_29",0.782737664596221,0.785484839990392,1.31060667678765,1.42785984336245,5.61178281899976,5.3995414005285,1,0.214020578343219,17
"Fold_30",0.791606949536601,0.738450396272184,1.29919090164672,1.48845168405957,5.21510343757994,6.59589441934059,1,0.20854372530838,17
"Fold_31",0.812425700363515,0.727889065668345,1.23715336858691,1.4233137824916,5.56624895195606,5.61791282100792,1,0.206693989418491,16
"Fold_32",0.80494667860421,0.750963860133844,1.21920260110213,1.6219506340248,5.70629593733867,5.17230409463008,1,0.209123228629216,13
"Fold_33",0.82437887750071,0.736169222138721,1.10366152573842,1.44783962124887,5.65577995142908,4.88355369053085,1,0.151185025090048,22
"Fold_34",0.823262580833751,0.734362468092365,1.08671358049476,1.53172131378077,5.38459294865965,5.53993822208346,1,0.154285982448633,25
"Fold_35",0.823629027981956,0.738482645386859,1.12368315609556,1.4899830228276,5.82448839166279,4.40693028033277,1,0.171645675757875,22
"Fold_36",0.822202331797268,0.777482629754401,1.08744085288425,1.26361554851552,5.11930390294534,5.73173596630223,1,0.111332925049584,27
"Fold_37",0.798446945314303,0.709855126108907,1.25134444569672,1.76442303679894,4.49264354646156,8.4312712872213,1,0.231711396745365,17
"Fold_38",0.786820891679837,0.760925859713147,1.3513978711352,1.3992152577611,6.29984437242441,3.967807524946,1,0.207737319049214,14
"Fold_39",0.801877395998392,0.761369913098569,1.21381914651461,1.53095044870154,5.42402759701441,5.74156513841964,1,0.190203250421756,19
"Fold_40",0.805690049631353,0.753704633777949,1.21823863250066,1.33636748553702,5.14129521184371,6.38379797712394,1,0.170972570691336,18
"Fold_41",0.838608356929875,0.732812711335589,1.00792795213448,1.63125008959828,4.31383846031088,8.17131414103766,1,0.154723236153246,24
"Fold_42",0.797209821238615,0.753560941381891,1.26625794954924,1.45826745141749,5.88129244438579,4.76467605189485,1,0.199031414218986,17
"Fold_43",0.808026865050312,0.789690358541825,1.20187097724064,1.24608024004226,5.6521314532595,4.88962339235256,1,0.160065649577215,21
"Fold_44",0.859078066767014,0.752069251167236,0.882020495563878,1.40486574670047,5.77459350079685,3.65404572840403,1,0.0900403296823185,41
"Fold_45",0.834009957575485,0.806023466209414,1.07665315441538,1.00862600534046,6.07634517177854,3.32158786273489,1,0.120192996026592,29
"Fold_46",0.76680147194547,0.711442361895033,1.41876234710234,1.71980443187016,5.53307061766081,6.05176279401243,1,0.253452249577405,15
"Fold_47",0.798393816371653,0.735480579493849,1.31909947132281,1.34220615117298,6.43483848265819,3.55435646903787,1,0.204935251998864,17
"Fold_48",0.864123690171811,0.755895751208156,0.792994886836333,1.55493595014937,3.90448866759405,8.10082148282808,1,0.0649380274417254,52
"Fold_49",0.84141362983398,0.740402423803849,1.00114886699876,1.41429668919166,4.18756023008944,8.30259721038622,1,0.127202388884779,27
"Fold_50",0.800845079049519,0.731380309534208,1.27619664802142,1.3877634852388,5.83968148963673,4.79062715874438,1,0.201397472629732,18
"Fold_51",0.856619348780121,0.6643338479584,0.944886738790942,1.61737912179175,5.86640405207713,4.23607406123579,1,0.131203862994191,23
"Fold_52",0.827304774563006,0.663644813298674,1.12841287317167,1.67432150490445,5.53502234621342,5.42028545793152,1,0.186087022286375,23
"Fold_53",0.80743724049989,0.797451045781038,1.1953425296517,1.28554284988365,5.1195876034284,6.47163525931827,1,0.1738059838087,21
"Fold_54",0.800562390873466,0.74368706849777,1.25835607947243,1.59183164315349,4.86931204382939,7.32780195236809,1,0.212152623678773,17
"Fold_55",0.802696547971566,0.809838087514236,1.22749324769515,1.15964703503618,5.88525863104124,4.29674868781713,1,0.162804623768071,22
