"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.775740529469097,0.673194916467937,1.33274525379583,1.78511421866118,6.31325101579423,3.83110088471842,1,0.144835907005337,12
"Fold_2",0.725919047039289,0.781865939178211,1.55759838182759,1.41109833803457,5.05878184611092,7.22789847030912,1,0.16093490827944,13
"Fold_3",0.753070144563389,0.644055890096987,1.53899064137365,1.65080497960266,5.98310894972923,5.23443771691518,1,0.201972995039002,10
"Fold_4",0.742046055607343,0.774863754548503,1.49884791663136,1.48400168037094,5.34999311832458,6.50763744304825,1,0.162916429322717,15
"Fold_5",0.775787751510493,0.694015728514255,1.33280542503013,1.69643382443514,5.32637161487616,6.26033192137601,1,0.135548788652206,14
"Fold_6",0.73296759591574,0.706123956278025,1.6212009932558,1.52902230561592,6.08162865841134,4.95162515996744,1,0.216247024383434,10
"Fold_7",0.785215046552596,0.746815318356026,1.21555639999091,1.67376570428178,4.66233073836581,7.40740368484748,1,0.106677676318321,20
"Fold_8",0.73666792897255,0.655955620800076,1.47834878637893,2.0109881123798,5.67424883508232,5.83619865294986,1,0.195399516665755,11
"Fold_9",0.744285179588042,0.685040678062712,1.50935817915106,1.72154282191445,5.77914444283408,5.56016347095898,1,0.195311049459887,13
"Fold_10",0.819399231142918,0.722872463465536,1.01931631200231,1.87660254983175,4.90428341812363,6.39319189078479,1,0.0728351841231649,26
"Fold_11",0.752071889412363,0.701071036660258,1.50566101135745,1.45737529987621,6.32323729109909,4.26500447624147,1,0.159009079375318,16
"Fold_12",0.733670655545969,0.789760486169739,1.48626581481327,1.54557771942214,4.73953177660783,7.88960568216236,1,0.157820379342924,14
"Fold_13",0.754398430216227,0.738181483132078,1.42551391509599,1.57908432230594,4.4338997336095,8.76616415775652,1,0.156687029005648,13
"Fold_14",0.78723909390122,0.678081075309314,1.24687126571245,1.82330907638361,4.64444596344907,7.77379607917352,1,0.129538219313492,18
