"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.797781720014165,0.601078094244994,1.23597434882591,2.11872309708053,6.2966404557028,4.47272104894813,1,0.142011158272564,12
"Fold_2",0.788479738891458,0.766032387039423,1.2417415276813,1.42196687479016,4.79085488473075,7.48279062249138,1,0.089917484590574,22
"Fold_3",0.80675115006377,0.712036896134513,1.20660659961646,1.38242901045894,5.83450855331837,4.95584065010082,1,0.0809976071101388,23
"Fold_4",0.742175443265343,0.708328916317852,1.53248782247366,1.77540718952524,5.45309397345091,7.0053555251672,1,0.187532378382623,15
"Fold_5",0.810203227393409,0.703513398196603,1.14026283722445,1.5923958812233,5.22022011279912,6.2350584669322,1,0.0821624517453487,23
"Fold_6",0.796191988092605,0.726331745242436,1.24837260099353,1.40546702009257,5.88693997473179,5.07685951565748,1,0.0931621714590161,24
"Fold_7",0.769434597492828,0.754063147452081,1.30046776234965,1.60235527807745,4.84649832163742,7.62975600808496,1,0.110743615082688,17
"Fold_8",0.747231766794905,0.680051300438528,1.47059736382748,1.97740999361894,5.77294992796593,6.05437430564675,1,0.192612223272971,12
"Fold_9",0.803190526093633,0.742387886578663,1.15813547487519,1.43976891860813,5.58226103871199,5.430886679802,1,0.0660232427027103,24
"Fold_10",0.778551211640187,0.734647043746935,1.2685350879871,1.84287093371109,5.35279741721477,6.25833359668688,1,0.131562925766091,14
"Fold_11",0.772407879741988,0.724976100793561,1.38775720484004,1.37400778577488,6.27506295375138,3.92236888542543,1,0.109472478628042,19
"Fold_12",0.766376279835268,0.81222828644744,1.31469266039296,1.40316656179039,4.69341644247698,7.61244626280002,1,0.0982213466415354,20
"Fold_13",0.786836596750644,0.76179074438908,1.23560189480547,1.44658730595296,4.50286310078517,8.49302417304123,1,0.0791525447298483,28
"Fold_14",0.79571858779443,0.667313416826768,1.19274743563743,1.86442055176685,4.66561900092516,7.86045478113423,1,0.0943582283243255,25
"Fold_15",0.763383300957134,0.716991991263346,1.42669449329076,1.52256252354375,5.22486188718989,6.98304750367324,1,0.13439704144027,14
"Fold_16",0.787287149125857,0.693763943321143,1.33197025440834,1.48328784737073,5.84166451715951,4.78224864195798,1,0.118931552479027,20
"Fold_17",0.77483691029336,0.693118039023547,1.4038061601997,1.46973746825367,6.47162707610167,3.75959314218096,1,0.122458687353008,18
"Fold_18",0.761358822489847,0.710335310234377,1.42665624098531,1.62018085999345,5.38259471548137,6.63261736876845,1,0.146551923318971,13
"Fold_19",0.753565506525094,0.714700145705128,1.56003658350325,1.43417496291156,6.51745411341899,4.09584636758408,1,0.181898807952119,12
"Fold_20",0.777626528601365,0.704747433834584,1.35516831174231,1.61682748925386,6.24978353897756,4.25409696744234,1,0.132812039565821,16
"Fold_21",0.829564611269974,0.734241751834548,0.979057247221079,1.56796805196088,4.80974226852523,7.41003843151435,1,0.0442866794925704,32
"Fold_22",0.750372397057247,0.69505831470277,1.50807023958857,1.78349354586598,5.38712611084523,7.03117096835604,1,0.197663494145592,10
"Fold_23",0.811923563696295,0.749938641838849,1.17585070841633,1.20188695188733,6.04017892195633,4.27222562835154,1,0.0652426463647723,28
"Fold_24",0.817933106721085,0.711224570573619,1.09392591511509,1.62636323778452,5.72229841438464,4.78204813925899,1,0.0788139390335463,21
"Fold_25",0.871949359514887,0.695276287474722,0.783094357203603,1.66760077969033,4.65034548018838,7.03164737641497,1,0.0209836224003514,48
"Fold_26",0.792382426430486,0.60674035915787,1.33491966685581,1.80073035503695,6.26526694919017,4.60115787374238,1,0.158676271822338,19
"Fold_27",0.778475602544639,0.778297945204402,1.3909373809037,1.09709466371191,6.45394490109669,3.15010395286213,1,0.108155999507541,17
"Fold_28",0.783480530655276,0.79061729249327,1.26154667850415,1.2580483600168,5.24292325255479,6.10628014627695,1,0.0823819150579019,20
"Fold_29",0.723142392444427,0.763744985179873,1.60082429059263,1.748021442632,6.01155072774763,5.56736836998358,1,0.203358726772899,10
