"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.817943995686437,0.704547339151553,1.11872113094452,1.67924036467642,6.01657484263827,3.72738625189616,1,0.122836010173362,22
"Fold_2",0.781505738765083,0.753903472503039,1.29332722283177,1.48077273288149,4.85464044737925,7.45645321864843,1,0.143461039340284,21
"Fold_3",0.806619780043419,0.73017202322356,1.22222259605947,1.34206328552133,5.71315858350883,5.2322902824498,1,0.116635003738346,28
"Fold_4",0.803083509497174,0.774366966276339,1.16220081526858,1.35616425686014,5.0116530564063,6.39199120760636,1,0.0951398315555828,28
"Fold_5",0.808715236487983,0.73410849557448,1.16285307097703,1.5025487201545,5.18030553356553,6.23740671559712,1,0.115681229829393,23
"Fold_6",0.778573804369115,0.752869881699193,1.39419997328597,1.31038186453325,5.9895745533511,4.58957929068738,1,0.171362335573353,13
"Fold_7",0.802649129771999,0.790519849932727,1.13222344369236,1.427229897972,4.63784496665071,7.26158153940422,1,0.0987807761836141,29
"Fold_8",0.789544886907418,0.736739127959915,1.22078975156395,1.61978578270721,5.3683796591825,5.7110478720471,1,0.134725792034893,23
"Fold_9",0.821116800969338,0.736072564660453,1.07492432039637,1.4997279002344,5.45471050326866,5.16529803581238,1,0.0889612005335865,27
"Fold_10",0.819732925108174,0.770042053707469,1.03648332981747,1.63069457278517,5.01446541834063,6.25898375509035,1,0.0968620840167432,31
"Fold_11",0.764086793083585,0.707321928535174,1.50672548072716,1.47250513632316,6.29416178634627,4.05098159135005,1,0.219334135606864,15
"Fold_12",0.798619369974627,0.766550468076792,1.17371504298998,1.52525256409388,4.53778347261225,7.67425946059661,1,0.121854065926473,25
"Fold_13",0.828479344586344,0.811225434052098,1.01295858813872,1.19302979115077,4.0853261718515,8.226658850077,1,0.0610636462576013,44
"Fold_14",0.810217453392518,0.689967791745198,1.15655355519551,1.73616117539745,4.62521462448941,7.6749228335621,1,0.150829221373367,18
"Fold_15",0.769638040031403,0.797475233824141,1.4147799285792,1.26450745736163,5.1232813368263,6.72467235363551,1,0.163764343710228,17
"Fold_16",0.809058530820728,0.720861593537091,1.20447764125213,1.37440991063816,5.6666966742975,4.66100452228365,1,0.114593172731178,26
"Fold_17",0.807033072982651,0.70218806352807,1.22160374758217,1.40390854934799,6.24236891579193,3.54731707244511,1,0.117324994006607,24
"Fold_18",0.802574792901112,0.692314920685511,1.20682405663501,1.62726794861878,5.0911440803123,6.61226568951926,1,0.139167735326996,21
"Fold_19",0.773504724103943,0.737918049571591,1.42297271656666,1.32121507216894,6.18941760132958,4.06422353911554,1,0.167819370439647,19
"Fold_20",0.805613287655352,0.723706591608492,1.22107797198303,1.48149211617008,6.02419615375028,4.18433002501628,1,0.143459437949501,21
"Fold_21",0.827736154966446,0.754995111914,1.00378386564236,1.47445856389684,4.56495881282032,7.01942827734824,1,0.0761317565479257,32
"Fold_22",0.791221146756189,0.75498936806034,1.24150560699448,1.47891141882199,5.07649601143605,6.59355851198819,1,0.13246403931544,19
"Fold_23",0.827732394406082,0.742209227690481,1.09001858687299,1.23226649094036,5.88168094055858,3.76317555320945,1,0.0767623923500302,29
"Fold_24",0.826830245268703,0.690087895235543,1.06815936265677,1.69141487609527,5.50504733407952,4.91699421412984,1,0.119372587506301,25
"Fold_25",0.834245741309613,0.731950849066772,1.01952653755191,1.44530714634877,4.65268738396902,6.85306304734274,1,0.0804594555623204,35
"Fold_26",0.80821048133846,0.650742719783655,1.26463178042759,1.63488256124969,6.10513725029809,4.41576461732995,1,0.18152543787188,19
"Fold_27",0.777241085306398,0.736076354761185,1.4130951438008,1.26279092671329,6.43928898577797,3.24778695045287,1,0.161438141403627,18
"Fold_28",0.765130995641726,0.786972974968693,1.39114279096672,1.33096266305567,5.23375901827066,6.35650602939427,1,0.154632832467395,21
"Fold_29",0.760829092390826,0.729347716165336,1.38941528807193,1.65215006580509,5.68479309289628,5.65759698791152,1,0.18326205736989,16
"Fold_30",0.78769982228647,0.740174035949548,1.28126795569513,1.4366329106044,5.11405421104556,6.40418483414738,1,0.13943517226178,22
"Fold_31",0.80161140349829,0.664249837197363,1.24575378365854,1.64653648750808,5.51565460947868,5.76695440575477,1,0.147742973832617,18
"Fold_32",0.82124664494777,0.746352738361903,1.05970952028835,1.50809170489905,5.50107384640129,4.99710497749886,1,0.0964951982093038,28
"Fold_33",0.836045048672545,0.736657659154476,0.995799330385322,1.42333489744351,5.59274290444906,4.7052260616887,1,0.0718693138365755,34
"Fold_34",0.808386005554331,0.703989694527565,1.15222687744322,1.6864791240787,5.45364547063569,5.64396006211035,1,0.130667759758473,20
"Fold_35",0.790193886929972,0.717666393952816,1.29559539340252,1.62919262448498,5.92895709268369,4.70507577602746,1,0.170673907135878,18
"Fold_36",0.842126694869683,0.776603482610609,0.960491543388128,1.24049349472944,4.81966515197517,6.02819898648561,1,0.058546842756566,34
"Fold_37",0.799199297128381,0.673408886118178,1.20978260410935,1.8957288300053,4.37925355779887,8.46604950079732,1,0.172177964448179,20
"Fold_38",0.755510010278869,0.755559493900942,1.51183534547549,1.47473455322144,6.39420883812043,3.93367048720671,1,0.201686443371346,17
"Fold_39",0.784700220958581,0.705986060478416,1.28431126840652,1.75516455084623,5.3881605115547,5.91977097739438,1,0.168649382882602,18
"Fold_40",0.811786271113138,0.760600744262931,1.15137161877782,1.29715181784883,5.05275163846148,6.24394561470489,1,0.0990787998304176,29
"Fold_41",0.818654410245866,0.703878832556852,1.10008435738695,1.74964416632845,4.34569187020856,8.30868204590208,1,0.132314735767716,25
"Fold_42",0.813412528754729,0.759799297996823,1.12475233963317,1.3650858213444,5.68335502064006,4.59299117980939,1,0.0943872135179957,31
"Fold_43",0.81281056168131,0.79141000479996,1.12972551749967,1.19303886611155,5.44917377126759,4.7904700653686,1,0.0808612183147188,33
"Fold_44",0.820209135746354,0.740736095999363,1.12742952050177,1.53208300189256,6.09721241689782,3.72729235484219,1,0.131673082854591,23
"Fold_45",0.798529836264359,0.781188181703042,1.26524203625694,1.11424685960239,6.14885524242634,3.36614977683018,1,0.115045653555903,24
"Fold_46",0.765784554473364,0.712525192955698,1.39344544409681,1.71155918354352,5.45735336520193,6.25845051034347,1,0.190852165781419,14
"Fold_47",0.77203630517732,0.666949202735951,1.43663836407899,1.55179734217706,6.43356032819592,3.59745073448945,1,0.180288310891637,15
"Fold_48",0.785384270623046,0.675670020323572,1.2426842704606,1.98370342900643,4.37575367174982,8.56086204114244,1,0.171408432957449,16
"Fold_49",0.835666022938393,0.711307027572453,1.02335230622398,1.57911866047759,4.09348413466335,8.32478402769729,1,0.0983951326386293,28
"Fold_50",0.727052072071999,0.625937792146534,1.66407525281492,1.80420218769679,6.17380845071645,5.00543583100965,1,0.272181509418354,9
"Fold_51",0.828567395813975,0.649906383214632,1.1065836182051,1.69775807571628,5.93259057509894,4.22033145306867,1,0.130038520950463,20
"Fold_52",0.79266940417092,0.629396349138982,1.32066290988648,1.80808019905298,5.8219728011301,5.25399560054313,1,0.192352109114265,18
"Fold_53",0.79321126459801,0.76807778787412,1.24842726735305,1.4181327292023,5.13739329372002,6.52563585297542,1,0.145606841295459,20
"Fold_54",0.80420308655617,0.717664054439854,1.18016765568734,1.60097219493168,4.68296988856164,7.2927005631569,1,0.124217436315622,22
"Fold_55",0.774557736386477,0.796646066326235,1.356934229628,1.21920654154494,5.96553164814263,4.37486187458427,1,0.145853966871811,22
"Fold_56",0.864846146303676,0.741965769795257,0.800910724153704,1.57426647560999,4.29872245219147,7.55998297698933,1,0.0420301691976954,47
"Fold_57",0.791327703672253,0.742530901463982,1.24391171012485,1.50553988661772,5.63288042196768,5.32626278997824,1,0.143210346530805,19
"Fold_58",0.839204536479925,0.646139766974724,0.996722190923605,1.94197136247583,4.49871009607732,7.77387910847667,1,0.12723001652271,22
"Fold_59",0.831120494064142,0.790000170142443,1.04589200930071,1.10156977118686,5.55259948091128,4.52543024431389,1,0.0627568107528347,42
"Fold_60",0.789849695028703,0.783591065796497,1.29714418482402,1.19143975104759,5.94002978876914,4.14120817580918,1,0.125142093741119,26
"Fold_61",0.777869224553524,0.714223682732618,1.3724711133795,1.54318472275163,5.95998688601331,4.64998593664098,1,0.173051717103157,20
"Fold_62",0.739846188865276,0.744043015452063,1.57966210430099,1.49525156633343,6.26950854048977,4.31826071823734,1,0.213763993905697,21
"Fold_63",0.814575867354129,0.744986682883508,1.07994734522223,1.57924376619922,5.62056179508377,4.80886837603312,1,0.0969861760282324,30
"Fold_64",0.808613164430324,0.686339000094453,1.14441883847364,1.76636389206569,5.02769291457061,6.46996012488062,1,0.131423440087075,20
"Fold_65",0.811755949210314,0.737804761211203,1.15412481565847,1.45573454121116,5.21477589108236,5.73938340070718,1,0.111362412535217,22
"Fold_66",0.81602595813979,0.752087573978997,1.13623283232355,1.43555452577121,4.11088618784881,8.73829100361633,1,0.118220507672467,22
"Fold_67",0.820336459809639,0.750617885293762,1.13883210718011,1.23760235849199,5.86489505295401,4.13417031072793,1,0.0995753981783651,28
"Fold_68",0.805466761348483,0.682260868869611,1.23659601954816,1.56247852597775,6.08386238240683,4.11738234980348,1,0.153476844419651,17
"Fold_69",0.790612168669807,0.716275250921797,1.32261444881766,1.4612507547049,5.95038745325732,4.48674363170437,1,0.151742028210022,20
"Fold_70",0.801252637054224,0.73668532749934,1.15931456038112,1.589013693328,4.97197039556372,6.66968961029156,1,0.113203225841833,26
"Fold_71",0.793546093814811,0.619977612961181,1.28815114546847,1.86696389544585,6.19095131679819,4.16302361191907,1,0.174038313860342,15
"Fold_72",0.789183471736565,0.725088112950119,1.27645410891082,1.66943379166372,5.53663960012634,5.65018362908886,1,0.170755649298397,17
"Fold_73",0.827508572831021,0.766562475181817,1.03156068015654,1.29770559525934,5.57696676155848,4.24872273900676,1,0.0610924053396282,36
"Fold_74",0.763265445626419,0.692401299913529,1.45542625470929,1.71000895382342,5.93568303062914,5.00582815736865,1,0.214634668676283,15
"Fold_75",0.830229783051957,0.724313176441418,1.00807199130756,1.63038838846831,5.29321381405772,5.43671576616236,1,0.0883868932754755,26
"Fold_76",0.802321101485048,0.776718876933442,1.18364728723748,1.27444228708974,4.63156756320126,7.2943101486104,1,0.0969685758665096,26
"Fold_77",0.81697441689921,0.794276866704262,1.13168714190834,1.06266052709919,5.54393164567716,4.55151096138754,1,0.0747490361671763,30
"Fold_78",0.783102978892075,0.73022148402007,1.38166035666396,1.37599254790539,6.09013352777773,4.3588800441346,1,0.175498834042739,18
"Fold_79",0.805158178733143,0.765439853086578,1.13285489288754,1.5300709209443,4.61698615718083,7.40080395215734,1,0.114269115549734,25
"Fold_80",0.793720170756336,0.782629070064537,1.30038180058053,1.15481510020454,6.31046159684446,3.3260782817,1,0.12581340220164,25
"Fold_81",0.773530784880493,0.754590229604734,1.44446315728196,1.24694787718566,6.30040085851175,3.66616799080776,1,0.17020816125547,17
"Fold_82",0.802298769202554,0.730010710638059,1.21007164530677,1.45316901785935,5.36783422544508,5.64962757244855,1,0.121971914247317,22
"Fold_83",0.791096744339113,0.75681065792404,1.27613959559934,1.38567879441511,5.84150329393269,4.85441674208714,1,0.135530225666108,22
"Fold_84",0.790384070747055,0.767456790657769,1.27522647331022,1.31991447468098,5.05155269500295,6.41511173589296,1,0.123722731906641,25
"Fold_85",0.798997976273867,0.782318337943178,1.16144132646039,1.58079304898477,5.10424232650355,6.33810546259978,1,0.115158463758379,27
"Fold_86",0.795494401866993,0.746804777029816,1.19803540519579,1.59193704234279,4.33517171302214,8.40458878528497,1,0.131041319494534,25
"Fold_87",0.801155074543724,0.730298718683608,1.24965084189319,1.41992927164184,5.1146885286962,6.18425248749998,1,0.141347291817766,24
"Fold_88",0.794470187274345,0.76014095533448,1.2255492866501,1.43867283804827,5.04701196922645,6.60338091801172,1,0.122909846457923,22
"Fold_89",0.847511354294219,0.79125450467547,0.880379594998754,1.3360913832271,4.98987106312154,5.63072095692797,1,0.0393979667481886,48
"Fold_90",0.796199443990884,0.747814310989642,1.26829175351602,1.37421390596014,6.12351618492141,3.9415680070328,1,0.139936008448694,21
"Fold_91",0.783979314878459,0.643319270175605,1.34314492226648,1.75196322715129,6.42765517299026,3.64849401621756,1,0.178882080500355,17
"Fold_92",0.758856846662981,0.80207128684453,1.46793967118647,1.09576153739977,6.02194482128001,4.4541133003512,1,0.149516627240005,20
"Fold_93",0.8144442097628,0.723608944209751,1.09572785802234,1.61139629754608,5.44077812751752,5.29253114138409,1,0.100829189167864,25
"Fold_94",0.824679554038472,0.726762620222251,1.05221245999059,1.56232635046838,5.2406813056927,5.44423094356624,1,0.102387715303438,28
"Fold_95",0.831938499363738,0.759666967734845,1.01052102006811,1.36809400313108,4.71512337583712,6.86639858624693,1,0.0720182842641333,34
"Fold_96",0.814892599408824,0.65868392960687,1.12613698295609,1.78947055587075,5.38941247121953,5.91151711890912,1,0.122940146029716,25
"Fold_97",0.830744103736191,0.768491434210122,1.05458235057643,1.24944665476922,4.62204500814826,7.00914479268557,1,0.0716962880758161,35
"Fold_98",0.789569935536332,0.758353092267672,1.25380220878373,1.49567796519106,5.04471844097868,6.43878482119931,1,0.129786684908586,22
"Fold_99",0.82349048197443,0.752753127325845,1.12365008064059,1.20732410647361,6.14635977846747,3.19698251520557,1,0.0894176018823291,30
"Fold_100",0.806470506514892,0.811860908292884,1.11616030312554,1.26095535040354,5.31114941202535,5.28946553082752,1,0.0910686720253434,27
"Fold_101",0.811695475491061,0.807019681227441,1.15997063202365,1.06423317375262,5.69638274871965,4.27765112669903,1,0.0812076794866836,31
"Fold_102",0.774796464552227,0.80613723971897,1.3073921756007,1.4304487074243,5.13372913375331,6.5330638039904,1,0.142762199569952,21
"Fold_103",0.826140872998038,0.798668342811987,1.05994777397269,1.14301152729257,6.13557713305228,3.0900903540017,1,0.0707076603648734,34
"Fold_104",0.724799451363687,0.714662762620087,1.5197821699656,1.90233936299734,4.40426324110311,9.09162901894083,1,0.219126247566685,11
"Fold_105",0.78173328783601,0.730985793045879,1.33345479394112,1.50986920119479,5.84198937697449,5.14353905489323,1,0.160792697950261,16
"Fold_106",0.817927932950243,0.786767437035224,1.06224235894727,1.30650251169883,5.67180944141457,4.49164297672624,1,0.077356689880368,31
"Fold_107",0.803081189886689,0.697683700200841,1.19145160663076,1.69039831715815,4.1536304505538,8.60547045208818,1,0.128756027032782,26
"Fold_108",0.793321600624867,0.72102204722111,1.24947310267488,1.53436331828976,6.20184880198869,3.58919905011619,1,0.140371418897591,20
"Fold_109",0.857584837323824,0.616181134998525,0.880437962170293,1.99500034799798,4.71597585197364,6.76847696506842,1,0.0956835325589781,28
"Fold_110",0.792176442645913,0.703813974046423,1.23087079277597,1.73519190761374,5.24204274094418,5.9672220393112,1,0.153254348041916,20
"Fold_111",0.742624131642383,0.661305842228816,1.54420929526738,1.76045782353769,5.93573930906914,5.42476362733012,1,0.220859444810675,14
