"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.829828299080653,0.738508798619972,1.05614106081409,1.50216314192024,5.97609043583084,3.82678063300911,1,0.13196908421147,26
"Fold_2",0.771617142092131,0.779709808778829,1.40229055276805,1.44903217043907,4.98495106921206,7.38894449091875,1,0.233488996396416,15
"Fold_3",0.807763489382137,0.759302381551573,1.24840767734845,1.23855043696052,5.70295699830687,4.98573068747327,1,0.175665810990898,19
"Fold_4",0.776796155770014,0.783343096805277,1.38677381062282,1.48189606137813,5.27152618186156,6.65393618598745,1,0.236363844151197,12
"Fold_5",0.829781998922997,0.759544062389558,1.04860375892621,1.39474486460518,5.04137912488867,6.07250183118851,1,0.117893423736305,32
"Fold_6",0.786979257158464,0.778397457518429,1.35686965828842,1.24383803133553,5.9251307627908,4.72306420736284,1,0.206418263382921,14
"Fold_7",0.772474036689964,0.796244562017569,1.34159718243896,1.5158439337983,4.91189890017803,7.35713895835319,1,0.214340307895722,14
"Fold_8",0.785087752124768,0.770802855447428,1.25746811716013,1.50955780670706,5.49813255090778,5.57697533663186,1,0.178040762148804,19
"Fold_9",0.806348095572172,0.730699198825574,1.20399353301233,1.52064472490883,5.68175944769361,5.3747262893644,1,0.183455316188837,18
"Fold_10",0.80014302477388,0.787818236774478,1.18151250212743,1.68583316254387,5.2892465140196,6.36532517611009,1,0.184663739737648,15
"Fold_11",0.793362367508319,0.735090435910605,1.35337128474134,1.33653458446874,6.27742125341703,4.18603814149477,1,0.221507228277583,19
"Fold_12",0.784964864155304,0.788685859794797,1.27878452412308,1.57687135870923,4.68680148231161,7.71788111794736,1,0.199146731961959,15
"Fold_13",0.782498070432676,0.784060333745806,1.32996946584441,1.44614725606952,4.45064105569475,8.60278231510958,1,0.207131031073456,16
"Fold_14",0.825534144378937,0.707725613540026,1.07625783418653,1.66126452009227,4.57374858793996,7.58907779587257,1,0.163458693660846,21
"Fold_15",0.780771387310575,0.818698934668794,1.38017618645219,1.18971169588521,5.17818596613243,6.61491486093166,1,0.200929038304881,15
"Fold_16",0.799881159995709,0.751710436958247,1.33795627660844,1.33275551892546,5.9290571594739,4.71525368540616,1,0.224780360425762,17
"Fold_17",0.804657607606245,0.712867805011704,1.27163786095229,1.39787564933662,6.36840253095576,3.6179135815305,1,0.189508462792424,16
"Fold_18",0.826507095396421,0.709671018405784,1.08755598246959,1.55490305366416,5.01366438806533,6.62503991257092,1,0.155291339628912,19
"Fold_19",0.798511789230896,0.758275571859129,1.32171500672771,1.25409590987732,6.18790332937188,3.98962348491158,1,0.207670195707606,16
"Fold_20",0.839376102334858,0.743931586183166,1.02414974868464,1.36196852713184,5.84210673701888,4.21120777996405,1,0.13110861000459,25
"Fold_21",0.848660323877186,0.749221918327317,0.906569925875457,1.49942116672755,4.63835107520134,7.03169875645854,1,0.0973538208239693,29
"Fold_22",0.782378862497046,0.72908046741696,1.35157723648684,1.64907561919767,5.19585915162223,6.74449489095412,1,0.239735475034758,13
"Fold_23",0.806748191545434,0.768814303159313,1.25534316686231,1.12901609023647,6.1352493893549,3.72846246469916,1,0.167774186422059,18
"Fold_24",0.834717357993266,0.708932829119003,1.02757290669035,1.61558161135601,5.48925597547797,4.98088138757952,1,0.137340133538693,24
"Fold_25",0.840801212327088,0.756980672705176,0.997653912110352,1.33859831563044,4.70933532060275,6.89155621450776,1,0.109491351929484,30
"Fold_26",0.826435125520091,0.670668236177487,1.17502919703755,1.55509551916817,6.14080863397967,4.24792018074028,1,0.203054091948861,19
"Fold_27",0.801011358368558,0.773447122565256,1.31637457904436,1.12513497393552,6.37966312016649,3.24929320779949,1,0.191838095778373,19
"Fold_28",0.778527827523112,0.803705560019582,1.36037025422066,1.2543149776372,5.24086906483228,6.45224353220407,1,0.205051874353821,16
"Fold_29",0.80897364015563,0.782868345252521,1.12668046771088,1.3695122729211,5.41978872223021,5.26785604599888,1,0.140811249252432,26
"Fold_30",0.790181256970139,0.743995937968742,1.29604756165032,1.46107182568517,5.21585672322068,6.57910200646564,1,0.199065091139624,15
"Fold_31",0.817111376861992,0.727377083789783,1.18624943382457,1.40772182746748,5.51924043726221,5.57825728507507,1,0.179771891143823,17
"Fold_32",0.803906380681007,0.74974228085888,1.21185145446628,1.61912081158001,5.70316629029222,5.19073090270566,1,0.199618255140158,11
