"Fold","Train_Pearson_Corr","Test_Pearson_Corr","Train_MSE","Test_MSE","Train_MAE","Test_MAE","Alpha","Lambda","Num_Features"
"Fold_1",0.803058901465646,0.684882037688394,1.16756345476818,1.66202917729948,6.12483354438434,4.09337817162365,1,0.0571262669301986,37
"Fold_2",0.626083190480716,0.687319533978545,2.00000288074758,1.95917840867819,5.43927936661628,7.70340294865402,1,0.308658719132094,2
"Fold_3",0.72746784875941,0.694932785722655,1.59621381859792,1.45415237244492,5.91178599617726,5.37546861082868,1,0.0959535372095397,18
"Fold_4",0.677366799314937,0.681901303425949,1.76049291245917,1.80686458482092,5.58848997004821,6.76088923922163,1,0.187314310006081,9
"Fold_5",0.840724590686049,0.693986683756937,0.958836707764078,1.63599977880373,4.82201421321062,6.19095615901826,1,0.0335764699586446,44
"Fold_6",0.668567697804693,0.661052810957276,1.85170588695608,1.70442431190919,6.27015065476029,5.17249047758683,1,0.197036236355734,8
"Fold_7",0.774318471628828,0.70142763829217,1.24854688095716,1.84233694890103,4.838150982024,7.77782739872232,1,0.0701867883959305,25
"Fold_8",0.721802826151336,0.647617550346682,1.49566577810362,2.0142005610987,5.8598084922169,5.90385068651887,1,0.117138936123441,16
"Fold_9",0.688580470160261,0.615732340106678,1.74246166631875,1.98786473293036,6.05770009090922,5.79419401458616,1,0.224560250972746,9
"Fold_10",0.768522583300224,0.704866266127883,1.26930166509953,1.98271928657991,5.25733286579646,6.40612452022553,1,0.083742762688609,21
"Fold_11",0.743406857089534,0.647643069072036,1.51677997452035,1.6957948884094,6.4041744433498,4.95699635724179,1,0.109598793666716,21
"Fold_12",0.725039151318994,0.754510175564393,1.48428765984358,1.68033391093548,4.75996547184148,7.84456647204508,1,0.0946108323837037,18
"Fold_13",0.72542883025042,0.679642426415988,1.5141107301115,1.79612373802102,4.48738305984506,8.98416903746873,1,0.103089606460678,16
"Fold_14",0.775057024957319,0.649026874383833,1.28204394396667,1.93120414343788,4.75954515592468,7.85569683724039,1,0.0813537771580557,28
"Fold_15",0.742911803681146,0.755405554146691,1.4902283576335,1.38740171514191,5.22943628176134,6.72852964179314,1,0.0894215317607429,20
"Fold_16",0.77793940025687,0.670860213055276,1.35600630322049,1.58965476276926,5.85230075837392,4.73448232584778,1,0.0807818733797657,29
"Fold_17",0.806635020449556,0.630733629233665,1.19477522415856,1.66093226214429,6.16075337142466,4.0920664269135,1,0.0565426410354722,28
"Fold_18",0.813165424557104,0.64850697302261,1.11652753882007,1.82532182834038,4.9731239047761,6.99471873001437,1,0.0612501052455916,34
"Fold_19",0.701826763230717,0.646725985268549,1.71164229803137,1.66255992173173,6.47987808986722,4.63354980430492,1,0.136633123169607,13
"Fold_20",0.73247781663249,0.642174991676766,1.54028030858644,1.78996448592031,6.4164263679975,4.36942932262444,1,0.125149524961117,14
"Fold_21",0.864661633870279,0.703542493205706,0.803563017835526,1.72759180581971,4.29051316980259,7.22459783330544,1,0.0290469469829279,60
"Fold_22",0.865803150788359,0.693882001223798,0.813899559371515,1.68248666381288,4.50018658983801,6.80510906162617,1,0.0295557100458766,53
"Fold_23",0.722429268806017,0.665064148555009,1.6466698376463,1.52980253416069,6.57713096733082,3.99659106488503,1,0.132958174491005,14
"Fold_24",0.740665502542382,0.613450929996103,1.46658498951749,1.99178579375516,6.02308541320211,5.30268507311138,1,0.114022193195161,15
"Fold_25",0.813827320329233,0.692842417882562,1.11602739318224,1.60713987680404,4.77374855235712,7.01478355338827,1,0.049471736424974,33
"Fold_26",0.783840562947843,0.632169896782356,1.31435222038931,1.71661556858926,6.30267613007088,4.15027908323887,1,0.0764485641551673,26
"Fold_27",0.861123809521302,0.726509273281138,0.903725636708043,1.3619828134358,5.56807979514596,4.6701357528542,1,0.0312648298055999,55
"Fold_28",0.801446947316557,0.751006660025075,1.16603128176472,1.43309339224822,4.89791268781187,6.71834824983973,1,0.058399509311162,32
"Fold_29",0.816113500814044,0.723073299683367,1.0639522794793,1.6969327402098,5.31343057322458,5.54423919683255,1,0.0530145320838048,29
"Fold_30",0.75363547724946,0.670322843165587,1.40875380190434,1.74954612691137,5.22038590349166,6.95553370711625,1,0.0902736016332184,25
"Fold_31",0.700790060763509,0.640508364739965,1.70649473644508,1.73142312620572,5.99541120912687,5.8027126481191,1,0.15635642435084,12
"Fold_32",0.718760091844468,0.691822658089552,1.53166876064598,1.78697510463416,5.98269028377871,5.27220900320417,1,0.104081125705136,20
"Fold_33",0.803356058294114,0.687614130525154,1.17316430592985,1.63298348428332,5.79124240748488,4.85474545470469,1,0.0596261354668326,30
"Fold_34",0.766941748421008,0.683421222558649,1.32045650753356,1.7847696447274,5.60356255084982,5.68953571429165,1,0.0767884985711894,26
"Fold_35",0.719431968636295,0.72093687755405,1.58195658197629,1.59383381523195,6.16363454075427,4.54276417719732,1,0.11830870744885,20
"Fold_36",0.797016905670322,0.724762577740971,1.20563379639967,1.5199181280282,5.2638892845866,6.00892761264142,1,0.0608131317229077,32
"Fold_37",0.853132919795507,0.682668549023656,0.862552442689959,1.82219972788725,3.90736969983886,8.30848628544778,1,0.0313516595108896,51
"Fold_38",0.691774168442991,0.653494261526443,1.74323203069723,1.81478018292945,6.57091596221789,4.50349663169858,1,0.180679330686914,10
"Fold_39",0.751570084958388,0.67115143031781,1.38687345406324,1.87922595587993,5.63048346399003,5.73110960061704,1,0.0903619555650714,21
"Fold_40",0.770367538994388,0.692312051877952,1.34966860936958,1.58218954047042,5.26765662798681,6.40206032218068,1,0.0775339854157949,24
"Fold_41",0.773175328271784,0.68732066950085,1.28725439347961,1.78598185473205,4.5431904916535,8.40904357720521,1,0.0806728259776361,24
"Fold_42",0.826736649267239,0.7161216208782,1.03728916663996,1.53788637620406,5.57846182477573,4.69940093965927,1,0.0428800188251322,46
"Fold_43",0.733789323791062,0.683730796238536,1.51400965916181,1.65772217331786,5.91296352264993,5.10050597313735,1,0.095956836600436,19
"Fold_44",0.666794737600652,0.603617679665167,1.92620342608613,2.01873098427515,6.78513969704528,4.18116851309238,1,0.363494365131832,6
"Fold_45",0.726320449538165,0.733225113855378,1.60519242766282,1.3152819471037,6.71252177846589,3.45023252069864,1,0.104537741831353,16
"Fold_46",0.808136964340104,0.678491305060606,1.10575292499199,1.84639676428123,5.1609137239095,6.34602278054358,1,0.045333725949985,38
"Fold_47",0.760318256724329,0.605571446441581,1.44957571614394,1.80231183149673,6.48395506206697,3.84331809058926,1,0.0929356476933364,23
"Fold_48",0.759223823060236,0.641063350588769,1.31810993191901,2.161326085552,4.54958920416056,8.48951594284361,1,0.101135925859908,20
"Fold_49",0.838237752583282,0.714854571499708,0.98849069325173,1.53336394715831,4.11320420051214,8.65037854874388,1,0.0436363892534652,41
"Fold_50",0.687059983583919,0.612357207089234,1.79971413095767,1.85303986161234,6.2474654496324,5.1309146958186,1,0.242583968370269,7
"Fold_51",0.850072993285631,0.608673685712298,0.953564409362294,1.98305338510467,5.77229813777002,4.63670331389962,1,0.0493974132271725,37
"Fold_52",0.804138577253626,0.616696365080361,1.18392138179146,1.91233571400251,5.49622988047935,6.01205877244682,1,0.0700605711345616,27
"Fold_53",0.796480886508033,0.723549013893071,1.18412290841632,1.57846292959583,4.98183545581367,6.9041104488397,1,0.0569136251308884,30
"Fold_54",0.748838877320333,0.671427322121149,1.42353675740767,1.78988894203317,5.00794151497207,7.48439888846219,1,0.0962086399702949,19
"Fold_55",0.726066127698968,0.759301017080188,1.54224147795533,1.41809544861587,6.17188304762851,4.41777602002764,1,0.0931627937657247,20
"Fold_56",0.77003164715952,0.703897421939876,1.2948471947535,1.7788086714452,4.90781814797439,7.388030542226,1,0.0765333990809719,26
"Fold_57",0.699516061851254,0.71206856710797,1.62894152117188,1.73443434701674,5.85987526838195,5.50301266268782,1,0.129502299102129,13
"Fold_58",0.88090353763859,0.662990520995689,0.725530652436412,1.97116282730597,3.90834588699634,7.80516666015179,1,0.0253253864923682,57
"Fold_59",0.747723586358073,0.715265495677208,1.47533453628726,1.45468269724833,5.78745628568428,5.07370619878716,1,0.0818963651455404,19
"Fold_60",0.665034954860682,0.641663514186564,1.89283496898402,1.77928136988191,6.53193056139406,4.78082174309675,1,0.24900200960804,7
"Fold_61",0.763018533557471,0.619046445739774,1.38821496235266,1.87641763719332,6.04339998393787,4.88690505807395,1,0.0879698314263263,21
"Fold_62",0.677531481317124,0.6665606941132,1.83130291230266,1.75751965833654,6.56040314872002,4.53198822853425,1,0.252284321717579,6
"Fold_63",0.792756432438026,0.64894528434154,1.17437784545011,1.98652845487757,5.77617796057791,5.17845524635655,1,0.0649411494713365,27
"Fold_64",0.795070161549078,0.649207893565645,1.19344946938149,1.93541034486672,5.07798908268357,7.02704271462,1,0.0835037080970983,26
"Fold_65",0.787626596396451,0.701347653791071,1.25452661170822,1.59355266398157,5.33776053545057,5.84669050027909,1,0.0715593712557706,28
"Fold_66",0.719349161510085,0.676367938547598,1.5813358977317,1.75616887753617,4.48794863874109,9.048431847117,1,0.125291413125633,16
"Fold_67",0.749141369335202,0.701057182261275,1.49189344357069,1.45143144853163,6.12364299831343,4.74825562806826,1,0.0901342511081601,24
"Fold_68",0.788386165278096,0.555254986528852,1.27350477951041,2.03205871405037,6.08791077229814,4.82341887328187,1,0.0854807813227314,19
"Fold_69",0.755082232759948,0.60684011975746,1.44989244294193,1.82395383504095,6.10583613336572,4.89914237120072,1,0.0978076019475395,15
"Fold_70",0.798096357431242,0.710241299685998,1.15607978347994,1.68335242392568,4.89064344083233,6.94159639117544,1,0.0574894759108951,30
"Fold_71",0.768669173060782,0.59838207485528,1.35080989251423,1.96553949958135,6.45177104566772,4.1211145618089,1,0.0844209241723229,25
"Fold_72",0.696516025164495,0.628668933210375,1.66709139656114,2.04476392469433,5.82919692644778,6.1864252224647,1,0.203107829562785,8
"Fold_73",0.733143616724414,0.655845826806718,1.50388880123097,1.78986357585964,6.19520993797515,4.65615388551165,1,0.0977194642418847,21
"Fold_74",0.77814446615224,0.668388083250295,1.28651575187901,1.74503626733636,5.85611837262362,4.70401474291435,1,0.0648202374968968,27
"Fold_75",0.759119479708305,0.683419846932818,1.35101692866287,1.86552795028013,5.75748923788655,5.21780975372874,1,0.0851335113470175,19
"Fold_76",0.861045147770745,0.707596900288046,0.846664057511474,1.5691962278186,4.40459531092903,7.48876430098432,1,0.026724814061565,50
"Fold_77",0.796185601820139,0.703577398400981,1.24431615675099,1.48694562415968,5.58776100301582,5.29837430100027,1,0.0652142631313349,24
"Fold_78",0.785421797191607,0.659593282989508,1.31686533427214,1.63990427052969,5.97885977938507,4.60452367164044,1,0.0815269350158764,23
"Fold_79",0.824739815718431,0.730109674803989,1.00650413467662,1.67879663554908,4.31447203303252,7.81518053708493,1,0.0455982200158032,38
"Fold_80",0.751655338462183,0.764215952033107,1.48266800384728,1.25543678499298,6.57095055538091,3.41889949010523,1,0.080569691002623,26
"Fold_81",0.777043002674871,0.71734252522906,1.36549614984136,1.33286349763149,6.27267566237651,3.72166227465339,1,0.0656024909978648,35
"Fold_82",0.739168477029376,0.63645598365458,1.49717098923857,1.81749632733169,5.64176767228324,5.93574739369249,1,0.102431514536011,18
"Fold_83",0.786387608483107,0.731392537550024,1.25814471071621,1.47895523978369,5.76112257971328,4.72284618635017,1,0.0627072151454211,32
"Fold_84",0.781083016141562,0.73374649369292,1.2871634982813,1.44397860690972,5.12791643648408,6.96360982961697,1,0.0610241459508403,27
"Fold_85",0.836483096353561,0.707009959997309,0.935565439013707,1.78736169554838,4.99205422530098,6.31683312810407,1,0.0335653695111376,43
"Fold_86",0.799850607730444,0.732718301748626,1.13830907417826,1.61659319455943,4.25829001007213,8.51778267478302,1,0.0507329563921717,38
"Fold_87",0.829075481681237,0.70471908083446,1.05371428371697,1.56446089053192,4.93575171223983,6.50544199255102,1,0.0475243918348571,36
"Fold_88",0.760097844059933,0.66683170955579,1.36019197457192,1.81436858651402,5.10683857562503,6.62947700322836,1,0.0791748711134301,23
"Fold_89",0.885829192956288,0.754183183898019,0.685302260318772,1.48104962684776,4.820044096242,5.79789872121985,1,0.0184332664076312,74
"Fold_90",0.798048205820417,0.733658419000364,1.21691021545437,1.40821398120502,6.17445648820208,4.18357516415734,1,0.0602511953813502,29
"Fold_91",0.878518422223923,0.635200909614077,0.763001374925666,1.79230179408014,5.66845490389965,4.02744286553624,1,0.0232512308389859,68
"Fold_92",0.710551626720344,0.70037887143113,1.66264482060911,1.51026284520522,6.16956997473642,4.85896738810079,1,0.119832863882384,15
"Fold_93",0.766254687302095,0.677736824726617,1.31826383135701,1.80390450505043,5.52078921898479,5.89931474103198,1,0.0741751419657936,23
"Fold_94",0.794418979668864,0.674867097043478,1.18409951287521,1.80423890022713,5.50232114405717,5.83801973192195,1,0.0634667647941836,31
"Fold_95",0.784956258489492,0.760519602499885,1.26389048743845,1.39710058285608,4.96506204350156,6.87339633345699,1,0.0691559895854172,27
"Fold_96",0.791815473631421,0.743989196150336,1.21765155113397,1.50744402118713,5.4186058761786,5.6460252542046,1,0.0565049284468752,34
"Fold_97",0.845981597972281,0.740752367113544,0.969129294970128,1.31900717627744,4.50473292466074,7.08485404523209,1,0.0350471064263671,51
"Fold_98",0.793454064309269,0.704028538767686,1.2165976387421,1.66981169135445,4.72956778119165,7.06012545677467,1,0.0703241440775576,32
"Fold_99",0.760251017197875,0.692000431551481,1.4477854478172,1.45720383318629,6.5617321238515,3.20500423277546,1,0.0854268358355721,28
"Fold_100",0.718115585570291,0.726244142563797,1.5080574641849,1.71877761649158,5.78635451809293,5.53059443557807,1,0.100712422064667,16
"Fold_101",0.805093741212348,0.757801577967769,1.18909363753475,1.29573712957313,5.70792265138247,4.92752992253542,1,0.0483639313971174,37
"Fold_102",0.788497824410835,0.721247304161226,1.20280903970466,1.71727359106142,4.95013439596308,6.73513074711369,1,0.066017123951176,29
"Fold_103",0.740742783176113,0.718525474444563,1.49819969366908,1.52739870806074,6.45235545481728,3.63613726726483,1,0.0987693634450444,21
"Fold_104",0.79899118593847,0.74381060176216,1.11285229302869,1.67485008693861,4.09643685622978,8.48295810599771,1,0.0537168293621787,25
"Fold_105",0.715373991735178,0.707610482090382,1.59559108632223,1.59070446080902,6.03947671238661,5.1766299046618,1,0.105118999775098,18
"Fold_106",0.794948146425776,0.749778979386698,1.17964899093519,1.48344334111531,5.88359722689114,4.44373027905867,1,0.0571006874668746,32
"Fold_107",0.866073598833852,0.679631273693683,0.819210192753012,1.72838955732333,3.51719936693861,8.55920037972193,1,0.0294180425835087,48
"Fold_108",0.769942618414632,0.676560754144883,1.33697645902534,1.73590097902004,6.22768716100439,3.85140135084231,1,0.0840325068750036,25
"Fold_109",0.853742308524453,0.605056411401507,0.885800486015215,2.11344545846408,4.63971798100833,6.81932665530392,1,0.0429646553661456,40
"Fold_110",0.793773452564892,0.658788865952322,1.1821968915991,1.91589814196099,5.27606991233472,6.08908892759708,1,0.0739924965652115,21
"Fold_111",0.738825917748029,0.626605179987057,1.49464845967714,1.86990204855838,5.74494876001367,5.89935231176224,1,0.114873972626542,18
"Fold_112",0.7467141998987,0.712900427919011,1.47309989706292,1.49675092724275,6.30943407396662,4.0693348032932,1,0.0952889765435979,20
"Fold_113",0.875697204182657,0.734803652955872,0.790579846536636,1.35487875037899,4.70226363648707,5.95141261429091,1,0.0224018554004855,61
"Fold_114",0.778123573156141,0.792118213618309,1.25240527087487,1.45251906084141,4.36602406711301,8.16005880852444,1,0.0617429884495887,26
